ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4,lat_A,lon_A,lat_B,lon_B,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,geometry
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13030,30,1817226.65868,6683.13904225,13,"c(-87.7176840717512, -87.7127221647464, 41.7719082809617, 41.7713550104405)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13034,34,2661601.21225,8649.01745672,13,"c(-87.7226019010198, -87.7176840717512, 41.7724564165871, 41.7719082809617)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13037,37,3072570.96355,7948.61938489,13,"c(-87.7421563537681, -87.7373081778506, 41.7746337661509, 41.7740942542762)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13039,39,2204591.98445,6626.06839975,13,"c(-87.7336091165956, -87.7287171914259, 41.7736824743201, 41.7731377142696)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13043,43,2305916.07002,8565.48633623,13,"c(-87.7592346619751, -87.7555770067543, 41.776532568644, 41.7761261250773)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13045,45,2222514.81413,6658.01848494,13,"c(-87.7712434406719, -87.7665835030554, 41.7778661483838, 41.7773488154861)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13046,46,3519052.72854,9977.9939296,13,"c(-87.7262720355954, -87.7226019010198, 41.7728653428311, 41.7724564165871)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13038,38,1776035.91309,5980.94919637,13,"c(-87.7905110836273, -87.7874467538348, 41.7800030993901, 41.7796634630761)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13031,31,2140113.13767,7987.80363678,13,"c(-87.7874467538348, -87.7813125791242, 41.7796634630761, 41.7789833237158)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13018,18,2772390.02522,7979.55442685,13,"c(-87.7813125791242, -87.7776316980169, 41.7789833237158, 41.7785750348072)"
