ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4,lat_A,lon_A,lat_B,lon_B,ward_locate,precinct_locate,ward_precinct_locate,geometry
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,15,38,15038,"c(-87.6899033693919, -87.6933064863055, 41.7754737610504, 41.7757379598382)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,15,13,15013,"c(-87.6933064863055, -87.6981900225219, 41.7757379598382, 41.7761169107647)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,15,25,15025,"c(-87.6981900225219, -87.7030811917749, 41.7761169107647, 41.7764962422209)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,35,13035,"c(-87.7264151441886, -87.7299051207099, 41.7783029745747, 41.778572786494)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,15,31,15031,"c(-87.6725616558799, -87.6737653472413, 41.7741258546716, 41.7742194991411)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,15,1,15001,"c(-87.7030811917749, -87.7079393487899, 41.7764962422209, 41.7768728036386)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,26,13026,"c(-87.761843572179, -87.7642936230712, 41.7810369537153, 41.7812256109002)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,1,13001,"c(-87.7667434991915, -87.7689546332641, 41.7814142014697, 41.781584368126)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,23,39,23039,"c(-87.7716464031638, -87.7777686444198, 41.781791465592, 41.7822622552621)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,25,13025,"c(-87.7374161849341, -87.7423308257928, 41.7791531048591, 41.7795325484162)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,15,28,15028,"c(-87.7103648146061, -87.7129078331008, 41.7770607260733, 41.7772577003966)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,31,13031,"c(-87.7202842320447, -87.7227437272832, 41.7778287292897, 41.7780190189548)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,14,13014,"c(-87.7337545813589, -87.7374161849341, 41.7788702651902, 41.7791531048591)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,17,13017,"c(-87.7642936230712, -87.7667434991915, 41.7812256109002, 41.7814142014697)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,8,13008,"c(-87.7689546332641, -87.7716464031638, 41.781584368126, 41.781791465592)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,23,8,23008,"c(-87.7423308257928, -87.761843572179, 41.7795325484162, 41.7810369537153)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,28,13028,"c(-87.7227437272832, -87.7264151441886, 41.7780190189548, 41.7783029745747)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,16,13016,"c(-87.7299051207099, -87.7313071142731, 41.778572786494, 41.7786811449773)"
20,Alley Speed Hump Menu,W 6 ST & S HONORE ST & W 7 ST & S WOOD ST,2006,2000,15921,S HONORE ST & W 6th ST,S WOOD ST & W 6th ST,S HONORE ST & W 7th ST,S WOOD ST & W 7th ST,41.77393803100006,-87.67014789699994,census,NA,NA,google,41.79443,-87.937526,google,NA,NA,google,41.77393803100006,-87.67014789699994,41.79443,-87.937526,13,30,13030,"c(-87.7129078331008, -87.7202842320447, 41.7772577003966, 41.7778287292897)"
16,Alley Speed Hump Menu,S ELIZABETH ST & S THROOP ST & W 3 ST & W 4 ST,2010,3150,13273,S ELIZABETH ST & W 3rd ST,S THROOP ST & W 3rd ST,S ELIZABETH ST & W 4th ST,S THROOP ST & W 4th ST,41.7323978,-87.6544557,google,41.8569989,-87.6588529,google,41.7323978,-87.6544557,google,41.8569989,-87.6588529,google,41.7323978,-87.6544557,41.8569989,-87.6588529,21,58,21058,"c(-87.6545796048814, -87.6546437540482, 41.7359154653296, 41.7377365117242)"
16,Alley Speed Hump Menu,S ELIZABETH ST & S THROOP ST & W 3 ST & W 4 ST,2010,3150,13273,S ELIZABETH ST & W 3rd ST,S THROOP ST & W 3rd ST,S ELIZABETH ST & W 4th ST,S THROOP ST & W 4th ST,41.7323978,-87.6544557,google,41.8569989,-87.6588529,google,41.7323978,-87.6544557,google,41.8569989,-87.6588529,google,41.7323978,-87.6544557,41.8569989,-87.6588529,21,61,21061,"c(-87.6544557, -87.6545796048814, 41.7323978, 41.7359154653296)"
16,Alley Speed Hump Menu,S ELIZABETH ST & S THROOP ST & W 3 ST & W 4 ST,2010,3150,13273,S ELIZABETH ST & W 3rd ST,S THROOP ST & W 3rd ST,S ELIZABETH ST & W 4th ST,S THROOP ST & W 4th ST,41.7323978,-87.6544557,google,41.8569989,-87.6588529,google,41.7323978,-87.6544557,google,41.8569989,-87.6588529,google,41.7323978,-87.6544557,41.8569989,-87.6588529,21,39,21039,"c(-87.6546437540482, -87.6547719527983, 41.7377365117242, 41.7413754680657)"
16,Alley Speed Hump Menu,S ELIZABETH ST & S THROOP ST & W 3 ST & W 4 ST,2010,3150,13273,S ELIZABETH ST & W 3rd ST,S THROOP ST & W 3rd ST,S ELIZABETH ST & W 4th ST,S THROOP ST & W 4th ST,41.7323978,-87.6544557,google,41.8569989,-87.6588529,google,41.7323978,-87.6544557,google,41.8569989,-87.6588529,google,41.7323978,-87.6544557,41.8569989,-87.6588529,17,34,17034,"c(-87.6556056408689, -87.6557340457582, 41.7650298678693, 41.7686715759679)"
16,Alley Speed Hump Menu,S ELIZABETH ST & S THROOP ST & W 3 ST & W 4 ST,2010,3150,13273,S ELIZABETH ST & W 3rd ST,S THROOP ST & W 3rd ST,S ELIZABETH ST & W 4th ST,S THROOP ST & W 4th ST,41.7323978,-87.6544557,google,41.8569989,-87.6588529,google,41.7323978,-87.6544557,google,41.8569989,-87.6588529,google,41.7323978,-87.6544557,41.8569989,-87.6588529,17,39,17039,"c(-87.6557340457582, -87.6558623880521, 41.7686715759679, 41.7723110955431)"
