ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
42,Street Bump Outs Menu,ON E WACKER LOWER DR FROM N STETSON LOWER AVE (154 E) TO N COLUMBUS LOWER DR (299 E),2019,88856.01,36992,E WACKER LOWER DR and N STETSON LOWER AVE,E WACKER LOWER DR and N COLUMBUS LOWER DR,41.8880601,-87.6237243,google,41.8880601,-87.6237243,google,"c(-87.6237243, 41.8880601)",42040,40,1650009.15346,6709.1442983,42
42,Curb & Gutter Menu,ON E WALTON ST FROM N MIES VAN DER ROHE WY (236 E) TO N MIES VAN DER ROHE WY (236 E),2012,35170,36622,E WALTON ST and N MIES VAN DER ROHE WY,E WALTON ST and N MIES VAN DER ROHE WY,41.90004591700006,-87.62188512999995,census,41.90004591700006,-87.62188512999995,census,"c(-87.62188513, 41.9000459170001)",02023,23,1356555.76996,5471.91462347,2
38,Sidewalk Menu,ON EASTWOOD FROM N MCVICKER AV (6032 W) TO N AUSTIN AV (6000 W),2012,55359,33509,EASTWOOD and N MCVICKER AV,EASTWOOD and N AUSTIN AV,41.96476208300004,-87.77837934399997,census,NA,NA,google,"c(-87.778379344, 41.964762083)",38025,25,2231183.40767,8028.67807489,38
41,Curb & Gutter Menu,ON N ALGONQUIN AVE FROM N HIAWATHA AV (6530 N) TO N HIAWATHA AV (6583 N),2012,9506,35846,N ALGONQUIN AVE and N HIAWATHA AV,N ALGONQUIN AVE and N HIAWATHA AV,42.0008384,-87.7650339,google,42.0008384,-87.7650339,google,"c(-87.7650339, 42.0008384)",41019,19,5090331.77724,13060.5176465,41
45,Street Resurfacing Menu (1-5),ON N AVONDALE AVE FROM N MOODY AVE (5500 N) TO N AUSTIN AV JFK XR (5430 N),2016,126725.1,39489,N AVONDALE AVE and N MOODY AVE,N AVONDALE AVE and N AUSTIN AV JFK XR,41.98091801000004,-87.78219421799997,census,NA,NA,google,"c(-87.782194218, 41.98091801)",45024,24,3383179.10476,9334.2428378,45
41,Street Resurfacing Menu,ON N CHESTER AVE FROM W ARGYLE ST (5000 N) TO W WINONA ST (5120 N) ON N NEWCASTLE AVE FROM W RAVEN ST (6142 N) TO W,2012,52043,35872,N CHESTER AVE FROM W ARGYLE ST (5000 N) TO W WINONA ST (5120 N) ON N NEWCASTLE AVE and W ARGYLE ST TO W WINONA ST ON N NEWCASTLE AVE FROM W RAVEN ST,N CHESTER AVE FROM W ARGYLE ST (5000 N) TO W WINONA ST (5120 N) ON N NEWCASTLE AVE and W WINONA ST ON N NEWCASTLE AVE FROM W RAVEN ST TO W,41.9936996,-87.7912822,google,41.9936996,-87.7912822,google,"c(-87.7912822, 41.9936996)",41035,35,3320727.53082,9525.91575869,41
45,Street Bump Outs Menu,ON N CICERO AVE FROM W BERTEAU AV (4140 N) TO W BERTEAU AV (4200 N),2012,5937,39271,N CICERO AVE and W BERTEAU AV,N CICERO AVE and W BERTEAU AV,41.9570638,-87.7474702,google,41.9570638,-87.7474702,google,"c(-87.7474702, 41.9570638)",45012,12,2469980.31176,7203.23329243,45
43,Bollard Menu,ON N COMMONWEALTH AVE FROM 2376 N TO W BELDEN AV (2300 N),2012,1260,37542,2376 N COMMONWEALTH AVE,N COMMONWEALTH AVE and W BELDEN AV,NA,NA,census,41.92379541100007,-87.63804909699996,census,"c(-87.638049097, 41.9237954110001)",43032,32,17440892.3372,29608.1157954,43
33,Sidewalk Menu,ON N ELSTON AVE FROM N TROY ST (3450 N) TO N TROY ST (3526 N),2012,11754,28969,N ELSTON AVE and N TROY ST,N ELSTON AVE and N TROY ST,41.9453577,-87.706951,google,41.9453577,-87.706951,google,"c(-87.706951, 41.9453577)",33012,12,1958775.1062,6729.77863114,33
40,Curb & Gutter Menu,ON N FRANCISCO AVE FROM W HOLLYWOOD AV (5700 N) TO W HOLLYWOOD AV (5700 N),2012,39255,35031,N FRANCISCO AVE and W HOLLYWOOD AV,N FRANCISCO AVE and W HOLLYWOOD AV,41.98492985800005,-87.70163969499998,census,41.98492985800005,-87.70163969499998,census,"c(-87.701639695, 41.9849298580001)",40029,29,4968527.21915,9140.94736392,40
43,Sidewalk Menu,ON N GENEVA TR FROM W KEMPER PL (2332 N) TO W KEMPER PL (2332 N),2012,28681,37582,N GENEVA TR and W KEMPER PL,N GENEVA TR and W KEMPER PL,41.92461948800008,-87.64387391399998,census,41.92461948800008,-87.64387391399998,census,"c(-87.643873914, 41.9246194880001)",43020,20,1312612.14109,5301.53959501,43
27,Sidewalk Menu,ON N HALSTED ST FROM W KINZIE ST (400 N) TO W KINZIE ST (400 N),2013,17482,23601,N HALSTED ST and W KINZIE ST,N HALSTED ST and W KINZIE ST,41.8887431,-87.6744146,google,41.8887431,-87.6744146,google,"c(-87.6744146, 41.8887431)",27027,27,8207002.98656,13950.4941538,27
42,Street Resurfacing Menu,ON N JEFFERSON ST FROM W ADAMS ST (200 S) TO W JACKSON BLVD (300 S),2017,31063.89,36934,N JEFFERSON ST and W ADAMS ST,N JEFFERSON ST and W JACKSON BLVD,NA,NA,google,41.878004874000055,-87.64253529099994,census,"c(-87.6425352909999, 41.8780048740001)",42016,16,2145104.1849,6186.09134001,42
45,Sidewalk Menu,ON N LAVERGNE AVE FROM W STRONG ST (4932 N) TO W STRONG ST (4932 N),2013,1643,39301,N LAVERGNE AVE and W STRONG ST,N LAVERGNE AVE and W STRONG ST,41.970707496000045,-87.75271236399999,census,41.970707496000045,-87.75271236399999,census,"c(-87.752712364, 41.970707496)",45030,30,4142883.14088,10614.9506373,45
50,Sidewalk Menu,ON N LEAVITT ST FROM W THOME AVE (6230 N) TO W ROSEMONT AVE (6300 N) ON W GRANVILLE AVE FROM N HOYNE AVE (2100 W) TO N,2014,29716,43270,N LEAVITT ST FROM W THOME AVE (6230 N) TO W ROSEMONT AVE (6300 N) ON W GRANVILLE AVE and W THOME AVE TO W ROSEMONT AVE ON W GRANVILLE AVE FROM N HOYNE AVE,N LEAVITT ST FROM W THOME AVE (6230 N) TO W ROSEMONT AVE (6300 N) ON W GRANVILLE AVE and W ROSEMONT AVE ON W GRANVILLE AVE FROM N HOYNE AVE TO N,41.9096503,-87.6777658,google,NA,NA,google,"c(-87.6777658, 41.9096503)",01008,8,1190695.13842,5422.27716611,1
41,Street Resurfacing Menu,ON N MANKATO AVE FROM N IONIA AVE (7200 N) TO N HIAWATHA AVE (7130 N),2021,90297.08,36145,N MANKATO AVE and N IONIA AVE,N MANKATO AVE and AVE FROM N IONIA AVE TO N HIAWATHA AVE,42.011746526000024,-87.77696434399996,census,NA,NA,google,"c(-87.776964344, 42.011746526)",41047,47,3893024.57812,9823.55345749,41
38,Sidewalk Menu,ON N MCVICKER AVE FROM W CULLOM AV (4300 N) TO W CULLOM AV (4300 N),2012,21720,33506,N MCVICKER AVE and W CULLOM AV,N MCVICKER AVE and W CULLOM AV,41.95851115800008,-87.77817834999996,census,41.95851115800008,-87.77817834999996,census,"c(-87.77817835, 41.9585111580001)",38033,33,2400853.27005,7645.37607063,38
41,Curb & Gutter Menu,ON N MINNEHAHA AVE FROM N HIAWATHA AV (6482 N) TO N HIAWATHA AV (6482 N),2012,9327,35844,N MINNEHAHA AVE and N HIAWATHA AV,N MINNEHAHA AVE and N HIAWATHA AV,41.99889896600007,-87.76088479499998,census,41.99889896600007,-87.76088479499998,census,"c(-87.760884795, 41.9988989660001)",41019,19,5090331.77724,13060.5176465,41
41,Street Resurfacing Menu,ON N NEWARK AVE FROM W THORNDALE AVE (5900 N) TO N AVONDALE AVE (6000 N) ON W RASCHER AVE FROM W TALCOTT AVE (6740 W) TO N,2014,73783,35923,N NEWARK AVE FROM W THORNDALE AVE (5900 N) TO N AVONDALE AVE (6000 N) ON W RASCHER AVE and W THORNDALE AVE TO N AVONDALE AVE ON W RASCHER AVE FROM W TALCOTT AVE,N NEWARK AVE FROM W THORNDALE AVE (5900 N) TO N AVONDALE AVE (6000 N) ON W RASCHER AVE and N AVONDALE AVE ON W RASCHER AVE FROM W TALCOTT AVE TO N,41.9864852,-87.8083082,google,41.9864852,-87.8083082,google,"c(-87.8083082, 41.9864852)",41043,43,3831410.67381,9005.72841669,41
38,Sidewalk Menu,ON N OAK PARK AVE FROM W ADDISON ST (3600 N) TO W ADDISON ST (3600 N),2012,10190,33505,N OAK PARK AVE and W ADDISON ST,N OAK PARK AVE and W ADDISON ST,41.94548270300004,-87.79598645099998,census,41.94548270300004,-87.79598645099998,census,"c(-87.795986451, 41.945482703)",38008,8,8097157.06254,11910.4978138,38
41,Street Resurfacing Menu,ON N PANAMA AVE FROM W GREGORY ST (5520 N) TO W GREGORY ST (5520 N),2012,46805,35865,N PANAMA AVE and W GREGORY ST,N PANAMA AVE and W GREGORY ST,41.980250709000074,-87.82930327699995,census,41.980250709000074,-87.82930327699995,census,"c(-87.829303277, 41.9802507090001)",41023,23,5345844.5603,15293.3762324,41
26,Street Speed Hump Menu,ON N SACRAMENTO AVE FROM W CORTEZ ST (1050 N) TO W THOMAS ST (1100 N),2021,1175,23131,N SACRAMENTO AVE and W CORTEZ ST,N SACRAMENTO AVE and AVE FROM W CORTEZ ST TO W THOMAS ST,41.9004559,-87.7017476,google,NA,NA,google,"c(-87.7017476, 41.9004559)",26027,27,9955203.69684,13641.4977359,26
44,Sidewalk Menu,ON N SOUTHPORT AVE FROM W BELMONT AV (3200 N) TO W BELMONT AV (3200 N),2012,15604,38379,N SOUTHPORT AVE and W BELMONT AV,N SOUTHPORT AVE and W BELMONT AV,41.93976642400003,-87.66382059499995,census,41.93976642400003,-87.66382059499995,census,"c(-87.6638205949999, 41.939766424)",44009,9,1511470.38813,5649.08910102,44
44,Street Bump Outs Menu,ON N SOUTHPORT AVE FROM W EDDY ST (3532 N) TO W EDDY ST (3532 N),2013,19202,38460,N SOUTHPORT AVE and W EDDY ST,N SOUTHPORT AVE and W EDDY ST,41.94614598500005,-87.66398942999996,census,41.94614598500005,-87.66398942999996,census,"c(-87.66398943, 41.9461459850001)",44011,11,1289342.64638,5300.65599063,44
42,Street Resurfacing Menu,ON N STATE ST FROM W KINZIE ST (400 N) TO W KINZIE ST (400 N),2012,44252,36648,N STATE ST and W KINZIE ST,N STATE ST and W KINZIE ST,41.88925251900008,-87.62801947799994,census,41.88925251900008,-87.62801947799994,census,"c(-87.6280194779999, 41.8892525190001)",42025,25,1530090.25966,5648.96526637,42
42,Sidewalk Menu,ON N WELLS ST FROM W ILLINOIS ST (500 N) TO W ILLINOIS ST (500 N),2012,15359,36640,N WELLS ST and W ILLINOIS ST,N WELLS ST and W ILLINOIS ST,41.89078811600007,-87.63404528899997,census,41.89078811600007,-87.63404528899997,census,"c(-87.634045289, 41.8907881160001)",42032,32,1918134.52547,5984.74019389,42
41,Street Resurfacing Menu,ON N WESLEY TR FROM W FOSTER AV (5200 N) TO CITY LIMITS (0 N),2012,6950,35861,N WESLEY TR and W FOSTER AV,N WESLEY TR and CITY LIMITS,41.97326816500003,-87.86406726299998,census,NA,NA,google,"c(-87.864067263, 41.973268165)",41027,27,309076162.776,139749.430317,41
36,Sidewalk Menu,ON NATCHEZ FROM W BELMONT AV (3200 N) TO W BELMONT AV (3200 N),2012,2094,31715,NATCHEZ and W BELMONT AV,NATCHEZ and W BELMONT AV,41.9382721,-87.7883515,google,41.9382721,-87.7883515,google,"c(-87.7883515, 41.9382721)",36026,26,2699507.47647,7627.03303108,36
42,Street Light Pole Painting,ON OHIO FROM N CLARK ST (100 W) TO N FRANKLIN ST (300 W),2012,3300,36661,OHIO and N CLARK ST,OHIO and N FRANKLIN ST,41.892428230000064,-87.63114292999995,census,NA,NA,google,"c(-87.63114293, 41.8924282300001)",42039,39,2011508.16984,7215.51682921,42
42,Street Light Upgrade,ON OHIO FROM N CLARK ST (100 W) TO N FRANKLIN ST (300 W),2012,7200,36670,OHIO and N CLARK ST,OHIO and N FRANKLIN ST,41.892428230000064,-87.63114292999995,census,NA,NA,google,"c(-87.63114293, 41.8924282300001)",42039,39,2011508.16984,7215.51682921,42
42,Traffic Equipment,ON OHIO FROM N CLARK ST (100 W) TO N FRANKLIN ST (300 W),2012,6050,36678,OHIO and N CLARK ST,OHIO and N FRANKLIN ST,41.892428230000064,-87.63114292999995,census,NA,NA,google,"c(-87.63114293, 41.8924282300001)",42039,39,2011508.16984,7215.51682921,42
3,Street Light Upgrade,ON PRINCETON FROM W GARFIELD BV (5500 S) TO W 57 ST (5700 S),2012,2100,2785,PRINCETON and W GARFIELD BV,PRINCETON and W 57th ST,41.7941746,-87.6548894,google,NA,NA,google,"c(-87.6548894, 41.7941746)",20021,21,6338317.12246,11106.4269529,20
2,Alley Apron Menu,ON S ASHLAND AVE FROM 333 S TO W JACKSON BV (300 S),2012,11545,1931,333 S ASHLAND AVE,S ASHLAND AVE and W JACKSON BV,NA,NA,census,41.8776134,-87.6667468,google,"c(-87.6667468, 41.8776134)",27010,10,14956581.1991,20980.8361854,27
10,Street Resurfacing Menu,ON S BALTIMORE AVE FROM E 130 ST (13000 S) TO E 129 ST (12900 S),2012,21217,8030,S BALTIMORE AVE and E 130th ST,S BALTIMORE AVE and E 129th ST,41.65915818700006,-87.54713130499994,census,NA,NA,google,"c(-87.5471313049999, 41.6591581870001)",10024,24,46498804.1395,29354.4145163,10
25,Sidewalk Menu,ON S BLUE ISLAND AVE FROM W 18 ST (1800 S) TO W 18 ST (1800 S),2012,9305,21875,S BLUE ISLAND AVE and W 18th ST,S BLUE ISLAND AVE and W 18th ST,41.85788131800007,-87.66115138999999,census,41.85788131800007,-87.66115138999999,census,"c(-87.66115139, 41.8578813180001)",25024,24,1653547.28032,6329.2063845,25
9,Street Resurfacing Menu,ON S CALUMET AVE FROM E 117 ST (11704 S) TO E 118 ST (11800 S),2013,30457,7021,S CALUMET AVE and E 117th ST,S CALUMET AVE and E 118th ST,41.6813942,-87.6147055,google,NA,NA,google,"c(-87.6147055, 41.6813942)",09028,28,4202750.26605,11639.8981676,9
4,Sidewalk Menu,ON S COTTAGE GROVE AVE FROM E 37TH ST (3700 S) TO E 37TH PL (3729 S),2019,30109.3,3729,S COTTAGE GROVE AVE and E 37TH ST,S COTTAGE GROVE AVE and E 37TH PL,41.8268215,-87.6083631,google,41.8268215,-87.6083631,google,"c(-87.6083631, 41.8268215)",04030,30,4713432.62599,9606.8519388,4
19,Street Resurfacing Menu,ON S FAIRFIELD AVE FROM W 103RD ST (10300 S) TO W VAN SCHAIK AVE (10400 S),2014,39779,16623,S FAIRFIELD AVE and W 103RD ST,S FAIRFIELD AVE and W VAN SCHAIK AVE,41.7062849,-87.6898364,google,NA,NA,google,"c(-87.6898364, 41.7062849)",19001,1,7340611.38504,12677.5508292,19
9,Street Resurfacing Menu,ON S FORRESTVILLE AVE FROM E 132 ST (13200 S) TO E 132 ST (13200 S),2012,11298,7004,S FORRESTVILLE AVE and E 132nd ST,S FORRESTVILLE AVE and E 132nd ST,41.655443811000055,-87.60853508399998,census,41.655443811000055,-87.60853508399998,census,"c(-87.608535084, 41.6554438110001)",09033,33,4555067.74192,9684.35416372,9
20,Street Resurfacing Menu,ON S FRONTENAC AVE FROM W 60TH PL (6030 S) TO W 60TH ST (6020 S),2020,36586.56,17466,S FRONTENAC AVE and W 60TH PL,S FRONTENAC AVE and W 60TH ST,41.78436561800004,-87.63960077299998,census,41.78436561800004,-87.63960077299998,census,"c(-87.639600773, 41.784365618)",20039,39,5031983.08124,10901.4857452,20
34,Bollard Menu,ON S JUSTINE ST FROM 122 S TO W 122 ST (12200 S),2012,10700,29919,122 S JUSTINE ST,S JUSTINE ST and W 122nd ST,41.6720811,-87.6599888,google,41.6720811,-87.6599888,google,"c(-87.6599888, 41.6720811)",34051,51,5339517.12951,10527.5346379,34
24,Street Speed Hump Menu,ON S KARLOV AVE FROM W 21ST ST (2100 S) TO W 21ST PL (2130 S),2016,3700,21080,S KARLOV AVE and W 21ST ST,S KARLOV AVE and W 21ST PL,41.8534637,-87.7272267,google,41.8534637,-87.7272267,google,"c(-87.7272267, 41.8534637)",24036,36,1798453.62494,6366.3729233,24
22,Street Resurfacing Menu,ON S KARLOV AVE FROM W 24TH ST (2400 S) TO W 24TH PL (2440 S),2013,10521,18720,S KARLOV AVE and W 24TH ST,S KARLOV AVE and W 24TH PL,41.8469737,-87.7262522,google,41.8469737,-87.7262522,google,"c(-87.7262522, 41.8469737)",22017,17,2594179.10571,6962.29343893,22
7,Sidewalk Menu,ON S KINGSTON AVE FROM E 79 ST (7900 S) TO E 79 ST (7900 S),2013,2466,5452,S KINGSTON AVE and E 79th ST,S KINGSTON AVE and E 79th ST,41.75178041200007,-87.56259581099994,census,41.75178041200007,-87.56259581099994,census,"c(-87.5625958109999, 41.7517804120001)",07016,16,1608372.6527,5944.38419071,7
22,Street Resurfacing Menu,ON S KNOX AVE FROM W 42ND ST (4200 S) TO W 43RD ST (4299 S),2013,54606,18726,S KNOX AVE and W 42ND ST,S KNOX AVE and W 43RD ST,NA,NA,google,41.81498510000006,-87.73969998799998,census,"c(-87.739699988, 41.8149851000001)",22012,12,7754813.61929,14066.9551219,22
13,Street Bump Outs Menu,ON S LAWLER AVE FROM W 63RD ST (6300 S) TO W 63RD PL (6330 S),2016,1074.95,11018,S LAWLER AVE and W 63RD ST,S LAWLER AVE and W 63RD PL,41.77743533300003,-87.74840706399993,census,41.77743533300003,-87.74840706399993,census,"c(-87.7484070639999, 41.777435333)",13013,13,2199814.97395,6416.0212602,13
13,Street Bump Outs Menu,ON S LAWLER AVE FROM W 63RD ST (6300 S) TO W 63RD PL (6330 S),2017,3254.94,11089,S LAWLER AVE and W 63RD ST,S LAWLER AVE and W 63RD PL,41.77743533300003,-87.74840706399993,census,41.77743533300003,-87.74840706399993,census,"c(-87.7484070639999, 41.777435333)",13013,13,2199814.97395,6416.0212602,13
19,Street Resurfacing Menu,ON S LEAVITT ST FROM W 92ND ST (9200 S) TO W 92ND PL (9240 S),2018,26485.11,16751,S LEAVITT ST and W 92ND ST,S LEAVITT ST and W 92ND PL,41.725349652000034,-87.67734349599993,census,41.725349652000034,-87.67734349599993,census,"c(-87.6773434959999, 41.725349652)",19018,18,3139488.02676,11054.7931546,19
11,Sidewalk Menu,ON S LITUANICA AVE FROM W 31 PL (3130 S) TO W 31 PL (3130 S),2012,5401,8822,S LITUANICA AVE and W 31st PL,S LITUANICA AVE and W 31st PL,41.83801503500007,-87.64870179799999,census,41.83801503500007,-87.64870179799999,census,"c(-87.648701798, 41.8380150350001)",11008,8,2144627.41866,7414.08288077,11
11,Curb & Gutter Menu,ON S LOOMIS ST FROM S LYMAN ST (3011 S) TO S LYMAN ST (3011 S),2013,3964,8870,S LOOMIS ST and S LYMAN ST,S LOOMIS ST and S LYMAN ST,41.839749,-87.6558871,google,41.839749,-87.6558871,google,"c(-87.6558871, 41.839749)",11008,8,2144627.41866,7414.08288077,11
25,Street Light Arterial,ON S LOOMIS ST FROM W 18TH ST (1800 S) TO W 18TH PL (1830 S),2013,9000,21921,S LOOMIS ST and W 18TH ST,S LOOMIS ST and W 18TH PL,41.857864,-87.6613234,google,41.857864,-87.6613234,google,"c(-87.6613234, 41.857864)",25007,7,4670310.85588,13519.0153413,25
11,Sidewalk Menu,ON S MAY ST FROM W 32ND ST (3200 S) TO W 32ND PL (3230 S),2015,3313,8977,S MAY ST and W 32ND ST,S MAY ST and W 32ND PL,41.8352049,-87.6547191,google,41.8352049,-87.6547191,google,"c(-87.6547191, 41.8352049)",11017,17,1948515.96249,6952.81568711,11
21,Sidewalk Menu,ON S MAY ST FROM W 93 ST (9300 S) TO W 93 ST (9300 S),2012,7141,17927,S MAY ST and W 93rd ST,S MAY ST and W 93rd ST,41.7249936,-87.651823,google,41.7249936,-87.651823,google,"c(-87.651823, 41.7249936)",21049,49,2220948.3284,7679.81395726,21
3,Sidewalk Menu,ON S MICHIGAN AVE FROM E 37TH ST (3700 S) TO E 37TH PL (3732 S),2018,4100.16,2985,S MICHIGAN AVE and E 37TH ST,S MICHIGAN AVE and E 37TH PL,41.8264924,-87.6231366,google,41.8264924,-87.6231366,google,"c(-87.6231366, 41.8264924)",03023,23,2495053.63221,7974.40461566,3
23,Street Speed Hump Menu,ON S OAK PARK AVE FROM W 64TH ST (6400 S) TO W 64TH PL (6432 S),2022,2350,20613,S OAK PARK AVE and W 64TH ST,S OAK PARK AVE and W 64TH PL,41.77479828600008,-87.79092139299996,census,41.77479828600008,-87.79092139299996,census,"c(-87.790921393, 41.7747982860001)",23035,35,1446790.89585,5337.36870749,23
18,Street Light Residential Staggered Piggy Back Menu,ON S OAKLEY AVE FROM W 81ST ST (8100 S) TO W 81ST PL (8140 S),2018,116500,16047,S OAKLEY AVE and W 81ST ST,S OAKLEY AVE and W 81ST PL,41.7454595,-87.6804428,google,41.7454595,-87.6804428,google,"c(-87.6804428, 41.7454595)",18018,18,2794915.80117,7847.05294097,18
19,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 104 ST (10400 S) TO W 105 ST (10500 S),2013,47261,16567,S SACRAMENTO AVE and W 104th ST,S SACRAMENTO AVE and AVE FROM W 104th ST TO W 105th ST,41.704433,-87.6966499,google,NA,NA,google,"c(-87.6966499, 41.704433)",19006,6,3180605.28846,11347.3285464,19
12,Street Light Residential Staggered Piggy Back Menu,ON S SACRAMENTO AVE FROM W 25TH ST (2500 S) TO W CERMAK RD (2200 S),2016,7294,9987,S SACRAMENTO AVE and W 25TH ST,S SACRAMENTO AVE and AVE FROM W 25TH ST TO W CERMAK RD,41.846396500000026,-87.70019253499999,census,NA,NA,google,"c(-87.700192535, 41.8463965)",12018,18,2308943.49307,8180.47002002,12
12,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 36TH PL (3630 S) TO W 37TH PL (3730 S),2016,23617.17,9995,S SACRAMENTO AVE and W 36TH PL,S SACRAMENTO AVE and AVE FROM W 36TH PL TO W 37TH PL,41.82724977700008,-87.69964985099995,census,NA,NA,google,"c(-87.6996498509999, 41.8272497770001)",12002,2,14889558.1918,22742.6503747,12
15,Street Light Residential Staggered Piggy Back Menu,ON S SACRAMENTO AVE FROM W 45TH ST (4500 S) TO W 47TH ST (4700 S),2017,166000,13611,S SACRAMENTO AVE and W 45TH ST,S SACRAMENTO AVE and AVE FROM W 45TH ST TO W 47TH ST,41.81183752900006,-87.69921168299999,census,NA,NA,google,"c(-87.699211683, 41.8118375290001)",15011,11,2431570.63741,6644.7877458,15
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 51 ST (5100 S) TO W 52 ST (5200 S),2012,14001,12335,S SACRAMENTO AVE and W 51st ST,S SACRAMENTO AVE and AVE FROM W 51st ST TO W 52nd ST,41.8009056,-87.6988912,google,NA,NA,google,"c(-87.6988912, 41.8009056)",14025,25,12022328.8297,17299.3340138,14
14,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 51ST ST (5100 S) TO W 52ND ST (5200 S),2015,3700,12627,S SACRAMENTO AVE and W 51ST ST,S SACRAMENTO AVE and AVE FROM W 51ST ST TO W 52ND ST,41.8009056,-87.6988912,google,NA,NA,google,"c(-87.6988912, 41.8009056)",14025,25,12022328.8297,17299.3340138,14
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 52 ST (5200 S) TO W 53 ST (5300 S),2012,9422,12322,S SACRAMENTO AVE and W 52nd ST,S SACRAMENTO AVE and AVE FROM W 52nd ST TO W 53rd ST,41.7990947,-87.6988449,google,NA,NA,google,"c(-87.6988449, 41.7990947)",14030,30,1772327.57531,5324.34488527,14
14,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 53RD PL (5330 S) TO W 55TH ST (5500 S),2015,132319,12614,S SACRAMENTO AVE and W 53RD PL,S SACRAMENTO AVE and AVE FROM W 53RD PL TO W 55TH ST,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14021,21,2211980.9226700002,5986.30612389,14
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 53 ST (5300 S) TO W 54 ST (5400 S),2012,29839,12346,S SACRAMENTO AVE and W 53rd ST,S SACRAMENTO AVE and AVE FROM W 53rd ST TO W 54th ST,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14021,21,2211980.9226700002,5986.30612389,14
14,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 53RD ST (5300 S) TO W 55TH ST (5500 S),2015,3700,12621,S SACRAMENTO AVE and W 53RD ST,S SACRAMENTO AVE and AVE FROM W 53RD ST TO W 55TH ST,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14021,21,2211980.9226700002,5986.30612389,14
14,Alley Apron Menu,ON S SACRAMENTO AVE FROM W 54TH PL (5430 S) TO W 54TH ST (5400 S),2021,4363.445,12899,S SACRAMENTO AVE and W 54TH PL,S SACRAMENTO AVE and AVE FROM W 54TH PL TO W 54TH ST,41.7945062,-87.698699,google,NA,NA,google,"c(-87.698699, 41.7945062)",14021,21,2211980.9226700002,5986.30612389,14
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 54 ST (5400 S) TO W 55 ST (5500 S),2012,1572,12351,S SACRAMENTO AVE and W 54th ST,S SACRAMENTO AVE and AVE FROM W 54th ST TO W 55th ST,41.7945062,-87.698699,google,NA,NA,google,"c(-87.698699, 41.7945062)",14021,21,2211980.9226700002,5986.30612389,14
14,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 55TH ST (5500 S) TO W 59TH ST (5900 S),2019,1306.49,12853,S SACRAMENTO AVE and W 55TH ST,S SACRAMENTO AVE and AVE FROM W 55TH ST TO W 59TH ST,41.7936005,-87.6986753,google,NA,NA,google,"c(-87.6986753, 41.7936005)",16001,1,2649387.63505,6642.73386023,16
14,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 55TH ST (5500 S) TO W 59TH ST (5900 S),2020,319476.21,12894,S SACRAMENTO AVE and W 55TH ST,S SACRAMENTO AVE and AVE FROM W 55TH ST TO W 59TH ST,41.7936005,-87.6986753,google,NA,NA,google,"c(-87.6986753, 41.7936005)",16001,1,2649387.63505,6642.73386023,16
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 57TH ST (5700 S) TO W 58TH ST (5800 S),2019,27001.6,12805,S SACRAMENTO AVE and W 57TH ST,S SACRAMENTO AVE and AVE FROM W 57TH ST TO W 58TH ST,41.7899651,-87.6985577,google,NA,NA,google,"c(-87.6985577, 41.7899651)",16001,1,2649387.63505,6642.73386023,16
16,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 58TH ST (5800 S) TO W 59TH ST (5900 S),2016,19412.84,14463,S SACRAMENTO AVE and W 58TH ST,S SACRAMENTO AVE and AVE FROM W 58TH ST TO W 59TH ST,41.7881384,-87.698527,google,NA,NA,google,"c(-87.698527, 41.7881384)",14005,5,3526546.26006,7961.32323177,14
16,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 59TH ST (5900 S) TO W 60TH ST (6000 S),2018,37324.01,14553,S SACRAMENTO AVE and W 59TH ST,S SACRAMENTO AVE and AVE FROM W 59TH ST TO W 60TH ST,41.7863193,-87.6984752,google,NA,NA,google,"c(-87.6984752, 41.7863193)",16032,32,2428831.73561,7971.81290846,16
15,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 60TH ST (6000 S) TO W 61ST ST (6100 S),2014,14159,13432,S SACRAMENTO AVE and W 60TH ST,S SACRAMENTO AVE and AVE FROM W 60TH ST TO W 61ST ST,41.784506314000055,-87.69841574499998,census,NA,NA,google,"c(-87.698415745, 41.7845063140001)",16032,32,2428831.73561,7971.81290846,16
