ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
22,Sidewalk Menu,ON W 31ST ST FROM S KILDARE AV (4300 W) TO S KILDARE AV (4300 W),2012,43175,18678,W 31ST ST and S KILDARE AV,W 31ST ST and S KILDARE AV,41.8367901,-87.7316513,google,41.8367901,-87.7316513,google,"c(-87.7316513, 41.8367901)",22016,16,20211090.0728,18469.6225235,22
22,Sidewalk Menu,ON W 31ST ST FROM S SPAULDING AV (3300 W) TO S SPAULDING AV (3300 W),2013,30549,18718,W 31ST ST and S SPAULDING AV,W 31ST ST and S SPAULDING AV,41.8371826,-87.7072592,google,41.8371826,-87.7072592,google,"c(-87.7072592, 41.8371826)",22015,15,10979768.4264,17349.8503576,22
22,Sidewalk Menu,ON W 31ST ST FROM S ST LOUIS AV (3500 W) TO S ST LOUIS AV (3500 W),2013,49667,18719,W 31ST ST and S ST LOUIS AV,W 31ST ST and S ST LOUIS AV,41.8371069,-87.7121208,google,41.8371069,-87.7121208,google,"c(-87.7121208, 41.8371069)",22011,11,1774529.39047,5328.56315718,22
12,Street Speed Hump Menu,ON W 35TH ST FROM S FRANCISCO AV (2900 W) TO S RICHMOND ST (2932 W),2013,1850,9853,W 35TH ST and S FRANCISCO AV,W 35TH ST and S RICHMOND ST,41.8299996,-87.6972697,google,41.8299996,-87.6972697,google,"c(-87.6972697, 41.8299996)",12002,2,14889558.1918,22742.6503747,12
12,Street Resurfacing Menu (1-5),ON W 37TH PL FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2016,81723.36,9991,W 37TH PL and S SACRAMENTO AVE,W 37TH PL and AVE TO S KEDZIE AVE,41.8253565,-87.6995719,google,NA,NA,google,"c(-87.6995719, 41.8253565)",12012,12,3772903.16588,8409.78860333,12
11,Sidewalk Menu,ON W 37TH ST FROM S LEAVITT ST (2200 W) TO S LEAVITT ST (2200 W),2012,2447,8825,W 37TH ST and S LEAVITT ST,W 37TH ST and S LEAVITT ST,41.826699,-87.6800575,google,41.826699,-87.6800575,google,"c(-87.6800575, 41.826699)",12003,3,2892376.64492,7176.95119723,12
11,Sidewalk Menu,ON W 43RD ST FROM S UNION AV (700 W) TO S UNION AV (700 W),2012,36657,8834,W 43RD ST and S UNION AV,W 43RD ST and S UNION AV,41.8152934,-87.6432733,google,41.8152934,-87.6432733,google,"c(-87.6432733, 41.8152934)",11013,13,3078890.66583,7980.45465762,11
11,Sidewalk Menu,ON W 43RD ST FROM S WALLACE ST (600 W) TO S WALLACE ST (614 W),2012,5119,8838,W 43RD ST and S WALLACE ST,W 43RD ST and S WALLACE ST,41.8153293,-87.6412133,google,41.8153293,-87.6412133,google,"c(-87.6412133, 41.8153293)",11012,12,3969114.43375,9511.91847705,11
4,Sidewalk Menu,ON W 46TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E),2012,71664,3423,W 46TH ST and S GREENWOOD AV,W 46TH ST and S WOODLAWN AV,NA,NA,google,41.7587969,-87.5958227,google,"c(-87.5958227, 41.7587969)",05012,12,8281824.36961,20542.2893177,5
14,Sidewalk Menu,ON W 53RD PL FROM S SACRAMENTO AV (3000 W) TO S ALBANY AV (3100 W),2012,15780,12340,W 53RD PL and S SACRAMENTO AV,W 53RD PL and AV TO S ALBANY AV,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14021,21,2211980.9226700002,5986.30612389,14
14,Sidewalk Menu,ON W 53RD PL FROM S SACRAMENTO AVE (3000 W) TO S ALBANY AVE (3100 W),2017,26067.9,12705,W 53RD PL and S SACRAMENTO AVE,W 53RD PL and AVE TO S ALBANY AVE,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14021,21,2211980.9226700002,5986.30612389,14
14,Sidewalk Menu,ON W 53RD ST FROM S SACRAMENTO AV (3000 W) TO S ALBANY AV (3100 W),2012,10175,12350,W 53RD ST and S SACRAMENTO AV,W 53RD ST and AV TO S ALBANY AV,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14021,21,2211980.9226700002,5986.30612389,14
14,Street Resurfacing Menu (1-5),ON W 53RD ST FROM S SACRAMENTO AVE (3000 W) TO S CALIFORNIA AVE (2800 W),2017,120627.59,12720,W 53RD ST and S SACRAMENTO AVE,W 53RD ST and AVE TO S CALIFORNIA AVE,41.7972538,-87.6987754,google,NA,NA,google,"c(-87.6987754, 41.7972538)",14019,19,2215129.02954,5989.8013482,14
14,Street Speed Hump Menu,ON W 53RD ST FROM S SACRAMENTO AVE (3000 W) TO S WHIPPLE ST (3030 W),2017,1850,12734,W 53RD ST and S SACRAMENTO AVE,W 53RD ST and AVE TO S WHIPPLE ST,41.7972538,-87.6987754,google,NA,NA,google,"c(-87.6987754, 41.7972538)",14019,19,2215129.02954,5989.8013482,14
14,Street Speed Hump Menu,ON W 54TH PL FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2017,7400,12730,W 54TH PL and S SACRAMENTO AVE,W 54TH PL and AVE TO S KEDZIE AVE,41.7945062,-87.698699,google,NA,NA,google,"c(-87.698699, 41.7945062)",14021,21,2211980.9226700002,5986.30612389,14
14,Street Resurfacing Menu,ON W 57TH ST FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2018,152997.23,12785,W 57TH ST and S SACRAMENTO AVE,W 57TH ST and AVE TO S KEDZIE AVE,41.7899651,-87.6985577,google,NA,NA,google,"c(-87.6985577, 41.7899651)",16001,1,2649387.63505,6642.73386023,16
18,Street Speed Hump Menu,ON W 85TH ST FROM S LAWNDALE AV (3700 W) TO S LAWNDALE AV (3700 W),2012,3700,15862,W 85TH ST and S LAWNDALE AV,W 85TH ST and S LAWNDALE AV,41.738642,-87.7142353,google,41.738642,-87.7142353,google,"c(-87.7142353, 41.738642)",18007,7,2832983.14044,7829.45139655,18
21,Street Resurfacing Menu,ON W 88TH ST FROM S HALSTED ST (800 W) TO S HALSTED ST (800 W),2012,40029,17939,W 88TH ST and S HALSTED ST,W 88TH ST and S HALSTED ST,41.7343049,-87.6434777,google,41.7343049,-87.6434777,google,"c(-87.6434777, 41.7343049)",21011,11,2574976.25918,6647.34243331,21
