ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
23,Street Speed Hump Menu,ON S OAK PARK AVE FROM W 64TH ST (6400 S) TO W 64TH PL (6432 S),2022,2350,20613,S OAK PARK AVE and W 64TH ST,S OAK PARK AVE and W 64TH PL,41.77479828600008,-87.79092139299996,census,41.77479828600008,-87.79092139299996,census,"c(-87.790921393, 41.7747982860001)",23,40,23040
18,Street Light Residential Staggered Piggy Back Menu,ON S OAKLEY AVE FROM W 81ST ST (8100 S) TO W 81ST PL (8140 S),2018,116500,16047,S OAKLEY AVE and W 81ST ST,S OAKLEY AVE and W 81ST PL,41.7454595,-87.6804428,google,41.7454595,-87.6804428,google,"c(-87.6804428, 41.7454595)",18,18,18018
19,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 104 ST (10400 S) TO W 105 ST (10500 S),2013,47261,16567,S SACRAMENTO AVE and W 104th ST,S SACRAMENTO AVE and AVE FROM W 104th ST TO W 105th ST,41.704433,-87.6966499,google,NA,NA,google,"c(-87.6966499, 41.704433)",19,6,19006
12,Street Light Residential Staggered Piggy Back Menu,ON S SACRAMENTO AVE FROM W 25TH ST (2500 S) TO W CERMAK RD (2200 S),2016,7294,9987,S SACRAMENTO AVE and W 25TH ST,S SACRAMENTO AVE and AVE FROM W 25TH ST TO W CERMAK RD,41.846396500000026,-87.70019253499999,census,NA,NA,google,"c(-87.700192535, 41.8463965)",12,1,12001
12,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 36TH PL (3630 S) TO W 37TH PL (3730 S),2016,23617.17,9995,S SACRAMENTO AVE and W 36TH PL,S SACRAMENTO AVE and AVE FROM W 36TH PL TO W 37TH PL,41.82724977700008,-87.69964985099995,census,NA,NA,google,"c(-87.6996498509999, 41.8272497770001)",12,12,12012
15,Street Light Residential Staggered Piggy Back Menu,ON S SACRAMENTO AVE FROM W 45TH ST (4500 S) TO W 47TH ST (4700 S),2017,166000,13611,S SACRAMENTO AVE and W 45TH ST,S SACRAMENTO AVE and AVE FROM W 45TH ST TO W 47TH ST,41.81183752900006,-87.69921168299999,census,NA,NA,google,"c(-87.699211683, 41.8118375290001)",14,18,14018
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 51 ST (5100 S) TO W 52 ST (5200 S),2012,14001,12335,S SACRAMENTO AVE and W 51st ST,S SACRAMENTO AVE and AVE FROM W 51st ST TO W 52nd ST,41.8009056,-87.6988912,google,NA,NA,google,"c(-87.6988912, 41.8009056)",14,25,14025
14,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 51ST ST (5100 S) TO W 52ND ST (5200 S),2015,3700,12627,S SACRAMENTO AVE and W 51ST ST,S SACRAMENTO AVE and AVE FROM W 51ST ST TO W 52ND ST,41.8009056,-87.6988912,google,NA,NA,google,"c(-87.6988912, 41.8009056)",14,25,14025
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 52 ST (5200 S) TO W 53 ST (5300 S),2012,9422,12322,S SACRAMENTO AVE and W 52nd ST,S SACRAMENTO AVE and AVE FROM W 52nd ST TO W 53rd ST,41.7990947,-87.6988449,google,NA,NA,google,"c(-87.6988449, 41.7990947)",14,19,14019
14,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 53RD PL (5330 S) TO W 55TH ST (5500 S),2015,132319,12614,S SACRAMENTO AVE and W 53RD PL,S SACRAMENTO AVE and AVE FROM W 53RD PL TO W 55TH ST,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14,26,14026
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 53 ST (5300 S) TO W 54 ST (5400 S),2012,29839,12346,S SACRAMENTO AVE and W 53rd ST,S SACRAMENTO AVE and AVE FROM W 53rd ST TO W 54th ST,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14,26,14026
14,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 53RD ST (5300 S) TO W 55TH ST (5500 S),2015,3700,12621,S SACRAMENTO AVE and W 53RD ST,S SACRAMENTO AVE and AVE FROM W 53RD ST TO W 55TH ST,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14,26,14026
14,Alley Apron Menu,ON S SACRAMENTO AVE FROM W 54TH PL (5430 S) TO W 54TH ST (5400 S),2021,4363.445,12899,S SACRAMENTO AVE and W 54TH PL,S SACRAMENTO AVE and AVE FROM W 54TH PL TO W 54TH ST,41.7945062,-87.698699,google,NA,NA,google,"c(-87.698699, 41.7945062)",14,26,14026
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 54 ST (5400 S) TO W 55 ST (5500 S),2012,1572,12351,S SACRAMENTO AVE and W 54th ST,S SACRAMENTO AVE and AVE FROM W 54th ST TO W 55th ST,41.7945062,-87.698699,google,NA,NA,google,"c(-87.698699, 41.7945062)",14,26,14026
14,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 55TH ST (5500 S) TO W 59TH ST (5900 S),2019,1306.49,12853,S SACRAMENTO AVE and W 55TH ST,S SACRAMENTO AVE and AVE FROM W 55TH ST TO W 59TH ST,41.7936005,-87.6986753,google,NA,NA,google,"c(-87.6986753, 41.7936005)",14,24,14024
14,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 55TH ST (5500 S) TO W 59TH ST (5900 S),2020,319476.21,12894,S SACRAMENTO AVE and W 55TH ST,S SACRAMENTO AVE and AVE FROM W 55TH ST TO W 59TH ST,41.7936005,-87.6986753,google,NA,NA,google,"c(-87.6986753, 41.7936005)",14,24,14024
14,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 57TH ST (5700 S) TO W 58TH ST (5800 S),2019,27001.6,12805,S SACRAMENTO AVE and W 57TH ST,S SACRAMENTO AVE and AVE FROM W 57TH ST TO W 58TH ST,41.7899651,-87.6985577,google,NA,NA,google,"c(-87.6985577, 41.7899651)",14,32,14032
16,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 58TH ST (5800 S) TO W 59TH ST (5900 S),2016,19412.84,14463,S SACRAMENTO AVE and W 58TH ST,S SACRAMENTO AVE and AVE FROM W 58TH ST TO W 59TH ST,41.7881384,-87.698527,google,NA,NA,google,"c(-87.698527, 41.7881384)",14,32,14032
16,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 59TH ST (5900 S) TO W 60TH ST (6000 S),2018,37324.01,14553,S SACRAMENTO AVE and W 59TH ST,S SACRAMENTO AVE and AVE FROM W 59TH ST TO W 60TH ST,41.7863193,-87.6984752,google,NA,NA,google,"c(-87.6984752, 41.7863193)",16,35,16035
15,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 60TH ST (6000 S) TO W 61ST ST (6100 S),2014,14159,13432,S SACRAMENTO AVE and W 60TH ST,S SACRAMENTO AVE and AVE FROM W 60TH ST TO W 61ST ST,41.784506314000055,-87.69841574499998,census,NA,NA,google,"c(-87.698415745, 41.7845063140001)",16,35,16035
15,Sidewalk Menu,ON S SACRAMENTO AVE FROM W 61ST ST (6100 S) TO W 62ND ST (6200 S),2014,5633,13440,S SACRAMENTO AVE and W 61ST ST,S SACRAMENTO AVE and AVE FROM W 61ST ST TO W 62ND ST,41.78268530500003,-87.69836750699994,census,NA,NA,google,"c(-87.6983675069999, 41.782685305)",15,39,15039
17,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 63RD ST (6300 S) TO W 64TH ST (6400 S),2015,3700,15143,S SACRAMENTO AVE and W 63RD ST,S SACRAMENTO AVE and AVE FROM W 63RD ST TO W 64TH ST,41.77904730700004,-87.69826298999999,census,NA,NA,google,"c(-87.69826299, 41.779047307)",15,15,15015
17,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W 63RD ST (6300 S) TO W 64THST (6400 S),2021,2350,15360,S SACRAMENTO AVE and W 63RD ST,S SACRAMENTO AVE and AVE FROM W 63RD ST TO W 64THST,41.77904730700004,-87.69826298999999,census,NA,NA,google,"c(-87.69826299, 41.779047307)",15,15,15015
17,Street Resurfacing Menu (1-5),ON S SACRAMENTO AVE FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S),2018,47705.77,15255,S SACRAMENTO AVE and W 65TH ST,S SACRAMENTO AVE and AVE FROM W 65TH ST TO W 66TH ST,41.77540127000003,-87.69817053199995,census,NA,NA,google,"c(-87.6981705319999, 41.77540127)",15,13,15013
18,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 71ST ST (7100 S) TO W 72ND ST (7200 S),2014,55801,15909,S SACRAMENTO AVE and W 71ST ST,S SACRAMENTO AVE and AVE FROM W 71ST ST TO W 72ND ST,41.76445913600003,-87.69791727899997,census,NA,NA,google,"c(-87.697917279, 41.764459136)",18,27,18027
18,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W 82ND ST (8200 S) TO W 83RD ST (8300 S),2020,63397.66,16122,S SACRAMENTO AVE and W 82ND ST,S SACRAMENTO AVE and AVE FROM W 82ND ST TO W 83RD ST,41.74440793800005,-87.69735851499996,census,NA,NA,google,"c(-87.697358515, 41.7444079380001)",18,22,18022
12,Street Light Residential,ON S SACRAMENTO AVE FROM W CERMAK RD (2200 S) TO W 24 ST (2400 S),2013,144000,9862,S SACRAMENTO AVE and W CERMAK RD,S SACRAMENTO AVE and AVE FROM W CERMAK RD TO W 24th ST,41.8518312,-87.7003342,google,NA,NA,google,"c(-87.7003342, 41.8518312)",12,22,12022
12,Street Speed Hump Menu,ON S SACRAMENTO AVE FROM W PERSHING RD (3900 S) TO W 40TH ST (4000 S),2018,3700,10146,S SACRAMENTO AVE and W PERSHING RD,S SACRAMENTO AVE and AVE FROM W PERSHING RD TO W 40TH ST,41.8226781,-87.6995459,google,NA,NA,google,"c(-87.6995459, 41.8226781)",14,12,14012
28,Street Light Pole Painting,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S),2015,6300,24541,S SACRAMENTO AVE and W POLK ST,S SACRAMENTO AVE and AVE FROM W POLK ST TO W ROOSEVELT RD,41.871010270000056,-87.70092013499999,census,NA,NA,google,"c(-87.700920135, 41.8710102700001)",2,41,02041
28,Street Light Upgrade,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S),2015,8400,24548,S SACRAMENTO AVE and W POLK ST,S SACRAMENTO AVE and AVE FROM W POLK ST TO W ROOSEVELT RD,41.871010270000056,-87.70092013499999,census,NA,NA,google,"c(-87.700920135, 41.8710102700001)",2,41,02041
28,Traffic Signal Pole,ON S SACRAMENTO AVE FROM W POLK ST (800 S) TO W ROOSEVELT RD (1200 S),2015,2950,24550,S SACRAMENTO AVE and W POLK ST,S SACRAMENTO AVE and AVE FROM W POLK ST TO W ROOSEVELT RD,41.871010270000056,-87.70092013499999,census,NA,NA,google,"c(-87.700920135, 41.8710102700001)",2,41,02041
28,Street Resurfacing Menu,ON S SACRAMENTO AVE FROM W TAYLOR ST (1000 S) TO W FILLMORE ST (1100 S),2020,47167.22,24756,S SACRAMENTO AVE and W TAYLOR ST,S SACRAMENTO AVE and AVE FROM W TAYLOR ST TO W FILLMORE ST,41.8692,-87.7008702,google,NA,NA,google,"c(-87.7008702, 41.8692)",28,35,28035
3,Sidewalk Menu,ON S SHIELDS AVE FROM W 43RD ST (4300 S) TO W 43RD PL (4330 S),2019,35011.54,3026,S SHIELDS AVE and W 43RD ST,S SHIELDS AVE and W 43RD PL,41.81546346700003,-87.63469249099995,census,41.81546346700003,-87.63469249099995,census,"c(-87.634692491, 41.815463467)",3,18,03018
20,Sidewalk Menu,ON S STEWART AVE FROM 6202 S TO W 62ND ST (6200 S) ON DR MARTIN LUTHER KING JR DR FROM E 58 ST (5800 S),2013,340,17246,6202 S STEWART AVE FROM 6202 S TO W 62ND ST (6200 S) ON DR MARTIN LUTHER KING JR DR,S STEWART AVE FROM 6202 S TO W 62ND ST (6200 S) ON DR MARTIN LUTHER KING JR DR and W 62ND ST ON DR MARTIN LUTHER KING JR DR FROM E 58th ST,41.780797859000074,-87.63507270699995,census,NA,NA,google,"c(-87.6350727069999, 41.7807978590001)",20,44,20044
11,Street Speed Hump Menu,ON S THROOP ST FROM W 31ST ST (3100 S) TO W 31ST PL (3130 S),2021,2350,9309,S THROOP ST and W 31ST ST,S THROOP ST and W 31ST PL,41.8369664,-87.6584015,google,41.8369664,-87.6584015,google,"c(-87.6584015, 41.8369664)",11,11,11011
11,Sidewalk Menu,ON S UNION AVE FROM W 38 ST (3800 S) TO W 38 ST (3800 S),2012,9062,8826,S UNION AVE and W 38th ST,S UNION AVE and W 38th ST,41.8253099,-87.643529,google,41.8253099,-87.643529,google,"c(-87.643529, 41.8253099)",11,24,11024
11,Sidewalk Menu,ON S UNION AVE FROM W 44 ST (4400 S) TO W 44 ST (4400 S),2012,1449,8823,S UNION AVE and W 44th ST,S UNION AVE and W 44th ST,41.8143827,-87.6432546,google,41.8143827,-87.6432546,google,"c(-87.6432546, 41.8143827)",11,32,11032
20,Street Speed Hump Menu,ON S UNION AVE FROM W 54TH ST (5400 S) TO W 54TH PL (5430 S),2014,1850,17299,S UNION AVE and W 54TH ST,S UNION AVE and W 54TH PL,41.7952556,-87.6427609,google,41.7952556,-87.6427609,google,"c(-87.6427609, 41.7952556)",3,26,03026
16,Street Resurfacing Menu,ON S UNION AVE FROM W 61 ST (6100 S) TO W 61 PL (6132 S),2013,64844,14332,S UNION AVE and W 61st ST,S UNION AVE and W 61st PL,41.7825211,-87.6425562,google,41.7825211,-87.6425562,google,"c(-87.6425562, 41.7825211)",16,25,16025
3,Sidewalk Menu,ON S WABASH AVE FROM E 22ND ST TO E 23RD ST,2015,1,2870,S WABASH AVE and E 22ND ST,S WABASH AVE and E 23RD ST,NA,NA,google,41.851095,-87.6254599,google,"c(-87.6254599, 41.851095)",2,20,02020
2,Sidewalk Menu,ON S WABASH AVE FROM E 24 ST (2400 S) TO E 24 PL (2432 S),2012,29712,1944,S WABASH AVE and E 24th ST,S WABASH AVE and E 24th PL,41.848172,-87.6253715,google,41.848172,-87.6253715,google,"c(-87.6253715, 41.848172)",2,20,02020
11,Sidewalk Menu,ON S WALLACE ST FROM W 46 ST (4600 S) TO W 46 ST (4600 S),2012,17547,8836,S WALLACE ST and W 46th ST,S WALLACE ST and W 46th ST,41.810768,-87.6407186,google,41.810768,-87.6407186,google,"c(-87.6407186, 41.810768)",11,12,11012
21,Sidewalk Menu,ON S WALLACE ST FROM W 91 ST (9100 S) TO W 91 ST (9100 S),2012,3787,17929,S WALLACE ST and W 91st ST,S WALLACE ST and W 91st ST,41.7288358,-87.6385488,google,41.7288358,-87.6385488,google,"c(-87.6385488, 41.7288358)",21,59,21059
12,Street Light Residential Staggered Piggy Back Menu,ON S WASHTENAW AVE FROM W 24TH ST (2400 S) TO W 24TH PL (2420 S),2016,58333.3333333333,9985,S WASHTENAW AVE and W 24TH ST,S WASHTENAW AVE and W 24TH PL,41.8476994,-87.6928497,google,41.8476994,-87.6928497,google,"c(-87.6928497, 41.8476994)",12,18,12018
19,Street Resurfacing Menu (1-5),ON S WASHTENAW AVE FROM W 101ST ST (10100 S) TO W MONSIGNOR MCELLIGOTT AVE (10200 S),2020,55763.39,16800,S WASHTENAW AVE and W 101ST ST,S WASHTENAW AVE and W MONSIGNOR MCELLIGOTT AVE,41.7099552,-87.6891298,google,NA,NA,google,"c(-87.6891298, 41.7099552)",19,45,19045
34,Sidewalk Menu,ON S WENTWORTH AVE FROM W 106 ST (10600 S) TO W 106 PL (10632 S),2012,23943,29934,S WENTWORTH AVE and W 106th ST,S WENTWORTH AVE and W 106th PL,41.7016322,-87.6281304,google,41.7016322,-87.6281304,google,"c(-87.6281304, 41.7016322)",34,18,34018
12,Sidewalk Menu,ON S WESTERN AVE FROM W 47 ST (4700 S) TO W 47 ST (4700 S),2012,30675,9782,S WESTERN AVE and W 47th ST,S WESTERN AVE and W 47th ST,41.8084234,-87.684422,google,41.8084234,-87.684422,google,"c(-87.684422, 41.8084234)",12,17,12017
12,Sidewalk Menu,ON S WOOD ST FROM W 34TH ST (3400 S) TO W 34TH PL (3430 S),2015,4109,9921,S WOOD ST and W 34TH ST,S WOOD ST and W 34TH PL,41.8313558,-87.6704198,google,41.8313558,-87.6704198,google,"c(-87.6704198, 41.8313558)",11,29,11029
8,Street Resurfacing Menu,ON S WOODLAWN AVE FROM E 82ND PL (8231 S) TO E 82ND ST (8200 S),2021,37698.5,6557,S WOODLAWN AVE and E 82ND PL,S WOODLAWN AVE and E 82ND ST,41.74590735600003,-87.59535789299997,census,41.74590735600003,-87.59535789299997,census,"c(-87.595357893, 41.745907356)",8,29,08029
8,Street Resurfacing Menu,ON S WOODLAWNAVE FROM E 82ND PL (8231 S) TO E 82ND ST (8200 S),2021,8823.955,6556,S WOODLAWNAVE and E 82ND PL,S WOODLAWNAVE and E 82ND ST,41.7449906,-87.5953267,google,41.7449906,-87.5953267,google,"c(-87.5953267, 41.7449906)",8,54,08054
14,Sidewalk Menu,ON SACRAMENTO FROM W 54 ST (5400 S) TO W 55 ST (5500 S),2012,1043,12356,SACRAMENTO and W 54th ST,SACRAMENTO and FROM W 54th ST TO W 55th ST,41.7951894,-87.7135952,google,NA,NA,google,"c(-87.7135952, 41.7951894)",23,9,23009
33,Street Light Residential,ON SACRAMENTO FROM W IRVING PARK RD (4000 N) TO W BERTEAU AV (4200 N),2012,144000,28977,SACRAMENTO and W IRVING PARK RD,SACRAMENTO and FROM W IRVING PARK RD TO W BERTEAU AV,41.9540025,-87.7031146,google,NA,NA,google,"c(-87.7031146, 41.9540025)",33,25,33025
1,Street Light Upgrade,ON STAVE FROM W ARMITAGE AV (2000 N) TO W FRANCIS PL (2064 N),2012,700,474,STAVE and W ARMITAGE AV,STAVE and W FRANCIS PL,NA,NA,google,41.919349416000045,-87.69425114199998,census,"c(-87.694251142, 41.919349416)",1,13,01013
19,Street Resurfacing Menu,ON W 103RD ST FROM S TALMAN AV (2632 W) TO S TALMAN AV (2640 W),2012,26568,16548,W 103RD ST and S TALMAN AV,W 103RD ST and S TALMAN AV,41.7063983,-87.6877875,google,41.7063983,-87.6877875,google,"c(-87.6877875, 41.7063983)",19,1,19001
19,Sidewalk Menu,ON W 111TH ST FROM S LAWNDALE AV (3700 W) TO S LAWNDALE AV (3700 W),2012,4335,16533,W 111TH ST and S LAWNDALE AV,W 111TH ST and S LAWNDALE AV,41.6913765,-87.7130599,google,41.6913765,-87.7130599,google,"c(-87.7130599, 41.6913765)",19,4,19004
24,Street Resurfacing Menu,ON W 18TH ST FROM 3650 W TO S LAWNDALE AVE (3700 W),2021,13062.97,21256,3650 W 18TH ST,W 18TH ST and S LAWNDALE AVE,NA,NA,census,41.8571196,-87.7176049,google,"c(-87.7176049, 41.8571196)",24,6,24006
24,Street Resurfacing Menu,ON W 21ST PL FROM 3002 W TO S ALBANY AVE (3100 W),2018,54228.6,21147,3002 W 21ST PL,W 21ST PL and S ALBANY AVE,NA,NA,census,41.852702,-87.7028459,google,"c(-87.7028459, 41.852702)",24,44,24044
22,Sidewalk Menu,ON W 31ST ST FROM S HOMAN AV (3400 W) TO S HOMAN AV (3400 W),2013,44789,18715,W 31ST ST and S HOMAN AV,W 31ST ST and S HOMAN AV,41.837139,-87.709687,google,41.837139,-87.709687,google,"c(-87.709687, 41.837139)",22,15,22015
22,Sidewalk Menu,ON W 31ST ST FROM S KEELER AV (4200 W) TO S KEELER AV (4200 W),2013,27203,18716,W 31ST ST and S KEELER AV,W 31ST ST and S KEELER AV,41.8368227,-87.7292069,google,41.8368227,-87.7292069,google,"c(-87.7292069, 41.8368227)",22,16,22016
22,Sidewalk Menu,ON W 31ST ST FROM S KILDARE AV (4300 W) TO S KILDARE AV (4300 W),2012,43175,18678,W 31ST ST and S KILDARE AV,W 31ST ST and S KILDARE AV,41.8367901,-87.7316513,google,41.8367901,-87.7316513,google,"c(-87.7316513, 41.8367901)",22,16,22016
22,Sidewalk Menu,ON W 31ST ST FROM S SPAULDING AV (3300 W) TO S SPAULDING AV (3300 W),2013,30549,18718,W 31ST ST and S SPAULDING AV,W 31ST ST and S SPAULDING AV,41.8371826,-87.7072592,google,41.8371826,-87.7072592,google,"c(-87.7072592, 41.8371826)",22,15,22015
22,Sidewalk Menu,ON W 31ST ST FROM S ST LOUIS AV (3500 W) TO S ST LOUIS AV (3500 W),2013,49667,18719,W 31ST ST and S ST LOUIS AV,W 31ST ST and S ST LOUIS AV,41.8371069,-87.7121208,google,41.8371069,-87.7121208,google,"c(-87.7121208, 41.8371069)",22,11,22011
12,Street Speed Hump Menu,ON W 35TH ST FROM S FRANCISCO AV (2900 W) TO S RICHMOND ST (2932 W),2013,1850,9853,W 35TH ST and S FRANCISCO AV,W 35TH ST and S RICHMOND ST,41.8299996,-87.6972697,google,41.8299996,-87.6972697,google,"c(-87.6972697, 41.8299996)",12,2,12002
12,Street Resurfacing Menu (1-5),ON W 37TH PL FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2016,81723.36,9991,W 37TH PL and S SACRAMENTO AVE,W 37TH PL and AVE TO S KEDZIE AVE,41.8253565,-87.6995719,google,NA,NA,google,"c(-87.6995719, 41.8253565)",12,12,12012
11,Sidewalk Menu,ON W 37TH ST FROM S LEAVITT ST (2200 W) TO S LEAVITT ST (2200 W),2012,2447,8825,W 37TH ST and S LEAVITT ST,W 37TH ST and S LEAVITT ST,41.826699,-87.6800575,google,41.826699,-87.6800575,google,"c(-87.6800575, 41.826699)",11,17,11017
11,Sidewalk Menu,ON W 43RD ST FROM S UNION AV (700 W) TO S UNION AV (700 W),2012,36657,8834,W 43RD ST and S UNION AV,W 43RD ST and S UNION AV,41.8152934,-87.6432733,google,41.8152934,-87.6432733,google,"c(-87.6432733, 41.8152934)",11,15,11015
11,Sidewalk Menu,ON W 43RD ST FROM S WALLACE ST (600 W) TO S WALLACE ST (614 W),2012,5119,8838,W 43RD ST and S WALLACE ST,W 43RD ST and S WALLACE ST,41.8153293,-87.6412133,google,41.8153293,-87.6412133,google,"c(-87.6412133, 41.8153293)",11,15,11015
4,Sidewalk Menu,ON W 46TH ST FROM S GREENWOOD AV (1100 E) TO S WOODLAWN AV (1200 E),2012,71664,3423,W 46TH ST and S GREENWOOD AV,W 46TH ST and S WOODLAWN AV,NA,NA,google,41.7587969,-87.5958227,google,"c(-87.5958227, 41.7587969)",5,20,05020
14,Sidewalk Menu,ON W 53RD PL FROM S SACRAMENTO AV (3000 W) TO S ALBANY AV (3100 W),2012,15780,12340,W 53RD PL and S SACRAMENTO AV,W 53RD PL and AV TO S ALBANY AV,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14,26,14026
14,Sidewalk Menu,ON W 53RD PL FROM S SACRAMENTO AVE (3000 W) TO S ALBANY AVE (3100 W),2017,26067.9,12705,W 53RD PL and S SACRAMENTO AVE,W 53RD PL and AVE TO S ALBANY AVE,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14,26,14026
14,Sidewalk Menu,ON W 53RD ST FROM S SACRAMENTO AV (3000 W) TO S ALBANY AV (3100 W),2012,10175,12350,W 53RD ST and S SACRAMENTO AV,W 53RD ST and AV TO S ALBANY AV,41.7963308,-87.6987422,google,NA,NA,google,"c(-87.6987422, 41.7963308)",14,26,14026
14,Street Resurfacing Menu (1-5),ON W 53RD ST FROM S SACRAMENTO AVE (3000 W) TO S CALIFORNIA AVE (2800 W),2017,120627.59,12720,W 53RD ST and S SACRAMENTO AVE,W 53RD ST and AVE TO S CALIFORNIA AVE,41.7972538,-87.6987754,google,NA,NA,google,"c(-87.6987754, 41.7972538)",14,19,14019
14,Street Speed Hump Menu,ON W 53RD ST FROM S SACRAMENTO AVE (3000 W) TO S WHIPPLE ST (3030 W),2017,1850,12734,W 53RD ST and S SACRAMENTO AVE,W 53RD ST and AVE TO S WHIPPLE ST,41.7972538,-87.6987754,google,NA,NA,google,"c(-87.6987754, 41.7972538)",14,19,14019
14,Street Speed Hump Menu,ON W 54TH PL FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2017,7400,12730,W 54TH PL and S SACRAMENTO AVE,W 54TH PL and AVE TO S KEDZIE AVE,41.7945062,-87.698699,google,NA,NA,google,"c(-87.698699, 41.7945062)",14,26,14026
14,Street Resurfacing Menu,ON W 57TH ST FROM S SACRAMENTO AVE (3000 W) TO S KEDZIE AVE (3200 W),2018,152997.23,12785,W 57TH ST and S SACRAMENTO AVE,W 57TH ST and AVE TO S KEDZIE AVE,41.7899651,-87.6985577,google,NA,NA,google,"c(-87.6985577, 41.7899651)",14,32,14032
18,Street Speed Hump Menu,ON W 85TH ST FROM S LAWNDALE AV (3700 W) TO S LAWNDALE AV (3700 W),2012,3700,15862,W 85TH ST and S LAWNDALE AV,W 85TH ST and S LAWNDALE AV,41.738642,-87.7142353,google,41.738642,-87.7142353,google,"c(-87.7142353, 41.738642)",18,7,18007
21,Street Resurfacing Menu,ON W 88TH ST FROM S HALSTED ST (800 W) TO S HALSTED ST (800 W),2012,40029,17939,W 88TH ST and S HALSTED ST,W 88TH ST and S HALSTED ST,41.7343049,-87.6434777,google,41.7343049,-87.6434777,google,"c(-87.6434777, 41.7343049)",21,11,21011
21,Sidewalk Menu,ON W 95TH ST FROM S RACINE AV (1200 W) TO S RACINE AV (1200 W),2012,57400,17922,W 95TH ST and S RACINE AV,W 95TH ST and S RACINE AV,41.721392,-87.6529481,google,41.721392,-87.6529481,google,"c(-87.6529481, 41.721392)",21,49,21049
44,Curb & Gutter Menu,ON W ALDINE AVE FROM N BROADWAY (600 W) TO N BROADWAY (600 W),2012,37611,38352,W ALDINE AVE and N BROADWAY,W ALDINE AVE and N BROADWAY,41.9418609,-87.6444556,google,41.9418609,-87.6444556,google,"c(-87.6444556, 41.9418609)",44,19,44019
36,Sidewalk Menu,ON W BELDEN AVE FROM N NORMANDY AV (6650 W) TO N NORMANDY AV (6650 W),2012,46667,31713,W BELDEN AVE and N NORMANDY AV,W BELDEN AVE and N NORMANDY AV,41.9211924,-87.7923374,google,41.9211924,-87.7923374,google,"c(-87.7923374, 41.9211924)",36,3,36003
48,Street Light Pole Painting,ON W BRYN MAWR AVE FROM N BRYN MAWR AV LSD ER (930 W) TO N LSD BRYN MAWR AV XR (900 W),2014,1500,41766,W BRYN MAWR AVE and N BRYN MAWR AV LSD ER,W BRYN MAWR AVE and N LSD BRYN MAWR AV XR,NA,NA,google,41.9829975,-87.7496357,google,"c(-87.7496357, 41.9829975)",45,36,45036
44,Sidewalk Menu,ON W DIVERSEY PKWY FROM N CLARK ST (637 W) TO N CLARK ST (637 W),2012,11995,38386,W DIVERSEY PKWY and N CLARK ST,W DIVERSEY PKWY and N CLARK ST,41.9327926,-87.6449142,google,41.9327926,-87.6449142,google,"c(-87.6449142, 41.9327926)",43,45,43045
41,Street Resurfacing Menu,ON W ESTES AVE FROM N MERRIMAC AV (6233 W) TO N MERRIMAC AV (6233 W),2012,15141,35869,W ESTES AVE and N MERRIMAC AV,W ESTES AVE and N MERRIMAC AV,42.01013857200007,-87.78313085099995,census,42.01013857200007,-87.78313085099995,census,"c(-87.783130851, 42.0101385720001)",41,39,41039
40,Curb & Gutter Menu,ON W FARRAGUT AVE FROM N HONORE ST (1820 W) TO N HONORE ST (1820 W),2012,9241,35028,W FARRAGUT AVE and N HONORE ST,W FARRAGUT AVE and N HONORE ST,41.97698656100005,-87.67544610899995,census,41.97698656100005,-87.67544610899995,census,"c(-87.6754461089999, 41.976986561)",40,23,40023
