ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
38,Sidewalk Menu,ON EASTWOOD FROM N MCVICKER AV (6032 W) TO N AUSTIN AV (6000 W),2012,55359,33509,EASTWOOD and N MCVICKER AV,EASTWOOD and N AUSTIN AV,41.96476208300004,-87.77837934399997,census,NA,NA,google,"c(-87.778379344, 41.964762083)",38,32,38032
41,Curb & Gutter Menu,ON N ALGONQUIN AVE FROM N HIAWATHA AV (6530 N) TO N HIAWATHA AV (6583 N),2012,9506,35846,N ALGONQUIN AVE and N HIAWATHA AV,N ALGONQUIN AVE and N HIAWATHA AV,42.0008384,-87.7650339,google,42.0008384,-87.7650339,google,"c(-87.7650339, 42.0008384)",41,44,41044
45,Street Resurfacing Menu (1-5),ON N AVONDALE AVE FROM N MOODY AVE (5500 N) TO N AUSTIN AV JFK XR (5430 N),2016,126725.1,39489,N AVONDALE AVE and N MOODY AVE,N AVONDALE AVE and N AUSTIN AV JFK XR,41.98091801000004,-87.78219421799997,census,NA,NA,google,"c(-87.782194218, 41.98091801)",45,15,45015
41,Street Resurfacing Menu,ON N CHESTER AVE FROM W ARGYLE ST (5000 N) TO W WINONA ST (5120 N) ON N NEWCASTLE AVE FROM W RAVEN ST (6142 N) TO W,2012,52043,35872,N CHESTER AVE FROM W ARGYLE ST (5000 N) TO W WINONA ST (5120 N) ON N NEWCASTLE AVE and W ARGYLE ST TO W WINONA ST ON N NEWCASTLE AVE FROM W RAVEN ST,N CHESTER AVE FROM W ARGYLE ST (5000 N) TO W WINONA ST (5120 N) ON N NEWCASTLE AVE and W WINONA ST ON N NEWCASTLE AVE FROM W RAVEN ST TO W,41.9936996,-87.7912822,google,41.9936996,-87.7912822,google,"c(-87.7912822, 41.9936996)",41,35,41035
45,Street Bump Outs Menu,ON N CICERO AVE FROM W BERTEAU AV (4140 N) TO W BERTEAU AV (4200 N),2012,5937,39271,N CICERO AVE and W BERTEAU AV,N CICERO AVE and W BERTEAU AV,41.9570638,-87.7474702,google,41.9570638,-87.7474702,google,"c(-87.7474702, 41.9570638)",45,7,45007
43,Bollard Menu,ON N COMMONWEALTH AVE FROM 2376 N TO W BELDEN AV (2300 N),2012,1260,37542,2376 N COMMONWEALTH AVE,N COMMONWEALTH AVE and W BELDEN AV,NA,NA,census,41.92379541100007,-87.63804909699996,census,"c(-87.638049097, 41.9237954110001)",43,32,43032
33,Sidewalk Menu,ON N ELSTON AVE FROM N TROY ST (3450 N) TO N TROY ST (3526 N),2012,11754,28969,N ELSTON AVE and N TROY ST,N ELSTON AVE and N TROY ST,41.9453577,-87.706951,google,41.9453577,-87.706951,google,"c(-87.706951, 41.9453577)",33,12,33012
40,Curb & Gutter Menu,ON N FRANCISCO AVE FROM W HOLLYWOOD AV (5700 N) TO W HOLLYWOOD AV (5700 N),2012,39255,35031,N FRANCISCO AVE and W HOLLYWOOD AV,N FRANCISCO AVE and W HOLLYWOOD AV,41.98492985800005,-87.70163969499998,census,41.98492985800005,-87.70163969499998,census,"c(-87.701639695, 41.9849298580001)",40,30,40030
43,Sidewalk Menu,ON N GENEVA TR FROM W KEMPER PL (2332 N) TO W KEMPER PL (2332 N),2012,28681,37582,N GENEVA TR and W KEMPER PL,N GENEVA TR and W KEMPER PL,41.92461948800008,-87.64387391399998,census,41.92461948800008,-87.64387391399998,census,"c(-87.643873914, 41.9246194880001)",43,20,43020
27,Sidewalk Menu,ON N HALSTED ST FROM W KINZIE ST (400 N) TO W KINZIE ST (400 N),2013,17482,23601,N HALSTED ST and W KINZIE ST,N HALSTED ST and W KINZIE ST,41.8887431,-87.6744146,google,41.8887431,-87.6744146,google,"c(-87.6744146, 41.8887431)",27,27,27027
42,Street Resurfacing Menu,ON N JEFFERSON ST FROM W ADAMS ST (200 S) TO W JACKSON BLVD (300 S),2017,31063.89,36934,N JEFFERSON ST and W ADAMS ST,N JEFFERSON ST and W JACKSON BLVD,NA,NA,google,41.878004874000055,-87.64253529099994,census,"c(-87.6425352909999, 41.8780048740001)",2,12,02012
45,Sidewalk Menu,ON N LAVERGNE AVE FROM W STRONG ST (4932 N) TO W STRONG ST (4932 N),2013,1643,39301,N LAVERGNE AVE and W STRONG ST,N LAVERGNE AVE and W STRONG ST,41.970707496000045,-87.75271236399999,census,41.970707496000045,-87.75271236399999,census,"c(-87.752712364, 41.970707496)",45,37,45037
50,Sidewalk Menu,ON N LEAVITT ST FROM W THOME AVE (6230 N) TO W ROSEMONT AVE (6300 N) ON W GRANVILLE AVE FROM N HOYNE AVE (2100 W) TO N,2014,29716,43270,N LEAVITT ST FROM W THOME AVE (6230 N) TO W ROSEMONT AVE (6300 N) ON W GRANVILLE AVE and W THOME AVE TO W ROSEMONT AVE ON W GRANVILLE AVE FROM N HOYNE AVE,N LEAVITT ST FROM W THOME AVE (6230 N) TO W ROSEMONT AVE (6300 N) ON W GRANVILLE AVE and W ROSEMONT AVE ON W GRANVILLE AVE FROM N HOYNE AVE TO N,41.9096503,-87.6777658,google,NA,NA,google,"c(-87.6777658, 41.9096503)",1,8,01008
41,Street Resurfacing Menu,ON N MANKATO AVE FROM N IONIA AVE (7200 N) TO N HIAWATHA AVE (7130 N),2021,90297.08,36145,N MANKATO AVE and N IONIA AVE,N MANKATO AVE and AVE FROM N IONIA AVE TO N HIAWATHA AVE,42.011746526000024,-87.77696434399996,census,NA,NA,google,"c(-87.776964344, 42.011746526)",41,39,41039
38,Sidewalk Menu,ON N MCVICKER AVE FROM W CULLOM AV (4300 N) TO W CULLOM AV (4300 N),2012,21720,33506,N MCVICKER AVE and W CULLOM AV,N MCVICKER AVE and W CULLOM AV,41.95851115800008,-87.77817834999996,census,41.95851115800008,-87.77817834999996,census,"c(-87.77817835, 41.9585111580001)",38,21,38021
