ward,type,location,year,est_cost,id,start_address,end_address,lat_1,lon_1,query_1,lat_2,lon_2,query_2,total_length,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,intersect_length,geometry
31,Alley Apron Menu,3112-3210 NLAMON AVE,2021,5988.675,27692,3112 NLAMON AVE,3210 NLAMON AVE,41.9373532,-87.7492758,google,41.9391272,-87.7493416,google,197.3351784176339,31009,9,2026825.53926,8665.6895177,31,160.39659767562168,"c(-87.7492758, -87.7493292828167, 41.9373532, 41.9387951302586)"
31,Alley Apron Menu,3112-3210 NLAMON AVE,2021,5988.675,27692,3112 NLAMON AVE,3210 NLAMON AVE,41.9373532,-87.7492758,google,41.9391272,-87.7493416,google,197.3351784176339,31008,8,1779171.55994,6010.30561963,31,36.938580741543376,"c(-87.7493292828167, -87.7493416, 41.9387951302586, 41.9391272)"
1,Alley Speed Hump Menu,3505-3539 WARMITAGE AVE,2022,700,992,3505 WARMITAGE AVE,3539 WARMITAGE AVE,41.9171013,-87.7138167,google,41.9173171,-87.7151436,google,112.38139402831565,26037,37,1437418.54371,5704.85962864,26,112.38139402831565,"c(-87.7138167, -87.7151436, 41.9171013, 41.9173171)"
22,Alley Resurfacing Menu,2700-2758 S SAWYER AVE,2022,23520.15,19182,2700 S SAWYER AVE,2758 S SAWYER AVE,41.84253261500004,-87.70620477899996,census,41.84161049900007,-87.70617680899994,census,102.56095749072198,22015,15,10979768.4264,17349.8503576,22,102.56095749077315,"c(-87.706204779, -87.7061768089999, 41.842532615, 41.8416104990001)"
44,Alley Resurfacing Menu,3154-3184 N CLARKST,2021,7070.74333333333,38849,3154 N CLARKST,3184 N CLARKST,41.9391245,-87.650436,google,41.9398812,-87.6507725,google,88.6252093674507,44020,20,1626154.1392,6702.68023482,44,88.6252093674507,"c(-87.650436, -87.6507725, 41.9391245, 41.9398812)"
44,Alley Resurfacing Menu,850-918 W FLETCHER ST,2021,7070.74333333333,38849,850 W FLETCHER ST,918 W FLETCHER ST,41.9390004085188,-87.6511111005058,census,41.9389824257108,-87.6521589034221,census,86.69024138178477,44020,20,1626154.1392,6702.68023482,44,86.69024138179692,"c(-87.6511111005058, -87.6521589034221, 41.9390004085188, 41.9389824257108)"
44,Alley Resurfacing Menu,3236-3258 NSOUTHPORT AVE,2022,5672.35,38907,3236 NSOUTHPORT AVE,3258 NSOUTHPORT AVE,41.9408433,-87.6640231,google,41.9414839,-87.6641526,google,72.03238001175981,44009,9,1511470.38813,5649.08910102,44,72.03238001326707,"c(-87.6640231, -87.6641526, 41.9408433, 41.9414839)"
24,Alley Resurfacing Menu,735-757 SINDEPENDENCE BLVD,2022,17460.315,21281,735 SINDEPENDENCE BLVD,757 SINDEPENDENCE BLVD,41.8715551,-87.7193533,google,41.870967,-87.719362,google,65.39780662273748,24004,4,1530755.67942,5024.79692779,24,65.3978066217381,"c(-87.7193533, -87.719362, 41.8715551, 41.870967)"
39,Curb & Gutter Menu,6375-6399 N LEHIGH AVE,2021,16204.775,34619,6375 N LEHIGH AVE,6399 N LEHIGH AVE,41.99676501500005,-87.76545231299997,census,41.99730180000006,-87.76573231399999,census,64.01593799815677,39044,44,2689170.14436,8184.8486191,39,64.01593799859626,"c(-87.765452313, -87.765732314, 41.9967650150001, 41.9973018000001)"
26,Alley Resurfacing Menu,3524-3556 W NORTH AVE,2021,16751.2333333333,23069,3524 W NORTH AVE,3556 W NORTH AVE,41.91002186500003,-87.71518248599995,census,41.910015111000064,-87.71577678599994,census,49.18454142396638,26006,6,1129705.52169,4989.13990762,26,49.18454142396638,"c(-87.7151824859999, -87.7157767859999, 41.910021865, 41.9100151110001)"
44,Alley Resurfacing Menu,1244-1254 WADDISON ST,2022,6576.85,38908,1244 WADDISON ST,1254 WADDISON ST,41.9472545,-87.660761,google,41.9473091,-87.661315,google,46.21768032289705,44011,11,1289342.64638,5300.65599063,44,46.21768032289705,"c(-87.660761, -87.661315, 41.9472545, 41.9473091)"
