ward,type,location,year,est_cost,id,address,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
10,Sidewalk Menu,10108 S AVENUE M,2016,4661.01,8203,10108 S AVENUE M,census,"c(-87.537699953, 41.7116711)",10,26,10026
7,Sidewalk Menu,10111 S CRANDON AVE,2019,4083.65,5664,10111 S CRANDON AVE,census,"c(-87.5669668209999, 41.7113836460001)",10,6,10006
10,Sidewalk Menu,10116 S EWING AVE,2019,12951,8333,10116 S EWING AVE,census,"c(-87.535284113, 41.711557386)",10,26,10026
4,Curb & Gutter Menu,1012 E 47TH ST,2015,5748,3569,1012 E 47TH ST,google,"c(-87.6012817, 41.8100496)",4,15,04015
7,Sidewalk Menu,10120 S CALHOUN AVE,2022,5489.71,5774,10120 S CALHOUN AVE,census,"c(-87.5621438539999, 41.7112914860001)",10,29,10029
10,Sidewalk Menu,10125 S EWING AVE,2017,10410.75,8239,10125 S EWING AVE,census,"c(-87.535269883, 41.711425322)",10,26,10026
7,Sidewalk Menu,10127 S CRANDON AVE,2020,6955.66,5694,10127 S CRANDON AVE,census,"c(-87.566962772, 41.711133379)",10,6,10006
25,Street Light Upgrade Menu,1013 W 19TH ST,2016,450,22047,1013 W 19TH ST,google,"c(-87.6521981, 41.8565593)",25,23,25023
25,Alley Resurfacing Menu,1014 S MAY ST,2018,22179.44,22101,1014 S MAY ST,census,"c(-87.655243836, 41.868939115)",25,27,25027
44,Alley Apron Menu,1014 W OAKDALE AVE,2017,10095.68,38691,1014 W OAKDALE AVE,census,"c(-87.654926346, 41.935344539)",44,27,44027
44,Alley Apron Menu,1014 W WOLFRAM ST,2017,7722.33,38688,1014 W WOLFRAM ST,census,"c(-87.65455215, 41.9335404360001)",44,40,44040
7,Sidewalk Menu,10141 S CRANDON AVE,2020,6255.14,5696,10141 S CRANDON AVE,census,"c(-87.5669588439999, 41.710914373)",10,6,10006
43,Alley Apron Menu,1015 W ALTGELD ST,2018,8027.19,37906,1015 W ALTGELD ST,google,"c(-87.6543134, 41.9269428)",43,2,43002
44,Alley Apron Menu,1015 W OAKDALE AVE,2017,8696.35,38690,1015 W OAKDALE AVE,google,"c(-87.6546216, 41.9351211)",44,40,44040
34,Alley Apron Menu,10153 S WINSTON AVE,2018,27957.01,30238,10153 S WINSTON AVE,census,"c(-87.6556975409999, 41.7098398000001)",21,33,21033
9,Bollard Menu,10155 S STATE ST,2005,395,6738,10155 S STATE ST,google,"c(-87.6232882, 41.7091117)",9,2,09002
10,Guardrail Menu,10156 S INDIANAPOLIS AV,2009,7500,7856,10156 S INDIANAPOLIS AV,census,"c(-87.5334053, 41.7109764630001)",10,26,10026
43,Miscellaneous CDOT Projects,1016 W ALTGELD ST,2018,616.190476190476,37944,1016 W ALTGELD ST,census,"c(-87.654441096, 41.92718675)",43,2,43002
48,Sidewalk Menu,1017 W ARDMORE AVE,2020,4409.79,42139,1017 W ARDMORE AVE,census,"c(-87.6575795219999, 41.987313263)",48,47,48047
46,Alley Apron Menu,1017 W IRVING PARK RD,2017,9226.72,40099,1017 W IRVING PARK RD,census,"c(-87.655747565, 41.9544630990001)",44,18,44018
26,Street Speed Hump Menu,1019 N SACRAMENTO AVE,2019,2350,23008,1019 N SACRAMENTO AVE,google,"c(-87.7014122, 41.8998878)",26,21,26021
6,Sidewalk Menu,102 W 77TH ST,2022,5440.63,5039,102 W 77TH ST,google,"c(-87.6272519, 41.7547171)",6,19,06019
2,Sidewalk Menu,102 W GERMANIA PL,2017,38823.28,2295,102 W GERMANIA PL,census,"c(-87.6317169599999, 41.9104347680001)",42,33,42033
2,Sidewalk Menu,102 W GERMANIA PL,2018,63565.31,2339,102 W GERMANIA PL,census,"c(-87.6317169599999, 41.9104347680001)",42,33,42033
1,Alley Resurfacing Menu,1020 N MARSHFIELD AVE,2022,19151.03,984,1020 N MARSHFIELD AVE,census,"c(-87.668639038, 41.9005271240001)",1,2,01002
25,Sidewalk Menu,1020 W MONROE ST,2019,14903.4,22145,1020 W MONROE ST,google,"c(-87.6531859, 41.880577)",2,16,02016
9,POD Camera,10200 S. LaSalle,2009,24000,6923,10200 S. LaSalle,google,"c(-87.6274502, 41.7088129)",9,17,09017
9,POD Camera,10200 S. State,2009,24000,6921,10200 S. State,google,"c(-87.6238644, 41.7088494)",9,17,09017
8,Pedestrian Refuge Island Menu,10201 S COTTAGE GROVE AVE,2021,40741.11,6530,10201 S COTTAGE GROVE AVE,google,"c(-87.6054399, 41.7086719)",8,32,08032
10,Miscellaneous-CDOT,10212 S. Ewing Av.,2007,2259,7720,10212 S. Ewing Av.,census,"c(-87.535291656, 41.709715557)",10,34,10034
27,Alley Speed Hump Menu,1022 N ST LOUIS AVE,2018,1400,23831,1022 N ST LOUIS AVE,google,"c(-87.7142968, 41.8998441)",27,29,27029
9,Sidewalk Menu,10222 S ST LAWRENCE AVE,2018,496.66,7182,10222 S ST LAWRENCE AVE,google,"c(-87.6092136, 41.7084811)",9,13,09013
10,Bollard Menu,10224 S VAN VLISSINGEN RD,2008,630,7805,10224 S VAN VLISSINGEN RD,census,"c(-87.568926389, 41.7094556480001)",10,6,10006
34,Sidewalk Menu,10228 S BEVERLY AVE,2022,13202.29,30400,10228 S BEVERLY AVE,census,"c(-87.656663413, 41.7081408290001)",21,20,21020
48,Alley Apron Menu,1023 W THORNDALE AVE,2017,10060.74,41879,1023 W THORNDALE AVE,census,"c(-87.65663087, 41.9900804130001)",48,18,48018
32,Chicago Park District,1023 W Wrightwood,2006,10000,27946,1023 W Wrightwood,google,"c(-87.654708, 41.928599)",32,32,32032
10,Sidewalk Menu,10231 S AVENUE M,2019,6900,8344,10231 S AVENUE M,census,"c(-87.5376892849999, 41.709426609)",10,34,10034
10,Sidewalk Menu,10232 S AVENUE N,2021,16621.72,8419,10232 S AVENUE N,google,"c(-87.5392854, 41.7090274)",10,34,10034
7,Miscellaneous CDOT Projects,10245 S OGLESBY AVE,2020,13758.19,5688,10245 S OGLESBY AVE,census,"c(-87.565724818, 41.7092582270001)",10,6,10006
25,Sidewalk Menu,1025 W 16TH ST,2016,1760.75,22041,1025 W 16TH ST,google,"c(-87.6520051, 41.85961)",25,29,25029
25,Sidewalk Menu,1025 W 16TH ST,2017,61497.61,22080,1025 W 16TH ST,google,"c(-87.6520051, 41.85961)",25,29,25029
10,Sidewalk Menu,10251 S EWING AVE,2015,7260,8149,10251 S EWING AVE,census,"c(-87.535277353, 41.709119759)",10,26,10026
10,Sidewalk Menu,10253 S COMMERCIAL AVE,2020,8416.75,8367,10253 S COMMERCIAL AVE,census,"c(-87.552569362, 41.709199749)",10,13,10013
10,Sidewalk Menu,10256 S AVENUE M,2022,18477.15,8491,10256 S AVENUE M,census,"c(-87.537703973, 41.7090198770001)",10,34,10034
10,Sidewalk Menu,10258 S AVENUE G,2021,7252.28,8420,10258 S AVENUE G,census,"c(-87.531666102, 41.7086951580001)",10,26,10026
10,Sidewalk Menu,10258 S AVENUE L,2022,3275.21,8492,10258 S AVENUE L,census,"c(-87.536497303, 41.708990333)",10,34,10034
48,Curb & Gutter Menu,1026 W AINSLIE ST,2020,9121.14,42132,1026 W AINSLIE ST,google,"c(-87.6561285, 41.9717016)",46,40,46040
1,Sidewalk Menu,1027 N HERMITAGE AVE,2019,2702.48,878,1027 N HERMITAGE AVE,google,"c(-87.6708076, 41.9005151)",1,47,01047
44,Street Light Upgrade Menu,1028 W NEWPORT AVE,2017,500,38730,1028 W NEWPORT AVE,census,"c(-87.655691571, 41.944464882)",44,38,44038
44,Alley Apron Menu,1028 W WOLFRAM ST,2017,10119.55,38674,1028 W WOLFRAM ST,census,"c(-87.654638818, 41.9335393110001)",44,40,44040
43,Miscellaneous CDOT Projects,1029 W ALTGELD ST,2018,616.190476190476,37944,1029 W ALTGELD ST,census,"c(-87.654517024, 41.9271745550001)",43,2,43002
10,Sidewalk Menu,10300 S EWING AVE,2019,2725.5,8342,10300 S EWING AVE,census,"c(-87.53529466, 41.7081571520001)",10,33,10033
10,Bollard Menu,10300 S TORRENCE AV,2009,2520,7851,10300 S TORRENCE AV,census,"c(-87.55966542, 41.708027073)",10,36,10036
10,Sidewalk Menu,10301 S AVENUE G,2017,8567.24,8229,10301 S AVENUE G,census,"c(-87.5316514149999, 41.708074266)",10,32,10032
43,Miscellaneous CDOT Projects,1031 W ALTGELD ST,2018,616.190476190476,37944,1031 W ALTGELD ST,census,"c(-87.654543109, 41.9271741330001)",43,2,43002
34,Bollard Menu,10314 S EMERALD AV,2008,1428,29669,10314 S EMERALD AV,census,"c(-87.641601114, 41.7061873810001)",34,20,34020
19,Alley Speed Hump Menu,10315 S CAMPBELL AVE,2022,350,16845,10315 S CAMPBELL AVE,google,"c(-87.6838231, 41.7058797)",19,61,19061
34,Alley Apron Menu,10317 S UNION AVE,2019,35326.55,30275,10317 S UNION AVE,census,"c(-87.640375833, 41.7061934340001)",34,20,34020
10,Sidewalk Menu,10319 S AVENUE H,2017,6046.4,8238,10319 S AVENUE H,census,"c(-87.532861401, 41.7077923920001)",10,32,10032
9,Sidewalk Menu,10319 S FOREST AVE,2018,2717.36,7181,10319 S FOREST AVE,census,"c(-87.6161766709999, 41.7065049780001)",9,1,09001
44,Street Light Upgrade Menu,1032 W NEWPORT AVE,2017,500,38730,1032 W NEWPORT AVE,census,"c(-87.655774863, 41.944463596)",44,38,44038
10,Sidewalk Menu,10326 S AVENUE J,2020,8700.41,8375,10326 S AVENUE J,census,"c(-87.534086074, 41.707666972)",10,33,10033
10,Sidewalk Menu,10331 S AVENUE H,2021,6127.74,8421,10331 S AVENUE H,census,"c(-87.532861401, 41.707604261)",10,32,10032
9,Sidewalk Menu,10337 S FOREST AVE,2019,4406,7220,10337 S FOREST AVE,census,"c(-87.616170773, 41.7062934900001)",9,1,09001
46,Curb & Gutter Menu,1034 W MONTROSE AVE,2018,1888.14,40144,1034 W MONTROSE AVE,census,"c(-87.655873259, 41.961768562)",46,32,46032
34,Curb & Gutter Menu,10344 S SANGAMON ST,2016,18508.7,30154,10344 S SANGAMON ST,census,"c(-87.6464525489999, 41.7058049450001)",34,12,34012
10,Sidewalk Menu,10348 S AVENUE J,2022,1220.83,8493,10348 S AVENUE J,census,"c(-87.534086074, 41.707322065)",10,33,10033
37,Curb & Gutter Menu,1035 N LATROBE AVE,2016,8282.78,32789,1035 N LATROBE AVE,census,"c(-87.75692588, 41.8992580890001)",37,25,37025
21,Sidewalk Menu,1035 W 92ND PL,2019,3882.93,18300,1035 W 92ND PL,google,"c(-87.6495795, 41.7257021)",21,19,21019
19,Street Light Upgrade,10352 S FAIRFIELD AVE,2013,400,16594,10352 S FAIRFIELD AVE,google,"c(-87.6898055, 41.7053618)",19,1,19001
19,POD Camera,10354 S Charles,2006,24000,16332,10354 S Charles,census,"c(-87.658116088, 41.705491054)",19,60,19060
34,Guardrail Menu,10358 S LOWE AV,2006,2080,29528,10358 S LOWE AV,google,"c(-87.6394715, 41.705238)",34,20,34020
44,Sidewalk Menu,1036 W WAVELAND AVE,2019,40783.53,38795,1036 W WAVELAND AVE,census,"c(-87.655897426, 41.9490244580001)",44,31,44031
43,Miscellaneous CDOT Projects,1039 W ALTGELD ST,2018,616.190476190476,37944,1039 W ALTGELD ST,census,"c(-87.65464745, 41.9271724440001)",43,2,43002
46,Sidewalk Menu,1039 W LAWRENCE AVE,2017,3164.77,40124,1039 W LAWRENCE AVE,google,"c(-87.6566159, 41.9689253)",46,6,46006
42,Sidewalk Menu,1040 N LAKE SHORE DR,2017,1599.17,36912,1040 N LAKE SHORE DR,census,"c(-87.624293189, 41.9016894490001)",42,1,42001
29,Curb & Gutter Menu,1040 S MONITOR AVE,2021,5349.11,25466,1040 S MONITOR AVE,google,"c(-87.7708466, 41.8679526)",29,22,29022
48,Alley Apron Menu,1040 W AINSLIE ST,2017,5834.9,41871,1040 W AINSLIE ST,google,"c(-87.6564544, 41.9715579)",48,35,48035
44,Street Light Upgrade Menu,1040 W NEWPORT AVE,2017,500,38730,1040 W NEWPORT AVE,census,"c(-87.655941447, 41.944461023)",44,38,44038
44,Miscellaneous CDOT Projects,1040 W NEWPORT AVE,2019,582.5,38786,1040 W NEWPORT AVE,census,"c(-87.655941447, 41.944461023)",44,38,44038
11,Sidewalk Menu,1041 W 31ST PL,2022,5710.91,9340,1041 W 31ST PL,google,"c(-87.6527585, 41.8368695)",11,19,11019
10,Sidewalk Menu,10414 S EWING AVE,2019,22300,8326,10414 S EWING AVE,census,"c(-87.5352920399999, 41.7060300740001)",10,33,10033
48,Alley Apron Menu,1042 W GLENLAKE AVE,2017,8771.51,41883,1042 W GLENLAKE AVE,census,"c(-87.65789491, 41.992329989)",48,32,48032
43,Alley Apron Menu,1042 W MONTANA ST,2019,10338.69,37968,1042 W MONTANA ST,census,"c(-87.6548096929999, 41.926332345)",43,2,43002
44,Street Light Upgrade Menu,1042 W NEWPORT AVE,2017,500,38730,1042 W NEWPORT AVE,google,"c(-87.6558889, 41.9446662)",44,38,44038
19,Street Light Upgrade,10420 S LEAVITT ST,2012,350,16561,10420 S LEAVITT ST,census,"c(-87.6767203369999, 41.704165102)",19,35,19035
9,Sidewalk Menu,10425 S FOREST AVE,2021,5846.26,7289,10425 S FOREST AVE,census,"c(-87.616132583, 41.704926119)",9,40,09040
7,Alley Resurfacing Menu,10426 S OGLESBY AVE,2019,9170.1,5641,10426 S OGLESBY AVE,census,"c(-87.565694647, 41.7060555850001)",10,28,10028
19,POD Camera,10431 W Longwood,2007,12000,16379,10431 W Longwood,google,"c(-87.6702879, 41.7033598)",19,36,19036
10,Sidewalk Menu,10436 S AVENUE J,2021,4821.48,8422,10436 S AVENUE J,census,"c(-87.534086074, 41.705669389)",10,33,10033
10,Sidewalk Menu,10446 S AVENUE M,2022,1875.02,8495,10446 S AVENUE M,census,"c(-87.537710175, 41.70553219)",10,35,10035
10,Sidewalk Menu,10449 S AVENUE F,2016,10610.91,8186,10449 S AVENUE F,census,"c(-87.5304414289999, 41.7054692990001)",10,32,10032
44,Alley Apron Menu,1045 W BARRY AVE,2022,11002.56,38885,1045 W BARRY AVE,census,"c(-87.655812866, 41.938061066)",44,27,44027
46,Alley Apron Menu,1045 W IRVING PARK RD,2017,10532.9,40100,1045 W IRVING PARK RD,census,"c(-87.656225935, 41.9544547890001)",44,18,44018
34,Sidewalk Menu,10457 S EMERALD AVE,2022,7896.13,30401,10457 S EMERALD AVE,google,"c(-87.64125, 41.7034577)",34,20,34020
10,Sidewalk Menu,10458 S AVENUE H,2019,15405,8331,10458 S AVENUE H,census,"c(-87.532873567, 41.7053339060001)",10,33,10033
9,Sidewalk Menu,10458 S CALUMET AVE,2020,8545.405,7255,10458 S CALUMET AVE,google,"c(-87.6151985, 41.7037809)",9,40,09040
43,Miscellaneous CDOT Projects,1046 W MONTANA ST,2018,616.190476190476,37944,1046 W MONTANA ST,census,"c(-87.6548514259999, 41.9263316520001)",43,2,43002
48,Sidewalk Menu,1049 W BRYN MAWR AVE,2022,4316.01,42234,1049 W BRYN MAWR AVE,census,"c(-87.656779437, 41.983675738)",48,3,48003
4,Sidewalk Menu,1050 E 49TH ST,2016,5525.57,3621,1050 E 49TH ST,census,"c(-87.6003922089999, 41.805970184)",4,24,04024
27,Street Resurfacing Menu,1050 N CENTRAL PARK AVE,2016,6213.85,23765,1050 N CENTRAL PARK AVE,census,"c(-87.7164715119999, 41.9000536)",27,29,27029
27,Street Speed Hump Menu,1050 N CENTRAL PARK AVE,2017,3700,23823,1050 N CENTRAL PARK AVE,census,"c(-87.7164715119999, 41.9000536)",27,29,27029
49,Chicago Park District,1050 W ALBION AVE,2014,75000,42639,1050 W ALBION AVE,census,"c(-87.658394261, 42.0025940800001)",49,7,49007
49,Sidewalk Menu,1050 W COLUMBIA AVE,2018,7981.58,42873,1050 W COLUMBIA AVE,census,"c(-87.6581048479999, 42.00466248)",49,7,49007
9,POD Camera,10500 S. State,2009,24000,6920,10500 S. State,google,"c(-87.623673, 41.7033704)",34,18,34018
10,Concrete Alley Menu,10501 S AVENUE E,2019,188000,8315,10501 S AVENUE E,census,"c(-87.529231443, 41.7043991240001)",10,32,10032
10,Sidewalk Menu,10501 S AVENUE L,2022,7942.58,8496,10501 S AVENUE L,census,"c(-87.5364833199999, 41.704424531)",10,33,10033
10,Sidewalk Menu,10505 S EWING AVE,2016,21886.33,8200,10505 S EWING AVE,census,"c(-87.535275057, 41.7043578510001)",10,33,10033
10,Sidewalk Menu,10507 S AVENUE L,2016,10964.81,8190,10507 S AVENUE L,census,"c(-87.5364833199999, 41.7043304650001)",10,33,10033
37,Sidewalk Menu,1051 N CENTRAL AVE,2016,1117,32792,1051 N CENTRAL AVE,google,"c(-87.7652538, 41.8999768)",37,29,37029
43,Miscellaneous CDOT Projects,1051 W MONTANA ST,2018,616.190476190476,37944,1051 W MONTANA ST,census,"c(-87.6555379769999, 41.926307826)",43,2,43002
10,Sidewalk Menu,10511 S AVENUE F,2016,3017.89,8187,10511 S AVENUE F,census,"c(-87.5304414289999, 41.704242369)",10,32,10032
34,Sidewalk Menu,10519 S PARNELL AVE,2021,10224.12,30349,10519 S PARNELL AVE,census,"c(-87.636649569, 41.702924485)",34,24,34024
48,Alley Apron Menu,1052 W THORNDALE AVE,2017,10624.98,41880,1052 W THORNDALE AVE,google,"c(-87.6576077, 41.9901966)",48,31,48031
27,Alley Resurfacing Menu,1053 N ORLEANS ST,2017,13862.175,23790,1053 N ORLEANS ST,census,"c(-87.637356456, 41.9015847150001)",27,28,27028
48,Alley Apron Menu,1053 W THORNDALE AVE,2017,8130.21,41881,1053 W THORNDALE AVE,census,"c(-87.657744515, 41.990061331)",48,16,48016
11,Sidewalk Menu,1054 W 34TH PL,2022,2173.56,9341,1054 W 34TH PL,census,"c(-87.652589727, 41.8315909630001)",11,19,11019
48,Curb & Gutter Menu,1054 W BERWYN AVE,2020,11256.855,42134,1054 W BERWYN AVE,google,"c(-87.6571569, 41.9781847)",48,45,48045
10,Sidewalk Menu,10546 S AVENUE G,2022,4359.86,8497,10546 S AVENUE G,census,"c(-87.531662081, 41.7036834700001)",10,32,10032
48,Street Lighting,1055 W BRYN MAWR AVE,2011,500,41643,1055 W BRYN MAWR AVE,census,"c(-87.656842347, 41.983674826)",48,3,48003
48,Sidewalk Menu,1055 W BRYN MAWR AVE,2019,3342.29,42082,1055 W BRYN MAWR AVE,census,"c(-87.656842347, 41.983674826)",48,3,48003
10,Sidewalk Menu,10554 S AVENUE F,2020,4739.12,8368,10554 S AVENUE F,census,"c(-87.526494672, 41.704327332)",10,32,10032
10,Bollard Menu,10556 S AVENUE B,2008,1428,7804,10556 S AVENUE B,census,"c(-87.526494799, 41.704320346)",10,32,10032
34,Alley Apron Menu,10558 S PEORIA ST,2022,36512.5,30389,10558 S PEORIA ST,google,"c(-87.6454334, 41.7016045)",34,12,34012
29,Curb & Gutter Menu,1056 N MAYFIELD AVE,2019,6244.77,25383,1056 N MAYFIELD AVE,census,"c(-87.7717733169999, 41.86811033)",29,22,29022
27,Alley Resurfacing Menu,1057 N RIDGEWAY AVE,2015,44161,23690,1057 N RIDGEWAY AVE,census,"c(-87.720118043, 41.9001175720001)",27,24,27024
17,Miscellaneous CDOT Projects,1057 W 79TH ST,2022,150,15374,1057 W 79TH ST,census,"c(-87.6502462349999, 41.750546437)",17,55,17055
37,Sidewalk Menu,1058 N KEYSTONE AVE,2017,3941.2,32845,1058 N KEYSTONE AVE,census,"c(-87.72745887, 41.9000562520001)",37,13,37013
37,Sidewalk Menu,1058 N KEYSTONE AVE,2018,804.8,32893,1058 N KEYSTONE AVE,census,"c(-87.72745887, 41.9000562520001)",37,13,37013
21,Sidewalk Menu,1058 W 92ND PL,2021,6120.3,18397,1058 W 92ND PL,google,"c(-87.6504533, 41.7262004)",21,19,21019
29,Curb & Gutter Menu,1059 N MAYFIELD AVE,2019,5163.43666666667,25384,1059 N MAYFIELD AVE,google,"c(-87.7725689, 41.9001081)",29,37,29037
21,Sidewalk Menu,1059 W 92ND PL,2022,9522.48,18467,1059 W 92ND PL,google,"c(-87.6504477, 41.7256919)",21,19,21019
10,Sidewalk Menu,10600 S AVENUE G,2017,14938.86,8231,10600 S AVENUE G,census,"c(-87.531662081, 41.702572649)",10,31,10031
10,Sidewalk Menu,10609 S AVENUE G,2019,6579,8324,10609 S AVENUE G,census,"c(-87.531647396, 41.7024457410001)",10,38,10038
10,Sidewalk Menu,10613 S AVENUE D,2021,2981.27,8423,10613 S AVENUE D,census,"c(-87.528166173, 41.70203759)",10,38,10038
10,Sidewalk Menu,10614 S MACKINAW AVE,2018,2899,8276,10614 S MACKINAW AVE,census,"c(-87.542568036, 41.7020238540001)",10,35,10035
10,Sidewalk Menu,10614 S MACKINAW AVE,2018,9093,8291,10614 S MACKINAW AVE,census,"c(-87.542568036, 41.7020238540001)",10,35,10035
34,Curb & Gutter Menu,10614 S MARTIN ST,2021,4882.97,30343,10614 S MARTIN ST,census,"c(-87.6559967219999, 41.700670126)",21,20,21020
9,Traffic Signal Miscellaneous Menu,10616 S EDBROOKE AVE,2016,141,7135,10616 S EDBROOKE AVE,census,"c(-87.6196787979999, 41.7017254030001)",9,29,09029
9,Street Lighting,10618 S DAUPHIN AVE,2011,300,6963,10618 S DAUPHIN AVE,census,"c(-87.6088881319999, 41.7012002710001)",9,22,09022
10,Sidewalk Menu,10621 S MACKINAW AVE,2018,7715,8290,10621 S MACKINAW AVE,census,"c(-87.5425533499999, 41.7019550100001)",10,35,10035
10,Sidewalk Menu,10626 S AVENUE O,2021,2098.04,8424,10626 S AVENUE O,census,"c(-87.540098921, 41.702068008)",10,35,10035
10,Sidewalk Menu,10627 S AVENUE F,2017,3933.81,8233,10627 S AVENUE F,census,"c(-87.5304414289999, 41.702160576)",10,38,10038
