ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,id,ward_locate,precinct_locate,ward_precinct_locate,geometry,total_length_2003,intersect_length_2003
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,21,53,21053,"c(-87.6243687258376, -87.6318218641401, 41.7300891582168, 41.7359893478829)",24109.69740792703,901.6228481851612
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,16,35,16035,"c(-87.6935518363217, -87.6955506565928, 41.7847970153414, 41.7863756179572)",24109.69740792703,241.4061057622514
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,10,17010,"c(-87.6479595031224, -87.6501003901844, 41.7487591572109, 41.7504527026354)",24109.69740792703,258.85430931315193
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,24,17024,"c(-87.6524849765024, -87.6538145725519, 41.7523388740127, 41.7533904946513)",24109.69740792703,160.74492233235262
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,18,17018,"c(-87.6538145725519, -87.6547405174073, 41.7533904946513, 41.7541228250604)",24109.69740792703,111.94136538290932
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,17,12,17012,"c(-87.6502220055025, -87.6513370738234, 41.7505489023711, 41.7514309205069)",24109.69740792703,134.81691757373747
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,15,42,15042,"c(-87.6773928285526, -87.6796495479534, 41.7720310342745, 41.7738143349558)",24109.69740792703,272.66135591947204
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,15,22,15022,"list(c(-87.688568458212, -87.689813538553, 41.7808608175514, 41.7818443288641), c(-87.6910211340666, -87.6910600119809, 41.7827981885767, 41.7828288969162))",24109.69740792703,155.08941661654154
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,15,39,15039,"c(-87.6910600119809, -87.6932892377943, 41.7828288969162, 41.7845896152952)",24109.69740792703,269.24893679940453
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,15,24,15024,"c(-87.689813538553, -87.6910211340666, 41.7818443288641, 41.7827981885767)",24109.69740792703,145.86134936870732
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,3,14,32,14032,"c(-87.6960462572313, -87.6985415247786, 41.7867670096811, 41.7887374975598)",24109.69740792703,301.34381296232607
