ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4,lat_A,lon_A,lat_B,lon_B,ward_locate,precinct_locate,ward_precinct_locate,geometry
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,23,22,23022,"c(-87.7874468764176, -87.7813131139898, 41.7796634766643, 41.778983383035)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,23,38,23038,"c(-87.7813131139898, -87.7776314628733, 41.778983383035, 41.7785750087208)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,23,15,23015,"c(-87.7966166523805, -87.7874468764176, 41.7806795592651, 41.7796634766643)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,29,13029,"c(-87.7372604495036, -87.7336084395645, 41.77408894194, 41.7736823989416)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,43,13043,"c(-87.7592342655081, -87.7555764642553, 41.7765325245946, 41.7761260647851)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,13,13013,"c(-87.7480634695285, -87.7431817012377, 41.7752908306295, 41.774747840994)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,27,13027,"c(-87.7555764642553, -87.7480634695285, 41.7761260647851, 41.7752908306295)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,26,13026,"c(-87.7665849304583, -87.7592342655081, 41.7773489739824, 41.7765325245946)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,1,13001,"c(-87.7714969009376, -87.7712442173207, 41.7778942811761, 41.7778662345887)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,23,39,23039,"c(-87.7776314628733, -87.7714969009376, 41.7785750087208, 41.7778942811761)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,47,13047,"c(-87.7140732495346, -87.7127660757129, 41.7715056833629, 41.7713599076497)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,18,43,18043,"c(-87.7127660757129, -87.7029403585177, 41.7713599076497, 41.7702636505195)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,17,20,17020,"c(-87.6560776648611, -87.6528867740134, 41.7650231361505, 41.7646655847722)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,6,42,06042,"c(-87.6455911826014, -87.6443629, 41.7638477395151, 41.76371)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,34,13034,"c(-87.7226024226095, -87.717684539601, 41.7724564747113, 41.7719083331181)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,30,13030,"c(-87.717684539601, -87.7140732495346, 41.7719083331181, 41.7715056833629)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,17,37,17037,"c(-87.6788240528775, -87.6699350825858, 41.7675692816978, 41.7665748417289)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,5,13005,"c(-87.7288061073942, -87.7262725255154, 41.7731476178, 41.7728653974098)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,46,13046,"c(-87.7262725255154, -87.7226024226095, 41.7728653974098, 41.7724564747113)"
11,Alley Speed Hump Menu,W 6 ST & W 8 ST & S EMERALD AV & S HALSTED ST,2007,1000,8612,S EMERALD AV & W 6th ST,S HALSTED ST & W 6th ST,S EMERALD AV & W 8th ST,S HALSTED ST & W 8th ST,41.7962323,-87.937842,google,41.76371,-87.6443629,google,NA,NA,google,41.76371,-87.6443629,google,41.7962323,-87.937842,41.76371,-87.6443629,13,37,13037,"c(-87.7421563541893, -87.7372604495036, 41.7746337661978, 41.77408894194)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,23,2,23002,"c(-87.7356134339103, -87.7429851973806, 41.801647087815, 41.8013898408626)"
3,Alley Speed Hump Menu,W 6 ST & W 7 ST & S MARSHFIELD AV & S PAULINA ST,2008,2000,2598,S MARSHFIELD AV & W 6th ST,S PAULINA ST & W 6th ST,S MARSHFIELD AV & W 7th ST,S PAULINA ST & W 7th ST,NA,NA,google,41.8040089,-87.667287,google,41.79443,-87.937526,google,41.8040089,-87.667287,google,41.8040089,-87.667287,41.79443,-87.937526,16,13,16013,"c(-87.6794572655275, -87.6842832514681, 41.8035911915565, 41.8034251966517)"
