ward,type,location,year,est_cost,id,intersection_1,intersection_2,intersection_3,intersection_4,intersection_5,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4,lat_5,lon_5,query_5,total_area,ward_locate,precinct_locate,ward_precinct_locate,intersect_area,geometry_list
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,30,22,30022,26949.630442577378,"list(c(-87.7350467098642, -87.7301713015279, -87.73017518854, -87.7301797068327, -87.730189046762, -87.7301925509675, -87.7350585319875, -87.735050951025, -87.7350467098642, 41.9153659851813, 41.9155264589329, 41.9156808233527, 41.9158421530483, 41.9161756811772, 41.9162993423931, 41.9157934544155, 41.9154917871215, 41.9153659851813))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,35,36,35036,89207.47581271314,"list(c(-87.6985831795769, -87.7021452102651, -87.7021286244018, -87.7021230859508, -87.7021222258919, -87.7021093347601, -87.7020930499525, -87.7020888497756, -87.7018644170224, -87.701658106727, -87.7015223721043, -87.701194817977, -87.7010609185206, -87.7008283936092, -87.700804913393, -87.7005802084133, -87.700463474841, -87.7003413040051, -87.6999939070956, -87.6998859469041, -87.6997800816027, -87.6994442568908, -87.6993095777331, -87.6990149000797, -87.6987742842021, -87.6987414708375, -87.6985989737492, 
-87.6984230011445, -87.6982327689096, -87.698081302673, -87.6977155716128, -87.6976176077413, -87.6973539563222, -87.6972005824372, -87.6972041325866, -87.6972069205813, -87.6972150896808, -87.6972194235942, -87.6972220277961, -87.6972258882935, -87.6972295963974, -87.6972326116339, -87.6972391812086, -87.6972403643616, -87.6972534185426, -87.6972564601869, -87.6972611230487, -87.6979092159109, -87.6980249855803, -87.6980430531292, -87.6984342585874, -87.6985831795769, 41.9195803898633, 41.9192111019288, 
41.9186852807624, 41.9185000694586, 41.9184713137157, 41.9180402259606, 41.9175637930749, 41.9174448380893, 41.9174467294655, 41.9174473493568, 41.9174477567961, 41.9174511680369, 41.9174522559978, 41.9174541446974, 41.9174544075063, 41.9174569211056, 41.9174572028553, 41.9174574978713, 41.9174610180311, 41.9174621118525, 41.9174631842003, 41.9174669015627, 41.9174687661054, 41.9174728455182, 41.9174756049523, 41.9174758517103, 41.9174769230378, 41.917478245976, 41.9174800051411, 41.9174814054696, 
41.9174848359637, 41.9174857546667, 41.9174882738187, 41.9174894840445, 41.9176017959317, 41.9177576287172, 41.9180079748455, 41.9181424111973, 41.9182231888346, 41.9184079240012, 41.9185426310249, 41.9186521701775, 41.9188786054468, 41.9189150460283, 41.919317102284, 41.919425653371, 41.9195920617718, 41.9195867340812, 41.9195857819299, 41.9195856332671, 41.9195822536933, 41.9195803898633))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,35,31,35031,756.4437718475269,"list(c(-87.6972646517542, -87.6985831795769, -87.6984342585874, -87.6980430531292, -87.6980249855803, -87.6979092159109, -87.6972611230487, -87.6972638654256, -87.6972646517542, 41.9197170571633, 41.9195803898633, 41.9195822536933, 41.9195856332671, 41.9195857819299, 41.9195867340812, 41.9195920617718, 41.9196896068399, 41.9197170571633))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,32,33,32033,132955.56807777463,"list(c(-87.6647521036765, -87.6649578475543, -87.6650156987518, -87.665207005396, -87.6652389685531, -87.6654262935267, -87.6657218469508, -87.6657699495759, -87.6660643552859, -87.6660705807224, -87.6663139252089, -87.666351598403, -87.6664625890376, -87.6667338965883, -87.6668275897829, -87.6669239017644, -87.6671768092442, -87.6673389288939, -87.6675351574151, -87.6675559901406, -87.6675564087294, -87.6684686633333, -87.6685601058156, -87.6685601267814, -87.6697560400922, -87.6706065286168, -87.670606525703, 
-87.6700405001869, -87.6698121447827, -87.6696197102143, -87.6696197021937, -87.6698781263478, -87.6699953077372, -87.6700349952186, -87.6700353164011, -87.670033712002, -87.6699573576948, -87.6698965823388, -87.6698637557404, -87.6698066209814, -87.6697952641757, -87.6697359046501, -87.6697342295741, -87.6696767051216, -87.6697214550027, -87.6697232442842, -87.6697811272753, -87.6697812154778, -87.6697811936799, -87.6697633957056, -87.6697633496118, -87.6697236991122, -87.6696635318975, -87.6696173317411, 
-87.6695313450871, -87.66937497955, -87.6693476570264, -87.6692022629265, -87.6691718513783, -87.6691124719269, -87.6689738094256, -87.6687524763387, -87.668736562339, -87.6687152732708, -87.6686838051882, -87.6686639346777, -87.6686544447547, -87.6686544019932, -87.6690438184767, -87.6691799139291, -87.669279859239, -87.6693116959799, -87.6693732662939, -87.6693756954301, -87.669496903166, -87.6695171037814, -87.669703461415, -87.6700089643664, -87.6702005198211, -87.6704570508903, -87.6706566479124, 
-87.6707512172443, -87.670939197671, -87.6710815994155, -87.6712474951106, -87.6713480387108, -87.6715450475157, -87.6718262981482, -87.6720574941457, -87.6720617571786, -87.6721102289781, -87.6724089000567, -87.6727615343569, -87.6727580806743, -87.6727514765273, -87.6727497076697, -87.6645127522779, -87.6645345573031, -87.6646019431084, -87.6646744944563, -87.6647521036765, 41.9179919021869, 41.9181517711942, 41.9182044008185, 41.9183784399576, 41.9184075182574, 41.9185882465132, 41.9189300054821, 
41.918999988513, 41.9194284270097, 41.9194374916927, 41.9198037916411, 41.9198605003833, 41.9200275549369, 41.9202895573933, 41.9203800350677, 41.9204730415747, 41.9207205015489, 41.9208790977732, 41.9211463708008, 41.9211756986676, 41.9211756566383, 41.9210848894125, 41.9210809594926, 41.9210809574186, 41.9209571834185, 41.920305196176, 41.9203051936894, 41.9199120777916, 41.9197534783023, 41.9196203062617, 41.919620300178, 41.9194139184729, 41.9193192336068, 41.9192704633312, 41.9192700686457, 
41.9192689155839, 41.9192140479567, 41.9191793967278, 41.9191606805045, 41.9191283019019, 41.9191218655514, 41.9190882487597, 41.9190868609282, 41.9190391965849, 41.918975651942, 41.9189741732653, 41.918926330951, 41.9189262581898, 41.9189261987886, 41.9188775708649, 41.9188774449129, 41.918847715049, 41.9188034599451, 41.9187695036737, 41.9187063048647, 41.9185909349699, 41.9185707756768, 41.9184629099606, 41.9184404273333, 41.9183965294028, 41.9182910824035, 41.9181227675968, 41.9181038934472, 
41.9180786446277, 41.9180129440518, 41.917953715902, 41.9179254297282, 41.9179253015997, 41.9179186583544, 41.917916336413, 41.9179146019012, 41.9179140319017, 41.9179129293856, 41.917912885803, 41.917908894528, 41.9179082292077, 41.9179020921177, 41.9178920308501, 41.9178857218283, 41.9178772722479, 41.9178706974185, 41.917872556822, 41.9178762525228, 41.9178790525044, 41.917882313794, 41.9178842903039, 41.9178777160226, 41.9178683309367, 41.9178636253312, 41.9178635384664, 41.9178625494968, 41.9178564551102, 
41.917849874852, 41.9177302269583, 41.9174704749626, 41.9174009088125, 41.9176674379057, 41.9177027109578, 41.9178012369987, 41.9178976800243, 41.9179919021869))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,26,24,26024,6703.801660310355,"list(c(-87.7188456040964, -87.7182122784512, -87.7179937825778, -87.7178886135181, -87.717528317626, -87.7170086798864, -87.7167722447804, -87.7167755499835, -87.7167829097007, -87.7167832950561, -87.7192234915057, -87.719220484886, -87.7192192724852, -87.7190925070247, -87.7188456040964, 41.9172575216115, 41.9172651349869, 41.9172678915613, 41.917269218421, 41.917273187099, 41.9172800036518, 41.917282732138, 41.9173678298154, 41.9176796688032, 41.9176923208381, 41.9174389493332, 41.9173571943467, 
41.9172527915621, 41.9172542048974, 41.9172575216115))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,32,5,32005,102957.05551927214,"list(c(-87.6844386801576, -87.6840637936744, -87.6834630162002, -87.6830354100867, -87.6827906504764, -87.6825185335497, -87.6823633740329, -87.6819960264231, -87.6817319777175, -87.6806149080821, -87.6802658120052, -87.680096015036, -87.6797622646971, -87.6795779262679, -87.6790654531861, -87.678472385718, -87.6783953580368, -87.6783239910594, -87.6781365089826, -87.6777931729531, -87.6777361262173, -87.6776214976462, -87.6776284397947, -87.677637264081, -87.6776423899195, -87.6776476898559, -87.6776610457382, 
-87.6776692861976, -87.6776724100821, -87.677675158007, -87.6781624858347, -87.6781902334891, -87.6782429827686, -87.6783797614743, -87.6792486940458, -87.6796280688766, -87.6799548523972, -87.6801472280786, -87.6802245375551, -87.6802819045314, -87.6806637632678, -87.6807549960962, -87.6812618242717, -87.6817255444508, -87.6820468242092, -87.6822540923781, -87.6825636601307, -87.682726343444, -87.6830841844945, -87.6831356717242, -87.683719712681, -87.6844921368674, -87.6846728027906, -87.6850063447178, 
-87.6850012409482, -87.6849868422778, -87.6849813526824, -87.684973101146, -87.6849619151988, -87.6849589463677, -87.6846723615065, -87.6844386801576, 41.91762400018, 41.9176309081568, 41.917641971606, 41.917649847591, 41.9176543552118, 41.9176588952351, 41.9176614835824, 41.9176685968654, 41.9176737090546, 41.9176952980236, 41.9177020424516, 41.917706628724, 41.9177156427786, 41.9177192034216, 41.9177291003236, 41.9177405383367, 41.9177420471382, 41.9177433966323, 41.9177471538219, 41.9177540336415, 
41.9177552872472, 41.9177578064111, 41.917953092393, 41.9182172058448, 41.9183706240062, 41.9185207841126, 41.918899186465, 41.9191222566161, 41.9192068243761, 41.9192806320679, 41.9192708844162, 41.9192703292384, 41.9192692739973, 41.9192673275982, 41.9192504739595, 41.9192433756607, 41.9192372606113, 41.9192330444898, 41.9192313500599, 41.9192300926505, 41.9192226060454, 41.9192208175127, 41.919210881306, 41.9192017959296, 41.9191954952296, 41.9191914297508, 41.919185017835, 41.9191816477622, 41.9191746545004, 
41.9191736483162, 41.9191621897782, 41.9191470522755, 41.9191435110261, 41.9191373168682, 41.9190029130882, 41.9185306050208, 41.9183797677063, 41.9181530313901, 41.9177625742875, 41.9176146276864, 41.9176196934768, 41.91762400018))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,35,14,35014,102566.9218283438,"list(c(-87.7134964106996, -87.708631477255, -87.708635828069, -87.7086537568537, -87.7086569074302, -87.7086708502693, -87.7083520768306, -87.7075412047345, -87.7071600626935, -87.7070446290301, -87.7069674387049, -87.7070018729997, -87.7070022187789, -87.7070150996117, -87.7119030325925, -87.7119016161612, -87.7118994979549, -87.7118989632567, -87.7118988959176, -87.7119036925577, -87.7119050838463, -87.7122800926426, -87.7128193430034, -87.7133749347862, -87.713504997446, -87.7135210220408, -87.7135362262905, 
-87.7135190751056, -87.7135176963991, -87.7135072736283, -87.7134968133546, -87.7134964106996, 41.9160737469351, 41.9162329629777, 41.916374907372, 41.9168532828439, 41.9169373423124, 41.9173801173822, 41.9173835968106, 41.9173955086219, 41.9174007029897, 41.9174013006592, 41.91740170014, 41.9183506143104, 41.9183601554128, 41.9187060387502, 41.9181988892895, 41.918147371353, 41.9178673109437, 41.9177966144876, 41.917787725013, 41.9174485918387, 41.9173422615423, 41.9173375111129, 41.9173315900606, 
41.9173265779754, 41.9173233358472, 41.9173229368928, 41.9172544428394, 41.9167958184235, 41.9167589636473, 41.9164349783873, 41.91608829839, 41.9160737469351))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,26,6,26006,1721.9644288259146,"list(c(-87.7192234915057, -87.7212374241895, -87.721087972927, -87.7206096654598, -87.7204414557682, -87.7203512152568, -87.719895888433, -87.7192192724852, -87.719220484886, -87.7192234915057, 41.9174389493332, 41.9172297973973, 41.9172316842535, 41.9172390670515, 41.9172394591268, 41.9172396634811, 41.9172452450211, 41.9172527915621, 41.9173571943467, 41.9174389493332))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,43,47,43047,39294.23791706358,"list(c(-87.6436685685319, -87.6412479512754, -87.6412581448991, -87.64126000901, -87.641273589658, -87.6412817376816, -87.6412885519758, -87.6413048058483, -87.6437284012762, -87.6437283931257, -87.6436989481044, -87.6436796344703, -87.6436685685319, 41.9182986159842, 41.9183560594931, 41.9186669410525, 41.9187237846478, 41.9190991667573, 41.9193339571633, 41.9195303198216, 41.920108844822, 41.9200720473761, 41.9200718061784, 41.9192038795488, 41.9186327999958, 41.9182986159842))"
43,Miscellaneous-CDOT,W ARMITAGE AVE & N CLARK ST & W CORTLAND ST & N HALSTED ST & W FULLERTON AVE,2010,90000,37415,N CLARK ST & W ARMITAGE AVE,N HALSTED ST & W ARMITAGE AVE,N CLARK ST & W CORTLAND ST,N HALSTED ST & W CORTLAND ST,N CLARK ST & W FULLERTON AVE,41.9184774,-87.6361277,google,41.918183648000024,-87.64850884399993,census,41.9151671,-87.7410804,google,41.9151671,-87.7410804,google,41.925588281000046,-87.64047710899996,census,3454317.8500179574,32,31,32031,21543.08949424062,"list(c(-87.6776028145719, -87.6727497076697, -87.6727514765273, -87.6727580806743, -87.6727615343569, -87.6728933339225, -87.6732989775041, -87.6736643803078, -87.6739757733339, -87.6741495842179, -87.6744680610785, -87.6749534581799, -87.6751869630318, -87.6753895459486, -87.6756596231702, -87.6761696439086, -87.6764035238137, -87.6765915993719, -87.6769257985497, -87.6773788451974, -87.6776214976462, -87.6776069017424, -87.6776051332935, -87.6776028145719, 41.9172435967083, 41.9174009088125, 41.9174704749626, 
41.9177302269583, 41.917849874852, 41.9178474148488, 41.9178396762474, 41.9178327475677, 41.9178269982611, 41.9178237887559, 41.9178173290576, 41.9178074623616, 41.9178041135779, 41.9178012078851, 41.9177956750014, 41.9177851758121, 41.9177809622687, 41.9177775735417, 41.9177714439289, 41.9177631383441, 41.9177578064111, 41.917347208473, 41.9173023848511, 41.9172435967083))"
