ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,total_length,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,intersect_length,geometry
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,16022,22,1917659.19635,8006.75221359,16,347.79854131061904,"list(c(-87.6879464843783, -87.6885684739966, 41.7803694929196, 41.7808608300202), c(-87.684230043145, -87.6864871856353, 41.7774334848509, 41.7792166855949))"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,16024,24,1963226.21,5699.76335417,16,214.1881425899194,"list(c(-87.6773925095463, -87.6787429524404, 41.7720307821798, 41.773097943929), c(-87.6768274131382, -87.6772496974973, 41.771584210286, 41.7719179246802))"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,16032,32,2428831.73561,7971.81290846,16,514.1371233626694,"c(-87.6935502363445, -87.6978073625181, 41.7847957516869, 41.7881577551325)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,17010,10,2516507.74971,8316.93602416,17,273.60032022370615,"c(-87.6479593177279, -87.6502221669148, 41.7487590105492, 41.7505490300507)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,17011,11,1759705.39493,5970.61637354,17,106.10776109309496,"c(-87.6674407796006, -87.6683187649069, 41.7641650345076, 41.7648590974215)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,17019,19,2054716.04339,7286.7562307,17,449.14693012620313,"c(-87.669922208939, -87.673639018221, 41.7661265922877, 41.7690643876455)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,17023,23,1744393.52093,5279.32449414,17,262.22555738067564,"c(-87.6615154482598, -87.6636849430564, 41.7594803878437, 41.7611957343145)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,17024,24,1767601.93367,6847.64434328,17,284.8101266565836,"c(-87.6502221669148, -87.6525778624144, 41.7505490300507, 41.7524123421107)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,17026,26,4312368.63177,11697.0479123,17,332.3911753632911,"c(-87.6587656124895, -87.6615154482598, 41.7573059948727, 41.7594803878437)"
43,School Projects,Alcott School - outdoor amphitheatre & play lot,2013,20000,37678,Alcott School & outdoor amphitheatre,Alcott School & play lot,41.7198897,-87.6114894,google,41.8775188,-87.8111978,google,24109.69740792703,17029,29,2434272.31551,7321.93088768,17,748.0374133226098,"c(-87.6525778624144, -87.6587656124895, 41.7524123421107, 41.7573059948727)"
