ward,type,location,year,est_cost,id,school_park_name,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
22,Lawndale Triangle Community Garden,Lawndale Triangle Community Garden,2016,13415,18875,Lawndale Triangle Community Garden,google,"c(-87.730968, 41.849171)",22021,21,6507096.07815,11403.7692941,22
43,Schools,Lincoln Park High School,2005,20000,37164,Lincoln Park High School,google,"c(-87.6458448, 41.9184082)",43007,7,2002647.44037,7830.12789198,43
43,Chicago Park District,Restoration of Door at the Alfred Lily Pool at the Lincoln Park Conserancy,2010,5000,37443,Lincoln park,google,"c(-87.6487783, 41.9254701)",43016,16,1746209.07946,5286.74545374,43
43,Miscellaneous-CDOT,Lincoln Park Trolley,2007,55000,37242,Lincoln Park,google,"c(-87.6487783, 41.9254701)",43016,16,1746209.07946,5286.74545374,43
43,Miscellaneous-CDOT,Lincoln Park Trolley,2008,59500,37283,Lincoln Park,google,"c(-87.6487783, 41.9254701)",43016,16,1746209.07946,5286.74545374,43
43,Miscellaneous-CDOT,Lincoln Park Summer Trolley,2008,55000,37284,Lincoln Park,google,"c(-87.6487783, 41.9254701)",43016,16,1746209.07946,5286.74545374,43
43,Chicago Park District,Lincoln Park Zoo,2010,55000,37442,Lincoln Park,google,"c(-87.6487783, 41.9254701)",43016,16,1746209.07946,5286.74545374,43
43,Lincoln Park Conservatory Park - Benches,Lincoln Park Conservatory,2019,10000,37980,Lincoln Park,google,"c(-87.6487783, 41.9254701)",43016,16,1746209.07946,5286.74545374,43
47,Miscellaneous-Other,Lincoln Square Community Garden,2009,10000,40610,Lincoln Square Community Garden,google,"c(-87.6889648, 41.9686816)",40038,38,1747570.67614,5731.60418273,40
49,Chicago Park District,Loyola Beach Dunes - sign,2009,2930,42432,Loyola Beach Dunes - sign,google,"c(-87.6578047, 42.0082785)",49029,29,1363591.13404,6190.10517091,49
49,Chicago Park District,Loyola Park,2010,50000,42467,Loyola Park,google,"c(-87.6619076, 42.0117116)",49027,27,1356218.98812,5247.90456483,49
49,Loyola Park Exercise Equipment,Loyola Park,2020,100000,42939,Loyola Park,google,"c(-87.6619076, 42.0117116)",49027,27,1356218.98812,5247.90456483,49
