ward,type,location,year,est_cost,id,school_park_name,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
25,School Projects,Benito Juarez High School - public art,2012,50000,21889,Benito Juarez High School,google,"c(-87.6642827, 41.8525773)",25007,7,4670310.85588,13519.0153413,25
23,Schools,Blair Early Childhood Center Playground,2008,50000,19495,Blair Early Childhood Center,google,"c(-87.7896451, 41.7763901)",23035,35,1446790.89585,5337.36870749,23
33,Chicago Park District,Brand Park,2008,20000,28872,Brand Park,google,"c(-87.6992049, 41.9411802)",33009,9,3966688.47215,10864.1857749,33
35,Schools,Brentano School,2008,19753,30666,Brentano School,google,"c(-87.6961091, 41.9310452)",32043,43,2005787.19924,7818.02334887,32
48,Chicago Park District,Brohman Playlot,2005,200000,41460,Brohman Park,google,"c(-87.6044011, 41.788188)",05015,15,5782559.50346,12519.6531493,5
41,Chicago Park District,Brooks Park- tennis cours surface and fence repair,2012,60000,35879,Brooks Park,google,"c(-87.5992989, 41.811426)",04015,15,1756317.73397,6759.39356436,4
33,Chicago Park District,Buffalo Park,2007,20000,28827,Buffalo Park,google,"c(-87.698327, 41.9632508)",33024,24,2814974.72322,9101.60965872,33
4,Chicago Park District,Burnham Park,2008,200000,3327,Burnham Park,google,"c(-87.5985856, 41.8253531)",04004,4,7165561.13062,12756.2117471,4
4,Chicago Park District,Burnham Park,2008,25000,3328,Burnham Park,google,"c(-87.5985856, 41.8253531)",04004,4,7165561.13062,12756.2117471,4
26,Schools,Cameron School - 1234 N. Monticllo,2011,20000,22645,Cameron School,google,"c(-87.7182641, 41.9040769)",26031,31,1913315.3299,9698.84780823,26
46,Chicago Park District,Carendon Park,2007,300000,39817,Carendon Park,google,"c(-87.6486024, 41.9633603)",46029,29,14906959.8752,31465.4812298,46
47,Miscellaneous Other,Chase Park Improvements - 4701 N. Ashland,2012,20000,40742,Chase Park,google,"c(-87.6682323, 41.9675376)",47031,31,1676951.78609,5626.22461721,47
25,Chicago Park District,Claremont Playlot Park,2011,25000,21859,Claremont Park Park,google,"c(-87.6853982, 41.8732227)",28046,46,4202789.46934,11042.5628344,28
25,Chicago Park District,Claremont Playlot Park,2012,75000,21882,Claremont Park Park,google,"c(-87.6853982, 41.8732227)",28046,46,4202789.46934,11042.5628344,28
46,Chicago Park District,Clarenson Park,2007,124050,39815,Clarenson Park,google,"c(-87.6486024, 41.9633603)",46029,29,14906959.8752,31465.4812298,46
1,Chicago Park District,Commercial Park Gym Floor,2005,29000,94,Commercial Park,google,"c(-87.6738079, 41.896629)",01004,4,1491991.72429,6351.76367177,1
1,Chicago Park District,Dean Park & Commercial Park,2008,72500,304,Commercial Park,google,"c(-87.6738079, 41.896629)",01004,4,1491991.72429,6351.76367177,1
1,Chicago Park District,"Maplewood Park,Commerical Park,Dean Park",2007,100000,225,Commerical Park,google,"c(-87.6738079, 41.896629)",01004,4,1491991.72429,6351.76367177,1
26,Schools,Darwin School - 3116 W. Belden,2011,20000,22647,Darwin School,google,"c(-87.704745, 41.9234844)",32020,20,1245202.90861,5060.56247738,32
1,Chicago Park District,Dean Park,2005,50000,93,Dean Park,google,"c(-87.6708675, 41.9069074)",01021,21,2410403.60641,6626.31339185,1
1,Chicago Park District,"Maplewood Park,Commerical Park,Dean Park",2007,100000,225,Dean Park,google,"c(-87.6708675, 41.9069074)",01021,21,2410403.60641,6626.31339185,1
1,Chicago Park District,Dean Park & Commercial Park,2008,72500,304,Dean Park,google,"c(-87.6708675, 41.9069074)",01021,21,2410403.60641,6626.31339185,1
22,Miscellaneous-Other,Dominguez campus park,2009,990374,18605,Dominguez campus park,google,"c(-87.6583005, 42.0002465)",49007,7,2837971.05904,8078.93453544,49
22,Miscellaneous-Other,Dominguez Campus Park,2008,709626,18597,Dominguez Campus Park,google,"c(-87.6583005, 42.0002465)",49007,7,2837971.05904,8078.93453544,49
23,Schools,Dore School,2007,8100,19396,Dore School,google,"c(-87.7998245, 41.7743673)",23018,18,7389228.0059,12632.6586977,23
33,Drake Gardens Community Garden w/ NeighborSpace,Drake Garden,2020,50000,29319,Drake Garden,google,"c(-87.716602, 41.966011)",33001,1,2285365.88668,6635.70053866,33
49,Chicago Park District,Dubkin Park - Landscaping Beds,2010,10576,42464,Dubkin Park,google,"c(-87.670519, 42.0174314)",49005,5,1734221.49423,6494.8187344,49
49,Chicago Park District,Dubkin Park - Community Garden - 7442 N. Ashland,2010,22424,42465,Dubkin Park,google,"c(-87.670519, 42.0174314)",49005,5,1734221.49423,6494.8187344,49
3,Miscellaneous-CDOT,DuSable Public High School,2008,154200,2608,DuSable Public High School,google,"c(-87.6246017, 41.804837)",03001,1,10473237.0263,15826.7191762,3
19,Miscellaneous Other,Edna White Garden,2012,20000,16562,Edna White Garden,google,"c(-87.6678971, 41.6914669)",19048,48,5334234.26273,11854.2548069,19
26,Schools,Erie Charter School - 1405 N. Washtenaw,2011,20000,22643,Erie Charter School,google,"c(-87.6943513, 41.906863)",01024,24,1397194.55142,5635.44262155,1
39,Chicago Park District,Eugene Field and Sauganash Park,2008,100000,34147,Eugene Field,google,"c(-87.7223602, 41.9747187)",39033,33,3880863.59378,10252.0833997,39
39,POD Camera,5100 N. Ridgeway - Eugene Field,2009,25000,34198,Eugene Field,google,"c(-87.7223602, 41.9747187)",39033,33,3880863.59378,10252.0833997,39
35,Miscellaneous-CDOT,Fireman's Park Restoration,2008,257,30605,Fireman's Park,google,"c(-87.7121046, 41.9321925)",35017,17,1295038.60655,7846.97521226,35
35,Miscellaneous-CDOT,Fireman's Park Restoration,2009,32,30672,Fireman's Park,google,"c(-87.7121046, 41.9321925)",35017,17,1295038.60655,7846.97521226,35
35,Miscellaneous-CDOT,Fireman's Park Restoration,2010,2153,30719,Fireman's Park,google,"c(-87.7121046, 41.9321925)",35017,17,1295038.60655,7846.97521226,35
35,Miscellaneous-CDOT,Fireman's Park Restoration,2011,1824,30783,Fireman's Park,google,"c(-87.7121046, 41.9321925)",35017,17,1295038.60655,7846.97521226,35
45,Chicago Park District,Forest Glen Playlot,2005,82,38987,Forest Glen Park,google,"c(-87.754575, 41.9776299)",39041,41,4655506.24713,12716.123578,39
45,Chicago Park District,Forest Glen Playlot,2006,1366,39036,Forest Glen Park,google,"c(-87.754575, 41.9776299)",39041,41,4655506.24713,12716.123578,39
45,Chicago Park District,Forest Glen Playlot,2007,340,39083,Forest Glen Park,google,"c(-87.754575, 41.9776299)",39041,41,4655506.24713,12716.123578,39
45,Chicago Park District,Forest Glen Playlot,2008,12551,39117,Forest Glen Park,google,"c(-87.754575, 41.9776299)",39041,41,4655506.24713,12716.123578,39
45,Chicago Park District,Forest Glen Playlot,2009,185661,39149,Forest Glen Park,google,"c(-87.754575, 41.9776299)",39041,41,4655506.24713,12716.123578,39
10,Schools,George Washington High School,2010,10000,7940,George Washington High School,google,"c(-87.5379655, 41.687694)",10014,14,12853731.0962,18803.6101555,10
46,Chicago Park District,Gill Park,2007,200000,39816,Gill Park,google,"c(-87.6505923, 41.9523528)",46038,38,935579.219601,4643.88804616,46
45,Chicago Park District,Gladstone Park,2006,100000,39035,Gladstone Park,google,"c(-87.7750136, 41.9811108)",45040,40,3697078.35369,11213.1377566,45
1,School Projects,Goethe School - Campus Park,2012,100000,480,Goethe School - Campus Park,google,"c(-87.6931892, 41.9227455)",01016,16,1517083.36584,5316.44215212,1
39,Chicago Park District,Gompers Park Playground Equipment - 4222 W. Foster,2010,50000,34240,Gompers Park,google,"c(-87.7367788, 41.9761424)",39038,38,4049121.02651,10400.8209386,39
48,Schools,Goudy School Campus Park,2007,9600,41552,Goudy School Campus Park,google,"c(-87.6580331, 41.9759442)",48021,21,1483140.49784,4891.81339438,48
48,Schools,Goudy School,2008,20000,41586,Goudy School,google,"c(-87.6580331, 41.9759442)",48021,21,1483140.49784,4891.81339438,48
48,School Projects,Goudy School - Exterior Cameras,2013,25000,41718,Goudy School,google,"c(-87.6580331, 41.9759442)",48021,21,1483140.49784,4891.81339438,48
46,Schools,Greeley Elementary - playground equipment,2011,100000,39938,Greeley Elementary - playground equipment,google,"c(-87.6508832, 41.9529857)",46038,38,935579.219601,4643.88804616,46
40,Drinking Fountains at Mather; Green Briar,Green Briar Park,2020,120000,35376,Green Briar Park,google,"c(-87.696404, 41.9913324)",40010,10,2387612.49779,6596.30564642,40
1,Chicago Park District,Haas Park Field House,2012,605000,479,Haas Park Field,google,"c(-87.7142944, 41.9242299)",35007,7,1597712.60681,6644.98019313,35
1,Chicago Park District,Haas Park Fieldhouse,2010,200000,370,Haas Park,google,"c(-87.6961085, 41.9251799)",01041,41,957339.456421,5412.38685637,1
1,Chicago Park District,Haas Park,2013,450000,531,Haas Park,google,"c(-87.6961085, 41.9251799)",01041,41,957339.456421,5412.38685637,1
32,Chicago Park District,Hamin Park,2007,98750,27979,Hamin Park,google,"c(-87.6794228, 41.9366872)",32038,38,2006048.6629,7182.36679696,32
