ward,type,location,year,est_cost,id,start_address,end_address,lat_1,lon_1,query_1,lat_2,lon_2,query_2,total_length,ward_locate,precinct_locate,ward_precinct_locate,intersect_length,geometry
31,Alley Apron Menu,3112-3210 NLAMON AVE,2021,5988.675,27692,3112 NLAMON AVE,3210 NLAMON AVE,41.9373532,-87.7492758,google,41.9391272,-87.7493416,google,197.3351784176339,31,38,31038,160.42159467872574,"c(-87.7492758, -87.7493292911519, 41.9373532, 41.9387953549762)"
31,Alley Apron Menu,3112-3210 NLAMON AVE,2021,5988.675,27692,3112 NLAMON AVE,3210 NLAMON AVE,41.9373532,-87.7492758,google,41.9391272,-87.7493416,google,197.3351784176339,30,9,30009,36.9135837384393,"c(-87.7493292911519, -87.7493416, 41.9387953549762, 41.9391272)"
1,Alley Speed Hump Menu,3505-3539 WARMITAGE AVE,2022,700,992,3505 WARMITAGE AVE,3539 WARMITAGE AVE,41.9171013,-87.7138167,google,41.9173171,-87.7151436,google,112.38139402831565,26,40,26040,104.68860809472372,"c(-87.7138167, -87.7150527701087, 41.9171013, 41.9173023284403)"
1,Alley Speed Hump Menu,3505-3539 WARMITAGE AVE,2022,700,992,3505 WARMITAGE AVE,3539 WARMITAGE AVE,41.9171013,-87.7138167,google,41.9173171,-87.7151436,google,112.38139402831565,26,26,26026,7.692785933591928,"c(-87.7150527701087, -87.7151436, 41.9173023284403, 41.9173171)"
22,Alley Resurfacing Menu,2700-2758 S SAWYER AVE,2022,23520.15,19182,2700 S SAWYER AVE,2758 S SAWYER AVE,41.84253261500004,-87.70620477899996,census,41.84161049900007,-87.70617680899994,census,102.56095749072198,22,8,22008,102.56095749077315,"c(-87.706204779, -87.7061768089999, 41.842532615, 41.8416104990001)"
44,Alley Resurfacing Menu,3154-3184 N CLARKST,2021,7070.74333333333,38849,3154 N CLARKST,3184 N CLARKST,41.9391245,-87.650436,google,41.9398812,-87.6507725,google,88.6252093674507,44,20,44020,88.6252093674507,"c(-87.650436, -87.6507725, 41.9391245, 41.9398812)"
44,Alley Resurfacing Menu,850-918 W FLETCHER ST,2021,7070.74333333333,38849,850 W FLETCHER ST,918 W FLETCHER ST,41.9390004085188,-87.6511111005058,census,41.9389824257108,-87.6521589034221,census,86.69024138178477,44,20,44020,86.69024138179692,"c(-87.6511111005058, -87.6521589034221, 41.9390004085188, 41.9389824257108)"
44,Alley Resurfacing Menu,3236-3258 NSOUTHPORT AVE,2022,5672.35,38907,3236 NSOUTHPORT AVE,3258 NSOUTHPORT AVE,41.9408433,-87.6640231,google,41.9414839,-87.6641526,google,72.03238001175981,44,47,44047,72.03238001326707,"c(-87.6640231, -87.6641526, 41.9408433, 41.9414839)"
24,Alley Resurfacing Menu,735-757 SINDEPENDENCE BLVD,2022,17460.315,21281,735 SINDEPENDENCE BLVD,757 SINDEPENDENCE BLVD,41.8715551,-87.7193533,google,41.870967,-87.719362,google,65.39780662273748,24,4,24004,65.3978066217381,"c(-87.7193533, -87.719362, 41.8715551, 41.870967)"
39,Curb & Gutter Menu,6375-6399 N LEHIGH AVE,2021,16204.775,34619,6375 N LEHIGH AVE,6399 N LEHIGH AVE,41.99676501500005,-87.76545231299997,census,41.99730180000006,-87.76573231399999,census,64.01593799815677,41,14,41014,64.01593799859626,"c(-87.765452313, -87.765732314, 41.9967650150001, 41.9973018000001)"
26,Alley Resurfacing Menu,3524-3556 W NORTH AVE,2021,16751.2333333333,23069,3524 W NORTH AVE,3556 W NORTH AVE,41.91002186500003,-87.71518248599995,census,41.910015111000064,-87.71577678599994,census,49.18454142396638,26,14,26014,49.18454142396638,"c(-87.7151824859999, -87.7157767859999, 41.910021865, 41.9100151110001)"
44,Alley Resurfacing Menu,1244-1254 WADDISON ST,2022,6576.85,38908,1244 WADDISON ST,1254 WADDISON ST,41.9472545,-87.660761,google,41.9473091,-87.661315,google,46.21768032289705,44,13,44013,46.21768032289705,"c(-87.660761, -87.661315, 41.9472545, 41.9473091)"
50,Alley Resurfacing Menu,2801-2813 WDEVON AVE,2021,5642.81,43503,2801 WDEVON AVE,2813 WDEVON AVE,41.9972444,-87.699802,google,41.9974372,-87.7002002,google,39.27375158568105,50,26,50026,39.27375158568105,"c(-87.699802, -87.7002002, 41.9972444, 41.9974372)"
44,Alley Resurfacing Menu,3538-3550 N CLARK ST,2021,4608.785,38848,3538 N CLARK ST,3550 N CLARK ST,41.94642160700005,-87.65589492599997,census,41.94665197400008,-87.65607940099994,census,29.814940210552226,44,38,44038,29.814940210552226,"c(-87.655894926, -87.6560794009999, 41.946421607, 41.9466519740001)"
44,Alley Resurfacing Menu,3309-3321 N CLARK ST,2022,2762.315,38906,3309 N CLARK ST,3321 N CLARK ST,41.941980983000064,-87.65230553599997,census,41.94220891100008,-87.65248914399996,census,29.545885617864943,44,42,44042,29.545885617864943,"c(-87.652305536, -87.652489144, 41.9419809830001, 41.9422089110001)"
31,Alley Apron Menu,2811-2815 NLINDER AVE,2021,6577.91,27693,2811 NLINDER AVE,2815 NLINDER AVE,41.9317581,-87.7632018,google,41.9318271,-87.763514,google,26.941573713601553,31,29,31029,26.941573713601553,"c(-87.7632018, -87.763514, 41.9317581, 41.9318271)"
44,Sidewalk Menu,2935-2951 N SHEFFIELD AVE,2021,17817.455,38871,2935 N SHEFFIELD AVE,2951 N SHEFFIELD AVE,41.93549948400005,-87.65394654899995,census,41.93567464600005,-87.65395331299999,census,19.485190806316428,44,14,44014,19.485190805790474,"c(-87.653946549, -87.653953313, 41.9354994840001, 41.9356746460001)"
3,Alley Speed Hump Menu,516-538 E 44TH PL,2022,350,3175,516 E 44TH PL,538 E 44TH PL,41.813986011000054,-87.61303464199995,census,41.813989880000065,-87.61282106599998,census,17.705377536603997,3,34,03034,17.70537753554496,"c(-87.6130346419999, -87.612821066, 41.8139860110001, 41.8139898800001)"
44,Miscellaneous CDOT Projects,2937-2951 N SHEFFIELD AVE,2021,2212.5,38869,2937 N SHEFFIELD AVE,2951 N SHEFFIELD AVE,41.93552138100006,-87.65394752199995,census,41.93567464600005,-87.65395331299999,census,17.049047862958645,44,14,44014,17.049047862486116,"c(-87.653947522, -87.653953313, 41.9355213810001, 41.9356746460001)"
44,Miscellaneous CDOT Projects,2937-2951 N SHEFFIELD AVE,2022,537.5,38913,2937 N SHEFFIELD AVE,2951 N SHEFFIELD AVE,41.93552138100006,-87.65394752199995,census,41.93567464600005,-87.65395331299999,census,17.049047862958645,44,14,44014,17.049047862486116,"c(-87.653947522, -87.653953313, 41.9355213810001, 41.9356746460001)"
7,Miscellaneous CDOT Projects,8247-8251 SBUFFALO AVE,2021,150,5724,8247 SBUFFALO AVE,8251 SBUFFALO AVE,41.7452675,-87.5439552,google,41.745188,-87.5440184,google,10.278049544816593,10,4,10004,10.278049544362688,"c(-87.5439552, -87.5440184, 41.7452675, 41.745188)"
