ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat,long
39,Curb/Gutter Menu,N KENTUCKY AV-- N ELSTON AV (4882 N) -to- N ELSTON AV (4882 N),2010,26735,34208,N KENTUCKY AV AND N ELSTON AV,N KENTUCKY AV AND N ELSTON AV,41.969602027000064,-87.74257822799996,census,41.969602027000064,-87.74257822799996,census,41.969602027000064,-87.74257822799996
39,Sidewalk Menu,N KERBS AV-- N KERCHEVAL AV (5684 N) -to- N KERCHEVAL AV (5711 N),2009,8525,34183,N KERBS AV AND N KERCHEVAL AV,N KERBS AV AND N KERCHEVAL AV,41.98489,-87.7445683,google,41.98489,-87.7445683,google,41.98489,-87.7445683
39,Curb/Gutter Menu,N KEYSTONE AV-- W CULLOM AV (4300 N) -to- W CULLOM AV (4300 N),2009,54296,34163,N KEYSTONE AV AND W CULLOM AV,N KEYSTONE AV AND W CULLOM AV,41.9591084,-87.7293413,google,41.9591084,-87.7293413,google,41.9591084,-87.7293413
30,Diagonal Parking Menu,N KILDARE AV-- W ARMITAGE AV (2000 N) -to- Dead End (3121 N),2005,29000,25627,N KILDARE AV AND W ARMITAGE AV,N KILDARE AV AND Dead End,41.91707014000008,-87.73388321099998,census,NA,NA,google,41.91707014000008,-87.73388321099998
30,Street Speed Hump Menu,N KILDARE AV-- W CORTLAND ST (1900 N) -to- W CORTLAND ST (1900 N) 2,2010,3700,26001,N KILDARE AV AND W CORTLAND ST,N KILDARE AV AND W CORTLAND ST,41.91525315000007,-87.73382291299998,census,41.91525315000007,-87.73382291299998,census,41.91525315000007,-87.73382291299998
33,Curb/Gutter Menu,N KIMBALL AV-- W HUTCHINSON ST (4232 N) -to- W HUTCHINSON ST (4232 N),2008,22357,28842,N KIMBALL AV AND W HUTCHINSON ST,N KIMBALL AV AND W HUTCHINSON ST,41.958422721000034,-87.71305215499996,census,41.958422721000034,-87.71305215499996,census,41.958422721000034,-87.71305215499996
39,Curb/Gutter Menu,N KNOX AV-- Dead End (4256 N) -to- Dead End (5606 N),2008,5824,34105,N KNOX AV AND Dead End,N KNOX AV AND Dead End,41.9644126,-87.7439326,google,41.9644126,-87.7439326,google,41.9644126,-87.7439326
39,Curb/Gutter Menu,N KOSTNER AV-- W PETERSON AV (6000 N) -to- W PETERSON AV (6000 N),2008,2337,34106,N KOSTNER AV AND W PETERSON AV,N KOSTNER AV AND W PETERSON AV,41.9899551,-87.7383554,google,41.9899551,-87.7383554,google,41.9899551,-87.7383554
42,Curb/Gutter Menu,N LAKE SHORE DR-- E OHIO ST (600 N) -to- E OHIO ST (600 N),2007,1819,36409,N LAKE SHORE DR AND E OHIO ST,N LAKE SHORE DR AND E OHIO ST,41.8928096,-87.6145211,google,41.8928096,-87.6145211,google,41.8928096,-87.6145211
44,Street Bump Outs Menu,N LAKE SHORE W DR-- W BARRY AV (3040 N) -to- W BARRY AV (3040 N),2008,26746,38184,N LAKE SHORE W DR AND W BARRY AV,N LAKE SHORE W DR AND W BARRY AV,41.937184,-87.732932,google,41.937184,-87.732932,google,41.937184,-87.732932
44,Street Bump Outs Menu,N LAKE SHORE W DR-- W WELLINGTON AV (3000 N) -to- W WELLINGTON AV (3000 N),2008,23867,38183,N LAKE SHORE W DR AND W WELLINGTON AV,N LAKE SHORE W DR AND W WELLINGTON AV,41.9353895,-87.7326228,google,41.9353895,-87.7326228,google,41.9353895,-87.7326228
28,Sidewalk Menu,N LAMON AV-- W FERDINAND ST (460 N) -to- W FERDINAND ST (460 N),2006,52894,24085,N LAMON AV AND W FERDINAND ST,N LAMON AV AND W FERDINAND ST,41.88954999100008,-87.74806537399996,census,41.88954999100008,-87.74806537399996,census,41.88954999100008,-87.74806537399996
38,Street Bump Outs Menu,N LAVERGNE AV-- W ADDISON ST (3600 N) -to- W ADDISON ST (3600 N),2010,10104,33430,N LAVERGNE AV AND W ADDISON ST,N LAVERGNE AV AND W ADDISON ST,41.9460541,-87.7520117,google,41.9460541,-87.7520117,google,41.9460541,-87.7520117
27,Miscellaneous-CDOT,N LAWNDALE AV-- W OHIO ST (600 N) -to- W OHIO ST (600 N),2006,49556,23273,N LAWNDALE AV AND W OHIO ST,N LAWNDALE AV AND W OHIO ST,41.8917584,-87.7186388,google,41.8917584,-87.7186388,google,41.8917584,-87.7186388
26,Sidewalk Menu,N LAWNDALE AV-- W WABANSIA AV (1700 N) -to- W WABANSIA AV (1700 N),2010,60108,22546,N LAWNDALE AV AND W WABANSIA AV,N LAWNDALE AV AND W WABANSIA AV,41.9117863,-87.7190445,google,41.9117863,-87.7190445,google,41.9117863,-87.7190445
41,Street Resurface Menu,N LEOTI AV-- N MONON AV (6933 N) -to- N MONON AV (6933 N),2007,3863,35609,N LEOTI AV AND N MONON AV,N LEOTI AV AND N MONON AV,42.007545744000026,-87.78129376299995,census,42.007545744000026,-87.78129376299995,census,42.007545744000026,-87.78129376299995
40,Curb/Gutter Menu,N LINCOLN AV-- N RICHMOND ST (5815 N) -to- N RICHMOND ST (5815 N),2010,30169,34958,N LINCOLN AV AND N RICHMOND ST,N LINCOLN AV AND N RICHMOND ST,41.9879543,-87.7032795,google,41.9879543,-87.7032795,google,41.9879543,-87.7032795
38,Curb/Gutter Menu,N LOWELL AV-- W BELLE PLAINE AV (4100 N) -to- Dead End (4120 N),2005,33640,33126,N LOWELL AV AND W BELLE PLAINE AV,N LOWELL AV AND Dead End,41.95537162600005,-87.73685390799994,census,NA,NA,google,41.95537162600005,-87.73685390799994
31,Curb/Gutter Menu,N LOWELL AV-- Dead End (1852 N) -to- W CORTLAND ST (1900 N),2009,2958,27066,N LOWELL AV AND Dead End,N LOWELL AV AND W CORTLAND ST,NA,NA,google,41.915237071000035,-87.73504093899999,census,41.915237071000035,-87.73504093899999
29,Street Lighting,N MAJOR AV-- W NORTH AV (1600 N) -to- Dead End (1721 N),2008,97500,24955,N MAJOR AV AND W NORTH AV,N MAJOR AV AND Dead End,41.9093978,-87.7679219,google,NA,NA,google,41.9093978,-87.7679219
37,Street Speed Hump Menu,N MASON AV-- W BELDEN AV (2300 N) -to- W BELDEN AV (2300 N) 2,2008,3500,32524,N MASON AV AND W BELDEN AV,N MASON AV AND W BELDEN AV,41.9220186,-87.7744273,google,41.9220186,-87.7744273,google,41.9220186,-87.7744273
41,Street Resurface Menu,N MENDOTA AV-- N IONIA AV (7021 N) -to- N IONIA AV (7021 N),2007,21551,35612,N MENDOTA AV AND N IONIA AV,N MENDOTA AV AND N IONIA AV,42.00812460800006,-87.77547698599994,census,42.00812460800006,-87.77547698599994,census,42.00812460800006,-87.77547698599994
43,Curb/Gutter Menu,N MOHAWK ST-- W NORTH AV (1600 N) -to- W NORTH AV (1600 N),2006,9250,37168,N MOHAWK ST AND W NORTH AV,N MOHAWK ST AND W NORTH AV,41.9111165,-87.6422294,google,41.9111165,-87.6422294,google,41.9111165,-87.6422294
26,Street Speed Hump Menu,N MONTICELLO AV-- W WABANSIA AV (1700 N) -to- W WABANSIA AV (1700 N) 2,2010,3500,22563,N MONTICELLO AV AND W WABANSIA AV,N MONTICELLO AV AND W WABANSIA AV,41.9117984,-87.7178222,google,41.9117984,-87.7178222,google,41.9117984,-87.7178222
35,Sidewalk Menu,N MONTICELLO AV-- W WRIGHTWOOD AV (2600 N) -to- W WRIGHTWOOD AV (2600 N),2009,29838,30673,N MONTICELLO AV AND W WRIGHTWOOD AV,N MONTICELLO AV AND W WRIGHTWOOD AV,41.9282397,-87.7183165,google,41.9282397,-87.7183165,google,41.9282397,-87.7183165
36,Diagonal Parking Menu,N NORDICA AV-- W ADDISON ST (3600 N) -to- W ADDISON ST (3600 N),2010,55995,31653,N NORDICA AV AND W ADDISON ST,N NORDICA AV AND W ADDISON ST,41.94533798700007,-87.80330666599997,census,41.94533798700007,-87.80330666599997,census,41.94533798700007,-87.80330666599997
41,Street Resurface Menu,N ODELL AV-- Dead End (5952 N) -to- W PETERSON AV (6000 N),2006,19334,35564,N ODELL AV AND Dead End,N ODELL AV AND W PETERSON AV,NA,NA,google,41.98989441900005,-87.81008017599999,census,41.98989441900005,-87.81008017599999
41,Street Resurface Menu,N OLIPHANT AV-- N ONEIDA AV (6436 N) -to- N ONEIDA AV (6436 N),2008,10059,35688,N OLIPHANT AV AND N ONEIDA AV,N OLIPHANT AV AND N ONEIDA AV,41.99833618200006,-87.82063237999995,census,41.99833618200006,-87.82063237999995,census,41.99833618200006,-87.82063237999995
1,Street Speed Hump Menu,N PAULINA ST-- W AUGUSTA BV (1000 N) -to- W AUGUSTA BV (1000 N) 3,2008,5250,282,N PAULINA ST AND W AUGUSTA BV,N PAULINA ST AND W AUGUSTA BV,41.8996616,-87.6698356,google,41.8996616,-87.6698356,google,41.8996616,-87.6698356
49,Curb/Gutter Menu,N PAULINA ST-- W ESTES AV (7120 N) -to- W ESTES AV (7120 N),2010,18449,42437,N PAULINA ST AND W ESTES AV,N PAULINA ST AND W ESTES AV,42.01145307500008,-87.67232265599995,census,42.01145307500008,-87.67232265599995,census,42.01145307500008,-87.67232265599995
44,Street Lighting,N PINE GROVE AV-- Dead End (3169 N) -to- W BELMONT AV (3200 N),2007,28333,38169,N PINE GROVE AV AND Dead End,N PINE GROVE AV AND W BELMONT AV,NA,NA,google,41.940083995000066,-87.64197652699994,census,41.940083995000066,-87.64197652699994
30,Curb/Gutter Menu,N PULASKI RD-- W CORTLAND ST (1900 N) -to- W CORTLAND ST (1900 N),2010,3096,25953,N PULASKI RD AND W CORTLAND ST,N PULASKI RD AND W CORTLAND ST,41.91534560800005,-87.72650671799994,census,41.91534560800005,-87.72650671799994,census,41.91534560800005,-87.72650671799994
27,Curb/Gutter Menu,N PULASKI RD-- W POTOMAC AV (1300 N) -to- W POTOMAC AV (1300 N),2005,10000,23205,N PULASKI RD AND W POTOMAC AV,N PULASKI RD AND W POTOMAC AV,41.9044538,-87.7263546,google,41.9044538,-87.7263546,google,41.9044538,-87.7263546
32,Street Resurface Menu,N RAVENSWOOD AV-- W CORNELIA AV (3500 N) -to- W CORNELIA AV (3500 N),2010,16263,28144,N RAVENSWOOD AV AND W CORNELIA AV,N RAVENSWOOD AV AND W CORNELIA AV,41.94509679400005,-87.67361705999997,census,41.94509679400005,-87.67361705999997,census,41.94509679400005,-87.67361705999997
32,Sidewalk Menu,N RAVENSWOOD AV-- W MELROSE ST (3232 N) -to- W MELROSE ST (3232 N),2009,1659,28070,N RAVENSWOOD AV AND W MELROSE ST,N RAVENSWOOD AV AND W MELROSE ST,41.9405514,-87.6734969,google,41.9405514,-87.6734969,google,41.9405514,-87.6734969
40,Curb/Gutter Menu,N RAVENSWOOD AV-- W THORNDALE AV (5840 N) -to- W THORNDALE AV (5840 N),2008,1508,34875,N RAVENSWOOD AV AND W THORNDALE AV,N RAVENSWOOD AV AND W THORNDALE AV,41.98833068300007,-87.67463811199997,census,41.98833068300007,-87.67463811199997,census,41.98833068300007,-87.67463811199997
40,Curb/Gutter Menu,N RAVENSWOOD AV-- W THORNDALE AV (5840 N) -to- W THORNDALE AV (5840 N),2009,559,34918,N RAVENSWOOD AV AND W THORNDALE AV,N RAVENSWOOD AV AND W THORNDALE AV,41.98833068300007,-87.67463811199997,census,41.98833068300007,-87.67463811199997,census,41.98833068300007,-87.67463811199997
50,Street Speed Hump Menu,N RICHMOND ST-- W PETERSON AV (6000 N) -to- W PETERSON AV (6000 N) 2,2008,3500,43131,N RICHMOND ST AND W PETERSON AV,N RICHMOND ST AND W PETERSON AV,41.9904142,-87.7030383,google,41.9904142,-87.7030383,google,41.9904142,-87.7030383
48,Sidewalk Menu,N RIDGE AV-- N GLENWOOD AV (5782 N) -to- N GLENWOOD AV (5782 N),2009,19439,41608,N RIDGE AV AND N GLENWOOD AV,N RIDGE AV AND N GLENWOOD AV,41.98667448900005,-87.66504263999997,census,41.98667448900005,-87.66504263999997,census,41.98667448900005,-87.66504263999997
48,Street Bump Outs Menu,N RIDGE AV-- N GLENWOOD AV (5782 N) -to- N GLENWOOD AV (5782 N),2009,62645,41609,N RIDGE AV AND N GLENWOOD AV,N RIDGE AV AND N GLENWOOD AV,41.98667448900005,-87.66504263999997,census,41.98667448900005,-87.66504263999997,census,41.98667448900005,-87.66504263999997
40,Curb/Gutter Menu,N RIDGE AV-- W PETERSON AV (6000 N) -to- W PETERSON AV (6000 N),2008,12172,34877,N RIDGE AV AND W PETERSON AV,N RIDGE AV AND W PETERSON AV,41.990782814000056,-87.67214176199997,census,41.990782814000056,-87.67214176199997,census,41.990782814000056,-87.67214176199997
39,Curb/Gutter Menu,N ROGERS AV-- N KERCHEVAL AV (5650 N) -to- N KERCHEVAL AV (5657 N),2008,11203,34107,N ROGERS AV AND N KERCHEVAL AV,N ROGERS AV AND N KERCHEVAL AV,41.9842174,-87.743145,google,41.9842174,-87.743145,google,41.9842174,-87.743145
35,Sidewalk Menu,N SACRAMENTO AV-- W BELDEN AV (2306 N) -to- W BELDEN AV (2306 N),2010,21649,30729,N SACRAMENTO AV AND W BELDEN AV,N SACRAMENTO AV AND W BELDEN AV,41.9232594,-87.7022674,google,41.9232594,-87.7022674,google,41.9232594,-87.7022674
43,Street Resurface Menu,N SEDGWICK ST-- W WISCONSIN ST (1910 N) -to- W WISCONSIN ST (1910 N),2008,11567,37293,N SEDGWICK ST AND W WISCONSIN ST,N SEDGWICK ST AND W WISCONSIN ST,41.91651137500003,-87.63876061699995,census,41.91651137500003,-87.63876061699995,census,41.91651137500003,-87.63876061699995
43,Curb/Gutter Menu,N SHEFFIELD AV-- N MAUD AV (1827 N) -to- N MAUD AV (1827 N),2008,823,37279,N SHEFFIELD AV AND N MAUD AV,N SHEFFIELD AV AND N MAUD AV,41.91488734100005,-87.65325231099996,census,41.91488734100005,-87.65325231099996,census,41.91488734100005,-87.65325231099996
48,Curb/Gutter Menu,N SHERIDAN RD-- W GLENLAKE AV (6042 N) -to- W GLENLAKE AV (6042 N),2008,4720,41557,N SHERIDAN RD AND W GLENLAKE AV,N SHERIDAN RD AND W GLENLAKE AV,41.99236263000006,-87.65545520899997,census,41.99236263000006,-87.65545520899997,census,41.99236263000006,-87.65545520899997
39,Pole Painting,N ST LOUIS AV-- W LAWRENCE AV (4800 N) -to- Dead End (4925 N),2008,3000,34139,N ST LOUIS AV AND W LAWRENCE AV,N ST LOUIS AV AND Dead End,41.968379982000044,-87.71580577799995,census,NA,NA,google,41.968379982000044,-87.71580577799995
42,Street Resurface Menu,N STETSON L AV-- E LAKE (L) ST(200 N) -to- E SOUTH WATER (L) ST(300 N),2010,26831,36559,N STETSON L AV AND E LAKEST,N STETSON L AV AND E SOUTH WATERST,41.8857637,-87.6250728,google,NA,NA,NA,41.8857637,-87.6250728
31,Street Speed Hump Menu,N TRIPP AV-- W BARRY AV (3100 N) -to- W BARRY AV (3100 N) 2,2010,3500,27184,N TRIPP AV AND W BARRY AV,N TRIPP AV AND W BARRY AV,41.93718967600006,-87.73293853799998,census,41.93718967600006,-87.73293853799998,census,41.93718967600006,-87.73293853799998
27,Street Speed Hump Menu,N TROY ST-- W FRANKLIN (N) SD(504 N) -to- W OHIO ST (600 N) 2,2009,3500,23446,N TROY ST AND W FRANKLINSD,N TROY ST AND W OHIO ST,NA,NA,google,41.8919006,-87.7051998,google,41.8919006,-87.7051998
27,Street Speed Hump Menu,N TROY ST-- W OHIO ST (600 N) -to- W OHIO ST (600 N) 1,2007,1650,23370,N TROY ST AND W OHIO ST,N TROY ST AND W OHIO ST,41.8919006,-87.7051998,google,41.8919006,-87.7051998,google,41.8919006,-87.7051998
40,Curb/Gutter Menu,N VIRGINIA AV-- W ARDMORE AV (5800 N) -to- W ARDMORE AV (5800 N),2010,7566,34960,N VIRGINIA AV AND W ARDMORE AV,N VIRGINIA AV AND W ARDMORE AV,41.986722728000075,-87.70616206799997,census,41.986722728000075,-87.70616206799997,census,41.986722728000075,-87.70616206799997
40,Curb/Gutter Menu,N VIRGINIA AV-- W ARDMORE AV (5800 N) -to- W ARDMORE AV (5800 N),2010,27796,34961,N VIRGINIA AV AND W ARDMORE AV,N VIRGINIA AV AND W ARDMORE AV,41.986722728000075,-87.70616206799997,census,41.986722728000075,-87.70616206799997,census,41.986722728000075,-87.70616206799997
48,Street Bump Outs Menu,N WINTHROP AV-- W GRANVILLE AV (6200 N) -to- W GRANVILLE AV (6200 N),2010,112525,41637,N WINTHROP AV AND W GRANVILLE AV,N WINTHROP AV AND W GRANVILLE AV,41.99457758800003,-87.65835354799998,census,41.99457758800003,-87.65835354799998,census,41.99457758800003,-87.65835354799998
1,Curb/Gutter Menu,N WOLCOTT AV-- W ELLEN ST (1320 N) -to- W ELLEN ST (1320 N),2009,76827,327,N WOLCOTT AV AND W ELLEN ST,N WOLCOTT AV AND W ELLEN ST,41.9055106,-87.6747427,google,41.9055106,-87.6747427,google,41.9055106,-87.6747427
11,Sidewalk Menu,S ABERDEEN ST-- W 34 PL (3432 S) -to- W 34 PL (3432 S),2010,463,8737,S ABERDEEN ST AND W 34th PL,S ABERDEEN ST AND W 34th PL,41.831577,-87.6534166,google,41.831577,-87.6534166,google,41.831577,-87.6534166
16,Sidewalk Menu,S ABERDEEN ST-- W 54 ST (5400 S) -to- W 54 ST (5400 S),2008,53551,14023,S ABERDEEN ST AND W 54th ST,S ABERDEEN ST AND W 54th ST,41.7959993,-87.6525,google,41.7959993,-87.6525,google,41.7959993,-87.6525
17,Sidewalk Menu,S ADA ST-- W 77 ST (7700 S) -to- W 77 ST (7700 S),2009,51511,14926,S ADA ST AND W 77th ST,S ADA ST AND W 77th ST,41.7540959,-87.6570628,google,41.7540959,-87.6570628,google,41.7540959,-87.6570628
24,Street Speed Hump Menu,S ALBANY AV-- W 21 PL (2132 S) -to- W 21 ST (2043 S) 1,2010,1850,20845,S ALBANY AV AND W 21st PL,S ALBANY AV AND W 21st ST,41.8537908,-87.7028651,google,41.8537908,-87.7028651,google,41.8537908,-87.7028651
23,Miscellaneous-CDOT,S ARCHER AV-- S LINDER AV (5255 S) -to- S LINDER AV (5255 S),2008,16659,19438,S ARCHER AV AND S LINDER AV,S ARCHER AV AND S LINDER AV,41.7960331,-87.7599366,google,41.7960331,-87.7599366,google,41.7960331,-87.7599366
23,Miscellaneous-CDOT,S ARCHER AV-- S MAYFIELD AV (5328 S) -to- S MAYFIELD AV (5328 S),2008,17556,19437,S ARCHER AV AND S MAYFIELD AV,S ARCHER AV AND S MAYFIELD AV,41.794652,-87.7696376,google,41.794652,-87.7696376,google,41.794652,-87.7696376
23,Miscellaneous-CDOT,S ARCHER AV-- S MENARD AV (5391 S) -to- S MENARD AV (5391 S),2008,14089,19439,S ARCHER AV AND S MENARD AV,S ARCHER AV AND S MENARD AV,41.7950152,-87.7671441,google,41.7950152,-87.7671441,google,41.7950152,-87.7671441
2,Street Lighting,S ASHLAND AV-- W EISENHOWER EXIT RP (416 S) -to- E EISENHOWER ENTR RP (466 S),2009,5400,1652,S ASHLAND AV AND W EISENHOWER EXIT RP,S ASHLAND AV AND E EISENHOWER ENTR RP,NA,NA,google,41.9090349,-87.7903483,google,41.9090349,-87.7903483
2,Pole Painting,S ASHLAND AV-- E EISENHOWER ENTR RP (466 S) -to- W EISENHOWER EXIT RP (416 S),2007,1200,1196,S ASHLAND AV AND E EISENHOWER ENTR RP,S ASHLAND AV AND W EISENHOWER EXIT RP,41.9090349,-87.7903483,google,NA,NA,google,41.9090349,-87.7903483
10,Street Speed Hump Menu,S AVENUE F-- Dead End (11162 S) -to- E 112 ST (11200 S) 2,2007,3300,7768,S AVENUE F AND Dead End,S AVENUE F AND E 112th ST,NA,NA,google,41.6918257,-87.5305171,google,41.6918257,-87.5305171
22,Street Speed Hump Menu,S AVERS AV-- W CERMAK RD (2200 S) -to- Dead End (2255 S) 2,2010,3700,18626,S AVERS AV AND W CERMAK RD,S AVERS AV AND Dead End,41.8516172,-87.7211,google,NA,NA,google,41.8516172,-87.7211
19,Street Resurface Menu,S AVERS AV-- Dead End (10560 S) -to- W 106 ST (10600 S),2006,19944,16320,S AVERS AV AND Dead End,S AVERS AV AND W 106th ST,NA,NA,google,41.7004536,-87.7170155,google,41.7004536,-87.7170155
19,Street Resurface Menu,S AVERS AV-- Dead End (10662 S) -to- W 107 ST (10700 S),2008,30446,16385,S AVERS AV AND Dead End,S AVERS AV AND W 107th ST,NA,NA,google,41.69862946100005,-87.71691124699998,census,41.69862946100005,-87.71691124699998
10,Curb/Gutter Menu,S BALTIMORE AV-- Dead End (12957 S) -to- E 130 ST (13000 S),2010,20867,7905,S BALTIMORE AV AND Dead End,S BALTIMORE AV AND E 130th ST,NA,NA,google,41.65915818700006,-87.54713130499994,census,41.65915818700006,-87.54713130499994
10,Sidewalk Menu,S BALTIMORE AV-- Dead End (12957 S) -to- E 130 ST (13000 S),2010,72732,7920,S BALTIMORE AV AND Dead End,S BALTIMORE AV AND E 130th ST,NA,NA,google,41.65915818700006,-87.54713130499994,census,41.65915818700006,-87.54713130499994
19,Street Resurface Menu,S BELL AV-- Dead End (8966 S) -to- W 91 ST (9100 S),2008,63688,16386,S BELL AV AND Dead End,S BELL AV AND W 91st ST,NA,NA,google,41.72829221000006,-87.67863789999996,census,41.72829221000006,-87.67863789999996
21,Sidewalk Menu,S BEVERLY AV-- S ASHLAND AV (9510 S) -to- Dead End (9366 S),2010,20383,17811,S BEVERLY AV AND S ASHLAND AV,S BEVERLY AV AND Dead End,41.72108857200004,-87.66267894699996,census,NA,NA,google,41.72108857200004,-87.66267894699996
11,Street Resurface Menu,S BLAKE ST-- S ARCHER AV (3625 S) -to- S ARCHER AV (3625 S),2008,14608,8686,S BLAKE ST AND S ARCHER AV,S BLAKE ST AND S ARCHER AV,41.827997476000064,-87.68154427799999,census,41.827997476000064,-87.68154427799999,census,41.827997476000064,-87.68154427799999
10,Street Resurface Menu,S BRANDON AV-- E 85 ST (8500 S) -to- E 85 ST (8500 S),2007,11750,7738,S BRANDON AV AND E 85th ST,S BRANDON AV AND E 85th ST,41.74123222700007,-87.54660871899995,census,41.74123222700007,-87.54660871899995,census,41.74123222700007,-87.54660871899995
12,Sidewalk Menu,S CALIFORNIA AV-- W 23 ST (2300 S) -to- W 23 PL (2332 S),2006,28146,9450,S CALIFORNIA AV AND W 23rd ST,S CALIFORNIA AV AND W 23rd PL,41.84917424200006,-87.69536867099998,census,41.84917424200006,-87.69536867099998,census,41.84917424200006,-87.69536867099998
9,Street Lighting,S CALUMET AV-- E 117 ST (11704 S) -to- E 118 ST (11800 S),2010,800,6945,S CALUMET AV AND E 117th ST,S CALUMET AV AND E 118th ST,41.6813942,-87.6147055,google,NA,NA,google,41.6813942,-87.6147055
2,Sidewalk Menu,S CALUMET AV-- E 33 BV (3300 S) -to- E 33 BV (3300 S),2008,150,1353,S CALUMET AV AND E 33 BV,S CALUMET AV AND E 33 BV,41.83475892600006,-87.61819085299999,census,41.83475892600006,-87.61819085299999,census,41.83475892600006,-87.61819085299999
2,Pole Painting,S CAMPBELL AV-- W HARRISON ST (600 S) -to- W EISENHOWER ENTR RP (416 S),2008,1200,1395,S CAMPBELL AV AND W HARRISON ST,S CAMPBELL AV AND W EISENHOWER ENTR RP,41.8738629,-87.6886602,google,NA,NA,google,41.8738629,-87.6886602
2,Pole Painting,S CAMPBELL AV-- W MADISON ST (0 N) -to- W EISENHOWER ENTR RP (416 S),2008,3800,1396,S CAMPBELL AV AND W MADISON ST,S CAMPBELL AV AND W EISENHOWER ENTR RP,41.881145,-87.6888458,google,NA,NA,google,41.881145,-87.6888458
16,Street Speed Hump Menu,S CARPENTER ST-- W 54 ST (5400 S) -to- W 54 ST (5400 S) 2,2007,3300,13987,S CARPENTER ST AND W 54th ST,S CARPENTER ST AND W 54th ST,41.7960274,-87.6512884,google,41.7960274,-87.6512884,google,41.7960274,-87.6512884
18,Street Lighting,S CHRISTIANA AV-- W 79 ST (7900 S) -to- Dead End (7978 S),2010,2000,15777,S CHRISTIANA AV AND W 79th ST,S CHRISTIANA AV AND Dead End,41.7498061,-87.7060393,google,NA,NA,google,41.7498061,-87.7060393
25,Curb/Gutter Menu,S CLAREMONT AV-- W 13 ST (1300 S) -to- Dead End (1321 S),2006,53697,21441,S CLAREMONT AV AND W 13th ST,S CLAREMONT AV AND Dead End,41.8648198,-87.6851491,google,NA,NA,google,41.8648198,-87.6851491
25,Street Resurface Menu,S CLAREMONT AV-- W 13 ST (1300 S) -to- Dead End (1321 S),2006,16819,21445,S CLAREMONT AV AND W 13th ST,S CLAREMONT AV AND Dead End,41.8648198,-87.6851491,google,NA,NA,google,41.8648198,-87.6851491
10,Sidewalk Menu,S COMMERCIAL AV-- E 101 ST (10100 S) -to- E 101 ST (10100 S),2007,3068,7733,S COMMERCIAL AV AND E 101st ST,S COMMERCIAL AV AND E 101st ST,41.7118363,-87.5514984,google,41.7118363,-87.5514984,google,41.7118363,-87.5514984
9,Sidewalk Menu,S CORLISS AV-- E 103 ST (10300 S) -to- E 103 PL (10332 S),2005,13827,6747,S CORLISS AV AND E 103rd ST,S CORLISS AV AND E 103rd PL,41.70748929300004,-87.60401271099994,census,41.70748929300004,-87.60401271099994,census,41.70748929300004,-87.60401271099994
20,Sidewalk Menu,S DAMEN AV-- W 46 ST (4600 S) -to- W 46 ST (4600 S),2007,23155,16969,S DAMEN AV AND W 46th ST,S DAMEN AV AND W 46th ST,41.8103164,-87.6749772,google,41.8103164,-87.6749772,google,41.8103164,-87.6749772
2,Street Lighting,S DAMEN AV-- E EISENHOWER EXIT RP (500 S) -to- W EISENHOWER ENTR RP (400 S),2010,4050,1815,S DAMEN AV AND E EISENHOWER EXIT RP,S DAMEN AV AND W EISENHOWER ENTR RP,41.9090349,-87.7903483,google,NA,NA,google,41.9090349,-87.7903483
2,Street Lighting,S DAMEN AV-- W JACKSON BV (300 S) -to- W EISENHOWER ENTR RP (400 S),2008,3200,1489,S DAMEN AV AND W JACKSON BV,S DAMEN AV AND W EISENHOWER ENTR RP,41.877482289000056,-87.67654353799998,census,NA,NA,google,41.877482289000056,-87.67654353799998
2,Street Lighting,S DAMEN AV-- W JACKSON BV (300 S) -to- W EISENHOWER ENTR RP (400 S),2008,5400,1490,S DAMEN AV AND W JACKSON BV,S DAMEN AV AND W EISENHOWER ENTR RP,41.877482289000056,-87.67654353799998,census,NA,NA,google,41.877482289000056,-87.67654353799998
3,Curb/Gutter Menu,S DEARBORN ST-- Dead End (4663 S) -to- W 47 ST (4700 S),2007,74266,2551,S DEARBORN ST AND Dead End,S DEARBORN ST AND W 47th ST,NA,NA,google,41.809204,-87.6271635,google,41.809204,-87.6271635
8,Sidewalk Menu,S EAST END AV-- E 81 ST (8100 S) -to- E 82 ST (8200 S),2006,26458,5913,S EAST END AV AND E 81st ST,S EAST END AV AND E 82nd ST,NA,NA,google,41.746060112000066,-87.58295252099998,census,41.746060112000066,-87.58295252099998
34,Street Speed Hump Menu,S EGGLESTON AV-- W 122 ST (12200 S) -to- W 122 ST (12200 S) 2,2009,3500,29769,S EGGLESTON AV AND W 122nd ST,S EGGLESTON AV AND W 122nd ST,41.67244793500004,-87.63331366999995,census,41.67244793500004,-87.63331366999995,census,41.67244793500004,-87.63331366999995
16,Street Resurface Menu,S ELIZABETH ST-- Dead End (6167 S) -to- W 62 ST (6200 S),2006,15521,13928,S ELIZABETH ST AND Dead End,S ELIZABETH ST AND W 62nd ST,NA,NA,google,41.78140698100003,-87.65581297899996,census,41.78140698100003,-87.65581297899996
11,Street Resurface Menu,S EMERALD AV-- Dead End (2579 S) -to- W 26 ST (2600 S),2007,3587,8637,S EMERALD AV AND Dead End,S EMERALD AV AND W 26th ST,NA,NA,google,41.8453278,-87.6452281,google,41.8453278,-87.6452281
