ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat,long
7,Street Lighting,E 74 ST-- S SOUTH SHORE DR (2728 E) -to- Dead End (2725 E),2008,29760,5283,E 74th ST AND S SOUTH SHORE DR,E 74th ST AND Dead End,41.7623309,-87.5589057,google,NA,NA,google,41.7623309,-87.5589057
7,Sidewalk Menu,E 79 ST-- S COLES AV (3032 E) -to- S COLES AV (3100 E),2008,221,5247,E 79th ST AND S COLES AV,E 79th ST AND S COLES AV,41.7519748,-87.5492675,google,41.7519748,-87.5492675,google,41.7519748,-87.5492675
8,Curb/Gutter Menu,E 80 ST-- S BENNETT AV (1900 E) -to- S BENNETT AV (1900 E),2010,14944,6111,E 80th ST AND S BENNETT AV,E 80th ST AND S BENNETT AV,41.7497483,-87.5783811,google,41.7497483,-87.5783811,google,41.7497483,-87.5783811
6,Sidewalk Menu,E 84 ST-- DR. MARTIN LUTHER KING JR. DR (400 E) -to- Dead End (1009 E),2009,12898,4709,E 84th ST AND DR. MARTIN LUTHER KING JR. DR,E 84th ST AND Dead End,41.7419803,-87.6146848,google,NA,NA,google,41.7419803,-87.6146848
8,Curb/Gutter Menu,E 85 PL-- Dead End (1269 E) -to- S AVALON AV (1272 E),2009,15156,6074,E 85th PL AND Dead End,E 85th PL AND S AVALON AV,NA,NA,google,41.7391184,-87.5927824,google,41.7391184,-87.5927824
8,Curb/Gutter Menu,E 85 PL-- Dead End (1269 E) -to- S AVALON AV (1272 E),2010,14785,6112,E 85th PL AND Dead End,E 85th PL AND S AVALON AV,NA,NA,google,41.7391184,-87.5927824,google,41.7391184,-87.5927824
8,Sidewalk Menu,E 89 PL-- Dead End (1359 E) -to- S DORCHESTER AV (1400 E),2009,61945,6075,E 89th PL AND Dead End,E 89th PL AND S DORCHESTER AV,NA,NA,google,41.7322854,-87.590451,google,41.7322854,-87.590451
8,Sidewalk Menu,E 95 PL-- S AVALON AV (1232 E) -to- Dead End (1266 E),2005,25726,5833,E 95th PL AND S AVALON AV,E 95th PL AND Dead End,41.7212892,-87.5935478,google,NA,NA,google,41.7212892,-87.5935478
7,Curb/Gutter Menu,E 97 PL-- S CHAPPEL AV (2032 E) -to- Dead End (2077 E),2007,68198,5159,E 97th PL AND S CHAPPEL AV,E 97th PL AND Dead End,41.7179515,-87.5740203,google,NA,NA,google,41.7179515,-87.5740203
7,Sidewalk Menu,E 97 PL-- S CHAPPEL AV (2032 E) -to- Dead End (2077 E),2008,13675,5249,E 97th PL AND S CHAPPEL AV,E 97th PL AND Dead End,41.7179515,-87.5740203,google,NA,NA,google,41.7179515,-87.5740203
10,Sidewalk Menu,E 97 ST-- S HOUSTON AV (3032 E) -to- Dead End (2643 E),2010,17671,7913,E 97th ST AND S HOUSTON AV,E 97th ST AND Dead End,41.7191145,-87.5496496,google,NA,NA,google,41.7191145,-87.5496496
