ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
41,Curb/Gutter Menu,N RUTHERFORD AVE & W FOSTER AV (5200 N) & W FOSTER AV (5200 N),2011,2929,35813,5200 N RUTHERFORD AVE,5200 N RUTHERFORD AVE,41.9755888,-87.7951428,google,41.9755888,-87.7951428,google,"c(-87.7951428, 41.9755888)",41,38,41038
13,Street Bump Outs Menu,W 63RD PL & S LATROBE AV (5232 W) & S LATROBE AV (5232 W),2011,12761,10761,5232 W 63RD PL,5232 W 63RD PL,41.7773805,-87.753191,google,41.7773805,-87.753191,google,"c(-87.753191, 41.7773805)",13,27,13027
45,Street Resurface Menu,N LAPORTE AVE & W BERWYN AV (5320 N) & W BERWYN AV (5320 N),2011,55100,39226,5320 N LAPORTE AVE,5320 N LAPORTE AVE,41.978515,-87.752155,google,41.978515,-87.752155,google,"c(-87.752155, 41.978515)",45,24,45024
23,Sidewalk Menu,S NEVA AVE & W 54 ST (5400 S) & W 54 ST (5400 S),2011,7441,19697,5400 S NEVA AVE,5400 S NEVA AVE,41.7938438,-87.800587,google,41.7938438,-87.800587,google,"c(-87.800587, 41.7938438)",23,27,23027
40,Sidewalk Menu,N CALIFORNIA AVE & W BRYN MAWR AV (5600 N) & W BRYN MAWR AV (5600 N),2011,4514,34999,5600 N CALIFORNIA AVE,5600 N CALIFORNIA AVE,41.9834467,-87.6991541,google,41.9834467,-87.6991541,google,"c(-87.6991541, 41.9834467)",40,24,40024
39,Street Resurface Menu,N KIRBY AVE & N KERCHEVAL AV (5723 N) & N CALDWELL AV (5775 N),2011,28769,34258,5723 N KIRBY AVE,5775 N KIRBY AVE,41.9850946,-87.7446269,google,41.9850946,-87.7446269,google,"c(-87.7446269, 41.9850946)",39,1,39001
2,Street Resurface Menu(1-5),S CAMPBELL AVE & W HARRISON ST (600 S) & W HARRISON ST (600 S),2011,23161,1924,600 S CAMPBELL AVE,600 S CAMPBELL AVE,41.8737371,-87.6886622,google,41.8737371,-87.6886622,google,"c(-87.6886622, 41.8737371)",2,39,02039
13,Sidewalk Menu,S KILPATRICK AVE & W 61 ST (6100 S) & W 61 ST (6100 S),2011,3171,10758,6100 S KILPATRICK AVE,6100 S KILPATRICK AVE,41.7819643,-87.7402495,google,41.7819643,-87.7402495,google,"c(-87.7402495, 41.7819643)",13,25,13025
20,Sidewalk Menu,S PRAIRIE AVE & E 61 ST (6100 S) & E 61 ST (6100 S),2011,14986,17142,6100 S PRAIRIE AVE,6100 S PRAIRIE AVE,41.783666,-87.6194707,google,41.783666,-87.6194707,google,"c(-87.6194707, 41.783666)",20,23,20023
20,Street Speed Hump Menu,S VERNON AVE & E 61 ST (6100 S) & E 61 ST (6100 S),2011,3700,17170,6100 S VERNON AVE,6100 S VERNON AVE,41.783992,-87.6147058,google,41.783992,-87.6147058,google,"c(-87.6147058, 41.783992)",20,37,20037
