ward,type,location,year,est_cost,id,school_park_name,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
47,Schools,Ravenswood School - electronic sign and plaground (TPC =,2010,18016,40639,Ravenswood School,google,"c(-87.6743402, 41.9738264)",47,30,47030
47,Schools,Ravenswood School - electronic sign,2011,35542,40693,Ravenswood School,google,"c(-87.6743402, 41.9738264)",47,30,47030
13,School Projects,Richard Henry Lee School - wrought iron fence,2012,30000,10802,Richard Henry Lee School,google,"c(-87.7293039, 41.7752558)",13,39,13039
33,Chicago Park District,River Park,2006,556,28777,River Park,google,"c(-87.7019812, 41.9739995)",40,17,40017
33,Chicago Park District,River Park,2008,22255,28871,River Park,google,"c(-87.7019812, 41.9739995)",40,17,40017
40,Chicago Park District,River Park Playground,2007,200000,34860,River Park,google,"c(-87.7019812, 41.9739995)",40,17,40017
44,Chicago Park District,Roscoe Playlot,2005,100000,38137,Roscoe Park,google,"c(-87.7359019, 41.9426187)",31,8,31008
1,Schools,Sabin School Sculpture Art Project,2005,3750,95,Sabin School,google,"c(-87.6830757, 41.9072052)",1,14,01014
1,Schools,Sabin School Sculpture Art Project,2005,20000,96,Sabin School,google,"c(-87.6830757, 41.9072052)",1,14,01014
35,Miscellaneous-CDOT,Safe Kids Murphy School Pavement Markings,2010,16300,30720,Safe Kids Murphy School,google,"c(-87.7170874, 41.9497364)",35,4,35004
39,Chicago Park District,Eugene Field and Sauganash Park,2008,100000,34147,Sauganash Park,google,"c(-87.7373095, 41.9882005)",39,37,39037
39,POD Camera,5861 N. Kostner (Sauganash Park),2009,20000,34197,Sauganash Park,google,"c(-87.7373095, 41.9882005)",39,37,39037
39,Miscellaneous-CDOT,Saughnash Park,2009,6700,34176,Saughnash Park,google,"c(-87.7373095, 41.9882005)",39,37,39037
36,Chicago Park District,Sayre Park,2008,100000,31616,Sayre Park,google,"c(-87.7971244, 41.9208169)",36,22,36022
40,Chicago Park District,Schreiber Park,2008,200000,34903,Schreiber Park,google,"c(-87.670083, 41.999398)",40,7,40007
23,Schools,Security cameras at Byrne Elementary School,2007,5748,19395,Security cameras at Byrne Elementary School,google,"c(-87.7910176, 41.7948196)",23,47,23047
