ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
9,Street Resurface Menu,W BRAYTON ST & S STATE ST (0 E) & W 126 PL (120 W),2011,84168,6980,0 W BRAYTON ST,0 W BRAYTON ST,41.6656812,-87.622398,google,41.6656812,-87.622398,google,"c(-87.622398, 41.6656812)",09044,44,3202150.93892,8638.74956009,9
20,Street Resurface Menu,E MARQUETTE RD & S MICHIGAN AV (100 E) & S MICHIGAN AV (100 E),2011,11647,17156,100 E MARQUETTE RD,100 E MARQUETTE RD,41.772839,-87.6227098,google,41.772839,-87.6227098,google,"c(-87.6227098, 41.772839)",20028,28,2672721.3386,10563.8192441,20
27,Curb/Gutter Menu,N HAMLIN AVE & W AUGUSTA BV (1000 N) & W AUGUSTA BV (1000 N),2011,20184,23545,1000 N HAMLIN AVE,1000 N HAMLIN AVE,41.8991878,-87.7215888,google,41.8991878,-87.7215888,google,"c(-87.7215888, 41.8991878)",27024,24,1865263.96459,6000.62267158,27
19,Street Resurface Menu,S ALBANY AVE & W 103 ST (10300 S) & W 103 ST (10300 S),2011,11007,16508,10300 S ALBANY AVE,10300 S ALBANY AVE,41.7059045,-87.6991902,google,41.7059045,-87.6991902,google,"c(-87.6991902, 41.7059045)",19006,6,3180605.28846,11347.3285464,19
10,Street Resurface Menu,S MUSKEGON AVE & E 103 ST (10300 S) & E 103 ST (10300 S),2011,1048,7968,10300 S MUSKEGON AVE,10300 S MUSKEGON AVE,41.7081915,-87.5550177,google,41.7081915,-87.5550177,google,"c(-87.5550177, 41.7081915)",10021,21,10704487.6094,15363.5761769,10
19,Street Speed Hump Menu,S CHURCH ST & W 115 ST (11500 S) & W 115 ST (11500 S),2011,5550,16530,11500 S CHURCH ST,11500 S CHURCH ST,41.684686,-87.6690564,google,41.684686,-87.6690564,google,"c(-87.6690564, 41.684686)",34017,17,3818383.83008,9856.85850453,34
44,Curb/Gutter Menu,W ROSCOE ST & N RACINE AV (1200 W) & N RACINE AV (1200 W),2011,2331,38309,1200 W ROSCOE ST,1200 W ROSCOE ST,41.9436895,-87.6592258,google,41.9436895,-87.6592258,google,"c(-87.6592258, 41.9436895)",44013,13,1340188.61768,5574.92010288,44
34,Street Bump Outs Menu,S JUSTINE ST & W 122 ST (12200 S) & W 122 ST (12200 S),2011,11297,29887,12200 S JUSTINE ST,12200 S JUSTINE ST,41.6712836,-87.659966,google,41.6712836,-87.659966,google,"c(-87.659966, 41.6712836)",34051,51,5339517.12951,10527.5346379,34
1,Sidewalk Menu,N PAULINA ST & N MOORMAN ST (1272 N) & N MOORMAN ST (1272 N),2011,10639,406,1272 N PAULINA ST,1272 N PAULINA ST,41.9050889,-87.6698916,google,41.9050889,-87.6698916,google,"c(-87.6698916, 41.9050889)",01021,21,2410403.60641,6626.31339185,1
20,Sidewalk Menu,E 61ST PL & S BLACKSTONE AV (1436 E) & S BLACKSTONE AV (1436 E),2011,857,17153,1436 E 61ST PL,1436 E 61ST PL,41.7835972,-87.5905722,google,41.7835972,-87.5905722,google,"c(-87.5905722, 41.7835972)",20026,26,2685764.72181,7473.68720193,20
