ward_locate,precinct_locate,ward_precinct_locate,year,weighted_cost
1,10,01010,2013,13125.00102107609
1,10,01010,2014,6200.000000000091
1,10,01010,2015,58571.13867394743
1,10,01010,2016,2850
1,10,01010,2017,61200
1,10,01010,2018,10518.603940462186
1,10,01010,2019,21379.247188312704
1,10,01010,2020,30729.273137053107
1,10,01010,2021,12982.970000071153
1,10,01010,2022,63751.89769894047
1,11,01011,2003,0
1,11,01011,2004,0
1,11,01011,2005,0
1,11,01011,2006,7495.9616351736095
1,11,01011,2007,3300
1,11,01011,2008,11249.429757740212
1,11,01011,2009,1046.9671059950713
1,11,01011,2010,27.385888572756098
1,11,01011,2011,8977.027883094242
1,11,01011,2012,699.1988529161413
1,11,01011,2013,0
1,11,01011,2014,44.37203356810515
1,11,01011,2015,1396.7376846239276
1,11,01011,2016,42026.7932899141
1,11,01011,2017,75618.16065302979
1,11,01011,2018,0
1,11,01011,2019,0
1,11,01011,2020,0
1,11,01011,2021,0
1,11,01011,2022,37663.72246431454
1,12,01012,2003,0
1,12,01012,2004,0
1,12,01012,2005,257.57845532848756
1,12,01012,2006,6163.758782971155
1,12,01012,2007,0
1,12,01012,2008,178468.68795901941
1,12,01012,2009,433424.7093312368
1,12,01012,2010,8819
1,12,01012,2011,0
1,12,01012,2012,15025.817395926439
1,12,01012,2013,0
1,12,01012,2014,0
1,12,01012,2015,46.21205976490865
1,12,01012,2016,0
1,12,01012,2017,31.118539461804453
1,12,01012,2018,41.48850293875092
1,12,01012,2019,5140.33081561238
1,12,01012,2020,5900.3544183590375
1,12,01012,2021,0
1,12,01012,2022,0
1,13,01013,2003,0
1,13,01013,2004,0
1,13,01013,2005,18.442390464873522
1,13,01013,2006,272481.9731738653
1,13,01013,2007,76209
1,13,01013,2008,60534
1,13,01013,2009,7219.7799553084105
1,13,01013,2010,0
1,13,01013,2011,202842.0000003878
1,13,01013,2012,12574.015294714298
1,13,01013,2013,165597.15126814428
1,13,01013,2014,19081.151109297352
1,13,01013,2015,0
1,13,01013,2016,76206.69
1,13,01013,2017,5942.282772771041
1,13,01013,2018,94723.61063537339
1,13,01013,2019,32722.37
1,13,01013,2020,50067.84165387196
1,13,01013,2021,0
1,13,01013,2022,6806.86
1,14,01014,2003,0
1,14,01014,2004,0
1,14,01014,2005,71712.16303896799
1,14,01014,2006,31461.03881211378
1,14,01014,2007,24296.750985457285
1,14,01014,2008,3189.5295093317363
1,14,01014,2009,1343.9965174355186
1,14,01014,2010,82865.31001735546
1,14,01014,2011,348.01489238421874
1,14,01014,2012,0
1,14,01014,2013,1130.2405793231649
1,14,01014,2014,69258.64270886587
1,14,01014,2015,51649.04209605136
1,14,01014,2016,700
1,14,01014,2017,53545.89960570155
1,14,01014,2018,110775.43
1,14,01014,2019,132680.7145570809
1,14,01014,2020,44716.99374993549
1,14,01014,2021,0
1,14,01014,2022,0
1,15,01015,2003,0
1,15,01015,2004,0
1,15,01015,2005,40665.40806219868
1,15,01015,2006,5001.124498695964
1,15,01015,2007,20000
1,15,01015,2008,0
1,15,01015,2009,93.36316376300199
1,15,01015,2010,33515.53735220885
1,15,01015,2011,0
1,15,01015,2012,0
1,15,01015,2013,24357.016761961782
1,15,01015,2014,0
1,15,01015,2015,0
1,15,01015,2016,0
1,15,01015,2017,19.314629285521526
1,15,01015,2018,0
1,15,01015,2019,68.8927758618463
1,15,01015,2020,0
1,15,01015,2021,0
1,15,01015,2022,0
1,16,01016,2003,0
1,16,01016,2004,0
1,16,01016,2005,0
1,16,01016,2006,7498.4721956796375
1,16,01016,2007,0
1,16,01016,2008,0
1,16,01016,2009,0
1,16,01016,2010,0
1,16,01016,2011,9250.000000002177
1,16,01016,2012,0
1,16,01016,2013,0
1,16,01016,2014,0
1,16,01016,2015,0
1,16,01016,2016,0
1,16,01016,2017,0
1,16,01016,2018,0
1,16,01016,2019,0
1,16,01016,2020,0
1,16,01016,2021,0
1,16,01016,2022,25646.12
1,17,01017,2003,0
1,17,01017,2004,0
1,17,01017,2005,4999.999999999271
1,17,01017,2006,0
1,17,01017,2007,0
1,17,01017,2008,12224.613737252532
1,17,01017,2009,0
1,17,01017,2010,0
1,17,01017,2011,205.69660504759742
1,17,01017,2012,0
1,17,01017,2013,3693.5213451851687
1,17,01017,2014,36613.77726991935
1,17,01017,2015,0
1,17,01017,2016,0
1,17,01017,2017,47744.099999993035
1,17,01017,2018,0
1,17,01017,2019,1430.77
1,17,01017,2020,0
1,17,01017,2021,0
1,17,01017,2022,0
1,18,01018,2003,0
1,18,01018,2004,0
1,18,01018,2005,34271.98399106005
1,18,01018,2006,4996.2043482740855
1,18,01018,2007,21257.680818951874
1,18,01018,2008,6256.062343771186
1,18,01018,2009,127163.47079544183
1,18,01018,2010,0
1,18,01018,2011,25443.591620269697
1,18,01018,2012,0
1,18,01018,2013,8311.901603137678
1,18,01018,2014,61198.574993272116
1,18,01018,2015,46944.812103420685
1,18,01018,2016,5000
1,18,01018,2017,25423.78537071448
1,18,01018,2018,48161.81051358636
1,18,01018,2019,57506.55539279953
1,18,01018,2020,0
1,18,01018,2021,0
1,18,01018,2022,15389.97
1,19,01019,2003,0
1,19,01019,2004,0
1,19,01019,2005,5000
1,19,01019,2006,0
