ward,type,location,desc,blocks,unitcount,estcost,year
1,Street Resurface Menu,W FRANCIS PL N STAVE ST (2654 W) N POINT ST (2722 W),,1,0.00,56611,2011
1,Street Resurface Menu,W CHARLESTON ST N WESTERN AV (2400 W) N CAMPBELL AV (2450 W),,1,0.00,41835,2011
1,Street Resurface Menu,W FRANCIS PL N MILWAUKEE AV (2624 W) N STAVE ST (2654 W),,1,0.00,42423,2011
1,Street Resurface Menu,W ATTRILL ST N MILWAUKEE AV (2675 W) N STAVE ST (2712 W),,1,0.00,28464,2011
1,Street Resurface Menu(1-5),W CORTEZ ST N ASHLAND AV (1600 W) N PAULINA ST (1700 W),,1,0.00,41139,2011
1,Street Resurface Menu(1-5),W CORTEZ ST N PAULINA ST (1700 W) N WOOD ST (1800 W),,1,0.00,43961,2011
1,Street Resurface Menu(1-5),N POINT ST W CHANAY ST (2078 N) W CHANAY ST (2078 N),,1,0.00,21539,2011
1,Street Resurface Menu(1-5),N POINT ST W ARMITAGE AV (2000 N) W FRANCIS PL (2028 N),,1,0.00,29986,2011
1,Street Resurface Menu(1-5),N POINT ST W FRANCIS PL (2028 N) W CHANAY ST (2078 N),,1,0.00,23409,2011
1,Street Speed Hump Menu,N TALMAN AVE N MILWAUKEE AV (2145 N) W FULLERTON AV (2400 N),,0,1.00,3700,2011
1,Street Speed Hump Menu,N CAMPBELL AVE W BELDEN AV (2300 N) W FULLERTON AV (2400 N),,0,1.00,1850,2011
1,Street Speed Hump Menu,W CHARLESTON ST N WESTERN AV (2400 W) N CAMPBELL AV (2450 W),,0,1.00,1850,2011
1,Street Speed Hump Menu,N HOYNE AVE N LEAVITT ST (2700 N) W DIVERSEY PW (2800 N),,0,1.00,9250,2011
1,Street Speed Hump Menu,N BOSWORTH AVE W DIVISION ST (1200 N) W BLACKHAWK ST (1400 N),,0,2.00,9250,2011
1,Street Speed Hump Menu,W OHIO ST N WOOD ST (1800 W) N WOLCOTT AV (1900 W),,0,1.00,3700,2011
1,Street Speed Hump Menu,W BELDEN AVE N WESTERN AV (2400 W) N MAPLEWOOD AV (2535 W),,0,1.00,5550,2011
1,Street Speed Hump Menu,W SUPERIOR ST N DAMEN AV (2000 W) N HOYNE AV (2100 W),,0,1.00,3700,2011
1,Street Speed Hump Menu,W SUPERIOR ST N WOOD ST (1800 W) N WOLCOTT AV (1900 W),,0,1.00,3700,2011
1,Miscellaneous-Other,Fence at City-owned lot at 1421 N. Artesian,,0,0.00,2019,2011
1,Miscellaneous-Other,85 Trees and 53 concrete cut-outs,,0,0.00,49936,2011
1,POD Camera,Wicker Park Fieldhouse,,0,0.00,22500,2011
1,Schools,LaSalle II Elementary School Playground (TPC = $25,,0,0.00,1037,2011
2,Pole Painting,W VAN BUREN ST S STATE ST (0 E) S FRANKLIN ST (300 W),,0,9.00,32000,2011
2,Pole Painting,E SOLIDARITY DR S LYNN WHITE DR (800 E)Dead End (900 E),700 E. TO 800 E. ONLY,0,20.00,6000,2011
2,Pole Painting,W MONROE ST E KENNEDY ENTR RP (713 W) S DESPLAINES ST (640 W),,0,7.00,3800,2011
2,Pole Painting,W MADISON ST S RACINE AV (1200 W) S PEORIA ST (900 W),SOUTH SIDE OF MADISON ONLY,0,33.00,9900,2011
2,Pole Painting,W TAYLOR ST S LOOMIS ST,,0,1.00,2750,2011
2,Pole Painting,S WELLS ST W MADISON ST (0 N) W VAN BUREN ST (400 S),,0,7.00,25000,2011
2,Pole Painting,S UNION AVE S DAN RYAN ENTR RP (1077 S) S DAN RYAN ENTR RP (1250 S),,0,9.00,2700,2011
2,Pole Painting,S MICHIGAN AVE E JACKSON DR (300 S) E HARRISON ST (600 S),,0,21.00,27000,2011
2,Pole Painting,W 13TH ST S ASHLAND AV (1600 W) S PAULINA ST (1700 W),,0,10.00,3000,2011
2,Pole Painting,W HASTINGS ST S ASHLAND AV (1600 W) S PAULINA ST (1700 W),,0,10.00,3000,2011
2,Pole Painting,S HALSTED ST W VAN BUREN ST,,0,1.00,2750,2011
2,Pole Painting,W VAN BUREN ST S DESPLAINES ST,,0,1.00,2550,2011
2,Pole Painting,W 15TH ST S ASHLAND AV (1600 W) S PAULINA ST (1700 W),,0,10.00,3000,2011
2,Street Lighting,S WABASH AVE E 25 ST (2505 S) E 28 ST (2812 S),SIGNED 8/25/11,0,6.00,2100,2011
2,Street Lighting,214S OAKLEY AVE,,0,1.00,350,2011
2,Street Lighting,S UNION AVE S DAN RYAN ENTR RP (1077 S) S DAN RYAN ENTR RP (1250 S),,0,9.00,3600,2011
2,Street Lighting,W MONROE ST E KENNEDY ENTR RP (713 W) S DESPLAINES ST (640 W),,0,4.00,2550,2011
2,Street Lighting,E SOLIDARITY DR S LYNN WHITE DR (800 E)Dead End (900 E),700 E. TO 800 E. ONLY,0,24.00,9600,2011
2,Street Lighting,2000S CALUMET AVE,,0,1.00,350,2011
2,Street Lighting,W 13TH ST S ASHLAND AV (1600 W) S PAULINA ST (1700 W),,0,7.00,2800,2011
2,Street Lighting,2832W WARNER AVE,,0,1.00,350,2011
2,Street Lighting,2323W WARREN DR,,0,1.00,350,2011
2,Street Lighting,3500S PRAIRIE AVE,,0,2.00,700,2011
2,Street Lighting,1628W ADAMS BLVD,,0,1.00,350,2011
2,Street Lighting,W 15TH ST S ASHLAND AV (1600 W) S PAULINA ST (1700 W),,0,7.00,2800,2011
2,Street Lighting,2671W CATALPA AVE,,0,1.00,350,2011
2,Street Lighting,W HASTINGS ST S ASHLAND AV (1600 W) S PAULINA ST (1700 W),,0,6.00,2400,2011
2,Street Lighting,W RANDOLPH ST N DAMEN AV (2000 W) N LEAVITT AV (2000 S),,0,18.00,6300,2011
2,Street Lighting,W MAYPOLE AVE N DAMEN AV (2000 W) N LEAVITT AV (2000 S),,0,18.00,6300,2011
2,Street Lighting,2351W ADAMS ST,,0,1.00,350,2011
2,Street Lighting,1543W JACKSON BLVD,,0,1.00,350,2011
2,Street Lighting,S CLINTON ST W MONROE ST (100 S) W ADAMS ST (200 S),,0,3.00,2150,2011
2,Alley Apron Menu,W MONROE ST S ASHLAND AV (1600 W),,0,2.00,21547,2011
2,Alley Resurface Menu,W FILLMORE ST W TAYLOR ST S LOOMIS ST S THROOP ST,,0,0.00,8930,2011
2,Alley Resurfacing Menu - Change Order,S LOOMIS ST W TAYLOR ST (1000 S) W FILLMORE ST (1050 S),PM: JC - 2010,0,0.00,7090,2011
2,Concrete Alley Menu,W JACKSON BLVD W ADAMS ST S LAFLIN ST S ASHLAND AVE,,0,0.00,98000,2011
2,Curb/Gutter Menu,W FLOURNOY ST S WESTERN AV (2400 W) S OAKLEY BV (2300 W),,0,0.00,177941,2011
2,Miscellaneous-CDOT,Decorative Waste Receptacles - various locations,PM: JA/JK - 2011 request 2010 & 2011 funding,0,0.00,33963,2011
2,Miscellaneous-CDOT,S ASHLAND AVE W TAYLOR ST,PM: JC/MI,0,1.00,24666,2011
2,Sidewalk Menu,W MONROE ST S SANGAMON ST (932 W) S PEORIA ST (900 W),,0,0.00,67782,2011
2,Sidewalk Menu,W WARREN BLVD N POLLOCK ST (2605 W) N POLLOCK ST (2605 W),,0,0.00,18486,2011
2,Sidewalk Menu,S WABASH AVE E 23 ST (2300 S) E 24 ST (2400 S),,0,0.00,43686,2011
2,Sidewalk Menu,S SANGAMON ST W MADISON ST (0 N) W MONROE ST (100 S),,0,0.00,102615,2011
2,Sidewalk Menu,E ROOSEVELT RD S WABASH AV (44 E) S MICHIGAN AV (120 E),,0,0.00,37360,2011
2,Sidewalk Menu,W JACKSON BLVD S HOYNE AV (2100 W) S HAMILTON AV (2132 W),,0,0.00,22368,2011
2,Street Resurface Menu,W FLOURNOY ST S WESTERN AV (2400 W) S OAKLEY BV (2300 W),,1,0.00,28755,2011
2,Street Resurface Menu,W POLK ST S LAFLIN ST (1500 W) S ASHLAND AV (1600 W),,1,0.00,45659,2011
2,Street Resurface Menu,W CONGRESS PKWY S JEFFERSON ST (600 W) S CLINTON ST (520 W),,0,0.00,28636,2011
2,Street Resurface Menu,S SANGAMON ST W JACKSON BV (300 S) W ADAMS ST (200 S),,1,0.00,38133,2011
2,Street Resurface Menu,W ARTHINGTON ST S WESTERN AV (2400 W) S CAMPBELL AV (2500 W),,1,0.00,50208,2011
2,Street Resurface Menu,E 37TH ST S PRAIRIE AV (232 E) S CALUMET AV (334 E),,1,0.00,80727,2011
2,Street Resurface Menu(1-5),W GLADYS AVE S HOYNE AV (2100 W)Dead End (2141 W),,1,0.00,30941,2011
2,Street Resurface Menu(1-5),S CAMPBELL AVE W HARRISON ST (600 S) W HARRISON ST (600 S),,1,0.00,23161,2011
2,Street Resurface Menu(1-5),W ADAMS ST S OAKLEY BV (2300 W) S WESTERN AV (2400 W),,1,0.00,44693,2011
2,Street Resurface Menu(1-5),S LOOMIS ST W TAYLOR ST (1000 S) W FILLMORE ST (1050 S),,0,0.00,19395,2011
2,Street Speed Hump Menu,W LEXINGTON ST S FRANCISCO AV (2900 W) S SACRAMENTO BV (3000 W),,0,1.00,3700,2011
2,Chicago Park District,Jane Addams Park - lighting,,0,0.00,11860,2011
2,Miscellaneous-Other,Trees on the public way,,0,0.00,82145,2011
3,Street Lighting,S MICHIGAN AVE E CULLERTON ST (2000 S) E 21 ST (2100 S),,0,2.00,700,2011
3,Street Lighting,S WABASH AVE E 45 ST (4458 S) E 46 ST (4600 S),Alderman's E-mail Attachments,0,1.00,68250,2011
3,Street Lighting,S PRINCETON AVE W 48 PL (4842 S) W 51 ST (5100 S),4900-5100 S. PRINCETON 20K FOR FIRE ALARM,0,2.00,156500,2011
3,Alley Resurface Menu,S MICHIGAN AVE S INDIANA AVE E 40TH ST E 41ST ST,,0,0.00,2981,2011
3,Alley Resurface Menu,S STATE ST S WABASH AVE W 15TH ST W 16TH ST,,0,0.00,10000,2011
3,Alley Resurface Menu,S ASHLAND AVE W 46TH ST S MCDOWELL AVE W 46TH ST,,1,0.00,39982,2011
3,Alley Resurface Menu,S MARSHFIELD AVE S ASHLAND AVE W 45TH ST W 46TH ST,,1,0.00,34472,2011
3,New Alley Construction,1503 S State,PM: IH,0,1.00,5961,2011
3,Sidewalk Menu,W 42ND PL S SHIELDS AV (342 W) S SHIELDS AV (342 W),,0,0.00,20538,2011
3,Sidewalk Menu,E 37TH PL S STATE ST (0 E) S WABASH AV (44 E),,0,0.00,56398,2011
3,Sidewalk Menu,E 38TH ST S STATE ST (0 E)Dead End (48 E),,0,0.00,29267,2011
3,Sidewalk Menu,S WABASH AVE E 18 ST (1820 S) E 18 ST (1820 S),,0,0.00,4006,2011
3,Sidewalk Menu,S WABASH AVE E 41 ST (4100 S) E 42 ST (4200 S),,0,0.00,18120,2011
3,Sidewalk Menu,E 53RD ST S MICHIGAN AV (120 E) S INDIANA AV (200 E),,0,0.00,14272,2011
3,Sidewalk Menu,S LOOMIS BLVD W 47 ST (4700 S) W 48 ST (4800 S),,0,0.00,38840,2011
3,Sidewalk Menu,E 24TH ST S STATE ST (0 E) S WABASH AV (44 E),,0,0.00,7491,2011
3,Sidewalk Menu,S DEARBORN ST W 54 ST (5400 S) W GARFIELD (N) BV(5450 S),,0,0.00,21021,2011
3,Sidewalk Menu,S WELLS ST W 44 PL (4432 S) W 45 PL (4532 S),,0,0.00,21336,2011
3,Sidewalk Menu - Change Order,2728,2799,0,0.00,89995,2011
3,Street Resurface Menu,E 48TH ST S VINCENNES AV (500 E) S FORRESTVILLE AV (532 E),,0,0.00,35464,2011
3,Street Resurface Menu,S PRAIRIE AVE E PERSHING RD (3900 S) E 41 ST (4100 S),,2,0.00,102243,2011
3,Street Resurface Menu,E 37TH ST S INDIANA AV (200 E) S PRAIRIE AV (232 E),,0,0.00,32078,2011
3,Street Resurface Menu,S FORRESTVILLE AVE E 48 ST (4800 S) E 49 ST (4900 S),,1,0.00,51593,2011
3,Street Resurface Menu,E 42ND STDR. MARTIN LUTHER KING JR. DR  (400 E) S VINCENNES AV (515 E),,1,0.00,62079,2011
3,Street Resurface Menu,W 15TH ST S DEARBORN ST (36 W) S CLARK ST (100 W),,0,0.00,29574,2011
3,Street Resurface Menu,S PRAIRIE AVE E 44 ST (4400 S) E 47 ST (4700 S),,5,0.00,267034,2011
3,Street Resurface Menu,W CULLERTON ST S STATE ST (0 E) S CLARK ST (100 W),,1,0.00,69014,2011
3,Street Resurface Menu(1-5),S VERNON AVE E 43 ST (4300 S)Dead End (4319 S),,0,0.00,19289,2011
3,Street Speed Hump Menu,S PRINCETON AVE W 43 ST (4300 S) W 43 PL (4332 S),,0,1.00,1850,2011
3,Street Speed Hump Menu,DR MARTIN LUTHER KING JR DR E PERSHING RD (3900 S) E 40 ST (4000 S),,0,1.00,1850,2011
3,Street Speed Hump Menu,S CALUMET AVE E 38 ST (3800 S) E PERSHING RD (3900 S),,0,1.00,3700,2011
3,Miscellaneous-Other,Tree Planting - 4239,4241,0,0.00,3300,2011
3,Miscellaneous-Other,Trash container at 35th & Michigan,,0,0.00,800,2011
4,Street Lighting,S ST LAWRENCE AVE E 43 ST (4300 S) E 44 ST (4400 S),,0,5.00,1750,2011
4,Alley Resurface Menu,S CALUMET AVE E 35TH ST S DR MARTIN LUTHER KING JR DR WE 37TH ST,,0,0.00,1073,2011
4,Alley Speed Hump Menu,E 42ND ST E BOWEN AVE S ST LAWRENCE AVE S LANGLEY AVE,,0,0.00,1100,2011
4,Curb/Gutter Menu,S RHODES AVE E 31 ST (3100 S) E 33 ST (3300 S),,0,0.00,246556,2011
4,Curb/Gutter Menu,S DREXEL AVE E 47 ST (4700 S) E 48 ST (4800 S),,0,0.00,18916,2011
4,Miscellaneous-CDOT,Harper Ave. Construction,,0,0.00,200000,2011
4,Sidewalk Menu,E 40TH ST S ELLIS AV (923 E) S LAKE PARK AV (994 E),,0,0.00,10196,2011
4,Sidewalk Menu,S OAKENWALD AVE E 42 PL (4228 S) E 43 ST (4300 S),,0,0.00,23025,2011
4,Sidewalk Menu,S GREENWOOD AVE E 44 ST (4400 S) E 45 ST (4500 S),,0,0.00,32369,2011
4,Sidewalk Menu,S PRAIRIE AVE E 26 ST (2600 S) E 29 ST (2900 S),,0,0.00,56017,2011
4,Sidewalk Menu,S KENWOOD AVE E 48 ST (4800 S) E 49 ST (4900 S),,0,0.00,31644,2011
4,Sidewalk Menu,E 54TH ST S HARPER AV (1500 E) S HARPER AV (1500 E),,0,0.00,23868,2011
4,Sidewalk Menu,S VINCENNES AVE E 42 ST (4200 S) E 42 PL (4232 S),,0,0.00,4474,2011
4,Sidewalk Menu,E 43RD ST S FORRESTVILLE AV (532 E) S ST LAWRENCE AV (600 E),,0,0.00,16940,2011
4,Sidewalk Menu,E 42ND ST S ST LAWRENCE AV (600 E) S CHAMPLAIN AV (634 E),,0,0.00,10283,2011
4,Sidewalk Menu,E 36TH ST S COTTAGE GROVE AV (715 E) S ELLIS AV (741 E),,0,0.00,20424,2011
4,Sidewalk Menu,S CHAMPLAIN AVE E 47 ST (4700 S) E 48 ST (4800 S),,0,0.00,22216,2011
4,Sidewalk Menu,E 48TH ST S ELLIS AV (1000 E) S GREENWOOD AV (1100 E),,0,0.00,38540,2011
4,Sidewalk Menu - Change Order,E 47TH ST S COTTAGE GROVE AV (800 E) S DREXEL AV (900 E),PM: JC - 2013 request - 2011 funds,0,0.00,1650,2011
4,Street Resurface Menu,S KIMBARK AVE E 49 ST (4900 S) E 50 ST (5000 S),,1,0.00,64934,2011
4,Street Resurface Menu,S GREENWOOD AVE E 48 ST (4800 S) E 49 ST (4900 S),,1,0.00,79062,2011
4,Street Resurface Menu,E 37TH ST S RHODES AV (500 E) S VINCENNES AV (614 E),,1,0.00,48086,2011
4,Street Resurface Menu,S LANGLEY AVE E 47 ST (4700 S) E 48 ST (4800 S),,1,0.00,40726,2011
4,Street Resurface Menu,S RHODES AVE E 33 PL (3332 S) E 35 ST (3500 S),,2,0.00,69123,2011
4,Street Resurface Menu,S GREENWOOD AVE E 49 ST (4900 S) E 50 ST (5000 S),,1,0.00,49946,2011
4,Street Resurface Menu(1-5),S ELLIS AVE E 54 PL (5412 S) E 54 ST (5322 S),,1,0.00,36867,2011
4,Street Resurface Menu(1-5),E 49TH ST S GREENWOOD AV (1100 E) S WOODLAWN AV (1200 E),,1,0.00,50487,2011
4,Street Resurface Menu(1-5),E 33RD PL S RHODES AV (500 E) S COTTAGE GROVE AV (629 E),,2,0.00,63025,2011
4,Street Resurface Menu(1-5),E 33RD PLDR. MARTIN LUTHER KING JR. DR  (403 E) S RHODES AV (500 E),,1,0.00,56649,2011
5,Pole Painting,S GREENWOOD AVE E 53 ST (5242 S) E 54 ST (5322 S),,0,4.00,800,2011
5,Street Lighting,5555S BLACKSTONE AVE,,0,1.00,350,2011
5,Street Lighting,S BENNETT AVE E 68 ST (6800 S) E 70 ST (7000 S),,0,3.00,1200,2011
5,Street Lighting,S RIDGELAND AVE S CREGIER AVE,,0,2.00,1000,2011
5,Street Lighting,S OGLESBY AVE E 71 ST (7110 S) E 73 ST (7300 S),Completed 10-4-2013,0,1.00,144000,2011
5,Street Lighting,S BENNETT AVE E 73 ST (7300 S) E 74 ST (7400 S),,0,4.00,1400,2011
5,Street Lighting,S EUCLID AVE E 68 ST (6800 S) E 70 ST (7000 S),,0,4.00,1600,2011
5,Street Lighting,5547S BLACKSTONE AVE,,0,1.00,350,2011
5,Street Lighting,5539S BLACKSTONE AVE,,0,1.00,350,2011
5,Street Lighting,S CONSTANCE AVE E 68 ST (6800 S) E 70 ST (7000 S),,0,4.00,1600,2011
5,Street Lighting,E 69TH ST S STONY ISLAND AVE,,0,2.00,1000,2011
5,Street Lighting,S GREENWOOD AVE E 53 ST (5242 S) E 54 ST (5322 S),,0,4.00,1400,2011
5,Street Lighting,5543S BLACKSTONE AVE,,0,1.00,350,2011
5,Street Lighting,E 56TH ST S LAKE PARK AVE,,0,2.00,1000,2011
5,Street Lighting,E 70TH ST S EAST END AV (1726 E) S STONY ISLAND AV (1600 E),,0,2.00,700,2011
5,Street Lighting,E 68TH ST S CORNELL AVE,,0,1.00,500,2011
5,Street Lighting,S CREGIER AVE E 68 ST (6800 S) E 70 ST (7000 S),,0,3.00,1200,2011
5,Street Lighting,S PAXTON AVE E 71 ST (7100 S) E 72 ST (7200 S),,0,4.00,1400,2011
5,Alley Resurface Menu,E 66TH ST E MARQUETTE RD S MINERVA AVE S UNIVERSITY AVE,,1,0.00,23732,2011
5,Alley Speed Hump Menu,S RIDGELAND AVE E 68TH ST S CREGIER AVE E 69TH ST,,0,1.00,700,2011
5,Alley Speed Hump Menu,E 76TH ST E 77TH ST S DANTE AVE S BLACKSTONE AVE,,0,0.00,2200,2011
5,Alley Speed Hump Menu,E 67TH ST E 68TH ST S JEFFERY AVE S CHAPPEL AVE,,0,1.00,1400,2011
5,Curb/Gutter Menu,E 68TH ST S MERRILL AV (2132 E) S PAXTON AV (2200 E),,0,0.00,35816,2011
5,Miscellaneous-CDOT,E 68TH ST S CORNELL AV (1632 E) S CREGIER AV (1800 E),Plaza Area -  09,0,0.00,157686,2011
5,Sidewalk Menu,S EVERETT AVE E 55 ST (5500 S) E 56 ST (5600 S),,0,0.00,28766,2011
5,Sidewalk Menu,E 73RD ST S CHAPPEL AV (2032 E) S CLYDE AV (2100 E),,0,0.00,13025,2011
5,Sidewalk Menu,E 68TH ST S EUCLID AV (1932 E) S JEFFERY BV (2000 E),,0,0.00,25398,2011
5,Sidewalk Menu,E 73RD ST S JEFFERY BV (2000 E) S MERRILL AV (2132 E),,0,0.00,3381,2011
5,Sidewalk Menu,E 71ST ST S DANTE AV (1440 E) S BLACKSTONE AV (1500 E),,0,0.00,16495,2011
5,Sidewalk Menu,S KENWOOD AVE E 57 ST (5700 S) E 58 ST (5800 S),,0,0.00,23141,2011
5,Sidewalk Menu,E 74TH ST S BENNETT AV (1842 E) S EUCLID AV (1920 E),,0,0.00,2601,2011
5,Sidewalk Menu,S PAXTON AVE E 71 (N) ST(7060 S) E 72 ST (7200 S),,0,0.00,6763,2011
5,Sidewalk Menu,E 73RD ST S KIMBARK AV (1300 E) S KENWOOD AV (1332 E),,0,0.00,1608,2011
5,Sidewalk Menu,S HARPER AVE E 56 ST (5600 S) E 57 ST (5700 S),,0,0.00,7148,2011
5,Sidewalk Menu,S STONY ISLAND AVE E 56 ST (5600 S) E 57 DR (5700 S),,0,0.00,55646,2011
5,Sidewalk Menu,E 67TH ST S BLACKSTONE AV (1500 E) S STONY ISLAND AV (1600 E),,0,0.00,9628,2011
5,Sidewalk Menu,S BLACKSTONE AVE E MARQUETTE RD (6600 S) E 66 PL (6632 S),,0,0.00,28769,2011
5,Sidewalk Menu,E 59TH ST S WOODLAWN AV (1200 E) S DORCHESTER AV (1400 E),,0,0.00,30001,2011
5,Sidewalk Menu,E 73RD ST S DORCHESTER AV (1400 E) S BLACKSTONE AV (1500 E),,0,0.00,3641,2011
5,Sidewalk Menu,S BENNETT AVE E 67 ST (6700 S) E 68 ST (6800 S),,0,0.00,10751,2011
5,Street Resurface Menu,S SHORE DR E 54 ST (5322 S) E 55 ST (5500 S),,4,0.00,162544,2011
5,Street Resurface Menu,S ELLIS AVE E 54 PL (5412 S) E 55 (N) ST(5450 S),,1,0.00,54800,2011
5,Street Resurface Menu,E 60TH ST S ELLIS AV (1000 E) S UNIVERSITY AV (1122 E),,0,0.00,1048,2011
