ward,type,location,cg_blks,sw_blks,humps,blocks,unitcount,estcost,year
01,Street Resurface Menu,W HADDON AV-- N HERMITAGE AV (1732 W) -to- N WOOD ST (1800 W),NA,NA,NA,0.42,NA,"10,109",2005
01,Street Resurface Menu,W LYNDALE ST-- N WESTERN AV (2400 W) -to- N MAPLEWOOD AV (2535 W),NA,NA,NA,1.35,NA,"32,896",2005
01,Street Resurface Menu,W THOMAS ST-- N ROCKWELL ST (2600 W) -to- N WASHTENAW AV (2700 W),NA,NA,NA,0.96,NA,"23,261",2005
01,Street Resurface Menu,W THOMAS ST-- N CAMPBELL AV (2500 W) -to- N ROCKWELL ST (2600 W),NA,NA,NA,0.97,NA,"33,076",2005
01,Street Speed Hump Menu,N ARTESIAN AV-- W HIRSCH ST (1400 N) -to- W LE MOYNE ST (1500 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N BELL AV-- W POTOMAC AV (1300 N) -to- W HIRSCH ST (1400 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N CAMPBELL AV-- W FULLERTON AV (2400 N) -to- W ALTGELD ST (2500 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N CAMPBELL AV-- W CHICAGO AV (800 N) -to- W IOWA ST (900 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N CAMPBELL AV-- W BLOOMINGDALE AV (1800 N) -to- W CORTLAND ST (1900 N) 1,NA,NA,1.00,NA,NA,"2,500",2005
01,Street Speed Hump Menu,N CAMPBELL AV-- W CORTLAND ST (1900 N) -to- W ARMITAGE AV (2000 N) 1,NA,NA,1.00,NA,NA,"2,500",2005
01,Street Speed Hump Menu,N CLAREMONT AV-- W HIRSCH ST (1400 N) -to- W LE MOYNE ST (1500 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N FAIRFIELD AV-- W NORTH AV (1600 N) -to- W WABANSIA AV (1700 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N GREENVIEW AV-- W LE MOYNE ST (1500 N) -to- W NORTH AV (1600 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N MARSHFIELD AV-- W WABANSIA AV (1650 N) -to- W BLOOMINGDALE AV (1800 N) 1,NA,NA,1.00,NA,NA,"2,500",2005
01,Street Speed Hump Menu,N NOBLE ST-- W DIVISION ST (1200 N) -to- W POTOMAC AV (1300 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N TALMAN AV-- W DIVERSEY AV (2800 N) -to- W GEORGE ST (2900 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N WICKER PARK AV-- N WOOD ST (1335 N) -to- N WOLCOTT AV (1372 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N WICKER PARK AV-- N HONORE ST (1478 N) -to- N DAMEN AV (1514 N) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,N WINNEBAGO AV-- W WABANSIA AV (1704 N) -to- N WESTERN AV (1916 N) 4,NA,NA,2.00,NA,NA,"10,000",2005
01,Street Speed Hump Menu,W CRYSTAL ST-- N DAMEN AV (2000 W) -to- N HOYNE AV (2100 W) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,W ERIE ST-- N WOOD ST (1800 W) -to- N WOLCOTT AV (1900 W) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,W GEORGE ST-- N WESTERN AV (2400 W) -to- N CAMPBELL AV (2500 W) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,W HADDON AV-- N ROCKWELL ST (2600 W) -to- N WASHTENAW AV (2700 W) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,W IOWA ST-- N WESTERN AV (2400 W) -to- N CAMPBELL AV (2500 W) 1,NA,NA,1.00,NA,NA,"2,500",2005
01,Street Speed Hump Menu,W NELSON ST-- N WASHTENAW AV (2700 W) -to- N CALIFORNIA AV (2800 W) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,W OHIO ST-- N WOLCOTT AV (1900 W) -to- N DAMEN AV (2000 W) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,W POTOMAC AV-- N DAMEN AV (2000 W) -to- N HOYNE AV (2100 W) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Street Speed Hump Menu,W RICE ST-- N WESTERN AV (2400 W) -to- N CAMPBELL AV (2500 W) 2,NA,NA,1.00,NA,NA,"5,000",2005
01,Streetscape,W NORTH AV-- N WOLCOTT AV (1900 W) -to- N LEAVITT ST (2200 W),NA,NA,NA,NA,NA,"20,000",2005
01,Pole Painting,MILWAUKEE AVE / DAMEN TO WESTERN,NA,NA,NA,NA,22.00,"5,880",2005
01,Pole Painting,MILWAUKEE AVE / DAMEN TO WESTERN,NA,NA,NA,NA,38.00,"7,600",2005
01,Pole Painting,MILWAUKEE-DAMEN TO WESTERN,NA,NA,NA,NA,29.00,"11,600",2005
01,Pole Painting,N MARSHFIELD AV-- W NORTH AV (1600 N) -to- W WABANSIA AV (1650 N),NA,NA,NA,NA,5.00,"1,000",2005
01,Pole Painting,N WINNEBAGO AV-- W MOFFAT ST (1832 N) -to- N WESTERN AV (1916 N),NA,NA,NA,NA,7.00,"1,400",2005
01,Pole Painting,W CHESTNUT ST-- N GREENVIEW AV (1500 W) -to- N ASHLAND AV (1600 W),NA,NA,NA,NA,5.00,"1,000",2005
01,Pole Painting,W CORTLAND ST-- N WESTERN (2400) -to- N ROCKWELL ST (2600 W),NA,NA,NA,NA,4.00,800,2005
01,Pole Painting,W CORTLAND ST-- N WESTERN (2400) -to- N ROCKWELL ST (2600 W),NA,NA,NA,NA,1.00,200,2005
01,Pole Painting,W FRY ST-- N GREENVIEW AV (1500 W) -to- N ASHLAND AV (1600 W),NA,NA,NA,NA,5.00,"1,000",2005
01,Pole Painting,W PEARSON ST-- N GREENVIEW AV (1500 W) -to- N ASHLAND AV (1600 W),NA,NA,NA,NA,5.00,"1,000",2005
01,Street Lighting,MILWAUKEE AVE / DAMEN TO WESTERN,NA,NA,NA,NA,38.00,"51,300",2005
01,Street Lighting,N MARSHFIELD AV-- W NORTH AV (1600 N) -to- W WABANSIA AV (1650 N),NA,NA,NA,NA,5.00,"2,000",2005
01,Street Lighting,N MILWAUKEE AV-- N WESTERN AV (1968 N) -to- W NORTH AV (1600 N),NA,NA,NA,NA,42.00,"16,800",2005
01,Street Lighting,N WINNEBAGO AV-- W MOFFAT ST (1832 N) -to- N WESTERN AV (1916 N),NA,NA,NA,NA,7.00,"2,800",2005
01,Street Lighting,W CHESTNUT ST-- N GREENVIEW AV (1500 W) -to- N ASHLAND AV (1600 W),NA,NA,NA,NA,5.00,"2,000",2005
01,Street Lighting,W FRY ST-- N GREENVIEW AV (1500 W) -to- N ASHLAND AV (1600 W),NA,NA,NA,NA,5.00,"2,000",2005
01,Street Lighting,W PEARSON ST-- N GREENVIEW AV (1500 W) -to- N ASHLAND AV (1600 W),NA,NA,NA,NA,5.00,"2,000",2005
01,Chicago Park District,Wabansia & Leavitt New Park Construction,NA,NA,NA,NA,NA,"90,000",2005
01,Chicago Park District,Dean Park Basketball Court Ren.,NA,NA,NA,NA,NA,"50,000",2005
01,Chicago Park District,Commercial Park Gym Floor,NA,NA,NA,NA,NA,"29,000",2005
01,Schools,Sabin School Sculpture Art Project,NA,NA,NA,NA,NA,"3,750",2005
01,Schools,Sabin School Sculpture Art Project,NA,NA,NA,NA,NA,"20,000",2005
02,Alley Resurface Menu,S MICHIGAN AV--S WABASH AV--W 25 ST--W 26 ST,NA,NA,NA,0.80,NA,"15,580",2005
02,Alley Resurface Menu,W JACKSON BV--W ADAMS ST--N GREEN ST--N PEORIA ST,NA,NA,NA,0.59,NA,"11,570",2005
02,Alley Resurface Menu,N RICHMOND ST--N SACRAMENTO AV--W JACKSON BV--W VAN BUREN ST,NA,NA,NA,0.95,NA,"18,578",2005
02,Alley Resurface Menu,S SANGAMON ST--S PEORIA ST--W JACKSON BV--W VAN BUREN ST,NA,NA,NA,0.42,NA,"8,297",2005
02,Alley Resurface Menu,W TAYLOR ST--S THROOP ST--S LOOMIS ST--W FILLMORE ST,NA,NA,NA,0.67,NA,"13,119",2005
02,Alley Speed Hump Menu,W JACKSON BV--W VAN BUREN ST--S RICHMOND ST--S SACRAMENTO AV,NA,NA,5,NA,NA,"4,375",2005
02,Alley Speed Hump Menu,W HARRISON ST--W CONGRESS PW--S CAMPBELL AV--S WESTERN AV,NA,NA,4,NA,NA,"3,500",2005
02,Curb/Gutter Menu,N SACRAMENTO BV-- W ADAMS ST (200 S) -to- W WALNUT ST (234 N),2.02,2.61,NA,NA,NA,"201,500",2005
02,Curb/Gutter Menu,S OAKLEY BV-- W JACKSON BV (300 S) -to- W VAN BUREN ST (400 S),0.59,0.89,NA,NA,NA,"64,825",2005
02,Curb/Gutter Menu,S STATE ST-- E HARRISON ST (605 S) -to- E BALBO AV (700 S),0.18,0.32,NA,NA,NA,"25,190",2005
02,Curb/Gutter Menu,W ADAMS ST-- S PEORIA ST (900 W) -to- S SANGAMON ST (932 W),0.25,0.53,NA,NA,NA,"34,701",2005
02,Miscellaneous-CDOT,9th Street Median improvements,NA,NA,NA,NA,NA,"150,000",2005
02,Sidewalk Menu,E CERMAK RD-- S WABASH AV (44 E) -to- S INDIANA AV (200 E),0.26,0.65,NA,NA,NA,"40,667",2005
02,Sidewalk Menu,S RICHMOND ST-- W JACKSON BV (300 S) -to- W VAN BUREN ST (400 S),0.12,0.54,NA,NA,NA,"31,920",2005
02,Sidewalk Menu,S SACRAMENTO BV-- W HARRISON ST (600 S) -to- W LEXINGTON ST (728 S),0.05,0.39,NA,NA,NA,"21,780",2005
02,Sidewalk Menu,W HARRISON ST-- S OAKLEY BV (2300 W) -to- S WESTERN AV (2400 W),0.13,0.62,NA,NA,NA,"36,154",2005
02,Street Resurface Menu,E 26 ST-- S STATE ST (0 E) -to- S PRAIRIE AV (299 E),NA,NA,NA,3.50,NA,"85,725",2005
02,Street Resurface Menu,E BALBO AV-- S WABASH AV (44 E) -to- S MICHIGAN AV (120 E),NA,NA,NA,0.84,NA,"20,992",2005
02,Street Resurface Menu,N ALBANY AV-- W WASHINGTON BV (100 N) -to- W LAKE ST (204 N),NA,NA,NA,0.63,NA,"15,718",2005
02,Street Resurface Menu,S CLAREMONT AV-- W CONGRESS PW (500 S) -to- W HARRISON ST (600 S),NA,NA,NA,0.53,NA,"12,890",2005
02,Street Resurface Menu,S FEDERAL ST-- W 14 ST (1400 S) -to- W 15 ST (1500 S),NA,NA,NA,0.67,NA,"16,432",2005
02,Street Resurface Menu,S RICHMOND ST-- W JACKSON BV (300 S) -to- W VAN BUREN ST (400 S),NA,NA,NA,0.70,NA,"17,186",2005
02,Street Speed Hump Menu,S GILES AV-- E 35 ST (3500 S) -to- E 37 ST (3700 S) 4,NA,NA,2.00,NA,NA,"10,000",2005
02,Street Speed Hump Menu,S PRAIRIE AV-- E 35 ST (3500 S) -to- E 37 ST (3700 S) 4,NA,NA,2.00,NA,NA,"10,000",2005
02,Street Lighting,E 18 ST-- S PRAIRIE AV (248 E) -to- S CALUMET AV (326 E),NA,NA,NA,NA,NA,"74,049",2005
02,Street Lighting,S RICHMOND ST-- W JACKSON BV (300 S) -to- W VAN BUREN ST (400 S),NA,NA,NA,NA,1.00,"85,250",2005
02,Street Lighting,W MONROE ST-- S DAMEN AV (2000 W) -to- S LEAVITT ST (2200 W),NA,NA,NA,NA,2.00,"170,000",2005
03,Alley Speed Hump Menu,W ROOT ST--W2 ST--S PRINCETON AV--S STEWART AV,NA,NA,4,NA,NA,"2,000",2005
03,Alley Speed Hump Menu,S CALUMET AV--DR. MARTIN LUTHER KING JR. DR--W 42 ST--W 43 ST,NA,NA,2,NA,NA,"1,000",2005
03,Alley Speed Hump Menu,S CALUMET AV--S PRAIRIE AV--W2 ST--W3 ST,NA,NA,4,NA,NA,"2,000",2005
03,Alley Speed Hump Menu,W 47 ST--W SWANN ST--S WENTWORTH AV--S PRINCETON AV,NA,NA,1,NA,NA,500,2005
03,Miscellaneous-CDOT,47th Street & MLK,NA,NA,NA,NA,NA,"550,000",2005
03,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E PERSHING RD (3900 S) -to- E 47 ST (4700 S),NA,NA,NA,NA,36.00,"5,191",2005
03,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 46 ST (4600 S) -to- E 48 ST (4800 S),NA,NA,NA,NA,20.00,"5,000",2005
03,Pole Painting,DR. MARTIN LUTHER KING JR. DR-- E 46 ST (4600 S) -to- E 48 ST (4800 S),NA,NA,NA,NA,28.00,"7,000",2005
03,Pole Painting,E PERSHING RD-- S STATE ST (0 E) -to- DR. MARTIN LUTHER KING JR. DR (400 E),NA,NA,NA,NA,39.00,"8,436",2005
03,Pole Painting,E PERSHING RD-- S STATE ST (0 E) -to- DR. MARTIN LUTHER KING JR. DR (400 E),NA,NA,NA,NA,43.00,"14,420",2005
03,Pole Painting,S INDIANA AV-- E 42 ST (4200 S) -to- E 44 ST (4400 S),NA,NA,NA,NA,11.00,"2,379",2005
03,Pole Painting,S INDIANA AV-- E 48 ST (4800 S) -to- E 50 ST (5000 S),NA,NA,NA,NA,12.00,"2,596",2005
03,Pole Painting,S INDIANA AV-- E 37 ST (3700 S) -to- E PERSHING RD (3900 S),NA,NA,NA,NA,7.00,"1,587",2005
03,Pole Painting,S INDIANA AV-- E 37 ST (3700 S) -to- E PERSHING RD (3900 S),NA,NA,NA,NA,28.00,"6,056",2005
03,Pole Painting,S MICHIGAN AV-- E 42 ST (4200 S) -to- E 44 ST (4400 S),NA,NA,NA,NA,11.00,"2,451",2005
03,Pole Painting,S MICHIGAN AV-- E 42 ST (4200 S) -to- E 44 ST (4400 S),NA,NA,NA,NA,12.00,"2,596",2005
03,Pole Painting,S VINCENNES AV-- E PERSHING RD (3900 S) -to- E 47 ST (4700 S),NA,NA,NA,NA,35.00,"5,047",2005
03,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 46 ST (4600 S) -to- E 48 ST (4800 S),NA,NA,NA,NA,20.00,"8,000",2005
03,Street Lighting,DR. MARTIN LUTHER KING JR. DR-- E 46 ST (4600 S) -to- E 48 ST (4800 S),NA,NA,NA,NA,30.00,"12,000",2005
03,Street Lighting,E 40 ST-- S STATE ST (0 E) -to- DR. MARTIN LUTHER KING JR. DR (400 E),NA,NA,NA,NA,24.00,"32,400",2005
03,Street Lighting,E 40 ST-- S STATE ST (0 E) -to- DR. MARTIN LUTHER KING JR. DR (400 E),NA,NA,NA,NA,30.00,"12,000",2005
03,Street Lighting,E 44 PL-- S VINCENNES AV (500 E) -to- S ST LAWRENCE AV (600 E),NA,NA,NA,NA,2.00,"80,000",2005
03,Street Lighting,E 48 PL-- DR. MARTIN LUTHER KING JR. DR (400 E) -to- S VINCENNES AV (500 E),NA,NA,NA,NA,1.50,"50,000",2005
03,Street Lighting,E 48 ST-- DR. MARTIN LUTHER KING JR. DR (400 E) -to- S ST LAWRENCE AV (600 E),NA,NA,NA,NA,2.00,"60,000",2005
03,Street Lighting,E 49 ST-- DR. MARTIN LUTHER KING JR. DR (400 E) -to- S ST LAWRENCE AV (600 E),NA,NA,NA,NA,2.00,"60,000",2005
03,Street Lighting,S INDIANA AV-- E 37 ST (3700 S) -to- E 40 ST (4000 S),NA,NA,NA,NA,6.00,"8,100",2005
03,Street Lighting,S INDIANA AV-- E 37 ST (3700 S) -to- E 40 ST (4000 S),NA,NA,NA,NA,32.00,"12,800",2005
03,Street Lighting,S PRAIRIE AV-- E 31 ST (3100 S) -to- E 33 BV (3300 S),NA,NA,NA,NA,2.00,"170,000",2005
03,Street Lighting,S VINCENNES AV-- E 38 ST (3800 S) -to- E 47 ST (4700 S),NA,NA,NA,NA,20.00,"27,000",2005
03,Street Lighting,S VINCENNES AV-- E 38 ST (3800 S) -to- E 47 ST (4700 S),NA,NA,NA,NA,38.00,"15,200",2005
03,Miscellaneous-Other,Christmass Tree decorations,NA,NA,NA,NA,NA,"10,000",2005
04,Alley Resurface Menu,E 49 ST--E 50 ST--S COTTAGE GROVE AV--S DREXEL AV,NA,NA,NA,0.91,NA,"17,709",2005
04,Alley Resurface Menu,E 36 ST--E 37 ST--S COTTAGE GROVE AV--S ELLIS AV,NA,NA,5,0.66,NA,"17,277",2005
04,Alley Speed Hump Menu,E 46 ST--E 47 ST--S ELLIS AV--S GREENWOOD AV,NA,NA,9,NA,NA,"7,875",2005
04,Alley Speed Hump Menu,S ELLIS AV--S INGLESIDE AV--E HYDE PARK BV--E 52 ST,NA,NA,2,NA,NA,"1,750",2005
04,Alley Speed Hump Menu,E 49 ST--E 50 ST--S WASHINGTON PK--S VINCENNES AV,NA,NA,2,NA,NA,"1,750",2005
04,Alley Speed Hump Menu,E 41 ST--E BOWEN AV--S LANGLEY AV--S ST LAWRENCE AV,NA,NA,2,NA,NA,"1,750",2005
04,Concrete Alley Menu,W 40 ST--W 41 ST--S COTTAGE GROVE AV--S DREXEL AV,NA,NA,NA,NA,1.00,"34,300",2005
04,Sidewalk Menu,E 42 ST-- S LANGLEY AV (700 E) -to- S COTTAGE GROVE AV (800 E),0.02,0.20,NA,NA,NA,"12,500",2005
04,Sidewalk Menu,S CHAMPLAIN AV-- E 45 ST (4500 S) -to- E 46 ST (4600 S),0.04,0.26,NA,NA,NA,"15,091",2005
04,Street Resurface Menu,E 40 ST-- S LANGLEY AV (650 E) -to- S COTTAGE GROVE AV (800 E),NA,NA,NA,1.06,NA,"25,869",2005
04,Street Resurface Menu,E 46 ST-- S GREENWOOD AV (1100 E) -to- S WOODLAWN AV (1200 E),NA,NA,NA,1.15,NA,"27,836",2005
04,Street Resurface Menu,E BOWEN AV-- S ST LAWRENCE AV (600 E) -to- S COTTAGE GROVE AV (800 E),NA,NA,NA,2.16,NA,"52,602",2005
04,Street Resurface Menu,E HYDE PARK BV-- S LAKE PARK AV (1574 E) -to- S CORNELL AV (1626 E),NA,NA,NA,0.65,NA,"16,157",2005
04,Street Resurface Menu,S CHAMPLAIN AV-- E 48 ST (4800 S) -to- E 50 ST (5000 S),NA,NA,NA,2.31,NA,"56,305",2005
04,Street Resurface Menu,S LAKE PARK AV-- E 47 DR (4670 S) -to- E 49 ST (4909 S),NA,NA,NA,4.93,NA,"123,749",2005
04,Street Resurface Menu,S LAKE PARK AV-- E 42 PL (4228 S) -to- E 43 ST (4300 S),NA,NA,NA,0.93,NA,"22,944",2005
04,Street Resurface Menu,S LANGLEY AV-- E 40 ST (4028 S) -to- E BOWEN AV (4135 S),NA,NA,NA,1.15,NA,"28,262",2005
04,Street Resurface Menu,S MARYLAND AV-- E 49 ST (4900 S) -to- Dead End (4918 S),NA,NA,NA,0.34,NA,"8,173",2005
04,Street Resurface Menu,S WOODLAWN AV-- E 46 ST (4600 S) -to- E 47 ST (4700 S),NA,NA,NA,1.17,NA,"28,661",2005
04,Street Lighting,S CHAMPLAIN AV-- E 47 ST (4700 S) -to- E 49 ST (4900 S),NA,NA,NA,NA,2.00,"170,000",2005
04,Street Lighting,S ELLIS AV-- E 45 ST (4500 S) -to- E 47 ST (4700 S),NA,NA,NA,NA,2.00,"80,000",2005
04,Chicago Park District,Donoghue Park/Lake Park,NA,NA,NA,NA,NA,"69,439",2005
04,Miscellaneous-Other,Hyde Park Art Center,NA,NA,NA,NA,NA,"500,000",2005
05,Alley Resurface Menu,E 57 ST--E 59 ST--S STONY ISLAND AV--S HARPER AV,NA,NA,3,0.59,NA,"14,137",2005
05,Curb/Gutter Menu,E 69 ST-- S CHAPPEL AV (2032 E) -to- S CLYDE AV (2100 E),0.11,0.04,NA,NA,NA,"10,584",2005
05,Curb/Gutter Menu,S PROMONTORY DR-- Dead End (6431 S) -to- E MARQUETTE DR (6655 S),2.86,0.75,NA,NA,NA,"149,594",2005
05,Sidewalk Menu,E 68 ST-- S OGLESBY AV (2332 E) -to- S SOUTH SHORE DR (2400 E),0.07,0.30,NA,NA,NA,"20,356",2005
05,Sidewalk Menu,E 71 ST-- S INGLESIDE AV (930 E) -to- S ELLIS AV (1000 E),0.07,0.40,NA,NA,NA,"22,659",2005
05,Sidewalk Menu,E 71 ST-- S KENWOOD AV (1332 E) -to- S DORCHESTER AV (1400 E),0.42,0.91,NA,NA,NA,"58,852",2005
05,Sidewalk Menu,E 72 PL-- S JEFFERY BV (2000 E) -to- S MERRILL AV (2132 E),0.10,0.96,NA,NA,NA,"50,231",2005
05,Sidewalk Menu,S CHAPPEL AV-- E 67 ST (6700 S) -to- E 68 ST (6800 S),0.05,0.71,NA,NA,NA,"36,110",2005
