ward,type,location,estcost,year
4,Sidewalk Menu,ON S COTTAGE GROVE AVE FROM E 33RD ST (3300 S) TO E 33RD PL (3338 S), 27764.06,2016
4,Sidewalk Menu,4359 S ST LAWRENCE AVE,13759.29,2016
4,Sidewalk Menu,ON S VINCENNES AVE FROM E PERSHING RD (3900 S) TO E OAKWOOD BLVD (3946 S), 1992.65,2016
4,Sidewalk Menu,1050 E 49TH ST,5525.57,2016
4,Sidewalk Menu,705 E 40TH ST,9008.53,2016
4,Sidewalk Menu,3130 S GILES AVE,5756.23,2016
4,Street Bump Outs Menu,1461 E HYDE PARK BLVD,2374.05,2016
4,Street Light Pole Painting Menu,ON E OAKWOOD BLVD FROM S COTTAGE GROVE AVE (799 E) TO S DR MARTIN LUTHER KING JR DR E (399 E), 1200.00,2016
4,Street Light Upgrade Menu,S OAKENWALD AVE & E 44TH PL,450.00,2016
4,Street Light Upgrade Menu,660 E 42ND ST,450.00,2016
4,Street Resurfacing Menu (1-5),ON S RHODES AVE FROM E BROWNING AVE (3550 S) TO E 37TH PL (3732 S), 108151.44,2016
4,Street Resurfacing Menu (1-5),ON S COTTAGE GROVE AVE FROM E 33RD ST (3300 S) TO E 35TH ST (3500 S), 178044.08,2016
4,Street Resurfacing Menu (1-5),ON E 46TH ST FROM S LANGLEY AVE (700 E) TO S CHAMPLAIN AVE (640 E), 41609.17,2016
4,Street Resurfacing Menu,ON E 52ND ST FROM S DORCHESTER AVE (1400 E) TO S HARPER AVE (1499 E), 66470.74,2016
4,Street Resurfacing Menu,ON S KIMBARK AVE FROM E 52ND ST (5200 S) TO E 53RD ST (5300 S),52939.58,2016
4,Street Resurfacing Menu,ON E 33RD PL FROM S COTTAGE GROVE AVE (600 E) TO S ELLIS AVE (698 E), 21533.97,2016
4,Street Resurfacing Menu,ON S FEDERAL ST FROM W HARRISON ST (600 S) TO W POLK ST (800 S),47983.23,2016
4,Street Resurfacing Menu,ON S LA SALLE ST FROM W HARRISON ST (600 S) TO W POLK ST (800 S),56575.40,2016
4,Street Resurfacing Menu,ON E 46TH ST FROM S COTTAGE GROVE AVE (800 E) TO S DREXEL BLVD (900 E), 73881.12,2016
4,Street Resurfacing Menu,ON S LANGLEY AVE FROM E 46TH ST (4600 S) TO E 47TH ST (4700 S),50807.14,2016
4,Street Resurfacing Menu,ON S KIMBARK AVE FROM E HYDE PARK BLVD (5100 S) TO E 52ND ST (5200 S), 42970.53,2016
4,Street Resurfacing Menu,ON S RHODES AVE FROM E 35TH ST (3500 S) TO E BROWNING AVE (3550 S), 35575.39,2016
4,Street Resurfacing Menu,ON S RHODES AVE FROM E 37TH PL (3732 S) TO E PERSHING RD (3900 S), 62781.32,2016
4,Street Speed Hump Menu,ON S OAKENWALD AVE FROM E 40TH ST (4000 S) TO E 41ST ST (4100 S),1850.00,2016
4,Street Speed Hump Menu,ON S OAKENWALD AVE FROM E 43RD ST (4300 S) TO E 44TH PL (4430 S),5550.00,2016
4,Street Speed Hump Menu,ON S OAKENWALD AVE FROM E 44TH PL (4430 S) TO S LAKE PARK AVE (4620 S), 7400.00,2016
5,Alley Resurfacing Menu,E 53RD ST & S HARPER AVE & E 54TH ST & S LAKE PARK AVE W,19078.90,2016
5,Bus Pad,S GREENWOOD AVE & E 71ST ST,17389.29,2016
5,In-Road State Law Stop For Pedestrians Signs Menu,E 55TH ST & S UNIVERSITY AVE, 350.00,2016
5,Median improvements.,ON S CORNELL AVE FROM E HAYES DR (6299 S) TO E MIDWAY PLAISANCE (5900 S), 70579.80,2016
5,Miscellaneous CDOT Projects,1505 E 67TH PL,531.77,2016
5,Pedestrian Countdown Signal Menu,S SOUTH SHORE DR & E 67TH ST,6100.00,2016
5,Sidewalk Menu,E 67TH ST & S JEFFERY DR,42396.95,2016
5,Sidewalk Menu,1100 E MIDWAY PLAISANCE:1101 E MIDWAY PLAISANCE,35425.01,2016
5,Street Light Residential Staggered Piggy Back Menu,ON S MARYLAND AVE FROM E 53RD ST (5300 S) TO E 54TH ST (5400 S):ON E 54TH ST FROM S COTTAGE GROVE AVE (800 E) TO S DREXEL AVE (900 E):ON E 53RD ST FROM S COTTAGE GROVE AVE (800 E) TO S DREXEL AVE (900 E), 171600.00,2016
5,Street Resurfacing Menu,ON E 50TH ST FROM S CORNELL AVE (1600 E) TO S LAKE SHORE DR W (1624 E), 78256.76,2016
5,Street Resurfacing Menu,ON S WOODLAWN AVE FROM E 72ND PL (7231 S) TO E 73RD ST (7300 S),54633.68,2016
