ward,type,location,year,est_cost,address,lat,long,query
49,Alley Speed Hump Menu  2,037 W ESTES AVE,2019,700,037 W ESTES AVE,42.0111179,-87.6860386,google
9,Sidewalk Menu,10 E 91 ST ST,2018,34065.71,10 E 91 ST ST,41.729057116000035,-87.62341537099996,census
43,Street Resurfacing Menu,10 E SCOTT ST,2021,12701.75,10 E SCOTT ST,41.90486995600003,-87.62831535199996,census
29,Street Speed Hump Menu,100 S MASON AVE,2022,3525,100 S MASON AVE,41.8789683,-87.773289,google
4,Miscellaneous CDOT Projects,1000 E 43 RD ST,2016,831,1000 E 43 RD ST,41.816891989000055,-87.60058004499996,census
4,Miscellaneous-Other,1000 E 43 rd Street,2007,257000,1000 E 43 rd Street,41.816891989000055,-87.60058004499996,census
4,Miscellaneous-Other,1000 E 43 Street,2006,90000,1000 E 43 Street,41.817112,-87.601473,google
37,Bollard Menu,1000 N CICERO AV,2010,800,1000 N CICERO AV,41.86831582000008,-87.74483270699994,census
37,Street Speed Hump Menu,1000 N KARLOV AVE,2018,3700,1000 N KARLOV AVE,41.86902138900007,-87.72772246699998,census
27,Alley Resurfacing Menu,1000 N RIDGEWAY AVE,2016,35479.79,1000 N RIDGEWAY AVE,41.89922299600005,-87.72010320799995,census
27,POD Camera,1000 N. Avers,2010,13000,1000 N. Avers,41.8992301,-87.7228831,google
16,Guardrail Menu,1000 S MORGAN ST,2007,18024,1000 S MORGAN ST,41.86931714100007,-87.65112547799998,census
43,Sidewalk Menu,1000 W ARMITAGE AVE,2018,5242.22,1000 W ARMITAGE AVE,41.91811113700004,-87.65344737899994,census
43,Miscellaneous-CDOT,1000 W. Armitage Ave.,2008,454,1000 W. Armitage Ave.,41.91811113700004,-87.65344737899994,census
10,Sidewalk Menu,10000 S COMMERCIAL AVE,2018,4838,10000 S COMMERCIAL AVE,41.71326334500003,-87.55096231999994,census
10,Street Lighting,10000 S EWING AV,2008,500,10000 S EWING AV,41.71361592300008,-87.53527998099997,census
10,Sidewalk Menu,10001 S COMMERCIAL AVE,2018,4838,10001 S COMMERCIAL AVE,41.71326133300005,-87.55094788099996,census
10,Sidewalk Menu,10005 S AVENUE N,2017,2062.82,10005 S AVENUE N,41.71365373200007,-87.53768124499999,census
10,Sidewalk Menu,10005 S AVENUE N,2018,2217,10005 S AVENUE N,41.71365373200007,-87.53768124499999,census
5,Sidewalk Menu,1001 E 53 RD ST,2019,14490,1001 E 53 RD ST,41.79940013700008,-87.60123908199995,census
37,Alley Resurfacing Menu (1-1),1001 N LECLAIRE AVE,2019,18077.875,1001 N LECLAIRE AVE,41.89875755200006,-87.75323482699997,census
37,Alley Speed Hump Menu,1001 N LECLAIRE AVE,2019,700,1001 N LECLAIRE AVE,41.89875755200006,-87.75323482699997,census
27,Sidewalk Menu,1001 N MILWAUKEE AVE,2015,10715,1001 N MILWAUKEE AVE,41.90017199700003,-87.66148542799993,census
43,Miscellaneous CDOT Projects,1001 W ALTGELD ST,2018,616.190476190476,1001 W ALTGELD ST,41.927189577000036,-87.65371370499997,census
44,Miscellaneous CDOT Projects,1001 W WELLINGTON AVE,2019,582.5,1001 W WELLINGTON AVE,41.93626685900006,-87.65402863599996,census
34,Sidewalk Menu,10011 S CHARLES ST,2019,4967.22,10011 S CHARLES ST,41.711020320000046,-87.66037308199998,census
7,Bollard Menu,10015 S PAXTON AV,2007,714,10015 S PAXTON AV,41.71273609900004,-87.56940291299998,census
25,Sidewalk Menu,1002 W 18 TH ST,2020,23607.86,1002 W 18 TH ST,41.85801945700007,-87.65211492399999,census
7,Sidewalk Menu,10031 S MERRILL AVE,2022,1673.71,10031 S MERRILL AVE,41.712518405000026,-87.57060782699995,census
10,Sidewalk Menu,10035 S AVENUE N,2018,8642,10035 S AVENUE N,41.7128379,-87.5386345,google
26,Sidewalk Menu,1004 N KEDZIE AVE,2019,24507.17,1004 N KEDZIE AVE,41.89937826400006,-87.70668380199999,census
10,Sidewalk Menu,10043 S AVENUE N,2018,8642,10043 S AVENUE N,41.7126336,-87.5386437,google
10,Sidewalk Menu,10047 S AVENUE N,2018,8642,10047 S AVENUE N,41.7125105,-87.5386628,google
27,Concrete Alley Menu,1008 N LARRABEE ST,2017,88000,1008 N LARRABEE ST,41.90078665300007,-87.64311027899998,census
21,Sidewalk Menu,1008 W 89 TH ST,2017,21561.9,1008 W 89 TH ST,41.7324531,-87.6487766,google
43,Curb & Gutter Menu,1009 W ARMITAGE AVE,2017,1500.87,1009 W ARMITAGE AVE,41.91809614500005,-87.65369403299997,census
21,Bollard Menu,101 W 83 RD ST,2022,4491.67,101 W 83 RD ST,41.7434084,-87.6270285,google
4,3 LPR No POD Cameras: 101 W Ida B Wells; 110 E Roosevelt Rd; 600 S State St,101 W IDA B WELLS DR,2021,27410,101 W IDA B WELLS DR,41.8753788,-87.6310683,google
10,Sidewalk Menu,10108 S AVENUE M,2016,4661.01,10108 S AVENUE M,41.711671100000046,-87.53769995299996,census
7,Sidewalk Menu,10111 S CRANDON AVE,2019,4083.65,10111 S CRANDON AVE,41.71138364600006,-87.56696682099994,census
10,Sidewalk Menu,10116 S EWING AVE,2019,12951,10116 S EWING AVE,41.71155738600004,-87.53528411299999,census
4,Curb & Gutter Menu,1012 E 47 TH ST,2015,5748,1012 E 47 TH ST,41.80959961800005,-87.60124665499995,census
7,Sidewalk Menu,10120 S CALHOUN AVE,2022,5489.71,10120 S CALHOUN AVE,41.71129148600005,-87.56214385399994,census
