ward,type,location,year,est_cost,address,lat,long,query
10,Sidewalk Menu,10125 S EWING AVE,2017,10410.75,10125 S EWING AVE,41.711425322000025,-87.53526988299996,census
7,Sidewalk Menu,10127 S CRANDON AVE,2020,6955.66,10127 S CRANDON AVE,41.711133379000046,-87.56696277199995,census
25,Street Light Upgrade Menu,1013 W 19 TH ST,2016,450,1013 W 19 TH ST,41.85665379000005,-87.65215491699996,census
25,Alley Resurfacing Menu,1014 S MAY ST,2018,22179.44,1014 S MAY ST,41.868939115000046,-87.65524383599995,census
44,Alley Apron Menu,1014 W OAKDALE AVE,2017,10095.68,1014 W OAKDALE AVE,41.93534453900003,-87.65492634599997,census
44,Alley Apron Menu,1014 W WOLFRAM ST,2017,7722.33,1014 W WOLFRAM ST,41.933540436000044,-87.65455214999997,census
7,Sidewalk Menu,10141 S CRANDON AVE,2020,6255.14,10141 S CRANDON AVE,41.71091437300004,-87.56695884399994,census
43,Alley Apron Menu,1015 W ALTGELD ST,2018,8027.19,1015 W ALTGELD ST,41.9269428,-87.6543134,google
44,Alley Apron Menu,1015 W OAKDALE AVE,2017,8696.35,1015 W OAKDALE AVE,41.9351211,-87.6546216,google
34,Alley Apron Menu,10153 S WINSTON AVE,2018,27957.01,10153 S WINSTON AVE,41.709839800000054,-87.65569754099994,census
9,Bollard Menu,10155 S STATE ST,2005,395,10155 S STATE ST,41.7091117,-87.6232882,google
10,Guardrail Menu,10156 S INDIANAPOLIS AV,2009,7500,10156 S INDIANAPOLIS AV,41.710976463000065,-87.53340529999997,census
43,Miscellaneous CDOT Projects,1016 W ALTGELD ST,2018,616.190476190476,1016 W ALTGELD ST,41.92718675000003,-87.65444109599997,census
48,Sidewalk Menu,1017 W ARDMORE AVE,2020,4409.79,1017 W ARDMORE AVE,41.98731330100003,-87.65757751199999,census
46,Alley Apron Menu,1017 W IRVING PARK RD,2017,9226.72,1017 W IRVING PARK RD,41.954463099000066,-87.65574756499996,census
26,Street Speed Hump Menu,1019 N SACRAMENTO AVE,2019,2350,1019 N SACRAMENTO AVE,41.89979806400004,-87.70172539699996,census
6,Sidewalk Menu,102 W 77 TH ST,2022,5440.63,102 W 77 TH ST,41.75455155700007,-87.62743481499996,census
2,Sidewalk Menu,102 W GERMANIA PL,2017,38823.28,102 W GERMANIA PL,41.91043476800007,-87.63171695999995,census
2,Sidewalk Menu,102 W GERMANIA PL,2018,63565.31,102 W GERMANIA PL,41.91043476800007,-87.63171695999995,census
1,Alley Resurfacing Menu,1020 N MARSHFIELD AVE,2022,19151.03,1020 N MARSHFIELD AVE,41.900527124000064,-87.66863903799998,census
25,Sidewalk Menu,1020 W MONROE ST,2019,14903.4,1020 W MONROE ST,41.88040766600005,-87.65266688699995,census
9,POD Camera,10200 S. LaSalle,2009,24000,10200 S. LaSalle,41.7088129,-87.6274502,google
9,POD Camera,10200 S. State,2009,24000,10200 S. State,41.7088494,-87.6238644,google
8,Pedestrian Refuge Island Menu,10201 S COTTAGE GROVE AVE,2021,40741.11,10201 S COTTAGE GROVE AVE,41.7086719,-87.6054399,google
10,Miscellaneous-CDOT,10212 S. Ewing Av.,2007,2259,10212 S. Ewing Av.,41.70971555700004,-87.53529165599997,census
27,Alley Speed Hump Menu,1022 N ST LOUIS AVE,2018,1400,1022 N ST LOUIS AVE,41.89962840100003,-87.71402017399998,census
9,Sidewalk Menu,10222 S ST LAWRENCE AVE,2018,496.66,10222 S ST LAWRENCE AVE,41.7084811,-87.6092136,google
10,Bollard Menu,10224 S VAN VLISSINGEN RD,2008,630,10224 S VAN VLISSINGEN RD,41.70945564800007,-87.56892638899996,census
34,Sidewalk Menu,10228 S BEVERLY AVE,2022,13202.29,10228 S BEVERLY AVE,41.70814082900006,-87.65666341299999,census
48,Alley Apron Menu,1023 W THORNDALE AVE,2017,10060.74,1023 W THORNDALE AVE,41.990080843000044,-87.65659991399997,census
32,Chicago Park District,1023 W Wrightwood,2006,10000,1023 W Wrightwood,41.928599,-87.654708,google
10,Sidewalk Menu,10231 S AVENUE M,2019,6900,10231 S AVENUE M,41.70942660900005,-87.53768928499994,census
10,Sidewalk Menu,10232 S AVENUE N,2021,16621.72,10232 S AVENUE N,41.7090274,-87.5392854,google
7,Miscellaneous CDOT Projects,10245 S OGLESBY AVE,2020,13758.19,10245 S OGLESBY AVE,41.70925822700008,-87.56572481799998,census
25,Sidewalk Menu,1025 W 16 TH ST,2016,1760.75,1025 W 16 TH ST,41.859610000000004,-87.6520051,google
25,Sidewalk Menu,1025 W 16 TH ST,2017,61497.61,1025 W 16 TH ST,41.859610000000004,-87.6520051,google
10,Sidewalk Menu,10251 S EWING AVE,2015,7260,10251 S EWING AVE,41.70911975900003,-87.53527735299997,census
10,Sidewalk Menu,10253 S COMMERCIAL AVE,2020,8416.75,10253 S COMMERCIAL AVE,41.70921100500004,-87.55256444999998,census
10,Sidewalk Menu,10256 S AVENUE M,2022,18477.15,10256 S AVENUE M,41.70901987700006,-87.53770397299996,census
10,Sidewalk Menu,10258 S AVENUE G,2021,7252.28,10258 S AVENUE G,41.708707066000045,-87.53166610199997,census
10,Sidewalk Menu,10258 S AVENUE L,2022,3275.21,10258 S AVENUE L,41.70899033300003,-87.53649730299998,census
48,Curb & Gutter Menu,1026 W AINSLIE ST,2020,9121.14,1026 W AINSLIE ST,41.971574779000036,-87.65571268499997,census
1,Sidewalk Menu,1027 N HERMITAGE AVE,2019,2702.48,1027 N HERMITAGE AVE,41.9005151,-87.6708076,google
44,Street Light Upgrade Menu,1028 W NEWPORT AVE,2017,500,1028 W NEWPORT AVE,41.944464882000034,-87.65569157099998,census
44,Alley Apron Menu,1028 W WOLFRAM ST,2017,10119.55,1028 W WOLFRAM ST,41.93353931100006,-87.65463881799997,census
43,Miscellaneous CDOT Projects,1029 W ALTGELD ST,2018,616.190476190476,1029 W ALTGELD ST,41.92717461600006,-87.65451320699998,census
10,Sidewalk Menu,10300 S EWING AVE,2019,2725.5,10300 S EWING AVE,41.70815715200007,-87.53529465999998,census
10,Bollard Menu,10300 S TORRENCE AV,2009,2520,10300 S TORRENCE AV,41.70802707300004,-87.55966541999999,census
10,Sidewalk Menu,10301 S AVENUE G,2017,8567.24,10301 S AVENUE G,41.70807426600004,-87.53165141499994,census
42,Street Light Pole Painting Menu,1031 N STATE ST,2017,3600,1031 N STATE ST,41.51203124600005,-87.61622425299998,census
43,Miscellaneous CDOT Projects,1031 W ALTGELD ST,2018,616.190476190476,1031 W ALTGELD ST,41.92717420500003,-87.65453865599994,census
34,Bollard Menu,10314 S EMERALD AV,2008,1428,10314 S EMERALD AV,41.70619074700005,-87.64160122399994,census
19,Alley Speed Hump Menu,10315 S CAMPBELL AVE,2022,350,10315 S CAMPBELL AVE,41.70580828800007,-87.68408649099996,census
34,Alley Apron Menu,10317 S UNION AVE,2019,35326.55,10317 S UNION AVE,41.706193434000056,-87.64037583299995,census
10,Sidewalk Menu,10319 S AVENUE H,2017,6046.4,10319 S AVENUE H,41.707792392000044,-87.53286140099999,census
9,Sidewalk Menu,10319 S FOREST AVE,2018,2717.36,10319 S FOREST AVE,41.706504978000055,-87.61617667099995,census
44,Street Light Upgrade Menu,1032 W NEWPORT AVE,2017,500,1032 W NEWPORT AVE,41.94446359600005,-87.65577486299998,census
10,Sidewalk Menu,10326 S AVENUE J,2020,8700.41,10326 S AVENUE J,41.70766697200003,-87.53408607399996,census
10,Sidewalk Menu,10331 S AVENUE H,2021,6127.74,10331 S AVENUE H,41.70760426100003,-87.53286140099999,census
9,Sidewalk Menu,10337 S FOREST AVE,2019,4406,10337 S FOREST AVE,41.706293490000064,-87.61617077299996,census
46,Curb & Gutter Menu,1034 W MONTROSE AVE,2018,1888.14,1034 W MONTROSE AVE,41.96176849200003,-87.65587742899999,census
34,Curb & Gutter Menu,10344 S SANGAMON ST,2016,18508.7,10344 S SANGAMON ST,41.70579423700008,-87.64645224799995,census
10,Sidewalk Menu,10348 S AVENUE J,2022,1220.83,10348 S AVENUE J,41.70732206500003,-87.53408607399996,census
37,Curb & Gutter Menu,1035 N LATROBE AVE,2016,8282.78,1035 N LATROBE AVE,41.89925808900006,-87.75692587999998,census
21,Sidewalk Menu,1035 W 92 ND PL,2019,3882.93,1035 W 92 ND PL,41.7257021,-87.6495795,google
19,Street Light Upgrade,10352 S FAIRFIELD AVE,2013,400,10352 S FAIRFIELD AVE,41.70536119800005,-87.68981408999997,census
19,POD Camera,10354 S Charles,2006,24000,10354 S Charles,41.70549105400005,-87.65811608799999,census
34,Guardrail Menu,10358 S LOWE AV,2006,2080,10358 S LOWE AV,41.70580851700004,-87.63916647599996,census
44,Sidewalk Menu,1036 W WAVELAND AVE,2019,40783.53,1036 W WAVELAND AVE,41.94902445800005,-87.65589742599997,census
43,Miscellaneous CDOT Projects,1039 W ALTGELD ST,2018,616.190476190476,1039 W ALTGELD ST,41.92717255700006,-87.65464045099998,census
46,Sidewalk Menu,1039 W LAWRENCE AVE,2017,3164.77,1039 W LAWRENCE AVE,41.96906363700003,-87.65637641299998,census
42,Sidewalk Menu,1040 N LAKE SHORE DR,2017,1599.17,1040 N LAKE SHORE DR,41.90168944900006,-87.62429318899996,census
29,Curb & Gutter Menu,1040 S MONITOR AVE,2021,5349.11,1040 S MONITOR AVE,41.868382567000026,-87.77055261499999,census
48,Alley Apron Menu,1040 W AINSLIE ST,2017,5834.9,1040 W AINSLIE ST,41.97157281300008,-87.65581490899996,census
44,Street Light Upgrade Menu,1040 W NEWPORT AVE,2017,500,1040 W NEWPORT AVE,41.94446102300003,-87.65594144699998,census
44,Miscellaneous CDOT Projects,1040 W NEWPORT AVE,2019,582.5,1040 W NEWPORT AVE,41.94446102300003,-87.65594144699998,census
11,Sidewalk Menu,1041 W 31 ST PL,2022,5710.91,1041 W 31 ST PL,41.8368695,-87.6527585,google
10,Sidewalk Menu,10414 S EWING AVE,2019,22300,10414 S EWING AVE,41.70603007400007,-87.53529203999994,census
48,Alley Apron Menu,1042 W GLENLAKE AVE,2017,8771.51,1042 W GLENLAKE AVE,41.99233008900006,-87.65788966399998,census
43,Alley Apron Menu,1042 W MONTANA ST,2019,10338.69,1042 W MONTANA ST,41.92633234500005,-87.65480969299995,census
44,Street Light Upgrade Menu,1042 W NEWPORT AVE,2017,500,1042 W NEWPORT AVE,41.944460380000066,-87.65598309299997,census
19,Street Light Upgrade,10420 S LEAVITT ST,2012,350,10420 S LEAVITT ST,41.70416510200005,-87.67672033699995,census
9,Sidewalk Menu,10425 S FOREST AVE,2021,5846.26,10425 S FOREST AVE,41.704933941000036,-87.61613281299998,census
7,Alley Resurfacing Menu,10426 S OGLESBY AVE,2019,9170.1,10426 S OGLESBY AVE,41.70606066200003,-87.56569470499994,census
19,POD Camera,10431 W Longwood,2007,12000,10431 W Longwood,41.7033598,-87.6702879,google
10,Sidewalk Menu,10436 S AVENUE J,2021,4821.48,10436 S AVENUE J,41.705681147000064,-87.53408607399996,census
10,Sidewalk Menu,10446 S AVENUE M,2022,1875.02,10446 S AVENUE M,41.70553219000004,-87.53771017499997,census
10,Sidewalk Menu,10449 S AVENUE F,2016,10610.91,10449 S AVENUE F,41.705485046000035,-87.53044142899995,census
44,Alley Apron Menu,1045 W BARRY AVE,2022,11002.56,1045 W BARRY AVE,41.938061066000046,-87.65581286599996,census
46,Alley Apron Menu,1045 W IRVING PARK RD,2017,10532.9,1045 W IRVING PARK RD,41.95445478900007,-87.65622593499995,census
34,Sidewalk Menu,10457 S EMERALD AVE,2022,7896.13,10457 S EMERALD AVE,41.703949538000074,-87.64151737699996,census
10,Sidewalk Menu,10458 S AVENUE H,2019,15405,10458 S AVENUE H,41.70533390600008,-87.53287356699997,census
9,Sidewalk Menu,10458 S CALUMET AVE,2020,8545.405,10458 S CALUMET AVE,41.70439899300004,-87.61491583099996,census
43,Miscellaneous CDOT Projects,1046 W MONTANA ST,2018,616.190476190476,1046 W MONTANA ST,41.926331652000044,-87.65485142599994,census
48,Sidewalk Menu,1049 W BRYN MAWR AVE,2022,4316.01,1049 W BRYN MAWR AVE,41.98367568300006,-87.65678324999999,census
4,Sidewalk Menu,1050 E 49 TH ST,2016,5525.57,1050 E 49 TH ST,41.806192,-87.5996746,google
27,Street Resurfacing Menu,1050 N CENTRAL PARK AVE,2016,6213.85,1050 N CENTRAL PARK AVE,41.900053600000035,-87.71647151199994,census
27,Street Speed Hump Menu,1050 N CENTRAL PARK AVE,2017,3700,1050 N CENTRAL PARK AVE,41.900053600000035,-87.71647151199994,census
49,Chicago Park District,1050 W ALBION AVE,2014,75000,1050 W ALBION AVE,42.00259459700004,-87.65836068099998,census
49,Sidewalk Menu,1050 W COLUMBIA AVE,2018,7981.58,1050 W COLUMBIA AVE,42.00466252200005,-87.65809840399999,census
9,POD Camera,10500 S. State,2009,24000,10500 S. State,41.7033704,-87.623673,google
10,Concrete Alley Menu,10501 S AVENUE E,2019,188000,10501 S AVENUE E,41.704399124000076,-87.52923144299996,census
10,Sidewalk Menu,10501 S AVENUE L,2022,7942.58,10501 S AVENUE L,41.70442453100003,-87.53648331999995,census
10,Sidewalk Menu,10505 S EWING AVE,2016,21886.33,10505 S EWING AVE,41.704357851000054,-87.53527505699998,census
10,Sidewalk Menu,10507 S AVENUE L,2016,10964.81,10507 S AVENUE L,41.704330465000055,-87.53648331999995,census
37,Sidewalk Menu,1051 N CENTRAL AVE,2016,1117,1051 N CENTRAL AVE,41.8999768,-87.7652538,google
43,Miscellaneous CDOT Projects,1051 W MONTANA ST,2018,616.190476190476,1051 W MONTANA ST,41.92630782600003,-87.65553797699994,census
10,Sidewalk Menu,10511 S AVENUE F,2016,3017.89,10511 S AVENUE F,41.70424565700006,-87.53044142899995,census
34,Sidewalk Menu,10519 S PARNELL AVE,2021,10224.12,10519 S PARNELL AVE,41.70292448500004,-87.63664956899999,census
48,Alley Apron Menu,1052 W THORNDALE AVE,2017,10624.98,1052 W THORNDALE AVE,41.9901966,-87.6576077,google
27,Alley Resurfacing Menu,1053 N ORLEANS ST,2017,13862.175,1053 N ORLEANS ST,41.90158471500007,-87.63735645599996,census
48,Alley Apron Menu,1053 W THORNDALE AVE,2017,8130.21,1053 W THORNDALE AVE,41.99006133100005,-87.65774451499999,census
11,Sidewalk Menu,1054 W 34 TH PL,2022,2173.56,1054 W 34 TH PL,41.83159096300005,-87.65258972699996,census
48,Curb & Gutter Menu,1054 W BERWYN AVE,2020,11256.855,1054 W BERWYN AVE,41.9781847,-87.6571569,google
10,Sidewalk Menu,10546 S AVENUE G,2022,4359.86,10546 S AVENUE G,41.703683470000044,-87.53166208099998,census
48,Street Lighting,1055 W BRYN MAWR AVE,2011,500,1055 W BRYN MAWR AVE,41.983674826000026,-87.65684234699995,census
48,Sidewalk Menu,1055 W BRYN MAWR AVE,2019,3342.29,1055 W BRYN MAWR AVE,41.983674826000026,-87.65684234699995,census
10,Sidewalk Menu,10554 S AVENUE F,2020,4739.12,10554 S AVENUE F,41.70432733200005,-87.52649467199996,census
10,Bollard Menu,10556 S AVENUE B,2008,1428,10556 S AVENUE B,41.70432034600003,-87.52649479899998,census
34,Alley Apron Menu,10558 S PEORIA ST,2022,36512.5,10558 S PEORIA ST,41.70218402300003,-87.64512272299999,census
29,Curb & Gutter Menu,1056 N MAYFIELD AVE,2019,6244.77,1056 N MAYFIELD AVE,41.9000835,-87.773187,google
27,Alley Resurfacing Menu,1057 N RIDGEWAY AVE,2015,44161,1057 N RIDGEWAY AVE,41.900117572000056,-87.72011804299996,census
17,Miscellaneous CDOT Projects,1057 W 79 TH ST,2022,150,1057 W 79 TH ST,41.750546437000025,-87.65024623499994,census
37,Sidewalk Menu,1058 N KEYSTONE AVE,2017,3941.2,1058 N KEYSTONE AVE,41.90005625200007,-87.72745886999996,census
37,Sidewalk Menu,1058 N KEYSTONE AVE,2018,804.8,1058 N KEYSTONE AVE,41.90005625200007,-87.72745886999996,census
21,Sidewalk Menu,1058 W 92 ND PL,2021,6120.3,1058 W 92 ND PL,41.7262004,-87.6504533,google
29,Curb & Gutter Menu,1059 N MAYFIELD AVE,2019,5163.43666666667,1059 N MAYFIELD AVE,41.9001081,-87.7725689,google
21,Sidewalk Menu,1059 W 92 ND PL,2022,9522.48,1059 W 92 ND PL,41.7256919,-87.6504477,google
10,Sidewalk Menu,10600 S AVENUE G,2017,14938.86,10600 S AVENUE G,41.70257264900005,-87.53166208099998,census
10,Sidewalk Menu,10609 S AVENUE G,2019,6579,10609 S AVENUE G,41.702445741000076,-87.53164739599998,census
10,Sidewalk Menu,10613 S AVENUE D,2021,2981.27,10613 S AVENUE D,41.70203759000003,-87.52816617299999,census
10,Sidewalk Menu,10614 S MACKINAW AVE,2018,2899,10614 S MACKINAW AVE,41.70202385400006,-87.54256803599998,census
10,Sidewalk Menu,10614 S MACKINAW AVE,2018,9093,10614 S MACKINAW AVE,41.70202385400006,-87.54256803599998,census
34,Curb & Gutter Menu,10614 S MARTIN ST,2021,4882.97,10614 S MARTIN ST,41.700670126000034,-87.65599672199994,census
9,Traffic Signal Miscellaneous Menu,10616 S EDBROOKE AVE,2016,141,10616 S EDBROOKE AVE,41.70172540300007,-87.61967879799994,census
9,Street Lighting,10618 S DAUPHIN AVE,2011,300,10618 S DAUPHIN AVE,41.70120027100006,-87.60888813199995,census
10,Sidewalk Menu,10621 S MACKINAW AVE,2018,7715,10621 S MACKINAW AVE,41.70195501000006,-87.54255334999993,census
10,Sidewalk Menu,10626 S AVENUE O,2021,2098.04,10626 S AVENUE O,41.702068008000026,-87.54009892099998,census
10,Sidewalk Menu,10627 S AVENUE F,2017,3933.81,10627 S AVENUE F,41.70216057600004,-87.53044142899995,census
34,Sidewalk Menu,10636 S PEORIA ST,2016,1582.375,10636 S PEORIA ST,41.70072830000004,-87.64507711399995,census
9,Bollard Menu,10645 S INDIANA AV,2008,714,10645 S INDIANA AV,41.70114248800007,-87.61846564199999,census
34,Sidewalk Menu,10656 S PEORIA ST,2016,1582.375,10656 S PEORIA ST,41.700418187000025,-87.64506792499998,census
48,Sidewalk Menu,1066 W AINSLIE ST,2017,18748.49,1066 W AINSLIE ST,41.97156917500007,-87.65600470699997,census
34,Sidewalk Menu,10700 S EMERALD AVE,2018,12562.83,10700 S EMERALD AVE,41.699090812000065,-87.64138140499995,census
10,Sidewalk Menu,10700 S GREEN BAY AVE,2017,12768.17,10700 S GREEN BAY AVE,41.700811886000054,-87.54134872299994,census
10,Sidewalk Menu,10701 S AVENUE M,2022,7906,10701 S AVENUE M,41.70078781900003,-87.53768928699998,census
10,Sidewalk Menu,10718 S MACKINAW AVE,2018,5180.5,10718 S MACKINAW AVE,41.70052817800007,-87.54256777799998,census
10,Sidewalk Menu,10721 S HOXIE AVE,2019,652,10721 S HOXIE AVE,41.70050924700007,-87.56076641499999,census
10,Sidewalk Menu,10726 S AVENUE F,2019,9189,10726 S AVENUE F,41.70034640400007,-87.53045680799994,census
10,Sidewalk Menu,10740 S AVENUE F,2022,2267.96,10740 S AVENUE F,41.70012836500007,-87.53045760899994,census
9,Sidewalk Menu,10744 S EBERHART AVE,2022,6710.71,10744 S EBERHART AVE,41.699072268000066,-87.61110461499999,census
10,Sidewalk Menu,10749 S AVENUE H,2022,1577.48,10749 S AVENUE H,41.70001590100003,-87.53285542999998,census
10,Sidewalk Menu,10751 S AVENUE G,2020,5888.61,10751 S AVENUE G,41.699976553000056,-87.53164739599998,census
10,Sidewalk Menu,10755 S AVENUE F,2016,6462.19,10755 S AVENUE F,41.69991029700003,-87.53044372599999,census
34,Sidewalk Menu,10756 S LOWE AVE,2017,1381.86,10756 S LOWE AVE,41.698449270000026,-87.63893588299999,census
34,Sidewalk Menu,10756 S LOWE AVE,2018,15056.86,10756 S LOWE AVE,41.698449270000026,-87.63893588299999,census
10,Sidewalk Menu,10757 S GREEN BAY AVE,2021,4323.52,10757 S GREEN BAY AVE,41.69993950800006,-87.54133532399999,census
6,Street Light Upgrade Menu,108 E 83 RD ST,2019,500,108 E 83 RD ST,41.743892,-87.6207397,google
2,Street Light Residential Staggered Piggy Back Menu,108 W GERMANIA PL,2019,12052.76,108 W GERMANIA PL,41.91043476800007,-87.63175548299995,census
34,Guardrail Menu,10800 S EGGLESTON AV,2008,800,10800 S EGGLESTON AV,41.69777615000004,-87.63411214499996,census
10,Street Lighting,10800 S HOXIE AVE,2011,3500,10800 S HOXIE AVE,41.699077060000036,-87.56076097499994,census
10,Sidewalk Menu,10800 S TORRENCE AVE,2021,1455.29666666667,10800 S TORRENCE AVE,41.699047472000075,-87.55955447099996,census
9,High Definition Camera,10800 S. Langley,2013,22500,10800 S. Langley,41.69798891900007,-87.60611839599994,census
10,Sidewalk Menu,10801 S MACKINAW AVE,2019,12530,10801 S MACKINAW AVE,41.69899462800004,-87.54255334999993,census
10,POD Camera,10801 S. Hoxie,2010,1800,10801 S. Hoxie,41.69907717700005,-87.56074629099999,census
10,Sidewalk Menu,10810 S AVENUE N,2019,4094,10810 S AVENUE N,41.698818784000025,-87.53770397199997,census
10,Bollard Menu,10810 S BUFFALO AV,2007,4284,10810 S BUFFALO AV,41.698836190000065,-87.54377802099998,census
10,Sidewalk Menu,10823 S AVENUE O,2021,4808.5,10823 S AVENUE O,41.698639756000034,-87.54007661899999,census
10,Sidewalk Menu,10825 S AVENUE B,2019,9089,10825 S AVENUE B,41.698532956000065,-87.52577145699996,census
10,Sidewalk Menu,10826 S AVENUE N,2017,4044.46,10826 S AVENUE N,41.6983363,-87.539222,google
10,Sidewalk Menu,10836 S AVENUE J,2020,6176.42,10836 S AVENUE J,41.698396882000054,-87.53408205299996,census
10,Alley Speed Hump Menu,10836 S EWING AVE,2019,700,10836 S EWING AVE,41.698402464000026,-87.53528801899995,census
10,Sidewalk Menu,10844 S AVENUE J,2021,5577.62,10844 S AVENUE J,41.69827284000007,-87.53408205299996,census
10,Sidewalk Menu,10858 S GREEN BAY AVE,2021,3746.5,10858 S GREEN BAY AVE,41.698091317000035,-87.54135000899998,census
10,Sidewalk Menu,10859 S MACKINAW AVE,2017,20765.91,10859 S MACKINAW AVE,41.698091324000075,-87.54255334999993,census
19,Miscellaneous CDOT Projects,10859 S TALMAN AVE,2022,660,10859 S TALMAN AVE,41.696149268000056,-87.68743556899994,census
