ward,type,location,year,est_cost,intersection_1,intersection_2,intersection_3,intersection_4,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat_3,lon_3,query_3,lat_4,lon_4,query_4
1,Alley Speed Hump Menu,N TALMAN AV & N ROCKWELL ST & W CORTLAND ST & W BLOOMINGDALE AV,2007,2000,N TALMAN AV & W CORTLAND ST,N ROCKWELL ST & W CORTLAND ST,N TALMAN AV & W BLOOMINGDALE AV,N ROCKWELL ST & W BLOOMINGDALE AV,41.91570739800005,-87.69347128399994,census,41.9157139,-87.6922316,google,41.9139585,-87.6934236,google,41.9139685,-87.6922032,google
1,Alley Resurfacing Menu,N TALMAN AVE & W FULLERTON AVE & N MILWAUKEE AVE & N ROCKWELL ST,2018,22793.05,N TALMAN AVE & N MILWAUKEE AVE,N TALMAN AVE & W FULLERTON AVE; N ROCKWELL ST & N MILWAUKEE AVE,N MILWAUKEE AVE & W FULLERTON AVE,N ROCKWELL ST & W FULLERTON AVE,41.9207213,-87.6937495,google,41.9248189,-87.6937719,google,41.924780284000065,-87.70040156999994,census,41.9248239,-87.6925651,google
1,Alley Speed Hump Menu,W THOMAS ST & W HADDON AV & N WASHTENAW AV & N ROCKWELL ST,2007,500,N WASHTENAW AV & W THOMAS ST,N ROCKWELL ST & W THOMAS ST,N WASHTENAW AV & W HADDON AV,N ROCKWELL ST & W HADDON AV,41.901131286000066,-87.69436771899996,census,41.9011531,-87.6918909,google,41.9020069,-87.6943695,google,41.9020424,-87.6919022,google
1,Alley Resurfacing Menu,W MEDILL AVE & N MILWAUKEE AVE & N SACRAMENTO AVE & W BELDEN AVE,2018,13205.57,N MILWAUKEE AVE & W BELDEN AVE,N SACRAMENTO AVE & W BELDEN AVE,N MILWAUKEE AVE & W MEDILL AVE; N SACRAMENTO AVE & N MILWAUKEE AVE,N SACRAMENTO AVE & W MEDILL AVE,41.9233398,-87.6980678,google,41.9232594,-87.7022674,google,41.9259662,-87.7023473,google,41.923795,-87.70229,google
1,Concrete Alley Menu,N STAVE ST & N POINT ST & W JULIA CT & W ST HELEN CT,2013,136000,N POINT ST & W ST HELEN CT,N STAVE ST & W JULIA CT,N POINT ST & W JULIA CT,N STAVE ST & W ST HELEN CT,41.91864593500003,-87.69580683799995,census,41.92009711500003,-87.69548926699997,census,41.919828,-87.6957835,google,41.919619,-87.6947025,google
1,Concrete Alley Menu,N TALMAN AVE & W LYNDALE ST & N WASHTENAW AVE & N MILWAUKEE AVE,2016,258000,N TALMAN AVE & W LYNDALE ST; N WASHTENAW AVE & N MILWAUKEE AVE,N WASHTENAW AVE & W LYNDALE ST,N MILWAUKEE AVE & W LYNDALE ST,N TALMAN AVE & N MILWAUKEE AVE,41.9225071,-87.6937022,google,41.9225077,-87.6955642,google,41.9480062,-87.7384381,google,41.9207213,-87.6937495,google
1,Alley Resurface Menu(1),N TALMAN AVE & N WASHTENAW AVE & W BLOOMINGDALE AVE & W WABANSIA AVE,2011,28110,N WASHTENAW AVE & W BLOOMINGDALE AVE,N TALMAN AVE & W WABANSIA AVE,N WASHTENAW AVE & W WABANSIA AVE,N TALMAN AVE & W BLOOMINGDALE AVE,41.913930608000044,-87.69464911099999,census,41.9120816,-87.6933764,google,41.9120722,-87.6945947,google,41.9139585,-87.6934236,google
1,Alley Resurfacing Menu,W WABANSIA AVE & W NORTH AVE & N WASHTENAW AVE & N TALMAN AVE,2013,10614,N WASHTENAW AVE & W WABANSIA AVE,N TALMAN AVE & W WABANSIA AVE,N WASHTENAW AVE & W NORTH AVE,N TALMAN AVE & W NORTH AVE,41.91207342000007,-87.69459283199996,census,41.9120816,-87.6933764,google,41.9102888,-87.6945421,google,41.9103017,-87.6933244,google
1,Alley Resurface Menu,W BLOOMINGDALE AV & W CORTLAND ST & N TALMAN AV & N WASHTENAW AV,2009,24090,N TALMAN AV & W BLOOMINGDALE AV,N WASHTENAW AV & W BLOOMINGDALE AV,N TALMAN AV & W CORTLAND ST,N WASHTENAW AV & W CORTLAND ST,41.91394266700007,-87.69342304499997,census,41.9139465,-87.6946427,google,41.9157017,-87.6934637,google,41.9156883,-87.6946983,google
1,Alley Resurface Menu,W THOMAS ST & W HADDON AV & N ROCKWELL ST & N WASHTENAW AV,2007,767,N ROCKWELL ST & W HADDON AV,N WASHTENAW AV & W HADDON AV,N ROCKWELL ST & W THOMAS ST,N WASHTENAW AV & W THOMAS ST,41.90204380100005,-87.69192764699994,census,41.9020069,-87.6943695,google,41.9011531,-87.6918909,google,41.9011242,-87.6943611,google
1,Alley Speed Hump Menu,W NORTH AV & W WABANSIA AV & N WASHTENAW AV & N FAIRFIELD AV,2008,2000,N FAIRFIELD AV & W WABANSIA AV,N WASHTENAW AV & W NORTH AV,N FAIRFIELD AV & W NORTH AV,N WASHTENAW AV & W WABANSIA AV,41.91206538000006,-87.69581487799996,census,41.9102888,-87.6945421,google,41.91018,-87.6957545,google,41.9120722,-87.6945947,google
1,Concrete Alley Menu,W HOMER ST & N WASHTENAW AVE & W ARMITAGE AVE & N ROCKWELL ST,2017,264000,N ROCKWELL ST & W ARMITAGE AVE,N WASHTENAW AVE & W HOMER ST,N ROCKWELL ST & W HOMER ST,N WASHTENAW AVE & W ARMITAGE AVE,41.917555,-87.6922915,google,41.9166018,-87.6947164,google,41.916627952000056,-87.69227737699998,census,41.9175306,-87.6947141,google
1,Alley Resurface Menu,N WASHTENAW AVE & N CALIFORNIA AVE & W HADDON AVE & W THOMAS ST,2011,25449,N CALIFORNIA AVE & W THOMAS ST,N WASHTENAW AVE & W HADDON AVE,N CALIFORNIA AVE & W HADDON AVE,N WASHTENAW AVE & W THOMAS ST,41.90110716700008,-87.69683592999996,census,41.9020069,-87.6943695,google,41.9019755,-87.6968542,google,41.9011242,-87.6943611,google
1,Alley Speed Hump Menu,N CLAREMONT AV & N WESTERN AV & W POTOMAC AV & W HIRSCH ST,2006,2000,N CLAREMONT AV & W POTOMAC AV,N WESTERN AV & W POTOMAC AV,N CLAREMONT AV & W HIRSCH ST,N WESTERN AV & W HIRSCH ST,41.90486174200004,-87.68593399499997,census,41.90484566200007,-87.68707564299996,census,41.9066869,-87.685888,google,41.9066609,-87.6870523,google
