ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2
14,Miscellaneous-CDOT,S Francisco & S Archer - W 42 St,2006,3653,S Francisco & S Archer,S Francisco & W 42 St,41.8183119,-87.697352,google,41.817515,-87.682913,google
14,Miscellaneous-CDOT,S Francisco & W 45 ST - W 46 ST,2006,1358,S Francisco & W 45th ST,S Francisco & W 46th ST,41.811991,-87.6894217,google,NA,NA,google
14,Miscellaneous-CDOT,S Francisco & W 51ST-W 52ST,2006,4024,S Francisco & W 51ST,S Francisco & W 52ST,41.8009494,-87.6961996,google,41.7991209,-87.6963961,google
14,Miscellaneous-CDOT,S Francisco & W 52ST-W 53ST,2006,30221,S Francisco & W 52ST,S Francisco & W 53ST,41.7991209,-87.6963961,google,41.7972969,-87.6963375,google
14,Miscellaneous-CDOT,S Francisco & W 57ST-W 58ST,2006,9835,S Francisco & W 57ST,S Francisco & W 58ST,41.790003,-87.6961266,google,41.7881797,-87.6960753,google
14,Miscellaneous-CDOT,S Hamlin & W 58ST-W 58 PL,2006,4948,S Hamlin & W 58ST,S Hamlin & W 58th PL,41.7878232,-87.7181041,google,41.7869148,-87.7180841,google
14,Miscellaneous-CDOT,S Homan & W 55ST- W 56ST,2006,16457,S Homan & W 55ST,S Homan & W 56ST,41.7934419,-87.7084421,google,41.7916255,-87.7083889,google
14,Miscellaneous-CDOT,S Homan & W 56ST-W 57ST,2006,1757,S Homan & W 56ST,S Homan & W 57ST,41.7916255,-87.7083889,google,41.7898002,-87.7083389,google
14,Miscellaneous-CDOT,S Homan & W 57ST-W 58ST,2006,3021,S Homan & W 57ST,S Homan & W 58ST,41.7898002,-87.7083389,google,41.7879923,-87.7082848,google
14,Miscellaneous-CDOT,S Homan & W 58ST-W 59ST,2006,166,S Homan & W 58ST,S Homan & W 59ST,41.7879923,-87.7082848,google,41.7861766,-87.7082076,google
14,Miscellaneous-CDOT,S Karlov & W 44ST-45ST,2006,9526,S Karlov & W 44ST,S Karlov & 45ST,41.8133308,-87.7262238,google,41.8115027,-87.7261515,google
14,Miscellaneous-CDOT,S Karlov & W 50ST-Archer,2006,1358,S Karlov & W 50ST,S Karlov & Archer,41.8023436,-87.7258696,google,41.8013128,-87.725835,google
14,Miscellaneous-CDOT,S Karlov & W 43ST-W 44ST,2006,9347,S Karlov & W 43ST,S Karlov & W 44ST,41.8151564,-87.7262861,google,41.8133308,-87.7262238,google
14,Miscellaneous-CDOT,S Karlov & W 45ST-W 46ST,2006,16204,S Karlov & W 45ST,S Karlov & W 46ST,41.8115027,-87.7261515,google,41.8096598,-87.7260929,google
14,Miscellaneous-CDOT,S Karlov & W 49ST-W 50ST,2006,8920,S Karlov & W 49ST,S Karlov & W 50ST,41.8041821,-87.7259248,google,41.8023436,-87.7258696,google
14,Miscellaneous-CDOT,S Kedvale & W 43ST-W 44ST,2006,1286,S Kedvale & W 43ST,S Kedvale & W 44ST,41.81514,-87.7275121,google,41.8133113,-87.7274462,google
14,Miscellaneous-CDOT,S Kedvale & W 44ST-W 45ST,2006,1469,S Kedvale & W 44ST,S Kedvale & W 45ST,41.8133113,-87.7274462,google,41.8114883,-87.7273616,google
14,Miscellaneous-CDOT,S Kedvale & W 45ST- W 46ST,2006,34645,S Kedvale & W 45ST,S Kedvale & W 46ST,41.8114883,-87.7273616,google,41.8096546,-87.7273009,google
14,Miscellaneous-CDOT,S Kedvale & W 46ST-W 47ST,2006,8264,S Kedvale & W 46ST,S Kedvale & W 47ST,41.8096546,-87.7273009,google,41.8078195,-87.7272375,google
14,Miscellaneous-CDOT,S Keeler & W 43ST-W 44ST,2006,6264,S Keeler & W 43ST,S Keeler & W 44ST,41.8151214,-87.7287287,google,41.81331,-87.7286906,google
14,Miscellaneous-CDOT,S Keeler & W 44ST-W 45ST,2006,13845,S Keeler & W 44ST,S Keeler & W 45ST,41.81331,-87.7286906,google,41.8114686,-87.7286079,google
14,Miscellaneous-CDOT,S Komensky & W 44ST-W 45ST,2006,3392,S Komensky & W 44ST,S Komensky & W 45ST,41.8133455,-87.7250139,google,41.8115219,-87.7249413,google
14,Miscellaneous-CDOT,S Komensky & W 46ST-W 47ST,2006,7613,S Komensky & W 46ST,S Komensky & W 47ST,41.8096815,-87.7248765,google,41.8078495,-87.7247868,google
14,Miscellaneous-CDOT,S Komensky & W 49ST-W 50ST,2006,8093,S Komensky & W 49ST,S Komensky & W 50ST,41.8041965,-87.7246897,google,41.8023548,-87.7246345,google
