ward,type,location,year,est_cost,id,address,lat,long,query
7,Sidewalk Menu,10120 S CALHOUN AVE,2022,5489.71,5774,10120 S CALHOUN AVE,41.71129148600005,-87.56214385399994,census
10,Sidewalk Menu,10125 S EWING AVE,2017,10410.75,8239,10125 S EWING AVE,41.711425322000025,-87.53526988299996,census
7,Sidewalk Menu,10127 S CRANDON AVE,2020,6955.66,5694,10127 S CRANDON AVE,41.711133379000046,-87.56696277199995,census
25,Street Light Upgrade Menu,1013 W 19TH ST,2016,450,22047,1013 W 19TH ST,41.8565593,-87.6521981,google
25,Alley Resurfacing Menu,1014 S MAY ST,2018,22179.44,22101,1014 S MAY ST,41.868939115000046,-87.65524383599995,census
44,Alley Apron Menu,1014 W OAKDALE AVE,2017,10095.68,38691,1014 W OAKDALE AVE,41.93534453900003,-87.65492634599997,census
44,Alley Apron Menu,1014 W WOLFRAM ST,2017,7722.33,38688,1014 W WOLFRAM ST,41.933540436000044,-87.65455214999997,census
7,Sidewalk Menu,10141 S CRANDON AVE,2020,6255.14,5696,10141 S CRANDON AVE,41.71091437300004,-87.56695884399994,census
43,Alley Apron Menu,1015 W ALTGELD ST,2018,8027.19,37906,1015 W ALTGELD ST,41.9269428,-87.6543134,google
44,Alley Apron Menu,1015 W OAKDALE AVE,2017,8696.35,38690,1015 W OAKDALE AVE,41.9351211,-87.6546216,google
34,Alley Apron Menu,10153 S WINSTON AVE,2018,27957.01,30238,10153 S WINSTON AVE,41.709839800000054,-87.65569754099994,census
9,Bollard Menu,10155 S STATE ST,2005,395,6738,10155 S STATE ST,41.7091117,-87.6232882,google
10,Guardrail Menu,10156 S INDIANAPOLIS AV,2009,7500,7856,10156 S INDIANAPOLIS AV,41.710976463000065,-87.53340529999997,census
43,Miscellaneous CDOT Projects,1016 W ALTGELD ST,2018,616.190476190476,37944,1016 W ALTGELD ST,41.92718675000003,-87.65444109599997,census
48,Sidewalk Menu,1017 W ARDMORE AVE,2020,4409.79,42139,1017 W ARDMORE AVE,41.98731326300003,-87.65757952199993,census
46,Alley Apron Menu,1017 W IRVING PARK RD,2017,9226.72,40099,1017 W IRVING PARK RD,41.954463099000066,-87.65574756499996,census
26,Street Speed Hump Menu,1019 N SACRAMENTO AVE,2019,2350,23008,1019 N SACRAMENTO AVE,41.8998878,-87.7014122,google
6,Sidewalk Menu,102 W 77TH ST,2022,5440.63,5039,102 W 77TH ST,41.7547171,-87.6272519,google
2,Sidewalk Menu,102 W GERMANIA PL,2017,38823.28,2295,102 W GERMANIA PL,41.91043476800007,-87.63171695999995,census
2,Sidewalk Menu,102 W GERMANIA PL,2018,63565.31,2339,102 W GERMANIA PL,41.91043476800007,-87.63171695999995,census
1,Alley Resurfacing Menu,1020 N MARSHFIELD AVE,2022,19151.03,984,1020 N MARSHFIELD AVE,41.900527124000064,-87.66863903799998,census
25,Sidewalk Menu,1020 W MONROE ST,2019,14903.4,22145,1020 W MONROE ST,41.880577,-87.6531859,google
9,POD Camera,10200 S. LaSalle,2009,24000,6923,10200 S. LaSalle,41.7088129,-87.6274502,google
9,POD Camera,10200 S. State,2009,24000,6921,10200 S. State,41.7088494,-87.6238644,google
8,Pedestrian Refuge Island Menu,10201 S COTTAGE GROVE AVE,2021,40741.11,6530,10201 S COTTAGE GROVE AVE,41.7086719,-87.6054399,google
10,Miscellaneous-CDOT,10212 S. Ewing Av.,2007,2259,7720,10212 S. Ewing Av.,41.70971555700004,-87.53529165599997,census
27,Alley Speed Hump Menu,1022 N ST LOUIS AVE,2018,1400,23831,1022 N ST LOUIS AVE,41.8998441,-87.7142968,google
9,Sidewalk Menu,10222 S ST LAWRENCE AVE,2018,496.66,7182,10222 S ST LAWRENCE AVE,41.7084811,-87.6092136,google
10,Bollard Menu,10224 S VAN VLISSINGEN RD,2008,630,7805,10224 S VAN VLISSINGEN RD,41.70945564800007,-87.56892638899996,census
34,Sidewalk Menu,10228 S BEVERLY AVE,2022,13202.29,30400,10228 S BEVERLY AVE,41.70814082900006,-87.65666341299999,census
48,Alley Apron Menu,1023 W THORNDALE AVE,2017,10060.74,41879,1023 W THORNDALE AVE,41.990080413000044,-87.65663086999996,census
32,Chicago Park District,1023 W Wrightwood,2006,10000,27946,1023 W Wrightwood,41.928599,-87.654708,google
10,Sidewalk Menu,10231 S AVENUE M,2019,6900,8344,10231 S AVENUE M,41.70942660900005,-87.53768928499994,census
10,Sidewalk Menu,10232 S AVENUE N,2021,16621.72,8419,10232 S AVENUE N,41.7090274,-87.5392854,google
7,Miscellaneous CDOT Projects,10245 S OGLESBY AVE,2020,13758.19,5688,10245 S OGLESBY AVE,41.70925822700008,-87.56572481799998,census
25,Sidewalk Menu,1025 W 16TH ST,2016,1760.75,22041,1025 W 16TH ST,41.859610000000004,-87.6520051,google
25,Sidewalk Menu,1025 W 16TH ST,2017,61497.61,22080,1025 W 16TH ST,41.859610000000004,-87.6520051,google
10,Sidewalk Menu,10251 S EWING AVE,2015,7260,8149,10251 S EWING AVE,41.70911975900003,-87.53527735299997,census
10,Sidewalk Menu,10253 S COMMERCIAL AVE,2020,8416.75,8367,10253 S COMMERCIAL AVE,41.70919974900005,-87.55256936199999,census
10,Sidewalk Menu,10256 S AVENUE M,2022,18477.15,8491,10256 S AVENUE M,41.70901987700006,-87.53770397299996,census
10,Sidewalk Menu,10258 S AVENUE G,2021,7252.28,8420,10258 S AVENUE G,41.70869515800007,-87.53166610199997,census
10,Sidewalk Menu,10258 S AVENUE L,2022,3275.21,8492,10258 S AVENUE L,41.70899033300003,-87.53649730299998,census
48,Curb & Gutter Menu,1026 W AINSLIE ST,2020,9121.14,42132,1026 W AINSLIE ST,41.9717016,-87.6561285,google
1,Sidewalk Menu,1027 N HERMITAGE AVE,2019,2702.48,878,1027 N HERMITAGE AVE,41.9005151,-87.6708076,google
44,Street Light Upgrade Menu,1028 W NEWPORT AVE,2017,500,38730,1028 W NEWPORT AVE,41.944464882000034,-87.65569157099998,census
44,Alley Apron Menu,1028 W WOLFRAM ST,2017,10119.55,38674,1028 W WOLFRAM ST,41.93353931100006,-87.65463881799997,census
43,Miscellaneous CDOT Projects,1029 W ALTGELD ST,2018,616.190476190476,37944,1029 W ALTGELD ST,41.92717455500008,-87.65451702399997,census
10,Sidewalk Menu,10300 S EWING AVE,2019,2725.5,8342,10300 S EWING AVE,41.70815715200007,-87.53529465999998,census
10,Bollard Menu,10300 S TORRENCE AV,2009,2520,7851,10300 S TORRENCE AV,41.70802707300004,-87.55966541999999,census
10,Sidewalk Menu,10301 S AVENUE G,2017,8567.24,8229,10301 S AVENUE G,41.70807426600004,-87.53165141499994,census
42,Street Light Pole Painting Menu,1031 N STATE ST,2017,3600,36917,1031 N STATE ST,NA,NA,census
43,Miscellaneous CDOT Projects,1031 W ALTGELD ST,2018,616.190476190476,37944,1031 W ALTGELD ST,41.92717413300005,-87.65454310899997,census
34,Bollard Menu,10314 S EMERALD AV,2008,1428,29669,10314 S EMERALD AV,41.70618738100006,-87.64160111399997,census
19,Alley Speed Hump Menu,10315 S CAMPBELL AVE,2022,350,16845,10315 S CAMPBELL AVE,41.7058797,-87.6838231,google
34,Alley Apron Menu,10317 S UNION AVE,2019,35326.55,30275,10317 S UNION AVE,41.706193434000056,-87.64037583299995,census
10,Sidewalk Menu,10319 S AVENUE H,2017,6046.4,8238,10319 S AVENUE H,41.707792392000044,-87.53286140099999,census
9,Sidewalk Menu,10319 S FOREST AVE,2018,2717.36,7181,10319 S FOREST AVE,41.706504978000055,-87.61617667099995,census
44,Street Light Upgrade Menu,1032 W NEWPORT AVE,2017,500,38730,1032 W NEWPORT AVE,41.94446359600005,-87.65577486299998,census
10,Sidewalk Menu,10326 S AVENUE J,2020,8700.41,8375,10326 S AVENUE J,41.70766697200003,-87.53408607399996,census
10,Sidewalk Menu,10331 S AVENUE H,2021,6127.74,8421,10331 S AVENUE H,41.70760426100003,-87.53286140099999,census
9,Sidewalk Menu,10337 S FOREST AVE,2019,4406,7220,10337 S FOREST AVE,41.706293490000064,-87.61617077299996,census
46,Curb & Gutter Menu,1034 W MONTROSE AVE,2018,1888.14,40144,1034 W MONTROSE AVE,41.96176856200003,-87.65587325899997,census
34,Curb & Gutter Menu,10344 S SANGAMON ST,2016,18508.7,30154,10344 S SANGAMON ST,41.70580494500007,-87.64645254899995,census
