ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2
36,Street Resurface Menu,W PALMER ST & N NEVA AV (7120 W) & N HARLEM AV (7200 W),2011,34902,31683,7120 W PALMER ST,7200 W PALMER ST,41.9198856,-87.8033545,google,41.9200881,-87.8063797,google
43,Sidewalk Menu,W WRIGHTWOOD AVE & N ORCHARD ST (700 W) & N BURLING ST (728 W),2011,18135,37482,700 W WRIGHTWOOD AVE,728 W WRIGHTWOOD AVE,41.929239,-87.646711,google,41.9290905,-87.6476562,google
49,Sidewalk Menu,N CLAREMONT AVE & W TOUHY AV (7200 N) & W CHASE AV (7300 N),2011,43651,42494,7200 N CLAREMONT AVE,7300 N CLAREMONT AVE,42.0125506,-87.689119,google,42.0140896,-87.6888773,google
13,Street Resurface Menu,S CENTRAL PARK AVE & W 72 ST (7200 S) & W 73 ST (7300 S),2011,35152,10765,7200 S CENTRAL PARK AVE,7300 S CENTRAL PARK AVE,41.7622752,-87.713009,google,41.7605264,-87.7131577,google
17,Street Resurface Menu,S HONORE ST & W 72 ST (7200 S) & W 73 ST (7300 S),2011,69215,15012,7200 S HONORE ST,7300 S HONORE ST,41.7628925,-87.6701145,google,41.7610843,-87.6701542,google
6,Street Resurface Menu,S LAFAYETTE AVE & W 73 ST (7300 S) & W 73 ST (7300 S),2011,37040,4788,7300 S LAFAYETTE AVE,7300 S LAFAYETTE AVE,41.7617181,-87.6267672,google,41.7617181,-87.6267672,google
18,Sidewalk Menu,S MOZART ST & W 72 ST (7200 S) & W 73 ST (7300 S),2011,32909,15808,7200 S MOZART ST,7300 S MOZART ST,41.7625668,-87.6944931,google,41.7607041,-87.6944996,google
5,Street Lighting,S OGLESBY AVE & E 71 ST (7110 S) & E 73 ST (7300 S),2011,144000,4140,7110 S OGLESBY AVE,7300 S OGLESBY AVE,41.7658173,-87.5677282,google,41.7624153,-87.5680053,google
17,Sidewalk Menu,S STEWART AVE & W 72 ST (7201 S) & W 73 ST (7300 S),2011,44120,15008,7201 S STEWART AVE,7300 S STEWART AVE,41.7635329,-87.6344244,google,41.7614771,-87.6349277,google
17,Street Speed Hump Menu,S WINCHESTER AVE & W 71 ST (7100 S) & W 73 ST (7300 S),2011,7400,15033,7100 S WINCHESTER AVE,7300 S WINCHESTER AVE,41.764821,-87.6723236,google,41.761037,-87.6725029,google
29,Street Resurface Menu(1-5),N WALLER AVE & W CHICAGO AV (800 N) & W SUPERIOR ST (732 N),2011,19840,25055,800 N WALLER AVE,732 N WALLER AVE,41.8949749,-87.7679844,google,41.893871,-87.7679054,google
49,Street Resurface Menu,N BELL AVE & W CHASE AV (7300 N) & W JARVIS AV (7358 N),2011,37964,42505,7300 N BELL AVE,7358 N BELL AVE,42.0142286,-87.6865111,google,42.0155049,-87.6864967,google
49,Street Speed Hump Menu,N BELL AVE & W CHASE AV (7300 N) & W JARVIS AV (7358 N),2011,3700,42506,7300 N BELL AVE,7358 N BELL AVE,42.0142286,-87.6865111,google,42.0155049,-87.6864967,google
50,Street Resurface Menu,N WASHTENAW AVE & W SHERWIN AV (7332 N) & W JARVIS AV (7400 N),2011,24744,43190,7332 N WASHTENAW AVE,7400 N WASHTENAW AVE,42.0148347,-87.6972732,google,42.0158687,-87.6976117,google
5,Street Lighting,S BENNETT AVE & E 73 ST (7300 S) & E 74 ST (7400 S),2011,1400,4141,7300 S BENNETT AVE,7400 S BENNETT AVE,41.7623495,-87.5796265,google,41.7605209,-87.579534,google
7,Curb/Gutter Menu,S OGLESBY AVE & E 73 ST (7300 S) & E 74 ST (7400 S),2011,28663,5379,7300 S OGLESBY AVE,7400 S OGLESBY AVE,41.7624153,-87.5680053,google,41.7606267,-87.567954,google
6,Street Resurface Menu,S PRAIRIE AVE & E 73 ST (7300 S) & E 74 ST (7400 S),2011,61428,4783,7300 S PRAIRIE AVE,7400 S PRAIRIE AVE,41.7616274,-87.6186951,google,41.7601744,-87.6183104,google
17,Street Lighting,S UNION AVE & W 73 ST (7300 S) & W 74 ST (7400 S),2011,1600,14997,7300 S UNION AVE,7400 S UNION AVE,41.7614606,-87.6422143,google,41.7596461,-87.6421686,google
5,Street Resurface Menu,S UNIVERSITY AVE & E 73 ST (7300 S) & E 74 ST (7400 S),2011,60560,4184,7300 S UNIVERSITY AVE,7400 S UNIVERSITY AVE,41.7621645,-87.5972767,google,41.7605167,-87.596923,google
4,Sidewalk Menu,E 36TH ST & S COTTAGE GROVE AV (715 E) & S ELLIS AV (741 E),2011,20424,3395,715 E 36TH ST,741 E 36TH ST,41.8293051,-87.6089851,google,41.8295554,-87.6080022,google
49,Street Resurface Menu,N DAMEN AVE & W JARVIS AV (7340 N) & W FARGO AV (7432 N),2011,24867,42500,7340 N DAMEN AVE,7432 N DAMEN AVE,42.0153814,-87.6806825,google,42.0168276,-87.6809574,google
7,Sidewalk Menu,S KINGSTON AVE & E 74 ST (7400 S) & E 74 PL (7432 S),2011,6581,5386,7400 S KINGSTON AVE,7432 S KINGSTON AVE,41.7608214,-87.5632413,google,41.7598677,-87.5631658,google
41,Curb/Gutter Menu,W ARDMORE AVE & N OKETO AV (7400 W) & N OSCEOLA AV (7439 W),2011,3075,35807,7400 W ARDMORE AVE,7439 W ARDMORE AVE,41.9853018,-87.8118828,google,41.9847804,-87.8133333,google
24,Street Resurface Menu(1-5),S KEELER AVE & W HARRISON ST (600 S) & W FIFTH AV (745 S),2011,39703,20890,600 S KEELER AVE,745 S KEELER AVE,41.8733797,-87.7303063,google,41.8711185,-87.7299279,google
18,Sidewalk Menu,S WESTERN AVE & W 74 ST (7400 S) & W 75 ST (7458 S),2011,22497,15799,7400 S WESTERN AVE,7458 S WESTERN AVE,41.7590505,-87.6839735,google,41.7578752,-87.6834784,google
5,Street Resurface Menu,S CHAPPEL AVE & E 74 ST (7400 S) & E 75 ST (7500 S),2011,51731,4181,7400 S CHAPPEL AVE,7500 S CHAPPEL AVE,41.7604224,-87.5751696,google,41.7588911,-87.5749263,google
8,Sidewalk Menu,S EUCLID AVE & E 74 ST (7400 S) & E 75 ST (7500 S),2011,20647,6162,7400 S EUCLID AVE,7500 S EUCLID AVE,41.7604893,-87.5776285,google,41.7579557,-87.5773305,google
17,Curb/Gutter Menu,S HARVARD AVE & W 74 ST (7400 S) & W 75 ST (7500 S),2011,11628,15002,7400 S HARVARD AVE,7500 S HARVARD AVE,41.7597221,-87.6336642,google,41.7578395,-87.6333778,google
5,Street Resurface Menu,S MERRILL AVE & E 74 ST (7400 S) & E 75 ST (7500 S),2011,49160,4179,7400 S MERRILL AVE,7500 S MERRILL AVE,41.7605767,-87.5727769,google,41.758795,-87.572838,google
7,Sidewalk Menu,S EXCHANGE AVE & E 73 ST (7270 S) & E 76 ST (7570 S),2011,39044,5397,7270 S EXCHANGE AVE,7570 S EXCHANGE AVE,41.7628113,-87.5639639,google,41.7575129,-87.5588539,google
7,Miscellaneous-CDOT,S EXCHANGE AVE & E 75 ST (7470 S) & E 76 ST (7570 S),2011,454,5381,7470 S EXCHANGE AVE,7570 S EXCHANGE AVE,41.75932,-87.5605142,google,41.7575129,-87.5588539,google
49,Street Resurface Menu,N CLAREMONT AVE & W BIRCHWOOD AV (7452 N) & W HOWARD ST (7600 N),2011,66563,42501,7452 N CLAREMONT AVE,7600 N CLAREMONT AVE,42.0172079,-87.6892154,google,42.0195188,-87.6889476,google
8,Sidewalk Menu,S CREGIER AVE & E 75 ST (7500 S) & E 76 ST (7600 S),2011,439,6160,7500 S CREGIER AVE,7600 S CREGIER AVE,41.7583197,-87.5810106,google,41.7568277,-87.5813506,google
18,Street Resurface Menu(1-5),S HAMILTON AVE & W 75 PL (7522 S) & W 76 ST (7600 S),2011,40416,15823,7522 S HAMILTON AVE,7600 S HAMILTON AVE,41.7566217,-87.6778306,google,41.7555036,-87.6771684,google
41,Curb/Gutter Menu,W ARDMORE AVE & N ORIOLE AV (7600 W) & N OTTAWA AV (7632 W),2011,16926,35815,7600 W ARDMORE AVE,7632 W ARDMORE AVE,41.9851702,-87.8168251,google,41.9851281,-87.8180606,google
18,Sidewalk Menu,S SEELEY AVE & W 76 ST (7600 S) & W 77 ST (7700 S),2011,2630,15798,7600 S SEELEY AVE,7700 S SEELEY AVE,41.7555557,-87.6747852,google,41.7537357,-87.6747124,google
18,Street Resurface Menu(1-5),S SEELEY AVE & W 76 ST (7600 S) & W 77 ST (7700 S),2011,39043,15822,7600 S SEELEY AVE,7700 S SEELEY AVE,41.7555557,-87.6747852,google,41.7537357,-87.6747124,google
17,POD Camera,"78 th & Aberdeen, 72 nd & Winchester",2008,48000,14911,"78 th & Aberdeen, 72 nd",78 th & Winchester,41.7523389,-87.6513629,google,41.7520619,-87.6719385,google
6,Curb/Gutter Menu,S INDIANA AVE & E 77 ST (7700 S) & E 78 ST (7800 S),2011,79341,4771,7700 S INDIANA AVE,7800 S INDIANA AVE,41.7545264,-87.6203339,google,41.7527366,-87.6205511,google
17,Street Speed Hump Menu,S PEORIA ST & W 77 ST (7700 S) & W 78 ST (7800 S),2011,3700,15026,7700 S PEORIA ST,7800 S PEORIA ST,41.7541157,-87.646874,google,41.7522661,-87.6468464,google
41,Curb/Gutter Menu,W ARDMORE AVE & N OTTAWA AV (7632 W) & N CANFIELD AV (7834 W),2011,7541,35806,7632 W ARDMORE AVE,7834 W ARDMORE AVE,41.9851281,-87.8180606,google,41.9859856,-87.8229663,google
17,Sidewalk Menu,S CARPENTER ST & W 78 ST (7800 S) & W 79 ST (7900 S),2011,29124,15004,7800 S CARPENTER ST,7900 S CARPENTER ST,41.7522047,-87.6504698,google,41.7505344,-87.6501055,google
17,Street Resurface Menu(1-5),S CARPENTER ST & W 78 ST (7800 S) & W 79 ST (7900 S),2011,37832,15018,7800 S CARPENTER ST,7900 S CARPENTER ST,41.7522047,-87.6504698,google,41.7505344,-87.6501055,google
17,Street Speed Hump Menu,S HERMITAGE AVE & W 78 ST (7800 S) & W 79 ST (7900 S),2011,3700,15028,7800 S HERMITAGE AVE,7900 S HERMITAGE AVE,41.751963,-87.667478,google,41.7503028,-87.6670692,google
6,Street Speed Hump Menu,S PRAIRIE AVE & E 78 ST (7800 S) & E 79 ST (7900 S),2011,3700,4790,7800 S PRAIRIE AVE,7900 S PRAIRIE AVE,41.7527,-87.618667,google,41.7509459,-87.6183393,google
18,Alley Apron Menu,S SEELEY AVE & W 78 ST (7800 S) & W 79 ST (7900 S),2011,14994,15787,7800 S SEELEY AVE,7900 S SEELEY AVE,41.7519223,-87.6747017,google,41.7502193,-87.6743712,google
9,Sidewalk Menu,E 104TH PL & S COTTAGE GROVE AV (641 E) & S CORLISS AV (800 E),2011,90571,6975,641 E 104TH PL,800 E 104TH PL,41.7044588,-87.6082047,google,41.7047084,-87.6039277,google
20,Street Resurface Menu,E MARQUETTE RD & S EBERHART AV (500 E) & S COTTAGE GROVE AV (800 E),2011,197033,17162,500 E MARQUETTE RD,800 E MARQUETTE RD,41.7748338,-87.6130683,google,41.7751243,-87.6054231,google
42,Street Lighting,N FRANKLIN ST & W KINZIE ST (400 N) & W CHICAGO AV (800 N),2011,230000,36587,400 N FRANKLIN ST,800 N FRANKLIN ST,41.889389,-87.6361225,google,41.8965898,-87.6357019,google
