year,Ward,type,Candidate,votepct,inc_2019,inc_2015,inc_2011,cycle,off_menu,on_menu
2015,40,General,Patrick J. O'connor,0.5840458811261731,1,1,1,2015,1800,1318199.93
2015,41,Runoff,Mary O'connor,0.4836340411943158,0,1,0,2015,9730.98,1310268.54
2015,42,General,Brendan Reilly,1,1,1,1,2015,0,1319999.97
2015,43,Runoff,Michele Smith,0.502745915884602,1,1,0,2015,0,1319999.99
2015,44,General,Tom Tunney,0.6707544070951494,1,1,1,2015,300000,1019999.99
2015,46,Runoff,James Cappleman,0.5370229007633588,1,1,0,2015,39048.05,1280951.94
2015,47,General,Ameya Pawar,0.8277865383019337,0,1,0,2015,69000,1250999.99
2015,48,General,Harry Osterman,1,1,1,0,2015,486420,833579
2015,49,General,Joe Moore,0.6683632157316368,1,1,1,2015,132000,1187999.99
2015,50,General,Debra L. Silverstein,0.6436899423446508,1,1,0,2015,0,1319999.85
2011,1,General,Proco ''Joe'' Moreno,0.7355539758302021,1,1,1,2011,705155,613844
2011,2,General,Bob Fioretti,0.5494490452398878,0,0,1,2011,0,1319396
2011,3,General,Pat Dowell,0.6717069892473119,1,1,1,2011,0,1316459
2011,5,General,Leslie A. Hairston,0.6173890828578728,1,1,1,2011,0,1319999
2011,6,Runoff,Freddrenna M. Lyle,0.4948586118251928,0,0,1,2011,0,1319999
2011,7,General,Sandi Jackson,0.5313892264074525,0,0,1,2011,0,1319932
2011,8,General,Michelle A. Harris,0.6837916063675832,1,1,1,2011,0,1320000
2011,9,General,Anthony A. Beale,0.5805631244323343,1,1,1,2011,7115,1312883
2011,10,General,John A. Pope,0.5926548920661621,0,1,1,2011,0,1319940
2011,11,General,James A. Balcer,0.6137311808452748,0,0,1,2011,0,1319999
2011,12,General,George Cardenas,0.5535714285714286,1,1,1,2011,0,1319900
2011,14,General,Edward M. Burke,1,1,1,1,2011,0,1320000
2011,15,Runoff,Toni L. Foulkes,0.6864788732394366,1,1,1,2011,0,1319662
2011,16,Runoff,Joann Thompson,0.5643130815544609,0,1,1,2011,150000,1169346
2011,17,Runoff,Latasha R. Thomas,0.5264720435428006,0,0,1,2011,0,1320000
2011,18,General,Lona Lane,0.5060225359409403,0,1,1,2011,0,1319999
2011,20,Runoff,Willie B. Cochran,0.5374059318282426,0,1,1,2011,0,1319588
2011,21,General,"Howard B. Brookins, Jr.",0.553394901144641,1,1,1,2011,0,1320001
2011,22,General,Ricardo Munoz,0.6443831840110269,0,1,1,2011,150000,1169592
2011,23,General,Michael R. Zalewski,0.5264469844357976,0,1,1,2011,250000,1070001
2011,24,Runoff,Sharon Denise Dixon,0.3963570127504554,0,0,1,2011,539,1319462
2011,25,Runoff,Daniel ''Danny'' Solis,0.5445069263475518,0,1,1,2011,319724,1000276
2011,26,General,Roberto Maldonado,0.8236084969077709,1,1,1,2011,150000,1169902
2011,27,General,"Walter Burnett, Jr.",0.7090889808039028,1,1,1,2011,0,1319204
2011,28,General,Jason C. Ervin,0.8469026548672567,1,1,1,2011,0,1319896
2011,29,General,Deborah L. Graham,0.5207016882014525,0,1,1,2011,0,1318646
2011,30,General,Ariel E. Reboyras,0.7513997760358343,1,1,1,2011,0,1319898
2011,31,General,Regner ''Ray'' Suarez,1,0,1,1,2011,0,1319998
2011,32,General,Scott Waguespack,0.6582570514251693,1,1,1,2011,0,1319494
2011,33,General,Richard F. Mell,1,0,0,1,2011,0,1319913
2011,34,General,Carrie M. Austin,0.6499330184023127,1,1,1,2011,0,1319964
2011,35,General,Rey Colon,0.5092192123833371,0,1,1,2011,0,1319751
2011,36,Runoff,John A. Rice,0.43905102243398847,0,0,1,2011,85301,1234699
2011,37,General,Emma M. Mitts,0.5847573479152427,1,1,1,2011,0,1319883
2011,39,General,Margaret Laurino,0.7636666993816862,0,1,1,2011,0,1319999
2011,40,General,Patrick J. O'connor,1,1,1,1,2011,0,1319999
2011,42,General,Brendan Reilly,1,1,1,1,2011,0,1319832
2011,44,General,Tom Tunney,1,1,1,1,2011,784,1319145
2011,49,General,Joe Moore,0.7204949568472496,1,1,1,2011,224000,1096000
2011,50,Runoff,Bernard L. Stone,0.3862652093215096,0,0,1,2011,0,1320003
