ward,year,off_menu,on_menu,beauty,not_beauty
43,2020,25000,1148428.92,50000,1123428.92
43,2021,51320,1448679.99,149776,1350223.99
43,2022,25000,1148428.92,50000,1123428.92
44,2005,191511,1006005,100000,1097516
44,2006,377738,941199,NA,1318937
44,2007,148404,1171596,147875,1172125
44,2008,75271,1044728,NA,1119999
44,2009,93059,1226941,59000,1261000
44,2010,147265,1172734,NA,1319999
44,2011,782110,539841,770000,551951
44,2012,76790,1243139,NA,1319929
44,2013,39833,1280166,NA,1319999
44,2014,293750,1026060,NA,1319810
44,2015,61888,1258113,44988,1275013
44,2016,250000,1069999.99,NA,1319999.99
44,2017,25388,1294611.99,20000,1299999.99
44,2018,67500,1252499.99,7500,1312499.99
44,2019,145970,1174029.99,NA,1319999.99
44,2020,0,1038668.84,NA,1038668.84
44,2021,4425,1495574.99,NA,1499999.99
44,2022,0,1038668.84,NA,1038668.84
45,2005,100082,1219919,100082,1219919
45,2006,444253,995746,401366,1038633
45,2007,2040,1437960,340,1439660
45,2008,312551,1127449,312551,1127449
45,2009,185661,1134336,185661,1134336
45,2010,4850,1315147,NA,1319997
45,2011,194,1319806,NA,1320000
45,2012,9545,1310455,NA,1320000
45,2013,416008,903849,2500,1317357
45,2014,107002,1212506,100000,1219508
45,2015,255487,1064512,NA,1319999
45,2016,163506.94,1156493.05,208000,1111999.99
45,2017,36291.97,1213248.17,135405.6,1114134.54
45,2018,15909.13,1276904.67,NA,1292813.8
45,2019,0,1319999.99,NA,1319999.99
45,2020,0,774342.28,NA,774342.28
45,2021,2500,1497499.99,NA,1499999.99
45,2022,0,774342.28,NA,774342.28
46,2005,63962,1231036,NA,1294998
46,2006,222881,1157118,50000,1329999
46,2007,657359,782641,624050,815950
46,2008,500117,927382,NA,1427499
46,2009,146725,1173275,75000,1245000
46,2010,34550,1285450,NA,1320000
46,2011,147612,1172387,NA,1319999
46,2012,12044,1294523,814000,492567
46,2013,271233,1045174,NA,1316407
46,2014,116034,1203434,NA,1319468
46,2015,3209,1316790,3209,1316790
46,2016,51925,1268074.99,648048.05,671951.94
46,2017,48585.95,1271414.04,218951.95,1101048.04
46,2018,44057.18,1260875.54,416293.85,888638.87
46,2019,201811.74,1095698.25,50000,1247509.99
46,2020,0,14698.6,NA,14698.6
46,2021,166099.33,1333900.66,50000,1449999.99
46,2022,0,14698.6,NA,14698.6
47,2005,329507,990496,13057,1306946
47,2006,153687,1286312,128687,1311312
47,2007,14586,1425411,5586,1434411
47,2008,130258,1309738,79670,1360326
47,2009,82324,1237673,NA,1319997
47,2010,312116,1007883,200000,1119999
47,2011,30129,1254251,NA,1284380
47,2012,563314,756686,30000,1290000
47,2013,55550,1264317,NA,1319867
47,2014,518213,801617,NA,1319830
47,2015,13988,1306013,NA,1320001
47,2016,55000,1264999.99,4000,1315999.99
47,2017,512369.43,807630.56,226883.85,1093116.14
47,2018,489839.5,802592.49,98581.86,1193850.13
47,2019,190000,1129999.99,130000,1189999.99
47,2020,68000,999205.75,27000,1040205.75
47,2021,239686.08,1260313.91,114990.11,1385009.88
47,2022,68000,999205.75,27000,1040205.75
48,2005,970881,349118,275000,1044999
48,2006,943296,477012,NA,1420308
48,2007,462154,967822,NA,1429976
48,2008,667114,652886,NA,1320000
48,2009,369694,950305,NA,1319999
48,2010,1036649,278159,NA,1314808
48,2011,27731,1292269,NA,1320000
48,2012,66663,1253338,20000,1300001
48,2013,865144,454856,222000,1098000
48,2014,615448,704307,NA,1319755
48,2015,12972,1236027,NA,1248999
48,2016,120000,1199999,426420,893579
48,2017,192695.25,1127304.74,307480,1012519.99
48,2018,317000,1002972.87,94386.45,1225586.42
48,2019,29596.58,1290403.41,29596.58,1290403.41
48,2020,0,812183.3,70406.42,741776.88
48,2021,61000,1438999.99,50000,1449999.99
48,2022,0,812183.3,70406.42,741776.88
49,2005,0,1320000,NA,1320000
49,2006,424045,1015915,NA,1439960
49,2007,65000,1374501,NA,1439501
49,2008,54153,1385847,NA,1440000
49,2009,11971,1218238,2930,1227279
49,2010,651976,668024,316830,1003170
49,2011,434984,885016,361790,958210
49,2012,227625,1092375,29000,1291000
49,2013,382725,937275,11081,1308919
49,2014,597181,722819,337785,982215
49,2015,511204,726846,480504,757546
49,2016,132000,1187999.99,132000,1187999.99
49,2017,142191.89,1177808.1,180000,1139999.99
49,2018,182476,1137523.99,119476,1200523.99
49,2019,367915,946459.24,240000,1074374.24
49,2020,100000,265839.75,100000,265839.75
49,2021,374120.83,1125879.16,291826.86,1208173.13
49,2022,100000,265839.75,100000,265839.75
5,2005,12350,1187088,NA,1199438
5,2006,0,1319871,NA,1319871
5,2007,0,1439113,NA,1439113
5,2008,78932,1240999,NA,1319931
5,2009,295627,1024374,92370,1227631
5,2010,0,1320000,NA,1320000
5,2011,11447,1150868,NA,1162315
5,2012,491999,828000,NA,1319999
5,2013,421517,834145,NA,1255662
5,2014,369173,950718,NA,1319891
5,2015,13349,1306654,NA,1320003
5,2016,531.77,1319468.22,NA,1319999.99
5,2017,5000,1314999.99,5000,1314999.99
5,2018,2100,1295542.6,NA,1297642.6
5,2019,563000,756999.99,NA,1319999.99
5,2020,0,1037452.31,370000,667452.3099999999
5,2021,0,1499999.99,NA,1499999.99
5,2022,0,1037452.31,370000,667452.3099999999
50,2005,725432,474567,700000,499999
50,2006,13870,1306130,NA,1320000
50,2007,0,1320000,NA,1320000
50,2008,800,1438513,NA,1439313
50,2009,252700,1066375,250000,1069075
50,2010,0,1316504,NA,1316504
50,2011,0,1316892,NA,1316892
50,2012,0,1320003,NA,1320003
50,2013,2600,1317399,NA,1319999
50,2014,0,1213391,NA,1213391
50,2015,0,1318339,NA,1318339
50,2016,0,1319999.85,NA,1319999.85
50,2017,10150,1309849.99,10000,1309999.99
50,2018,4000,1314719.62,4000,1314719.62
50,2019,0,1319999.99,NA,1319999.99
50,2020,0,925420.92,NA,925420.92
50,2021,0,1499999.99,NA,1499999.99
50,2022,0,925420.92,NA,925420.92
6,2005,50106,1149498,NA,1199604
6,2006,116000,1323392,NA,1439392
6,2007,46960,1272347,NA,1319307
6,2008,30700,1289299,NA,1319999
6,2009,23014,1296679,NA,1319693
6,2010,800,1319086,NA,1319886
6,2011,3076,1316923,NA,1319999
6,2012,1166,166833,NA,167999
6,2013,0,1319999,NA,1319999
6,2014,51630,1262253,NA,1313883
6,2015,0,1320001,NA,1320001
6,2016,200000,1119999.98,200000,1119999.98
6,2017,0,1319999.99,NA,1319999.99
6,2018,0,1319999.99,NA,1319999.99
6,2019,25000,1294999.99,NA,1319999.99
6,2020,0,988510.35,NA,988510.35
6,2021,5270.57,1494729.42,NA,1499999.99
6,2022,0,988510.35,NA,988510.35
7,2005,0,1259639,NA,1259639
7,2006,138231,1179636,NA,1317867
7,2007,89096,1230594,NA,1319690
7,2008,34507,1285494,NA,1320001
7,2009,0,1320001,NA,1320001
7,2010,5457,1314541,NA,1319998
7,2011,913,1319086,NA,1319999
7,2012,0,1319932,NA,1319932
7,2013,1100,1318397,NA,1319497
7,2014,76962,1241351,NA,1318313
7,2015,0,1320000,NA,1320000
7,2016,0,1319999.99,NA,1319999.99
7,2017,0,1319999.99,NA,1319999.99
7,2018,11200,1308799.99,NA,1319999.99
7,2019,150,1319849.99,NA,1319999.99
7,2020,13758.19,1038962.73,100000,952720.92
7,2021,122553.24,1377446.75,NA,1499999.99
7,2022,13758.19,1038962.73,100000,952720.92
8,2005,6971,1253028,NA,1259999
8,2006,0,1379688,NA,1379688
8,2007,15500,1303459,NA,1318959
8,2008,10547,1309450,NA,1319997
8,2009,0,1319938,NA,1319938
8,2010,0,1320000,NA,1320000
8,2011,5220,1314779,NA,1319999
8,2012,0,1320000,NA,1320000
8,2013,0,1320000,NA,1320000
8,2014,1720,1317981,NA,1319701
8,2015,600,1318357,NA,1318957
8,2016,0,1319999.99,NA,1319999.99
8,2017,10000,1309999.99,10000,1309999.99
8,2018,0,1319998.6,NA,1319998.6
8,2019,500,1319499.99,NA,1319999.99
8,2020,0,1299274.91,NA,1299274.91
8,2021,1200,1495999.99,NA,1497199.99
8,2022,0,1299274.91,NA,1299274.91
9,2005,0,1198375,NA,1198375
9,2006,129,1439867,NA,1439996
9,2007,4871,1315127,NA,1319998
9,2008,42350,1397649,NA,1439999
9,2009,213178,1106822,NA,1320000
9,2010,503105,816894,NA,1319999
9,2011,35400,1264600,20000,1280000
9,2012,7115,1312883,NA,1319998
9,2013,0,1320000,NA,1320000
9,2014,0,1319955,NA,1319955
9,2015,0,1319999,NA,1319999
9,2016,0,1319999.87,NA,1319999.87
9,2017,52000,1267999.35,10000,1309999.35
9,2018,0,1319405.85,NA,1319405.85
9,2019,0,1319999.99,NA,1319999.99
9,2020,0,1175718.08,NA,1175718.08
9,2021,0,1499999.99,NA,1499999.99
9,2022,0,1175718.08,NA,1175718.08
