"ward","type","location","year","est_cost","id","intersection_1","intersection_2","intersection_3","intersection_4"
1,"Alley Resurface Menu","N WOOD ST & N HERMITAGE AV & W POTOMAC AV & W ELLEN ST",2005,9898,1,"N WOOD ST & W POTOMAC AV","N HERMITAGE AV & W POTOMAC AV","N WOOD ST & W ELLEN ST","N HERMITAGE AV & W ELLEN ST"
1,"Alley Resurface Menu","W AUGUSTA BV & W THOMAS ST & N HONORE ST & N WOLCOTT AV",2005,5662,2,"N HONORE ST & W AUGUSTA BV","N WOLCOTT AV & W AUGUSTA BV","N HONORE ST & W THOMAS ST","N WOLCOTT AV & W THOMAS ST"
1,"Alley Resurface Menu","N OAKLEY & N CLAREMONT AV & W POTOMAC AV & W HIRSCH ST",2005,15806,3,"N OAKLEY & W POTOMAC AV","N CLAREMONT AV & W POTOMAC AV","N OAKLEY & W HIRSCH ST","N CLAREMONT AV & W HIRSCH ST"
1,"Alley Resurface Menu","W FULLERTON AV & W ALTGELD ST & N MAPLEWOOD AV & N CAMPBELL AV",2005,18260,4,"N MAPLEWOOD AV & W FULLERTON AV","N CAMPBELL AV & W FULLERTON AV","N MAPLEWOOD AV & W ALTGELD ST","N CAMPBELL AV & W ALTGELD ST"
1,"Alley Resurface Menu","W DIVISION ST & N GREENVIEW AV & W BLACKHAWK ST & N BOSWORTH AV",2005,5361,5,"N GREENVIEW AV & W DIVISION ST","N BOSWORTH AV & W DIVISION ST","N GREENVIEW AV & W BLACKHAWK ST","N BOSWORTH AV & W BLACKHAWK ST"
1,"Alley Speed Hump Menu","N CAMPBELL AV & N MAPLEWOOD AV & W NORTH AV & W WABANSIA AV",2005,3500,6,"N CAMPBELL AV & W NORTH AV","N MAPLEWOOD AV & W NORTH AV","N CAMPBELL AV & W WABANSIA AV","N MAPLEWOOD AV & W WABANSIA AV"
1,"Alley Speed Hump Menu","N HONORE ST & N WOOD ST & W NORTH AV & N ELK GROVE AV",2005,3500,7,"N HONORE ST & W NORTH AV","N WOOD ST & W NORTH AV","N ELK GROVE AV & W NORTH AV","NA"
1,"Alley Speed Hump Menu","N BELL AV & N OAKLEY & W POTOMAC AV & W HIRSCH ST",2005,1750,8,"N BELL AV & W POTOMAC AV","N OAKLEY & W POTOMAC AV","N BELL AV & W HIRSCH ST","N OAKLEY & W HIRSCH ST"
1,"Alley Speed Hump Menu","W THOMAS ST & W HADDON AV & N WESTERN AV & N CAMPBELL AV",2005,3500,9,"N WESTERN AV & W THOMAS ST","N CAMPBELL AV & W THOMAS ST","N WESTERN AV & W HADDON AV","N CAMPBELL AV & W HADDON AV"
1,"Alley Speed Hump Menu","N MARSHFIELD AV & N PAULINA ST & W NORTH AV & W WABANSIA AV",2005,4375,10,"N MARSHFIELD AV & W NORTH AV","N PAULINA ST & W NORTH AV","N MARSHFIELD AV & W WABANSIA AV","N PAULINA ST & W WABANSIA AV"
1,"Alley Speed Hump Menu","W HADDON & W HADDON & W HADDON & W HADDON",2005,875,11,"NA","NA","NA","NA"
1,"Alley Speed Hump Menu","N CALIFORNIA & N CALIFORNIA & N CALIFORNIA & N CALIFORNIA",2005,875,12,"NA","NA","NA","NA"
1,"Alley Speed Hump Menu","N MAPLEWOOD & N MAPLEWOOD & N MAPLEWOOD & N MAPLEWOOD",2005,875,13,"NA","NA","NA","NA"
1,"Alley Speed Hump Menu","N Oakley & N Oakley & N Oakley & N Oakley",2005,875,14,"NA","NA","NA","NA"
1,"Alley Speed Hump Menu","N NOBLE ST & N CLEAVER ST & W DIVISION ST & W POTOMAC AV",2005,3500,15,"N NOBLE ST & W DIVISION ST","N CLEAVER ST & W DIVISION ST","N NOBLE ST & W POTOMAC AV","N CLEAVER ST & W POTOMAC AV"
1,"Alley Speed Hump Menu","N HERMITAGE AV & N WOOD ST & W CHICAGO AV & W PEARSON ST",2005,3500,16,"N HERMITAGE AV & W CHICAGO AV","N WOOD ST & W CHICAGO AV","N HERMITAGE AV & W PEARSON ST","N WOOD ST & W PEARSON ST"
1,"Alley Speed Hump Menu","W ELLEN ST & N WICKER PARK AV & N WOOD ST & N WOLCOTT AV",2005,2625,17,"N WICKER PARK AV & W ELLEN ST","N WOOD ST & W ELLEN ST","N WOLCOTT AV & W ELLEN ST","N WICKER PARK AV & N WOLCOTT AV"
1,"Alley Resurface Menu","W LE MOYNE ST & W PIERCE AV & N PAULINA ST & N WOOD ST",2006,21552,97,"N PAULINA ST & W LE MOYNE ST","N WOOD ST & W LE MOYNE ST","N PAULINA ST & W PIERCE AV","N WOOD ST & W PIERCE AV"
1,"Alley Resurface Menu","W NORTH AV & N HONORE ST & N ELK GROVE AV & N ELK GROVE AV",2006,12160,98,"N HONORE ST & W NORTH AV","N ELK GROVE AV & W NORTH AV","NA","NA"
1,"Alley Resurface Menu","W ELLEN ST & N WOOD ST & RAILROAD TRACKS & RAILROAD TRACKS",2006,5750,99,"N WOOD ST & W ELLEN ST","NA","NA","NA"
1,"Alley Resurface Menu","W ONTARIO ST & W ERIE ST & N ASHLAND AV & N PAULINA ST",2006,9191,100,"N ASHLAND AV & W ONTARIO ST","N PAULINA ST & W ONTARIO ST","N ASHLAND AV & W ERIE ST","N PAULINA ST & W ERIE ST"
1,"Alley Resurface Menu","N ASHLAND AV & W NORTH AV & W LE MOYNE ST & N BOSWORTH AV",2006,16158,101,"N ASHLAND AV & W NORTH AV","N BOSWORTH AV & W NORTH AV","N ASHLAND AV & W LE MOYNE ST","N BOSWORTH AV & W LE MOYNE ST"
1,"Alley Resurface Menu","N MOZART ST & N CALIFORNIA AV & W WABANSIA AV & W BLOOMINGDALE AV",2006,12145,102,"N MOZART ST & W WABANSIA AV","N CALIFORNIA AV & W WABANSIA AV","N MOZART ST & W BLOOMINGDALE AV","N CALIFORNIA AV & W BLOOMINGDALE AV"
1,"Alley Speed Hump Menu","W CORTLAND ST & W MOFFAT ST & N WESTERN AV & N CAMPBELL AV",2006,2500,103,"N WESTERN AV & W CORTLAND ST","N CAMPBELL AV & W CORTLAND ST","N WESTERN AV & W MOFFAT ST","N CAMPBELL AV & W MOFFAT ST"
1,"Alley Speed Hump Menu","W CORTLAND ST & W HOMER ST & N WESTERN AV & N CAMPBELL AV",2006,1000,104,"N WESTERN AV & W CORTLAND ST","N CAMPBELL AV & W CORTLAND ST","N WESTERN AV & W HOMER ST","N CAMPBELL AV & W HOMER ST"
1,"Alley Speed Hump Menu","W AUGUSTA BV & N WOOD ST & W CORTEZ ST & N HERMITAGE AV",2006,1000,105,"N WOOD ST & W AUGUSTA BV","N HERMITAGE AV & W AUGUSTA BV","N WOOD ST & W CORTEZ ST","N HERMITAGE AV & W CORTEZ ST"
1,"Alley Speed Hump Menu","N CLAREMONT AV & N WESTERN AV & W POTOMAC AV & W HIRSCH ST",2006,2000,106,"N CLAREMONT AV & W POTOMAC AV","N WESTERN AV & W POTOMAC AV","N CLAREMONT AV & W HIRSCH ST","N WESTERN AV & W HIRSCH ST"
1,"Alley Speed Hump Menu","W EVERGREEN AV & N WOLCOTT AV & N MILWAUKEE AV & W ELLEN ST",2006,2000,107,"N WOLCOTT AV & W EVERGREEN AV","N MILWAUKEE AV & W EVERGREEN AV","N WOLCOTT AV & W ELLEN ST","N MILWAUKEE AV & W ELLEN ST"
1,"Alley Resurface Menu","W AUGUSTA BV & W THOMAS ST & N HONORE ST & N WOOD ST",2007,29148,183,"N HONORE ST & W AUGUSTA BV","N WOOD ST & W AUGUSTA BV","N HONORE ST & W THOMAS ST","N WOOD ST & W THOMAS ST"
1,"Alley Resurface Menu","W THOMAS ST & W HADDON AV & N ROCKWELL ST & N WASHTENAW AV",2007,767,184,"N ROCKWELL ST & W THOMAS ST","N WASHTENAW AV & W THOMAS ST","N ROCKWELL ST & W HADDON AV","N WASHTENAW AV & W HADDON AV"
1,"Alley Speed Hump Menu","N DAMEN AV & W EVERGREEN AV & W SCHILLER ST & W EVERGREEN AV",2007,1000,185,"N DAMEN AV & W EVERGREEN AV","N DAMEN AV & W SCHILLER ST","NA","NA"
1,"Alley Speed Hump Menu","N LEAVITT ST & N BELL AV & W HIRSCH ST & W POTOMAC AV",2007,1000,186,"N LEAVITT ST & W HIRSCH ST","N BELL AV & W HIRSCH ST","N LEAVITT ST & W POTOMAC AV","N BELL AV & W POTOMAC AV"
1,"Alley Speed Hump Menu","N TALMAN AV & N ROCKWELL ST & W CORTLAND ST & W BLOOMINGDALE AV",2007,2000,187,"N TALMAN AV & W CORTLAND ST","N ROCKWELL ST & W CORTLAND ST","N TALMAN AV & W BLOOMINGDALE AV","N ROCKWELL ST & W BLOOMINGDALE AV"
1,"Alley Speed Hump Menu","W THOMAS ST & W HADDON AV & N WASHTENAW AV & N ROCKWELL ST",2007,500,188,"N WASHTENAW AV & W THOMAS ST","N ROCKWELL ST & W THOMAS ST","N WASHTENAW AV & W HADDON AV","N ROCKWELL ST & W HADDON AV"
1,"Alley Speed Hump Menu","N ROCKWELL ST & N MAPLEWOOD AV & W BLOOMINGDALE AV & W WABANSIA AV",2007,500,189,"N ROCKWELL ST & W BLOOMINGDALE AV","N MAPLEWOOD AV & W BLOOMINGDALE AV","N ROCKWELL ST & W WABANSIA AV","N MAPLEWOOD AV & W WABANSIA AV"
1,"Concrete Alley Menu","N POINT ST & W FRANCIS PL & N CALIFORNIA AV & N CALIFORNIA AV",2007,75209,192,"N POINT ST & W FRANCIS PL","N CALIFORNIA AV & W FRANCIS PL","NA","NA"
1,"Concrete Alley Menu","W ERIE ST & W HURON ST & N WESTERN AV & N OAKLEY",2007,135000,193,"N WESTERN AV & W ERIE ST","N OAKLEY & W ERIE ST","N WESTERN AV & W HURON ST","N OAKLEY & W HURON ST"
1,"Alley Resurface Menu","N WOOD ST & N HERMITAGE AV & N MILWAUKEE AV & RAILROAD TRACKS",2008,12094,227,"N WOOD ST & N MILWAUKEE AV","N HERMITAGE AV & N MILWAUKEE AV","NA","NA"
1,"Alley Resurface Menu","N HERMITAGE AV & N MOORMAN ST & N PAULINA ST & W CRYSTAL ST",2008,11735,228,"N HERMITAGE AV & W CRYSTAL ST","N MOORMAN ST & W CRYSTAL ST","N PAULINA ST & W CRYSTAL ST","NA"
1,"Alley Resurface Menu","N HERMITAGE AV & N PAULINA ST & N MILWAUKEE AV & RAILROAD TRACKS",2008,19792,229,"N HERMITAGE AV & N MILWAUKEE AV","N PAULINA ST & N MILWAUKEE AV","NA","NA"
1,"Alley Speed Hump Menu","W HIRSCH ST & W POTOMAC AV & N CLAREMONT AV & N OAKLEY AV",2008,1050,230,"N CLAREMONT AV & W HIRSCH ST","N OAKLEY AV & W HIRSCH ST","N CLAREMONT AV & W POTOMAC AV","N OAKLEY AV & W POTOMAC AV"
1,"Alley Speed Hump Menu","W HIRSCH ST & W POTOMAC AV & N WESTERN AV & N CLAREMONT AV",2008,525,231,"N WESTERN AV & W HIRSCH ST","N CLAREMONT AV & W HIRSCH ST","N WESTERN AV & W POTOMAC AV","N CLAREMONT AV & W POTOMAC AV"
1,"Alley Speed Hump Menu","W NORTH AV & W LE MOYNE ST & N CLAREMONT AV & N OAKLEY AV",2008,525,232,"N CLAREMONT AV & W NORTH AV","N OAKLEY AV & W NORTH AV","N CLAREMONT AV & W LE MOYNE ST","N OAKLEY AV & W LE MOYNE ST"
1,"Alley Speed Hump Menu","W DIVISION ST & W THOMAS ST & N DAMEN AV & N WINCHESTER AV",2008,525,233,"N DAMEN AV & W DIVISION ST","N WINCHESTER AV & W DIVISION ST","N DAMEN AV & W THOMAS ST","N WINCHESTER AV & W THOMAS ST"
1,"Alley Speed Hump Menu","W CHICAGO AV & W SUPERIOR ST & N OAKLEY AV & N WESTERN AV",2008,1000,235,"N OAKLEY AV & W CHICAGO AV","N WESTERN AV & W CHICAGO AV","N OAKLEY AV & W SUPERIOR ST","N WESTERN AV & W SUPERIOR ST"
1,"Alley Speed Hump Menu","W HADDOCK PL & W CORTEZ ST & N HERMITAGE AV & N WOOD ST",2008,500,236,"N HERMITAGE AV & W HADDOCK PL","N WOOD ST & W HADDOCK PL","N HERMITAGE AV & W CORTEZ ST","N WOOD ST & W CORTEZ ST"
1,"Alley Speed Hump Menu","W NORTH AV & W WABANSIA AV & N WASHTENAW AV & N FAIRFIELD AV",2008,2000,237,"N WASHTENAW AV & W NORTH AV","N FAIRFIELD AV & W NORTH AV","N WASHTENAW AV & W WABANSIA AV","N FAIRFIELD AV & W WABANSIA AV"
1,"Alley Speed Hump Menu","N ROCKWELL ST & N MAPLEWOOD AV & W GEORGE ST & N ELSTON AV",2008,1500,238,"N ROCKWELL ST & W GEORGE ST","N MAPLEWOOD AV & W GEORGE ST","N ELSTON AV & W GEORGE ST","NA"
1,"Alley Speed Hump Menu","N DAMEN AV & N HOYNE AV & W SCHILLER ST & W EVERGREEN AV",2008,500,239,"N DAMEN AV & W SCHILLER ST","N HOYNE AV & W SCHILLER ST","N DAMEN AV & W EVERGREEN AV","N HOYNE AV & W EVERGREEN AV"
1,"Alley Speed Hump Menu","W WABANSIA AV & W ST PAUL AV & N WESTERN AV & N WINNEBAGO AV",2008,2000,240,"N WESTERN AV & W WABANSIA AV","N WINNEBAGO AV & W WABANSIA AV","N WESTERN AV & W ST PAUL AV","N WINNEBAGO AV & W ST PAUL AV"
1,"Alley Speed Hump Menu","N PAULINA ST & N ASHLAND AV & W JULIAN ST & W BEACH AV",2008,500,241,"N PAULINA ST & W JULIAN ST","N ASHLAND AV & W JULIAN ST","N PAULINA ST & W BEACH AV","N ASHLAND AV & W BEACH AV"
1,"Alley Speed Hump Menu","W CORTEZ ST & W THOMAS ST & N CAMPBELL AV & N WESTERN AV",2008,2000,242,"N CAMPBELL AV & W CORTEZ ST","N WESTERN AV & W CORTEZ ST","N CAMPBELL AV & W THOMAS ST","N WESTERN AV & W THOMAS ST"
1,"Alley Speed Hump Menu","W NORTH AV & N CLAREMONT AV & N OAKLEY & W WABANSIA AV",2008,2500,243,"N CLAREMONT AV & W NORTH AV","N OAKLEY & W NORTH AV","N CLAREMONT AV & W WABANSIA AV","N OAKLEY & W WABANSIA AV"
1,"Alley Speed Hump Menu","W CHICAGO AV & W SUPERIOR ST & N OAKLEY BV & N WESTERN AV",2008,525,244,"N OAKLEY BV & W CHICAGO AV","N WESTERN AV & W CHICAGO AV","N OAKLEY BV & W SUPERIOR ST","N WESTERN AV & W SUPERIOR ST"
1,"Alley Resurface Menu","N ASHLAND AV & N MARSHFIELD AV & W PEARSON ST & W CHICAGO AV",2009,9290,307,"N ASHLAND AV & W PEARSON ST","N MARSHFIELD AV & W PEARSON ST","N ASHLAND AV & W CHICAGO AV","N MARSHFIELD AV & W CHICAGO AV"
1,"Alley Resurface Menu","W AUGUSTA BV & W IOWA ST & N WOOD ST & N HONORE ST",2009,35286,308,"N WOOD ST & W AUGUSTA BV","N HONORE ST & W AUGUSTA BV","N WOOD ST & W IOWA ST","N HONORE ST & W IOWA ST"
1,"Alley Resurface Menu","W BLOOMINGDALE AV & W CORTLAND ST & N TALMAN AV & N WASHTENAW AV",2009,24090,309,"N TALMAN AV & W BLOOMINGDALE AV","N WASHTENAW AV & W BLOOMINGDALE AV","N TALMAN AV & W CORTLAND ST","N WASHTENAW AV & W CORTLAND ST"
1,"Alley Resurface Menu","W JULIA CT & W ST HELEN CT & N STAVE ST & N STAVE ST",2009,7194,310,"N STAVE ST & W JULIA CT","N STAVE ST & W ST HELEN CT","NA","NA"
1,"Alley Speed Hump Menu","W CHICAGO AV & W SUPERIOR ST & N DAMEN AV & N WOLCOTT AV",2009,1050,311,"N DAMEN AV & W CHICAGO AV","N WOLCOTT AV & W CHICAGO AV","N DAMEN AV & W SUPERIOR ST","N WOLCOTT AV & W SUPERIOR ST"
1,"Concrete Alley Menu","W WALTON ST & W CHESTNUT ST & N GREENVIEW AV & N ASHLAND AV",2009,54000,315,"N GREENVIEW AV & W WALTON ST","N ASHLAND AV & W WALTON ST","N GREENVIEW AV & W CHESTNUT ST","N ASHLAND AV & W CHESTNUT ST"
1,"Concrete Alley Menu","N MAPLEWOOD AV & N CAMPBELL AV & W WABANSIA AV & W NORTH AV",2009,95000,316,"N MAPLEWOOD AV & W WABANSIA AV","N CAMPBELL AV & W WABANSIA AV","N MAPLEWOOD AV & W NORTH AV","N CAMPBELL AV & W NORTH AV"
1,"Concrete Alley Menu","W NORTH AV & W LE MOYNE ST & N BELL AV & N LEAVITT ST",2009,245000,317,"N BELL AV & W NORTH AV","N LEAVITT ST & W NORTH AV","N BELL AV & W LE MOYNE ST","N LEAVITT ST & W LE MOYNE ST"
1,"Concrete Alley Menu","N OAKLEY & W WABANSIA AV & W NORTH AV & N CLAREMONT AV",2009,91000,318,"N OAKLEY & W WABANSIA AV","N CLAREMONT AV & W WABANSIA AV","N OAKLEY & W NORTH AV","N CLAREMONT AV & W NORTH AV"
1,"Concrete Alley Menu","W PIERCE AV & W LE MOYNE ST & N ASHLAND AV & N PAULINA ST",2009,63000,319,"N ASHLAND AV & W PIERCE AV","N PAULINA ST & W PIERCE AV","N ASHLAND AV & W LE MOYNE ST","N PAULINA ST & W LE MOYNE ST"
1,"Alley Resurface Menu","N CAMPBELL AV & W DIVERSEY AV & N MAPLEWOOD AV & W GEORGE ST",2010,1129,349,"N CAMPBELL AV & W DIVERSEY AV","N MAPLEWOOD AV & W DIVERSEY AV","N CAMPBELL AV & W GEORGE ST","N MAPLEWOOD AV & W GEORGE ST"
1,"Alley Speed Hump Menu","W POTOMAC AV & W EVERGREEN AV & N WOLCOTT AV & N MILWAUKEE AV",2010,2625,350,"N WOLCOTT AV & W POTOMAC AV","N MILWAUKEE AV & W POTOMAC AV","N WOLCOTT AV & W EVERGREEN AV","N MILWAUKEE AV & W EVERGREEN AV"
1,"Miscellaneous-CDOT","N DAMEN AVE & W DIVISION ST & W LOGAN BLVD & N MILWAUKEE",2010,55300,354,"N DAMEN AVE & W DIVISION ST","N MILWAUKEE & W DIVISION ST","N DAMEN AVE & W LOGAN BLVD","N MILWAUKEE & W LOGAN BLVD"
1,"Alley Resurface Menu","N WASHTENAW AVE & N CALIFORNIA AVE & W HADDON AVE & W THOMAS ST",2011,25449,378,"N WASHTENAW AVE & W HADDON AVE","N CALIFORNIA AVE & W HADDON AVE","N WASHTENAW AVE & W THOMAS ST","N CALIFORNIA AVE & W THOMAS ST"
1,"Alley Resurface Menu","N PAULINA ST & N MOORMAN ST & N MILWAUKEE AVE & N PAULINA ST",2011,3768,379,"N PAULINA ST & N MILWAUKEE AVE","N MOORMAN ST & N MILWAUKEE AVE","NA","NA"
1,"Alley Resurface Menu","N DAMEN AVE & N HOYNE AVE & W EVERGREEN AVE & W POTOMAC AVE",2011,22456,380,"N DAMEN AVE & W EVERGREEN AVE","N HOYNE AVE & W EVERGREEN AVE","N DAMEN AVE & W POTOMAC AVE","N HOYNE AVE & W POTOMAC AVE"
1,"Alley Resurface Menu(1)","N TALMAN AVE & N WASHTENAW AVE & W BLOOMINGDALE AVE & W WABANSIA AVE",2011,28110,381,"N TALMAN AVE & W BLOOMINGDALE AVE","N WASHTENAW AVE & W BLOOMINGDALE AVE","N TALMAN AVE & W WABANSIA AVE","N WASHTENAW AVE & W WABANSIA AVE"
1,"Alley Speed Hump Menu","N OAKLEY AVE & N CAMPBELL AVE & W HIRSCH ST & W POTOMAC AVE",2011,700,382,"N OAKLEY AVE & W HIRSCH ST","N CAMPBELL AVE & W HIRSCH ST","N OAKLEY AVE & W POTOMAC AVE","N CAMPBELL AVE & W POTOMAC AVE"
1,"Alley Speed Hump Menu","N ASHLAND AVE & N PAULINA ST & W DIVISION ST & N MILWAUKEE AVE",2011,2200,383,"N ASHLAND AVE & W DIVISION ST","N PAULINA ST & W DIVISION ST","N MILWAUKEE AVE & W DIVISION ST","N ASHLAND AVE & N MILWAUKEE AVE"
1,"Alley Resurfacing Menu","N WESTERN AVE & N CLAREMONT AVE & W NORTH AVE & W LE MOYNE ST",2012,6354,447,"N WESTERN AVE & W NORTH AVE","N CLAREMONT AVE & W NORTH AVE","N WESTERN AVE & W LE MOYNE ST","N CLAREMONT AVE & W LE MOYNE ST"
1,"Alley Speed Hump Menu","N WOOD ST & N HONORE ST & W AUGUSTA BLVD & W IOWA ST",2012,2800,448,"N WOOD ST & W AUGUSTA BLVD","N HONORE ST & W AUGUSTA BLVD","N WOOD ST & W IOWA ST","N HONORE ST & W IOWA ST"
1,"Alley Resurfacing Menu","W WABANSIA AVE & W NORTH AVE & N WASHTENAW AVE & N TALMAN AVE",2013,10614,486,"N WASHTENAW AVE & W WABANSIA AVE","N TALMAN AVE & W WABANSIA AVE","N WASHTENAW AVE & W NORTH AVE","N TALMAN AVE & W NORTH AVE"
1,"Alley Speed Hump Menu","N WESTERN AVE & N OAKLEY AVE & W WALTON ST & W IOWA ST",2013,4200,487,"N WESTERN AVE & W WALTON ST","N OAKLEY AVE & W WALTON ST","N WESTERN AVE & W IOWA ST","N OAKLEY AVE & W IOWA ST"
1,"Alley Speed Hump Menu","W THOMAS ST & W CORTEZ ST & N WASHTENAW AVE & N CALIFORNIA AVE",2013,2800,488,"N WASHTENAW AVE & W THOMAS ST","N CALIFORNIA AVE & W THOMAS ST","N WASHTENAW AVE & W CORTEZ ST","N CALIFORNIA AVE & W CORTEZ ST"
1,"Alley Speed Hump Menu","N MILWAUKEE AVE & W EVERGREEN AVE & N HONORE ST & N WICKER PARK AVE",2013,1400,489,"N MILWAUKEE AVE & W EVERGREEN AVE","N HONORE ST & W EVERGREEN AVE","N WICKER PARK AVE & W EVERGREEN AVE","N HONORE ST & N MILWAUKEE AVE"
1,"Concrete Alley Menu","N HONORE ST & N WOOD ST & W ELLEN ST & W DIVISION ST",2013,246000,491,"N HONORE ST & W ELLEN ST","N WOOD ST & W ELLEN ST","N HONORE ST & W DIVISION ST","N WOOD ST & W DIVISION ST"
1,"Concrete Alley Menu","N STAVE ST & N POINT ST & W JULIA CT & W ST HELEN CT",2013,136000,492,"N STAVE ST & W JULIA CT","N POINT ST & W JULIA CT","N STAVE ST & W ST HELEN CT","N POINT ST & W ST HELEN CT"
1,"Alley Speed Hump Menu","N ASHLAND AVE & W LE MOYNE ST & N PAULINA ST & W JULIAN ST",2014,700,534,"N ASHLAND AVE & W LE MOYNE ST","N PAULINA ST & W LE MOYNE ST","N ASHLAND AVE & W JULIAN ST","N PAULINA ST & W JULIAN ST"
1,"Alley Speed Hump Menu","N BINGHAM ST & W ARMITAGE AVE & N STAVE ST & W FRANCIS PL",2014,700,535,"N BINGHAM ST & W ARMITAGE AVE","N STAVE ST & W ARMITAGE AVE","N BINGHAM ST & W FRANCIS PL","N STAVE ST & W FRANCIS PL"
1,"Alley Speed Hump Menu","N OAKLEY BLVD & W HIRSCH ST & N BELL AVE & W POTOMAC AVE",2014,301,536,"N OAKLEY BLVD & W HIRSCH ST","N BELL AVE & W HIRSCH ST","N OAKLEY BLVD & W POTOMAC AVE","N BELL AVE & W POTOMAC AVE"
1,"Alley Resurfacing Menu","N HERMITAGE AVE & W HADDON AVE & N PAULINA ST & W CORTEZ ST",2015,30538,598,"N HERMITAGE AVE & W HADDON AVE","N PAULINA ST & W HADDON AVE","N HERMITAGE AVE & W CORTEZ ST","N PAULINA ST & W CORTEZ ST"
1,"Alley Resurfacing Menu","N DAMEN AVE & N MILWAUKEE AVE & N HONORE ST & N WICKER PARK AVE",2015,28795,599,"N DAMEN AVE & N MILWAUKEE AVE","N HONORE ST & N MILWAUKEE AVE","N WICKER PARK AVE & N MILWAUKEE AVE","NA"
1,"Alley Speed Hump Menu","N HUMBOLDT BLVD & W CORTLAND ST & N RICHMOND ST & W BLOOMINGDALE AVE",2015,1400,600,"N HUMBOLDT BLVD & W CORTLAND ST","N RICHMOND ST & W CORTLAND ST","N HUMBOLDT BLVD & W BLOOMINGDALE AVE","N RICHMOND ST & W BLOOMINGDALE AVE"
1,"Alley Speed Hump Menu","N BELL AVE & W HIRSCH ST & N OAKLEY BLVD & W POTOMAC AVE",2015,399,601,"N BELL AVE & W HIRSCH ST","N OAKLEY BLVD & W HIRSCH ST","N BELL AVE & W POTOMAC AVE","N OAKLEY BLVD & W POTOMAC AVE"
1,"Alley Speed Hump Menu","N CLAREMONT AVE & W HIRSCH ST & N OAKLEY BLVD & W POTOMAC AVE",2015,700,602,"N CLAREMONT AVE & W HIRSCH ST","N OAKLEY BLVD & W HIRSCH ST","N CLAREMONT AVE & W POTOMAC AVE","N OAKLEY BLVD & W POTOMAC AVE"
1,"Alley Speed Hump Menu","W HURON ST & N DAMEN AVE & W ERIE ST & N WOLCOTT AVE",2015,700,603,"N DAMEN AVE & W HURON ST","N WOLCOTT AVE & W HURON ST","N DAMEN AVE & W ERIE ST","N WOLCOTT AVE & W ERIE ST"
1,"Alley Resurfacing Menu","N NOBLE ST & W OHIO ST & N ADA ST & W GRAND AVE",2016,49194.36,639,"N NOBLE ST & W OHIO ST","N ADA ST & W OHIO ST","N NOBLE ST & W GRAND AVE","N ADA ST & W GRAND AVE"
1,"Alley Resurfacing Menu","W IOWA ST & N WOLCOTT AVE & W RICE ST & N WOOD ST",2016,37684.64,640,"N WOLCOTT AVE & W IOWA ST","N WOOD ST & W IOWA ST","N WOLCOTT AVE & W RICE ST","N WOOD ST & W RICE ST"
1,"Concrete Alley Menu","N TALMAN AVE & W LYNDALE ST & N WASHTENAW AVE & N MILWAUKEE AVE",2016,258000,647,"N TALMAN AVE & W LYNDALE ST","N WASHTENAW AVE & W LYNDALE ST","N MILWAUKEE AVE & W LYNDALE ST","N TALMAN AVE & N MILWAUKEE AVE"
1,"Alley Resurfacing Menu (1-1)","W CHICAGO AVE & N BISHOP ST & W FRY ST & N GREENVIEW AVE",2017,12838.1,724,"N BISHOP ST & W CHICAGO AVE","N GREENVIEW AVE & W CHICAGO AVE","N BISHOP ST & W FRY ST","N GREENVIEW AVE & W FRY ST"
1,"Concrete Alley Menu","W HOMER ST & N WASHTENAW AVE & W ARMITAGE AVE & N ROCKWELL ST",2017,264000,727,"N WASHTENAW AVE & W HOMER ST","N ROCKWELL ST & W HOMER ST","N WASHTENAW AVE & W ARMITAGE AVE","N ROCKWELL ST & W ARMITAGE AVE"
1,"Alley Resurfacing Menu","N TALMAN AVE & W FULLERTON AVE & N MILWAUKEE AVE & N ROCKWELL ST",2018,22793.05,783,"N TALMAN AVE & W FULLERTON AVE","N MILWAUKEE AVE & W FULLERTON AVE","N ROCKWELL ST & W FULLERTON AVE","N TALMAN AVE & N MILWAUKEE AVE"
1,"Alley Resurfacing Menu","W MEDILL AVE & N MILWAUKEE AVE & N SACRAMENTO AVE & W BELDEN AVE",2018,13205.57,784,"N MILWAUKEE AVE & W MEDILL AVE","N SACRAMENTO AVE & W MEDILL AVE","N MILWAUKEE AVE & W BELDEN AVE","N SACRAMENTO AVE & W BELDEN AVE"
1,"Alley Resurfacing Menu (1-1)","W OHIO ST & N DAMEN AVE & W RACE AVE & N WOLCOTT AVE",2018,19090.16,785,"N DAMEN AVE & W OHIO ST","N WOLCOTT AVE & W OHIO ST","N DAMEN AVE & W RACE AVE","N WOLCOTT AVE & W RACE AVE"
1,"Alley Resurfacing Menu","N DAMEN AVE & W PIERCE AVE & N HOYNE AVE & W NORTH AVE",2018,8966.32,786,"N DAMEN AVE & W PIERCE AVE","N HOYNE AVE & W PIERCE AVE","N DAMEN AVE & W NORTH AVE","N HOYNE AVE & W NORTH AVE"
1,"Alley Resurfacing Menu","W LE MOYNE ST & N DAMEN AVE & W PIERCE AVE & N HOYNE AVE",2018,37924.7,787,"N DAMEN AVE & W LE MOYNE ST","N HOYNE AVE & W LE MOYNE ST","N DAMEN AVE & W PIERCE AVE","N HOYNE AVE & W PIERCE AVE"
