"ward","type","location","year","est_cost","id","intersection_1","intersection_2","intersection_3","intersection_4"
9,"Alley Speed Hump Menu","S INDIANA AV & S MICHIGAN AV & E 104 PL & E 104 ST",2005,4375,6637,"S INDIANA AV & E 104th PL","S MICHIGAN AV & E 104th PL","S INDIANA AV & E 104th ST","S MICHIGAN AV & E 104th ST"
9,"Alley Speed Hump Menu","E 110 ST & E 111 ST & S EDBROOKE AV & S INDIANA AV",2005,4375,6638,"S EDBROOKE AV & E 110th ST","S INDIANA AV & E 110th ST","S EDBROOKE AV & E 111th ST","S INDIANA AV & E 111th ST"
9,"Alley Speed Hump Menu","E 103 ST & E 104 ST & S INDIANA AV & S PRAIRIE AV",2005,3500,6639,"S INDIANA AV & E 103rd ST","S PRAIRIE AV & E 103rd ST","S INDIANA AV & E 104th ST","S PRAIRIE AV & E 104th ST"
9,"Alley Speed Hump Menu","E 104 PL & E 105 ST & S MICHIGAN AV & S INDIANA AV",2005,2625,6640,"S MICHIGAN AV & E 104th PL","S INDIANA AV & E 104th PL","S MICHIGAN AV & E 105th ST","S INDIANA AV & E 105th ST"
9,"Alley Speed Hump Menu","E 105 ST & E 106 ST & S PRAIRIE AV & S INDIANA AV",2005,2625,6641,"S PRAIRIE AV & E 105th ST","S INDIANA AV & E 105th ST","S PRAIRIE AV & E 106th ST","S INDIANA AV & E 106th ST"
9,"Alley Speed Hump Menu","E 108 ST & E 109 ST & S INDIANA AV & S PRAIRIE AV",2005,3500,6642,"S INDIANA AV & E 108th ST","S PRAIRIE AV & E 108th ST","S INDIANA AV & E 109th ST","S PRAIRIE AV & E 109th ST"
9,"Alley Speed Hump Menu","W 112 ST & W 113 ST & S ST LAWRENCE AV & S CHAMPLAIN AV",2005,3500,6643,"S ST LAWRENCE AV & W 112th ST","S CHAMPLAIN AV & W 112th ST","S ST LAWRENCE AV & W 113th ST","S CHAMPLAIN AV & W 113th ST"
9,"Alley Speed Hump Menu","E 102 ST & E 103 ST & S WALLACE ST & S PARNELL AV",2005,3500,6644,"S WALLACE ST & E 102nd ST","S PARNELL AV & E 102nd ST","S WALLACE ST & E 103rd ST","S PARNELL AV & E 103rd ST"
9,"Alley Speed Hump Menu","E 100 ST & E 101 ST & S NORMAL & S PARNELL AV",2005,1750,6645,"S NORMAL & E 100th ST","S PARNELL AV & E 100th ST","S NORMAL & E 101st ST","S PARNELL AV & E 101st ST"
9,"Alley Speed Hump Menu","E 99 ST & E 100 ST & S YALE AV & S WENTWORTH AV",2005,1750,6646,"S YALE AV & E 99th ST","S WENTWORTH AV & E 99th ST","S YALE AV & E 100th ST","S WENTWORTH AV & E 100th ST"
9,"Alley Speed Hump Menu","E 102 ST & E 103 ST & S YALE AV & S WENTWORTH AV",2005,3500,6647,"S YALE AV & E 102nd ST","S WENTWORTH AV & E 102nd ST","S YALE AV & E 103rd ST","S WENTWORTH AV & E 103rd ST"
9,"Alley Speed Hump Menu","E 102 ST & E 103 ST & S LA SALLE ST & S WENTWORTH AV",2005,3500,6648,"S LA SALLE ST & E 102nd ST","S WENTWORTH AV & E 102nd ST","S LA SALLE ST & E 103rd ST","S WENTWORTH AV & E 103rd ST"
9,"Alley Speed Hump Menu","E 103 PL & E 104 ST & S RHODES AV & S DAUPHIN AV",2005,3500,6649,"S RHODES AV & E 103rd PL","S DAUPHIN AV & E 103rd PL","S RHODES AV & E 104th ST","S DAUPHIN AV & E 104th ST"
9,"Alley Speed Hump Menu","E 107 ST & E 108 ST & S RHODES AV & S EBERHART AV",2005,3500,6650,"S RHODES AV & E 107th ST","S EBERHART AV & E 107th ST","S RHODES AV & E 108th ST","S EBERHART AV & E 108th ST"
9,"Alley Speed Hump Menu","E 107 ST & E 108 ST & S FOREST AV & S PRAIRIE AV",2005,3500,6651,"S FOREST AV & E 107th ST","S PRAIRIE AV & E 107th ST","S FOREST AV & E 108th ST","S PRAIRIE AV & E 108th ST"
9,"Alley Speed Hump Menu","E 99 ST & E 100 ST & S WALLACE ST & S LOWE AV",2005,1750,6652,"S WALLACE ST & E 99th ST","S LOWE AV & E 99th ST","S WALLACE ST & E 100th ST","S LOWE AV & E 100th ST"
