"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
14,"Miscellaneous-CDOT","S Richmond & W 57 ST-W 58 ST",2006,24587,11750,"S Richmond & W 57th ST","S Richmond & W 58th ST"
14,"Miscellaneous-CDOT","S Richmond & W 58ST-W 59ST",2006,16255,11751,"S Richmond & W 58ST","S Richmond & W 59ST"
14,"Miscellaneous-CDOT","S Francisco & W 57ST-W 58ST",2006,9835,11752,"S Francisco & W 57ST","S Francisco & W 58ST"
14,"Miscellaneous-CDOT","W 57ST & S Francisco-S Richmond",2006,7083,11753,"W 57ST & S Francisco","W 57ST & S Richmond"
14,"Miscellaneous-CDOT","S California & W 51ST-W 52ST",2006,1258,11754,"S California & W 51ST","S California & W 52ST"
14,"Miscellaneous-CDOT","S California & W 52ST-W 53ST",2006,4568,11755,"S California & W 52ST","S California & W 53ST"
14,"Miscellaneous-CDOT","S Francisco & W 51ST-W 52ST",2006,4024,11756,"S Francisco & W 51ST","S Francisco & W 52ST"
14,"Miscellaneous-CDOT","S Francisco & W 52ST-W 53ST",2006,30221,11757,"S Francisco & W 52ST","S Francisco & W 53ST"
14,"Miscellaneous-CDOT","S Mozart & W 51ST-W 52ST",2006,8424,11758,"S Mozart & W 51ST","S Mozart & W 52ST"
14,"Miscellaneous-CDOT","S Mozart & W 52ST-W 53ST",2006,20607,11759,"S Mozart & W 52ST","S Mozart & W 53ST"
14,"Miscellaneous-CDOT","S Richmond & W 52ST-W 53ST",2006,14304,11760,"S Richmond & W 52ST","S Richmond & W 53ST"
14,"Miscellaneous-CDOT","W 57ST & S Central Park-S Lawndale",2006,8276,11761,"W 57ST & S Central Park","W 57ST & S Lawndale"
14,"Miscellaneous-CDOT","W 56 PL & S Central Park-S Lawndale",2006,20309,11762,"W 56th PL & S Central Park","W 56th PL & S Lawndale"
14,"Miscellaneous-CDOT","W 56 PL & S Lawndale-S Hamlin",2006,15576,11763,"W 56th PL & S Lawndale","W 56th PL & S Hamlin"
14,"Miscellaneous-CDOT","W 56ST & S Lawndale-S Hamlin",2006,24612,11764,"W 56ST & S Lawndale","W 56ST & S Hamlin"
14,"Miscellaneous-CDOT","W 55 PL & S Lawndale-S Hamlin",2006,10733,11765,"W 55th PL & S Lawndale","W 55th PL & S Hamlin"
