ward,type,location,year,est_cost,id,point_location
19,Miscellaneous-Other,OBM Concrete Alley Program,2010,89399,15507,OBM Concrete Alley Program
19,Miscellaneous Other,Tree planting -2037 W. 108 th Pl,2012,515,15580,Tree planting -2037 W. 108 th Pl
20,Guardrail Menu,6858 DR. MARTIN LUTHER KING JR. DR,2008,1011,16011,6858 DR. MARTIN LUTHER KING JR. DR
21,Sidewalk Menu - Change Order,W. 101 st Pl. Elizabeth Vincennes,2007,1486,16625,W. 101 st Pl. Elizabeth Vincennes
22,POD Camera,NA,2011,740000,17589,NA
23,Miscellaneous-CDOT,Honorary Signs - Sanchez Dr.,2008,102,18197,Honorary Signs - Sanchez Dr.
24,Miscellaneous-BOE,24 th Ward DSS office-1817 S Pulaski,2007,31850,19457,24 th Ward DSS office-1817 S Pulaski
24,Miscellaneous-CDOT,16 th St. at Spaulding Ave,2009,1200,19512,16 th St. at Spaulding Ave
24,New Alley Construction,"Gladys, Van Buren, Dead End, Kilpatrick",2010,1507,19539,"Gladys, Van Buren, Dead End, Kilpatrick"
24,Concrete Alley Menu,Gladys,2012,148082,19593,Gladys
24,Miscellaneous Other,Tree installation - 4043 W. Harrison St.,2012,539,19630,Tree installation - 4043 W. Harrison St.
25,Miscellaneous-Other,Pilsen Community,2006,6524,20101,Pilsen Community
25,POD Camera,8 locations,2006,264000,20102,8 locations
25,Miscellaneous-CDOT,Permanent Street Cleaning Signs,2007,101002,20122,Permanent Street Cleaning Signs
25,Miscellaneous Other,Plaza Tenochtitlan - CPAG,2012,85000,20516,Plaza Tenochtitlan - CPAG
25,Miscellaneous Other,18 th Street,2013,69300,20523,18 th Street
26,Schools,Pedro Albizu - 2658 W. Haddon,2005,48433,20943,Pedro Albizu - 2658 W. Haddon
26,Miscellaneous - Paseo Boriqua Medalli,Paseo Boricua Medallions,2006,20000,20966,Paseo Boricua Medallions
26,Miscellaneous-CDOT,Paseo Boriqua Medallion,2006,45000,20968,Paseo Boriqua Medallion
26,Miscellaneous-CDOT,Division Gateway Flag Painting,2006,20000,20969,Division Gateway Flag Painting
26,Miscellaneous-BOE,3 KING FESTIVAL,2006,85000,20997,3 KING FESTIVAL
26,Chicago Park District,Augusta Pool,2006,20000,21007,Augusta Pool
26,Schools,Pedro Albizu -2658 W. Haddon,2007,37323,21022,Pedro Albizu -2658 W. Haddon
26,Miscellaneous-CDOT,Humboldt Dr. through Humboldt Park,2008,20000,21028,Humboldt Dr. through Humboldt Park
26,Miscellaneous-Other,Bloomingdale Trail,2008,15000,21054,Bloomingdale Trail
26,Miscellaneous-Other,La Crucifixion De Don Pedro Albizu Mural -2423 W. North Ave.,2008,25000,21055,La Crucifixion De Don Pedro Albizu Mural -2423 W. North Ave.
26,Schools,Pedro Albizu H.S. parking lot -2658 W. Haddon,2008,6244,21057,Pedro Albizu H.S. parking lot -2658 W. Haddon
26,Miscellaneous-CDOT,Division Street Gateway,2010,424,21116,Division Street Gateway
26,Miscellaneous-CDOT,Division Street Gateways,2011,40771,21190,Division Street Gateways
26,Miscellaneous-CDOT,Division Street Gateways,2011,826,21191,Division Street Gateways
26,Schools,Lowell School - 3320 W. Hirsch St.,2011,20000,21217,Lowell School - 3320 W. Hirsch St.
26,Schools,Funston School - 2010 N. Central Park Ave.,2011,20000,21219,Funston School - 2010 N. Central Park Ave.
26,Schools,Casals School - 3501 W. Potomac Ave.,2011,20000,21221,Casals School - 3501 W. Potomac Ave.
26,Miscellaneous Other,Division Street Gateways,2012,45711,21233,Division Street Gateways
27,POD Camera,11 locations,2007,192000,21773,11 locations
27,Chicago Park District,Eckhart Park- playground - 1330 W. Chicago Ave.,2011,175000,21952,Eckhart Park- playground - 1330 W. Chicago Ave.
28,Miscellaneous-CDOT,Hamlin Blvd Landscape Enhancement,2006,13963,22417,Hamlin Blvd Landscape Enhancement
28,POD Camera,8 locations,2006,192000,22467,8 locations
32,Miscellaneous-CDOT,Roscoe Ave pavers,2006,125000,25718,Roscoe Ave pavers
32,Chicago Park District,North Racine,2007,150000,25855,North Racine
32,Miscellaneous-CDOT,Chicago Ave. at Hoyne Ave. (crosswalk),2008,875,25880,Chicago Ave. at Hoyne Ave. (crosswalk)
32,Miscellaneous-CDOT,Replace faded bikeway marking,2009,30000,25939,Replace faded bikeway marking
32,Miscellaneous-CDOT,1300 block of W. Altgeld,2010,49300,26007,1300 block of W. Altgeld
33,Bollard Menu,4 .00,2006,2586,26572,4 .00
33,Miscellaneous-CDOT,100 tree grates on Kedzie Ave,2006,186000,26574,100 tree grates on Kedzie Ave
34,Alley Resurfacing Menu,117 th St - 117 th Pl - Lowe - Wallace,2012,2762,27633,117 th St - 117 th Pl - Lowe - Wallace
34,Miscellaneous Other,1720 w Montvale,2012,955,27649,1720 w Montvale
34,Miscellaneous Other,City owned vacant land (signs),2012,54015,27650,City owned vacant land (signs)
36,Miscellaneous-Other,36 th ward library,2007,500000,29186,36 th ward library
39,Chicago Park District,Gompers Park - Pulaski Ave.,2009,30000,31537,Gompers Park - Pulaski Ave.
39,Sidewalk Menu - Change Order,N KRUGER AVEELSTON,2011,593,31596,N KRUGER AVEELSTON
39,Sidewalk Menu - Change Order,W FOSTER AVEKOSTNER,2011,1669,31597,W FOSTER AVEKOSTNER
39,Miscellaneous Other,Saughnash,2012,264865,31627,Saughnash
39,Miscellaneous Other,Saugnash Mural,2013,10000,31656,Saugnash Mural
39,Miscellaneous Other,Forest Glen Mural,2013,3000,31659,Forest Glen Mural
39,Floodlight Menu,W CARMEN AVE & N SPAULDING AVE ON & N KENTON AVE FROM & W SUNNYSIDE AVE (4500 N) TO,2013,1200,31680,W CARMEN AVE & N SPAULDING AVE ON & N KENTON AVE FROM & W SUNNYSIDE AVE (4500 N) TO
