ward,type,location,year,est_cost,id,point_location
47,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W CULLOM AVE,2017,350,38038,N CLARK ST & W CULLOM AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,N LINCOLN AVE & W LELAND AVE,2017,600,38039,N LINCOLN AVE & W LELAND AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W MONTROSE AVE & N CAMPBELL AVE,2017,600,38040,W MONTROSE AVE & N CAMPBELL AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W WILSON AVE & N GREENVIEW AVE,2017,350,38041,W WILSON AVE & N GREENVIEW AVE
47,Arterial Street Bump Outs Menu,W LELAND AVE & N LINCOLN AVE,2018,38905.14,38070,W LELAND AVE & N LINCOLN AVE
47,Arterial Street Bump Outs Menu,W LELAND AVE & N LINCOLN AVE,2018,30626.72,38071,W LELAND AVE & N LINCOLN AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W BERENICE AVE,2018,350,38083,N DAMEN AVE & W BERENICE AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W FOSTER AVE & N WAYNE AVE,2018,600,38084,W FOSTER AVE & N WAYNE AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,N LINCOLN AVE & W HUTCHINSON ST,2018,350,38085,N LINCOLN AVE & W HUTCHINSON ST
47,In-Road State Law Stop For Pedestrians Signs Menu,N LINCOLN AVE & W LELAND AVE,2018,350,38086,N LINCOLN AVE & W LELAND AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,N CAMPBELL AVE & W MONTROSE AVE,2018,350,38087,N CAMPBELL AVE & W MONTROSE AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W MONTROSE AVE & N CLAREMONT AVE,2018,350,38088,W MONTROSE AVE & N CLAREMONT AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W MONTROSE AVE & N MAPLEWOOD AVE,2018,350,38089,W MONTROSE AVE & N MAPLEWOOD AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W MONTROSE AVE & N WINCHESTER AVE,2018,600,38090,W MONTROSE AVE & N WINCHESTER AVE
47,Pedestrian Countdown Signal Menu,W MONTROSE AVE & N WOLCOTT AVE,2018,26159,38092,W MONTROSE AVE & N WOLCOTT AVE
47,Pedestrian Countdown Signal Menu,N DAMEN AVE & W WILSON AVE,2018,46066,38093,N DAMEN AVE & W WILSON AVE
47,Pedestrian Countdown Signal Menu,N CLARK ST & W MONTROSE AVE,2018,25885,38094,N CLARK ST & W MONTROSE AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W ADDISON ST & N OAKLEY AVE,2019,600,38120,W ADDISON ST & N OAKLEY AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W MONTROSE AVE & N HERMITAGE AVE,2019,350,38121,W MONTROSE AVE & N HERMITAGE AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,N LINCOLN AVE & W WARNER AVE,2019,600,38122,N LINCOLN AVE & W WARNER AVE
47,Sidewalk Menu,N LINCOLN AVE & W EASTWOOD AVE,2019,23000,38128,N LINCOLN AVE & W EASTWOOD AVE
47,Street Bump Outs Menu,W ADDISON ST & N OAKLEY AVE,2019,41060.44,38130,W ADDISON ST & N OAKLEY AVE
47,Arterial Street Bump Outs Menu,N LINCOLN AVE & W BELLE PLAINE AVE,2020,27000,38146,N LINCOLN AVE & W BELLE PLAINE AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,N LINCOLN AVE & W CORNELIA AVE,2020,350,38157,N LINCOLN AVE & W CORNELIA AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W MONTROSE AVE & N BELL AVE,2020,600,38158,W MONTROSE AVE & N BELL AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W MONTROSE AVE & N CLAREMONT AVE,2020,600,38159,W MONTROSE AVE & N CLAREMONT AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,N DAMEN AVE & W EASTWOOD AVE,2020,350,38160,N DAMEN AVE & W EASTWOOD AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,N LINCOLN AVE & W HUTCHINSON ST,2020,350,38161,N LINCOLN AVE & W HUTCHINSON ST
47,In-Road State Law Stop For Pedestrians Signs Menu,W MONTROSE AVE & N CLAREMONT AVE,2020,350,38162,W MONTROSE AVE & N CLAREMONT AVE
47,In-Road State Law Stop For Pedestrians Signs Menu,W MONTROSE AVE & N WINCHESTER AVE,2020,600,38163,W MONTROSE AVE & N WINCHESTER AVE
47,Miscellaneous CDOT Projects,N VIRGINIA AVE & W LELAND AVE,2020,40000,38164,N VIRGINIA AVE & W LELAND AVE
47,Sidewalk Menu,N DAMEN AVE & W SUNNYSIDE AVE,2020,15969.38,38165,N DAMEN AVE & W SUNNYSIDE AVE
47,Sidewalk Menu,W ADDISON ST & N WOLCOTT AVE,2020,4532.73,38169,W ADDISON ST & N WOLCOTT AVE
47,Sidewalk Menu,N DAMEN AVE & W CULLOM AVE,2020,3736.06,38170,N DAMEN AVE & W CULLOM AVE
47,Sidewalk Menu,N DAMEN AVE & W EASTWOOD AVE,2020,9232.71,38171,N DAMEN AVE & W EASTWOOD AVE
47,Sidewalk Menu,N OAKLEY AVE & W BELLE PLAINE AVE,2020,8603.15,38175,N OAKLEY AVE & W BELLE PLAINE AVE
47,Sidewalk Menu,N LEAVITT ST & N LINCOLN AVE,2020,17984.82,38176,N LEAVITT ST & N LINCOLN AVE
47,Sidewalk Menu,N WOLCOTT AVE & W ADDISON ST,2020,11992.03,38180,N WOLCOTT AVE & W ADDISON ST
47,Street Bump Outs Menu,W ADDISON ST & N OAKLEY AVE,2020,58939.56,38183,W ADDISON ST & N OAKLEY AVE
47,Street Bump Outs Menu,W EASTWOOD AVE & N CLAREMONT AVE,2020,6873.81,38184,W EASTWOOD AVE & N CLAREMONT AVE
47,Arterial Street Bump Outs Menu,N ASHLAND AVE & W SUNNYSIDE AVE,2021,44082.01,38198,N ASHLAND AVE & W SUNNYSIDE AVE
47,Arterial Street Bump Outs Menu,N DAMEN AVE & W BELLE PLAINE AVE,2021,30908.1,38199,N DAMEN AVE & W BELLE PLAINE AVE
47,Bus Pad,W IRVING PARK RD & N WESTERN AVE,2021,6300,38202,W IRVING PARK RD & N WESTERN AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N CAMPBELL AVE,2021,600,38206,W MONTROSE AVE & N CAMPBELL AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N CLAREMONT AVE,2021,600,38207,W MONTROSE AVE & N CLAREMONT AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N WINCHESTER AVE,2021,600,38208,W MONTROSE AVE & N WINCHESTER AVE
47,Miscellaneous CDOT Projects,N WESTERN AVE & W BELLE PLAINE AVE,2021,49686.08,38209,N WESTERN AVE & W BELLE PLAINE AVE
47,Pavement Markings Menu,W WILSON AVE & N VIRGINIA AVE,2021,825.17,38210,W WILSON AVE & N VIRGINIA AVE
47,Street Bump Outs Menu,W ADDISON ST & N OAKLEY AVE,2021,24840.4,38230,W ADDISON ST & N OAKLEY AVE
47,Street Bump Outs Menu,W SUNNYSIDE AVE & N OAKLEY AVE,2021,17225.76,38231,W SUNNYSIDE AVE & N OAKLEY AVE
47,Street Bump Outs Menu,W WILSON AVE & N LEAVITT ST,2021,20766.14,38232,W WILSON AVE & N LEAVITT ST
47,Street Bump Outs Menu,W WILSON AVE & N LINCOLN AVE,2021,21102,38233,W WILSON AVE & N LINCOLN AVE
47,Street Bump Outs Menu,W WILSON AVE & N VIRGINIA AVE,2021,11711.06,38234,W WILSON AVE & N VIRGINIA AVE
47,Arterial Street Bump Outs Menu,N DAMEN AVE & W BELLE PLAINE AVE,2022,19091.9,38262,N DAMEN AVE & W BELLE PLAINE AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,N CAMPBELL AVE & W WAVELAND AVE,2022,350,38271,N CAMPBELL AVE & W WAVELAND AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W WINONA ST,2022,350,38272,N CLARK ST & W WINONA ST
47,In-Road State Law Stop For Pedestrians Sign Menu,N DAMEN AVE & W EASTWOOD AVE,2022,350,38273,N DAMEN AVE & W EASTWOOD AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,N LINCOLN AVE & W BERENICE AVE,2022,350,38274,N LINCOLN AVE & W BERENICE AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W ADDISON ST & N HERMITAGE AVE,2022,600,38275,W ADDISON ST & N HERMITAGE AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W ADDISON ST & N HOYNE AVE,2022,600,38276,W ADDISON ST & N HOYNE AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W ADDISON ST & N OAKLEY AVE,2022,1200,38277,W ADDISON ST & N OAKLEY AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N CLAREMONT AVE,2022,600,38278,W MONTROSE AVE & N CLAREMONT AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N HERMITAGE AVE,2022,350,38279,W MONTROSE AVE & N HERMITAGE AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N MAPLEWOOD AVE,2022,600,38280,W MONTROSE AVE & N MAPLEWOOD AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N SEELEY AVE,2022,350,38281,W MONTROSE AVE & N SEELEY AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W MONTROSE AVE & N WINCHESTER AVE,2022,600,38282,W MONTROSE AVE & N WINCHESTER AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W WILSON AVE & N GREENVIEW AVE,2022,350,38283,W WILSON AVE & N GREENVIEW AVE
47,In-Road State Law Stop For Pedestrians Sign Menu,W WILSON AVE & N WINCHESTER AVE,2022,600,38284,W WILSON AVE & N WINCHESTER AVE
47,Miscellaneous CDOT Projects,N WESTERN AVE & W BELLE PLAINE AVE,2022,11345.98,38286,N WESTERN AVE & W BELLE PLAINE AVE
47,Pavement Markings Menu,N CLARK ST & W ARGYLE ST,2022,200,38287,N CLARK ST & W ARGYLE ST
47,Pavement Markings Menu,W GIDDINGS ST & N HAMILTON AVE,2022,2282,38288,W GIDDINGS ST & N HAMILTON AVE
47,Pavement Markings Menu,W MONTROSE AVE & N DAMEN AVE,2022,1600,38289,W MONTROSE AVE & N DAMEN AVE
47,Street Bump Outs Menu,N CAMPBELL AVE & W CUYLER AVE,2022,12436.01,38299,N CAMPBELL AVE & W CUYLER AVE
47,Street Bump Outs Menu,N HOYNE AVE & W CORNELIA AVE,2022,13012.06,38300,N HOYNE AVE & W CORNELIA AVE
47,Street Bump Outs Menu,N LEAVITT ST & W CUYLER AVE,2022,7061.7,38301,N LEAVITT ST & W CUYLER AVE
47,Street Bump Outs Menu,N LEAVITT ST & W EASTWOOD AVE,2022,22459.68,38302,N LEAVITT ST & W EASTWOOD AVE
47,Street Bump Outs Menu,N LEAVITT ST & W GIDDINGS ST,2022,24190.64,38303,N LEAVITT ST & W GIDDINGS ST
47,Street Bump Outs Menu,N MARSHFIELD AVE & W CORNELIA AVE,2022,12990.36,38304,N MARSHFIELD AVE & W CORNELIA AVE
47,Street Bump Outs Menu,N PAULINA ST & W CORNELIA AVE,2022,14608.11,38305,N PAULINA ST & W CORNELIA AVE
47,Street Bump Outs Menu,W AINSLIE ST & N LEAVITT ST,2022,15243.65,38306,W AINSLIE ST & N LEAVITT ST
47,Street Bump Outs Menu,W BELLE PLAINE AVE & N LEAVITT ST,2022,30193.11,38307,W BELLE PLAINE AVE & N LEAVITT ST
47,Street Bump Outs Menu,W CORNELIA AVE & N HAMILTON AVE,2022,7658.46,38308,W CORNELIA AVE & N HAMILTON AVE
47,Street Bump Outs Menu,W CULLOM AVE & N HOYNE AVE,2022,14004.97,38309,W CULLOM AVE & N HOYNE AVE
47,Street Light Upgrade Menu,N CAMPBELL AVE & W EASTWOOD AVE,2022,750,38312,N CAMPBELL AVE & W EASTWOOD AVE
47,Street Traffic Circle Menu,N GREENVIEW AVE & W BELLE PLAINE AVE,2022,24000,38334,N GREENVIEW AVE & W BELLE PLAINE AVE
48,Street Lighting,W WINONA ST & N WINTHROP AV,2006,4000,38380,W WINONA ST & N WINTHROP AV
48,Traffic Signals,W FOSTER AV & N SHERIDAN RD,2006,296409,38381,W FOSTER AV & N SHERIDAN RD
48,Miscellaneous-Other,LSD & Bryn Mawr viaduct,2006,15000,38384,LSD & Bryn Mawr viaduct
48,Miscellaneous-Other,LSD & Bryn Mawr,2006,57805,38385,LSD & Bryn Mawr
48,Miscellaneous-Other,LSD & Bryn Mawr,2006,14090,38386,LSD & Bryn Mawr
48,Miscellaneous-Other,N. Broadway & Balmoral,2006,170594,38387,N. Broadway & Balmoral
48,POD Camera,N WINTHROP AVE & W WINONA ST,2006,6000,38388,N WINTHROP AVE & W WINONA ST
48,Miscellaneous-CDOT,N Sheridan Rd & W Castlewood Ter,2007,250,38400,N Sheridan Rd & W Castlewood Ter
48,Acquisition,N. Broadway & W. Balmoral Ave,2007,11574,38446,N. Broadway & W. Balmoral Ave
48,Miscellaneous-CDOT,Bryn Mawr Ave & @ Lake Shore Dr.,2008,11900,38456,Bryn Mawr Ave & @ Lake Shore Dr.
48,Miscellaneous-Other,Foster & Lake Shore Drive,2008,107770,38479,Foster & Lake Shore Drive
48,POD Camera,NE Corner of Winona & Sheridan,2008,24000,38480,NE Corner of Winona & Sheridan
48,POD Camera,SE corner of Lawrence & Sheridan,2008,24000,38481,SE corner of Lawrence & Sheridan
48,In-Road State Law Stop for Pedestria,N CLARK ST & W GREGORY ST,2009,800,38494,N CLARK ST & W GREGORY ST
48,In-Road State Law Stop for Pedestria,N CLARK ST & W OLIVE AV,2009,800,38495,N CLARK ST & W OLIVE AV
48,In-Road State Law Stop for Pedestria,N CLARK ST & W SUMMERDALE AV,2009,800,38496,N CLARK ST & W SUMMERDALE AV
48,Miscellaneous-CDOT,W THORNDALE AV & N SHERIDAN RD,2009,3207,38497,W THORNDALE AV & N SHERIDAN RD
48,In-Road State Law Stop for Pedestria,N CLARK ST & W HOLLYWOOD AV,2010,950,38525,N CLARK ST & W HOLLYWOOD AV
48,In-Road State Law Stop for Pedestria,N CLARK ST & W OLIVE AV,2010,550,38526,N CLARK ST & W OLIVE AV
48,In-Road State Law Stop for Pedestria,N CLARK ST & W FARRAGUT AV,2010,800,38527,N CLARK ST & W FARRAGUT AV
48,In-Road State Law Stop for Pedestria,N LAKE SHORE DR & W FOSTER AV,2010,410,38528,N LAKE SHORE DR & W FOSTER AV
48,In-Road State Law Stop for Pedestria,N LAKEWOOD AV & W DEVON AV,2010,475,38529,N LAKEWOOD AV & W DEVON AV
48,POD Camera,Kemore & Glenlake (2012 installation),2010,22500,38536,Kemore & Glenlake (2012 installation)
48,POD Camera,Hollywood & Kenmore (2012 installation),2010,22500,38537,Hollywood & Kenmore (2012 installation)
48,Street Lighting,N KENMORE AVE & W ARDMORE AVE,2011,500,38542,N KENMORE AVE & W ARDMORE AVE
48,Alley Apron Menu,W AINSLIE ST & N MARINE DR (815 W),2011,10915,38546,W AINSLIE ST & N MARINE DR (815 W)
48,Alley Apron Menu,W ELMDALE AVE & N GREENVIEW AV (1500 W),2011,12150,38547,W ELMDALE AVE & N GREENVIEW AV (1500 W)
48,Pavement Markings Menu,W BRYN MAWR AVE & N CLARK ST,2011,2500,38549,W BRYN MAWR AVE & N CLARK ST
48,Floodlight Menu,W THORNDALE AVE & N SHERIDAN RD,2012,500,38581,W THORNDALE AVE & N SHERIDAN RD
48,Pedestrian Countdown,N CLARK ST & W BALMORAL AVE,2012,125000,38585,N CLARK ST & W BALMORAL AVE
48,Miscellaneous Other,N SHERIDAN RD & W DEVON AVE,2013,500000,38596,N SHERIDAN RD & W DEVON AVE
48,Traffic Signal,N SHERIDAN RD & W ROSEMONT AVE,2013,4800,38604,N SHERIDAN RD & W ROSEMONT AVE
48,Traffic Signal,W SHERIDAN RD & N WINTHROP AVE,2013,4800,38605,W SHERIDAN RD & N WINTHROP AVE
48,Chicago Park District,N SHERIDAN RD & W HOLLYWOOD AVE,2013,200000,38607,N SHERIDAN RD & W HOLLYWOOD AVE
48,Bus Pad,N MARINE DR & W MARGATE TER,2014,25952,38615,N MARINE DR & W MARGATE TER
48,In-Road State Law Stop,W GREGORY ST & N CLARK ST,2014,275,38621,W GREGORY ST & N CLARK ST
48,In-Road State Law Stop,W FOSTER DR & N LSD FOSTER AV XR,2014,550,38622,W FOSTER DR & N LSD FOSTER AV XR
48,In-Road State Law Stop,N CLARK ST & W OLIVE AVE,2014,275,38623,N CLARK ST & W OLIVE AVE
48,In-Road State Law Stop,W HOLLYWOOD AVE & N CLARK ST,2014,950,38624,W HOLLYWOOD AVE & N CLARK ST
48,In-Road State Law Stop,W FARRAGUT AVE & N CLARK ST,2014,825,38625,W FARRAGUT AVE & N CLARK ST
48,In-Road State Law Stop,W SUMMERDALE AVE & N CLARK ST,2014,475,38626,W SUMMERDALE AVE & N CLARK ST
48,In-Road State Law Stop,W DEVON AVE & N LAKEWOOD AVE,2014,950,38627,W DEVON AVE & N LAKEWOOD AVE
48,In-Road State Law Stop,W DEVON AVE & N BOSWORTH AVE,2014,950,38628,W DEVON AVE & N BOSWORTH AVE
48,In-Road State Law Stop,N CLARK ST & W SUMMERDALE AVE,2014,950,38629,N CLARK ST & W SUMMERDALE AVE
48,Miscellaneous Other,N BROADWAY & W SHERIDAN RD,2014,416000,38630,N BROADWAY & W SHERIDAN RD
48,Left-Turn Arrow Menu,N SHERIDAN RD & W HOLLYWOOD AVE,2014,5500,38653,N SHERIDAN RD & W HOLLYWOOD AVE
48,Miscellaneous Other,W THORNDALE AVE & N SHERIDAN RD,2014,54500,38654,W THORNDALE AVE & N SHERIDAN RD
48,Curb & Gutter Menu,W BRYN MAWR AVE & N LSD BRYN MAWR AV XR,2015,45078,38677,W BRYN MAWR AVE & N LSD BRYN MAWR AV XR
48,In-Road State Law Stop,W DEVON AVE & N BOSWORTH AVE,2015,600,38682,W DEVON AVE & N BOSWORTH AVE
48,In-Road State Law Stop,N CLARK ST & W OLIVE AVE,2015,1200,38683,N CLARK ST & W OLIVE AVE
48,In-Road State Law Stop,N CLARK ST & W HOLLYWOOD AVE,2015,1200,38684,N CLARK ST & W HOLLYWOOD AVE
48,In-Road State Law Stop,W DEVON AVE & N LAKEWOOD AVE,2015,600,38685,W DEVON AVE & N LAKEWOOD AVE
48,In-Road State Law Stop,N CLARK ST & W SUMMERDALE AVE,2015,350,38686,N CLARK ST & W SUMMERDALE AVE
48,In-Road State Law Stop,W RASCHER AVE & N CLARK ST,2015,950,38687,W RASCHER AVE & N CLARK ST
48,Accessible Pedestrian,N SHERIDAN RD & W THORNDALE AVE,2015,7000,38707,N SHERIDAN RD & W THORNDALE AVE
48,Bollard Menu,N GLENWOOD AVE & N RIDGE AVE,2016,2931.44,38720,N GLENWOOD AVE & N RIDGE AVE
48,High Definition Camera Menu,N MCCUTCHEON TER & W MARGATE TER,2016,27011,38727,N MCCUTCHEON TER & W MARGATE TER
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W OLIVE AVE,2016,600,38728,N CLARK ST & W OLIVE AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W OLIVE AVE,2016,600,38729,N CLARK ST & W OLIVE AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,W DEVON AVE & N BOSWORTH AVE,2016,350,38730,W DEVON AVE & N BOSWORTH AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,W DEVON AVE & N LAKEWOOD AVE,2016,600,38731,W DEVON AVE & N LAKEWOOD AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,W FARRAGUT AVE & N CLARK ST,2016,600,38732,W FARRAGUT AVE & N CLARK ST
48,Left-Turn Arrow Menu,N ASHLAND AVE & W FOSTER AVE,2016,31335.45,38733,N ASHLAND AVE & W FOSTER AVE
48,Street Bump Outs Menu,N WINTHROP AVE & W ARGYLE ST,2016,10819.54,38740,N WINTHROP AVE & W ARGYLE ST
48,Arterial Street Bump Outs Menu,N WAYNE AVE & N RIDGE AVE,2017,30000,38770,N WAYNE AVE & N RIDGE AVE
48,Arterial Street Bump Outs Menu,N BROADWAY & W DEVON AVE,2017,125000,38771,N BROADWAY & W DEVON AVE
48,Dog Friendly Area - Lincoln Park at Bryn Mawr Avenue,W BRYN MAWR AVE & N LSD BRYN MAWR AV XR,2017,33900,38778,W BRYN MAWR AVE & N LSD BRYN MAWR AV XR
48,Floodlight Menu,N WINTHROP AVE & W WINONA ST,2017,900,38779,N WINTHROP AVE & W WINONA ST
48,In-Road State Law Stop For Pedestrians Signs Menu,W DEVON AVE & N BOSWORTH AVE,2017,5000,38780,W DEVON AVE & N BOSWORTH AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,W FARRAGUT AVE & N CLARK ST,2017,350,38781,W FARRAGUT AVE & N CLARK ST
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W OLIVE AVE,2017,600,38782,N CLARK ST & W OLIVE AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W HOLLYWOOD AVE,2017,600,38783,N CLARK ST & W HOLLYWOOD AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W RASCHER AVE,2017,600,38784,N CLARK ST & W RASCHER AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,N CLARK ST & W SUMMERDALE AVE,2017,600,38785,N CLARK ST & W SUMMERDALE AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,W DEVON AVE & N WAYNE AVE,2017,600,38786,W DEVON AVE & N WAYNE AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,W DEVON AVE & N LAKEWOOD AVE,2017,350,38787,W DEVON AVE & N LAKEWOOD AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,W DEVON AVE & N BOSWORTH AVE,2017,600,38788,W DEVON AVE & N BOSWORTH AVE
48,Miscellaneous CDOT Projects,W ARDMORE AVE & N SHERIDAN RD,2017,3315.25,38789,W ARDMORE AVE & N SHERIDAN RD
48,Mural at Berwyn/LSD Viaduct,W BERWYN AVE & N SHERIDAN RD,2017,25000,38790,W BERWYN AVE & N SHERIDAN RD
48,Pavement Markings Menu,N SHERIDAN RD & W ARDMORE AVE,2017,1700,38792,N SHERIDAN RD & W ARDMORE AVE
48,Pedestrian Refuge Island Menu,W HOOD AVE & N BROADWAY,2017,60000,38793,W HOOD AVE & N BROADWAY
48,Pedestrian Refuge Island Menu,W NORWOOD ST & N BROADWAY,2017,60000,38794,W NORWOOD ST & N BROADWAY
48,Pedestrian Refuge Island Menu,W ROSEDALE AVE & N BROADWAY,2017,60000,38795,W ROSEDALE AVE & N BROADWAY
48,Sidewalk Menu,W THOME AVE & N GLENWOOD AVE,2017,25547.54,38798,W THOME AVE & N GLENWOOD AVE
48,Sidewalk Menu,N BROADWAY & W THORNDALE AVE,2017,5051.18,38801,N BROADWAY & W THORNDALE AVE
48,Street Bump Outs Menu,N WAYNE AVE & W HOLLYWOOD AVE,2017,21549.15,38809,N WAYNE AVE & W HOLLYWOOD AVE
48,Street Bump Outs Menu,W THORNDALE AVE & N CLARK ST,2017,23230.93,38810,W THORNDALE AVE & N CLARK ST
48,Arterial Street Bump Outs Menu,N WAYNE AVE & N RIDGE AVE,2018,8386.45,38833,N WAYNE AVE & N RIDGE AVE
48,High Definition Camera Menu,W ARGYLE ST & N WINTHROP AVE,2018,27011,38855,W ARGYLE ST & N WINTHROP AVE
48,Street Bump Outs Menu,N GLENWOOD AVE & W GREGORY ST,2018,15000,38871,N GLENWOOD AVE & W GREGORY ST
48,Street Bump Outs Menu,W THORNDALE AVE & N GREENVIEW AVE,2018,10541,38872,W THORNDALE AVE & N GREENVIEW AVE
48,Street Resurfacing Menu,W BRYN MAWR AVE & N SHERIDAN RD,2018,90000,38879,W BRYN MAWR AVE & N SHERIDAN RD
48,Street Traffic Circle Menu,W BERWYN AVE & N GLENWOOD AVE,2018,8796,38880,W BERWYN AVE & N GLENWOOD AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,W DEVON AVE & N WAYNE AVE,2019,600,38915,W DEVON AVE & N WAYNE AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,N BOSWORTH AVE & W DEVON AVE,2019,600,38916,N BOSWORTH AVE & W DEVON AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,N WAYNE AVE & W FOSTER AVE,2019,600,38917,N WAYNE AVE & W FOSTER AVE
48,In-Road State Law Stop For Pedestrians Signs Menu,W SUMMERDALE AVE & N CLARK ST,2019,600,38918,W SUMMERDALE AVE & N CLARK ST
48,In-Road State Law Stop For Pedestrians Signs Menu,W RASCHER AVE & N CLARK ST,2019,600,38919,W RASCHER AVE & N CLARK ST
48,Pavement Markings Menu,N BROADWAY & W WINONA ST,2019,5000,38920,N BROADWAY & W WINONA ST
48,Pedestrian Refuge Island Menu,N RIDGE AVE & W HOLLYWOOD AVE,2019,81500,38921,N RIDGE AVE & W HOLLYWOOD AVE
48,Street Bump Outs Menu,W GRANVILLE AVE & N GREENVIEW AVE,2019,6258.25,38937,W GRANVILLE AVE & N GREENVIEW AVE
48,Arterial Street Bump Outs Menu,W FOSTER AVE & N KENMORE AVE,2020,50000,38960,W FOSTER AVE & N KENMORE AVE
48,Street Bump Outs Menu,W BERWYN AVE & N MAGNOLIA AVE,2020,15000,38969,W BERWYN AVE & N MAGNOLIA AVE
48,1 LPR W/O Existing Camera: Hollywood & Kenmore,W HOLLYWOOD AVE & N KENMORE AVE,2021,27410,38979,W HOLLYWOOD AVE & N KENMORE AVE
48,1 LPR W/O Existing Camera: Hollywood & Kenmore NE Corner,W HOLLYWOOD AVE & N KENMORE AVE,2021,27410,38980,W HOLLYWOOD AVE & N KENMORE AVE
48,1 POD Camera,W HOLLYWOOD AVE & N WINTHROP AVE,2021,24776,38981,W HOLLYWOOD AVE & N WINTHROP AVE
48,LPR with Existing Camera at Hollywood and Kenmore,W HOLLYWOOD AVE & N KENMORE AVE,2021,10791,38989,W HOLLYWOOD AVE & N KENMORE AVE
48,OEMC Camera Project,N BROADWAY & W DEVON AVE,2021,99538.27,38990,N BROADWAY & W DEVON AVE
48,Sidewalk Menu,W BRYN MAWR AVE & N GLENWOOD AVE,2021,63191.83,39003,W BRYN MAWR AVE & N GLENWOOD AVE
48,Street Bump Outs Menu,W BERWYN AVE & N MAGNOLIA AVE,2021,5887.02,39004,W BERWYN AVE & N MAGNOLIA AVE
48,Street Light Pole for High Definition Camera Menu,W BALMORAL AVE & N KENMORE AVE,2021,6000,39006,W BALMORAL AVE & N KENMORE AVE
48,Street Traffic Circle Menu,N WAYNE AVE & W CATALPA AVE,2021,12147.53,39018,N WAYNE AVE & W CATALPA AVE
48,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W HOLLYWOOD AVE,2022,600,39031,N CLARK ST & W HOLLYWOOD AVE
48,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W RASCHER AVE,2022,600,39032,N CLARK ST & W RASCHER AVE
48,In-Road State Law Stop For Pedestrians Sign Menu,N CLARK ST & W SUMMERDALE AVE,2022,600,39033,N CLARK ST & W SUMMERDALE AVE
49,Miscellaneous-CDOT,Greenview & Greenleaf,2008,1300,39173,Greenview & Greenleaf
49,Miscellaneous-CDOT,Clark & Farwell,2008,2600,39174,Clark & Farwell
49,Miscellaneous-CDOT,N ROGERS AV & N ASHLAND AV,2009,1000,39204,N ROGERS AV & N ASHLAND AV
