"ward","type","location","year","est_cost","main_street","from_street","to_street","from_intersection","to_intersection"
17,"Street Resurfacing Menu","ON S FAIRFIELD AVE FROM W 70TH ST (7000 S) TO W 71ST ST (7100 S)",2016,47076.53,"S FAIRFIELD AVE","W 70TH ST ","W 71ST ST ","S FAIRFIELD AVE and W 70TH ST ","S FAIRFIELD AVE and W 71ST ST "
17,"Street Resurfacing Menu","ON W LITHUANIAN PLAZA CT FROM S WASHTENAW AVE (2700 W) TO S FAIRFIELD AVE (2730 W)",2016,42513.69,"W LITHUANIAN PLAZA CT","S WASHTENAW AVE ","S FAIRFIELD AVE ","W LITHUANIAN PLAZA CT and S WASHTENAW AVE ","W LITHUANIAN PLAZA CT and S FAIRFIELD AVE "
17,"Street Resurfacing Menu","ON W 78TH ST FROM S ASHLAND AVE (1600 W) TO S DAMEN AVE (2000 W)",2016,168619.5,"W 78TH ST","S ASHLAND AVE ","S DAMEN AVE ","W 78TH ST and S ASHLAND AVE ","W 78TH ST and S DAMEN AVE "
17,"Street Resurfacing Menu","ON W 70TH ST FROM S CALIFORNIA AVE (2800 W) TO S WESTERN AVE (2400 W)",2016,297763.19,"W 70TH ST","S CALIFORNIA AVE ","S WESTERN AVE ","W 70TH ST and S CALIFORNIA AVE ","W 70TH ST and S WESTERN AVE "
17,"Street Resurfacing Menu","ON S FAIRFIELD AVE FROM W LITHUANIAN PLAZA CT (6900 S) TO W 70TH ST (7000 S)",2016,46368.69,"S FAIRFIELD AVE","W LITHUANIAN PLAZA CT ","W 70TH ST ","S FAIRFIELD AVE and W LITHUANIAN PLAZA CT ","S FAIRFIELD AVE and W 70TH ST "
17,"Street Resurfacing Menu","ON W 66TH ST FROM S CALIFORNIA AVE (2800 W) TO S FAIRFIELD AVE (2730 W)",2016,15194.41,"W 66TH ST","S CALIFORNIA AVE ","S FAIRFIELD AVE ","W 66TH ST and S CALIFORNIA AVE ","W 66TH ST and S FAIRFIELD AVE "
17,"Street Resurfacing Menu","ON W 66TH ST FROM S TALMAN AVE (2630 W) TO S WASHTENAW AVE (2700 W)",2016,49022.57,"W 66TH ST","S TALMAN AVE ","S WASHTENAW AVE ","W 66TH ST and S TALMAN AVE ","W 66TH ST and S WASHTENAW AVE "
17,"Street Resurfacing Menu","ON S WOOD ST FROM W 71ST ST (7100 S) TO W 72ND ST (7200 S)",2016,52508.53,"S WOOD ST","W 71ST ST ","W 72ND ST ","S WOOD ST and W 71ST ST ","S WOOD ST and W 72ND ST "
17,"Street Resurfacing Menu","ON W 78TH ST FROM S HALSTED ST (800 W) TO S EMERALD AVE (730 W)",2016,29622.87,"W 78TH ST","S HALSTED ST ","S EMERALD AVE ","W 78TH ST and S HALSTED ST ","W 78TH ST and S EMERALD AVE "
17,"Street Resurfacing Menu","ON S NORMAL AVE FROM W 76TH ST (7600 S) TO W 79TH ST (7900 S)",2016,168475.4,"S NORMAL AVE","W 76TH ST ","W 79TH ST ","S NORMAL AVE and W 76TH ST ","S NORMAL AVE and W 79TH ST "
17,"Street Resurfacing Menu","ON W 72ND ST FROM S HONORE ST (1830 W) TO S WINCHESTER AVE (1930 W)",2016,14700.72,"W 72ND ST","S HONORE ST ","S WINCHESTER AVE ","W 72ND ST and S HONORE ST ","W 72ND ST and S WINCHESTER AVE "
17,"Street Resurfacing Menu","ON S CHRISTIANA AVE FROM W 71ST ST (7100 S) TO W 72ND ST (7200 S)",2016,44513.18,"S CHRISTIANA AVE","W 71ST ST ","W 72ND ST ","S CHRISTIANA AVE and W 71ST ST ","S CHRISTIANA AVE and W 72ND ST "
17,"Street Light Upgrade Menu","ON S PAULINA ST FROM W 72ND ST (7200 S) TO W 73RD ST (7300 S)",2017,1500,"S PAULINA ST","W 72ND ST ","W 73RD ST ","S PAULINA ST and W 72ND ST ","S PAULINA ST and W 73RD ST "
17,"Street Resurfacing Menu (1-5)","ON W 75TH PL FROM S ASHLAND AVE (1600 W) TO S PAULINA ST (1700 W)",2017,47436.43,"W 75TH PL","S ASHLAND AVE ","S PAULINA ST ","W 75TH PL and S ASHLAND AVE ","W 75TH PL and S PAULINA ST "
17,"Street Resurfacing Menu","ON W 72ND PL FROM S ST LOUIS AVE (3500 W) TO S HOMAN AVE (3400 W)",2017,103919.06,"W 72ND PL","S ST LOUIS AVE ","S HOMAN AVE ","W 72ND PL and S ST LOUIS AVE ","W 72ND PL and S HOMAN AVE "
17,"Street Resurfacing Menu","ON S WASHTENAW AVE FROM W LITHUANIAN PLAZA CT (6900 S) TO W 70TH ST (7000 S)",2017,54439.14,"S WASHTENAW AVE","W LITHUANIAN PLAZA CT ","W 70TH ST ","S WASHTENAW AVE and W LITHUANIAN PLAZA CT ","S WASHTENAW AVE and W 70TH ST "
17,"Street Resurfacing Menu","ON W 75TH PL FROM S PAULINA ST (1700 W) TO S WOOD ST (1800 W)",2017,85409.11,"W 75TH PL","S PAULINA ST ","S WOOD ST ","W 75TH PL and S PAULINA ST ","W 75TH PL and S WOOD ST "
17,"Street Resurfacing Menu","ON S NORMAL AVE FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S)",2017,61966.03,"S NORMAL AVE","W 80TH ST ","W 81ST ST ","S NORMAL AVE and W 80TH ST ","S NORMAL AVE and W 81ST ST "
17,"Street Resurfacing Menu","ON W 72ND ST FROM S HONORE ST (1830 W) TO S WINCHESTER AVE (1930 W)",2017,36367.34,"W 72ND ST","S HONORE ST ","S WINCHESTER AVE ","W 72ND ST and S HONORE ST ","W 72ND ST and S WINCHESTER AVE "
17,"Street Resurfacing Menu","ON W 68TH ST FROM S WASHTENAW AVE (2700 W) TO S TALMAN AVE (2630 W)",2017,36953.78,"W 68TH ST","S WASHTENAW AVE ","S TALMAN AVE ","W 68TH ST and S WASHTENAW AVE ","W 68TH ST and S TALMAN AVE "
17,"Street Resurfacing Menu","ON S EGGLESTON AVE FROM W 76TH ST (7600 S) TO W 79TH ST (7900 S)",2017,140319.8,"S EGGLESTON AVE","W 76TH ST ","W 79TH ST ","S EGGLESTON AVE and W 76TH ST ","S EGGLESTON AVE and W 79TH ST "
17,"Street Resurfacing Menu","ON W 80TH ST FROM S MAY ST (1130 W) TO S PEORIA ST (900 W)",2017,64710.05,"W 80TH ST","S MAY ST ","S PEORIA ST ","W 80TH ST and S MAY ST ","W 80TH ST and S PEORIA ST "
17,"Street Resurfacing Menu","ON S WASHTENAW AVE FROM W 70TH ST (7000 S) TO W 71ST ST (7100 S)",2017,49288.79,"S WASHTENAW AVE","W 70TH ST ","W 71ST ST ","S WASHTENAW AVE and W 70TH ST ","S WASHTENAW AVE and W 71ST ST "
17,"Street Resurfacing Menu","ON S HOYNE AVE FROM W 71ST ST (7100 S) TO W 71ST PL (7130 S)",2017,18594.66,"S HOYNE AVE","W 71ST ST ","W 71ST PL ","S HOYNE AVE and W 71ST ST ","S HOYNE AVE and W 71ST PL "
17,"Street Resurfacing Menu","ON E 80TH ST FROM S WINCHESTER AVE (1930 W) TO S DAMEN AVE (2000 W)",2017,26727.01,"E 80TH ST","S WINCHESTER AVE ","S DAMEN AVE ","E 80TH ST and S WINCHESTER AVE ","E 80TH ST and S DAMEN AVE "
17,"Street Resurfacing Menu","ON E 70TH ST FROM S BELL AVE (2230 W) TO S WESTERN AVE (2400 W)",2017,70146.45,"E 70TH ST","S BELL AVE ","S WESTERN AVE ","E 70TH ST and S BELL AVE ","E 70TH ST and S WESTERN AVE "
17,"Alley Apron Menu","ON W 81ST ST FROM S WINCHESTER AVE (1930 W) TO S WOLCOTT AVE (1900 W)",2018,33131.36,"W 81ST ST","S WINCHESTER AVE ","S WOLCOTT AVE ","W 81ST ST and S WINCHESTER AVE ","W 81ST ST and S WOLCOTT AVE "
17,"Curb & Gutter Menu","ON S HARVARD AVE FROM W 76TH ST (7600 S) TO S VINCENNES AVE (7700 S)",2018,24832.76,"S HARVARD AVE","W 76TH ST ","S VINCENNES AVE ","S HARVARD AVE and W 76TH ST ","S HARVARD AVE and S VINCENNES AVE "
17,"Street Resurfacing Menu (1-5)","ON S SACRAMENTO AVE FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S)",2018,47705.77,"S SACRAMENTO AVE","W 65TH ST ","AVE FROM W 65TH ST  TO W 66TH ST ","S SACRAMENTO AVE and W 65TH ST ","S SACRAMENTO AVE and AVE FROM W 65TH ST  TO W 66TH ST "
17,"Street Resurfacing Menu","ON S CHRISTIANA AVE FROM W 72ND ST (7200 S) TO W 73RD ST (7300 S)",2018,44755.42,"S CHRISTIANA AVE","W 72ND ST ","W 73RD ST ","S CHRISTIANA AVE and W 72ND ST ","S CHRISTIANA AVE and W 73RD ST "
17,"Street Resurfacing Menu","ON S HOYNE AVE FROM W 72ND ST (7200 S) TO W 72ND PL (7230 S)",2018,23281.93,"S HOYNE AVE","W 72ND ST ","W 72ND PL ","S HOYNE AVE and W 72ND ST ","S HOYNE AVE and W 72ND PL "
17,"Street Resurfacing Menu","ON S UNION AVE FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S)",2018,41226.43,"S UNION AVE","W 79TH ST ","W 80TH ST ","S UNION AVE and W 79TH ST ","S UNION AVE and W 80TH ST "
17,"Street Resurfacing Menu","ON S ALBANY AVE FROM W 63RD ST (6300 S) TO W 65TH ST (6500 S)",2018,98729.17,"S ALBANY AVE","W 63RD ST ","W 65TH ST ","S ALBANY AVE and W 63RD ST ","S ALBANY AVE and W 65TH ST "
17,"Street Resurfacing Menu","ON S ALBANY AVE FROM W 66TH ST (6600 S) TO W MARQUETTE RD (6700 S)",2018,69759.68,"S ALBANY AVE","W 66TH ST ","W MARQUETTE RD ","S ALBANY AVE and W 66TH ST ","S ALBANY AVE and W MARQUETTE RD "
17,"Street Resurfacing Menu","ON S HONORE ST FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S)",2018,52070.85,"S HONORE ST","W 79TH ST ","W 80TH ST ","S HONORE ST and W 79TH ST ","S HONORE ST and W 80TH ST "
17,"Street Resurfacing Menu","ON S YALE AVE FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S)",2018,757.82,"S YALE AVE","W 80TH ST ","W 81ST ST ","S YALE AVE and W 80TH ST ","S YALE AVE and W 81ST ST "
17,"Street Speed Hump Menu","ON S ALBANY AVE FROM W 66TH ST (6600 S) TO W MARQUETTE RD (6700 S)",2018,3700,"S ALBANY AVE","W 66TH ST ","W MARQUETTE RD ","S ALBANY AVE and W 66TH ST ","S ALBANY AVE and W MARQUETTE RD "
17,"Street Speed Hump Menu","ON W 69TH PL FROM S DAMEN AVE (2000 W) TO S HOYNE AVE (2100 W)",2018,3700,"W 69TH PL","S DAMEN AVE ","S HOYNE AVE ","W 69TH PL and S DAMEN AVE ","W 69TH PL and S HOYNE AVE "
17,"Street Resurfacing Menu (1-5)","ON E 81ST ST FROM S LAFAYETTE AVE (30 W) TO S PERRY AVE (100 W)",2019,21478.94,"E 81ST ST","S LAFAYETTE AVE ","S PERRY AVE ","E 81ST ST and S LAFAYETTE AVE ","E 81ST ST and S PERRY AVE "
17,"Street Resurfacing Menu","ON S LA SALLE ST FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S)",2019,52851.58,"S LA SALLE ST","W 79TH ST ","W 80TH ST ","S LA SALLE ST and W 79TH ST ","S LA SALLE ST and W 80TH ST "
17,"Street Resurfacing Menu","ON S PRINCETON AVE FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S)",2019,53508.14,"S PRINCETON AVE","W 79TH ST ","W 80TH ST ","S PRINCETON AVE and W 79TH ST ","S PRINCETON AVE and W 80TH ST "
17,"Street Resurfacing Menu","ON S YALE AVE FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S)",2019,48784.69,"S YALE AVE","W 79TH ST ","W 80TH ST ","S YALE AVE and W 79TH ST ","S YALE AVE and W 80TH ST "
17,"Street Resurfacing Menu","ON S GREEN ST FROM W 75TH ST (7500 S) TO W 76TH ST (7600 S)",2019,47810.1,"S GREEN ST","W 75TH ST ","W 76TH ST ","S GREEN ST and W 75TH ST ","S GREEN ST and W 76TH ST "
17,"Street Resurfacing Menu","ON S HERMITAGE AVE FROM W 75TH PL (7520 S) TO W 78TH ST (7800 S)",2019,105209.64,"S HERMITAGE AVE","W 75TH PL ","W 78TH ST ","S HERMITAGE AVE and W 75TH PL ","S HERMITAGE AVE and W 78TH ST "
17,"Street Resurfacing Menu","ON S GREEN ST FROM W 78TH ST (7800 S) TO W 79TH ST (7900 S)",2019,53719.46,"S GREEN ST","W 78TH ST ","W 79TH ST ","S GREEN ST and W 78TH ST ","S GREEN ST and W 79TH ST "
17,"Street Resurfacing Menu","ON S YALE AVE FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S)",2019,46373.83,"S YALE AVE","W 80TH ST ","W 81ST ST ","S YALE AVE and W 80TH ST ","S YALE AVE and W 81ST ST "
17,"Street Resurfacing Menu","ON S LA SALLE ST FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S)",2019,51972.34,"S LA SALLE ST","W 80TH ST ","W 81ST ST ","S LA SALLE ST and W 80TH ST ","S LA SALLE ST and W 81ST ST "
17,"Street Resurfacing Menu","ON S SPAULDING AVE FROM W 65TH ST (6500 S) TO W 66TH ST (6600 S)",2019,52969.74,"S SPAULDING AVE","W 65TH ST ","W 66TH ST ","S SPAULDING AVE and W 65TH ST ","S SPAULDING AVE and W 66TH ST "
17,"Street Resurfacing Menu","ON S TROY ST FROM W 63RD ST (6300 S) TO W 64TH ST (6400 S)",2019,39119.96,"S TROY ST","W 63RD ST ","W 64TH ST ","S TROY ST and W 63RD ST ","S TROY ST and W 64TH ST "
17,"Street Resurfacing Menu","ON S WASHTENAW AVE FROM W MARQUETTE RD (6700 S) TO W LITHUANIAN PLAZA CT (6900 S)",2019,87826.14,"S WASHTENAW AVE","W MARQUETTE RD ","W LITHUANIAN PLAZA CT ","S WASHTENAW AVE and W MARQUETTE RD ","S WASHTENAW AVE and W LITHUANIAN PLAZA CT "
17,"Street Speed Hump Menu","ON S HOMAN AVE FROM W 72ND ST (7200 S) TO W 73RD ST (7300 S)",2019,4700,"S HOMAN AVE","W 72ND ST ","W 73RD ST ","S HOMAN AVE and W 72ND ST ","S HOMAN AVE and W 73RD ST "
17,"Alley Apron Menu","ON W 80TH ST FROM S YALE AVE (230 W) TO S PRINCETON AVE (300 W)",2020,57013.19,"W 80TH ST","S YALE AVE ","S PRINCETON AVE ","W 80TH ST and S YALE AVE ","W 80TH ST and S PRINCETON AVE "
17,"Alley Apron Menu","ON W 80TH ST FROM S WINCHESTER AVE (1930 W) TO S WOLCOTT AVE (1900 W)",2020,31575.16,"W 80TH ST","S WINCHESTER AVE ","S WOLCOTT AVE ","W 80TH ST and S WINCHESTER AVE ","W 80TH ST and S WOLCOTT AVE "
17,"Sidewalk Menu","ON W 76TH ST FROM S YALE AVE (250 W) TO S WENTWORTH AVE (200 W)",2020,61110.01,"W 76TH ST","S YALE AVE ","S WENTWORTH AVE ","W 76TH ST and S YALE AVE ","W 76TH ST and S WENTWORTH AVE "
17,"Street Resurfacing Menu","ON S GREEN ST FROM W 76TH ST (7600 S) TO W 78TH ST (7800 S)",2020,142197.87,"S GREEN ST","W 76TH ST ","W 78TH ST ","S GREEN ST and W 76TH ST ","S GREEN ST and W 78TH ST "
17,"Street Resurfacing Menu","ON S ROCKWELL ST FROM W 70TH ST (7000 S) TO W 71ST ST (7100 S)",2020,52084.25,"S ROCKWELL ST","W 70TH ST ","W 71ST ST ","S ROCKWELL ST and W 70TH ST ","S ROCKWELL ST and W 71ST ST "
17,"Street Resurfacing Menu","ON S WOLCOTT AVE FROM W 76TH ST (7600 S) TO W 77TH ST (7700 S)",2020,68272.91,"S WOLCOTT AVE","W 76TH ST ","W 77TH ST ","S WOLCOTT AVE and W 76TH ST ","S WOLCOTT AVE and W 77TH ST "
17,"Street Resurfacing Menu","ON S HONORE ST FROM W 81ST ST (8100 S) TO W 82ND ST (8200 S)",2020,58636.66,"S HONORE ST","W 81ST ST ","W 82ND ST ","S HONORE ST and W 81ST ST ","S HONORE ST and W 82ND ST "
17,"Street Resurfacing Menu","ON S WENTWORTH AVE FROM W 79TH ST (7900 S) TO W 81ST ST (8100 S)",2020,130970.97,"S WENTWORTH AVE","W 79TH ST ","W 81ST ST ","S WENTWORTH AVE and W 79TH ST ","S WENTWORTH AVE and W 81ST ST "
17,"Street Resurfacing Menu","ON W 66TH ST FROM S MOZART ST (2830 W) TO S FRANCISCO AVE (2900 W)",2020,24505.98,"W 66TH ST","S MOZART ST ","S FRANCISCO AVE ","W 66TH ST and S MOZART ST ","W 66TH ST and S FRANCISCO AVE "
17,"Street Resurfacing Menu","ON S WASHTENAW AVE FROM W MARQUETTE RD (6700 S) TO W LITHUANIAN PLAZA CT (6900 S)",2020,48796.05,"S WASHTENAW AVE","W MARQUETTE RD ","W LITHUANIAN PLAZA CT ","S WASHTENAW AVE and W MARQUETTE RD ","S WASHTENAW AVE and W LITHUANIAN PLAZA CT "
17,"Street Resurfacing Menu","ON S EMERALD AVE FROM W 76TH ST (7600 S) TO W 79TH ST (7900 S)",2020,96989.37,"S EMERALD AVE","W 76TH ST ","W 79TH ST ","S EMERALD AVE and W 76TH ST ","S EMERALD AVE and W 79TH ST "
17,"Street Speed Hump Menu","ON S WASHTENAW AVE FROM W LITHUANIAN PLAZA CT (6900 S) TO W 70TH ST (7000 S)",2020,4700,"S WASHTENAW AVE","W LITHUANIAN PLAZA CT ","W 70TH ST ","S WASHTENAW AVE and W LITHUANIAN PLAZA CT ","S WASHTENAW AVE and W 70TH ST "
17,"Street Speed Hump Menu","ON S FAIRFIELD AVE FROM W LITHUANIAN PLAZA CT (6900 S) TO W 70TH ST (7000 S)",2020,4700,"S FAIRFIELD AVE","W LITHUANIAN PLAZA CT ","W 70TH ST ","S FAIRFIELD AVE and W LITHUANIAN PLAZA CT ","S FAIRFIELD AVE and W 70TH ST "
17,"Street Speed Hump Menu","ON S MORGAN ST FROM W 75TH ST (7500 S) TO W 76TH ST (7600 S)",2020,4700,"S MORGAN ST","W 75TH ST ","W 76TH ST ","S MORGAN ST and W 75TH ST ","S MORGAN ST and W 76TH ST "
17,"Street Speed Hump Menu","ON S ABERDEEN ST FROM W 77TH ST (7700 S) TO W 78TH ST (7800 S)",2020,4700,"S ABERDEEN ST","W 77TH ST ","W 78TH ST ","S ABERDEEN ST and W 77TH ST ","S ABERDEEN ST and W 78TH ST "
17,"Alley Apron Menu","ON W 70TH ST FROM S MAPLEWOOD AVE (2530 W) TO S ROCKWELL ST (2600 W)",2021,30800.11,"W 70TH ST","S MAPLEWOOD AVE ","S ROCKWELL ST ","W 70TH ST and S MAPLEWOOD AVE ","W 70TH ST and S ROCKWELL ST "
17,"Alley Apron Menu","ON W 80TH ST FROM S WENTWORTH AVE (200 W) TO S YALE AVE (230 W)",2021,66770.08,"W 80TH ST","S WENTWORTH AVE ","S YALE AVE ","W 80TH ST and S WENTWORTH AVE ","W 80TH ST and S YALE AVE "
17,"Sidewalk Menu","ON S WENTWORTH AVE FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S)",2021,94293.49,"S WENTWORTH AVE","W 79TH ST ","W 80TH ST ","S WENTWORTH AVE and W 79TH ST ","S WENTWORTH AVE and W 80TH ST "
17,"Street Light Residential Staggered Piggy Back Menu","ON S WOOD ST FROM W 76TH ST (7600 S) TO W 78TH ST (7800 S)",2021,280000,"S WOOD ST","W 76TH ST ","W 78TH ST ","S WOOD ST and W 76TH ST ","S WOOD ST and W 78TH ST "
17,"Street Resurfacing Menu","ON S BISHOP ST FROM W 76TH ST (7600 S) TO W 79TH ST (7900 S)",2021,48859.37,"S BISHOP ST","W 76TH ST ","W 79TH ST ","S BISHOP ST and W 76TH ST ","S BISHOP ST and W 79TH ST "
17,"Street Resurfacing Menu","ON S ELIZABETH ST FROM W MARQUETTE RD (6700 S) TO W 69TH ST (6900 S)",2021,98536.54,"S ELIZABETH ST","W MARQUETTE RD ","W 69TH ST ","S ELIZABETH ST and W MARQUETTE RD ","S ELIZABETH ST and W 69TH ST "
17,"Street Resurfacing Menu","ON S HARVARD AVE FROM W 79TH ST (7900 S) TO W 81ST ST (8100 S)",2021,110365.63,"S HARVARD AVE","W 79TH ST ","W 81ST ST ","S HARVARD AVE and W 79TH ST ","S HARVARD AVE and W 81ST ST "
17,"Street Resurfacing Menu","ON S HONORE ST FROM W 76TH ST (7600 S) TO W 79TH ST (7900 S)",2021,150757.47,"S HONORE ST","W 76TH ST ","W 79TH ST ","S HONORE ST and W 76TH ST ","S HONORE ST and W 79TH ST "
17,"Street Resurfacing Menu","ON S PAULINA ST FROM W 77TH ST (7700 S) TO W 78TH ST (7800 S)",2021,46310.21,"S PAULINA ST","W 77TH ST ","W 78TH ST ","S PAULINA ST and W 77TH ST ","S PAULINA ST and W 78TH ST "
17,"Street Resurfacing Menu","ON S STEWART AVE FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S)",2021,60603.63,"S STEWART AVE","W 80TH ST ","W 81ST ST ","S STEWART AVE and W 80TH ST ","S STEWART AVE and W 81ST ST "
17,"Street Resurfacing Menu","ON S THROOP ST FROM W 68TH ST (6800 S) TO W 69TH ST (6900 S)",2021,50044.09,"S THROOP ST","W 68TH ST ","W 69TH ST ","S THROOP ST and W 68TH ST ","S THROOP ST and W 69TH ST "
17,"Street Resurfacing Menu","ON S WOLCOTT AVE FROM W 78TH ST (7800 S) TO W 79TH ST (7900 S)",2021,52599.97,"S WOLCOTT AVE","W 78TH ST ","W 79TH ST ","S WOLCOTT AVE and W 78TH ST ","S WOLCOTT AVE and W 79TH ST "
17,"Street Resurfacing Menu","ON W 71ST PL FROM 2150 W TO S HOYNE AVE (2100 W)",2021,18385.51,"W 71ST PL","2150 W","S HOYNE AVE ","2150 W 71ST PL","W 71ST PL and S HOYNE AVE "
17,"Street Speed Hump Menu","ON S ABERDEEN ST FROM W 74TH ST (7400 S) TO W 75TH ST (7500 S)",2021,4700,"S ABERDEEN ST","W 74TH ST ","W 75TH ST ","S ABERDEEN ST and W 74TH ST ","S ABERDEEN ST and W 75TH ST "
17,"Street Speed Hump Menu","ON S BISHOP ST FROM W 77TH ST (7700 S) TO W 78TH ST (7800 S)",2021,4700,"S BISHOP ST","W 77TH ST ","W 78TH ST ","S BISHOP ST and W 77TH ST ","S BISHOP ST and W 78TH ST "
17,"Street Speed Hump Menu","ON S JUSTINE ST FROM W 70TH ST (7000 S) TO W 71ST ST (7100 S)",2021,4700,"S JUSTINE ST","W 70TH ST ","W 71ST ST ","S JUSTINE ST and W 70TH ST ","S JUSTINE ST and W 71ST ST "
17,"Street Speed Hump Menu","ON S SAWYER AVE FROM W 71ST ST (7100 S) TO W 72ND ST (7200 S)",2021,4700,"S SAWYER AVE","W 71ST ST ","W 72ND ST ","S SAWYER AVE and W 71ST ST ","S SAWYER AVE and W 72ND ST "
17,"Sidewalk Menu","ON S PAULINA ST FROM W 78TH ST (7800 S) TO W 79TH ST (7900 S)",2022,14755.39,"S PAULINA ST","W 78TH ST ","W 79TH ST ","S PAULINA ST and W 78TH ST ","S PAULINA ST and W 79TH ST "
17,"Sidewalk Menu","ON W 73RD PL FROM S ST LOUIS AVE (3500 W) TO S CENTRAL PARK AVE (3600 W)",2022,145250.51,"W 73RD PL","S ST LOUIS AVE ","S CENTRAL PARK AVE ","W 73RD PL and S ST LOUIS AVE ","W 73RD PL and S CENTRAL PARK AVE "
17,"Sidewalk Menu","ON W 73RD ST FROM S ST LOUIS AVE (3500 W) TO S CENTRAL PARK AVE (3600 W)",2022,79803.34,"W 73RD ST","S ST LOUIS AVE ","S CENTRAL PARK AVE ","W 73RD ST and S ST LOUIS AVE ","W 73RD ST and S CENTRAL PARK AVE "
17,"Sidewalk Menu","ON W 74TH ST FROM S ST LOUIS AVE (3500 W) TO S CENTRAL PARK AVE (3600 W)",2022,144598.26,"W 74TH ST","S ST LOUIS AVE ","S CENTRAL PARK AVE ","W 74TH ST and S ST LOUIS AVE ","W 74TH ST and S CENTRAL PARK AVE "
17,"Street Light Upgrade Menu","ON W 75TH ST FROM S OAKLEY AVE (2300 W) TO S WESTERN AVE (2400 W)",2022,1500,"W 75TH ST","S OAKLEY AVE ","S WESTERN AVE ","W 75TH ST and S OAKLEY AVE ","W 75TH ST and S WESTERN AVE "
17,"Street Resurfacing Menu","ON S BISHOP ST FROM W 76TH ST (7600 S) TO W 79TH ST (7900 S)",2022,105900.25,"S BISHOP ST","W 76TH ST ","W 79TH ST ","S BISHOP ST and W 76TH ST ","S BISHOP ST and W 79TH ST "
17,"Street Resurfacing Menu","ON S HERMITAGE AVE FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S)",2022,49608.24,"S HERMITAGE AVE","W 79TH ST ","W 80TH ST ","S HERMITAGE AVE and W 79TH ST ","S HERMITAGE AVE and W 80TH ST "
17,"Street Resurfacing Menu","ON S HERMITAGE AVE FROM W 81ST ST (8100 S) TO W 83RD ST (8300 S)",2022,97503.04,"S HERMITAGE AVE","W 81ST ST ","W 83RD ST ","S HERMITAGE AVE and W 81ST ST ","S HERMITAGE AVE and W 83RD ST "
17,"Street Resurfacing Menu","ON S PAULINA ST FROM W 68TH ST (6800 S) TO W 69TH ST (6900 S)",2022,58258.78,"S PAULINA ST","W 68TH ST ","W 69TH ST ","S PAULINA ST and W 68TH ST ","S PAULINA ST and W 69TH ST "
17,"Street Resurfacing Menu","ON S PAULINA ST FROM W 76TH ST (7600 S) TO W 77TH ST (7700 S)",2022,51173.4,"S PAULINA ST","W 76TH ST ","W 77TH ST ","S PAULINA ST and W 76TH ST ","S PAULINA ST and W 77TH ST "
17,"Street Resurfacing Menu","ON S PAULINA ST FROM W 78TH ST (7800 S) TO W 79TH ST (7900 S)",2022,50364.6,"S PAULINA ST","W 78TH ST ","W 79TH ST ","S PAULINA ST and W 78TH ST ","S PAULINA ST and W 79TH ST "
17,"Street Resurfacing Menu","ON S TALMAN AVE FROM W 68TH ST (6800 S) TO W LITHUANIAN PLAZA CT (6900 S)",2022,52763.15,"S TALMAN AVE","W 68TH ST ","W LITHUANIAN PLAZA CT ","S TALMAN AVE and W 68TH ST ","S TALMAN AVE and W LITHUANIAN PLAZA CT "
17,"Street Resurfacing Menu","ON S WINCHESTER AVE FROM W 80TH ST (8000 S) TO W 83RD ST (8300 S)",2022,160432.13,"S WINCHESTER AVE","W 80TH ST ","W 83RD ST ","S WINCHESTER AVE and W 80TH ST ","S WINCHESTER AVE and W 83RD ST "
17,"Street Resurfacing Menu","ON S WOLCOTT AVE FROM W 81ST ST (8100 S) TO W 83RD ST (8300 S)",2022,112641.87,"S WOLCOTT AVE","W 81ST ST ","W 83RD ST ","S WOLCOTT AVE and W 81ST ST ","S WOLCOTT AVE and W 83RD ST "
17,"Street Resurfacing Menu","ON S WOOD ST FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S)",2022,52871.94,"S WOOD ST","W 80TH ST ","W 81ST ST ","S WOOD ST and W 80TH ST ","S WOOD ST and W 81ST ST "
17,"Street Resurfacing Menu","ON W 71ST PL FROM S HOMAN AVE (3400 W) TO S ST LOUIS AVE (3500 W)",2022,54018.49,"W 71ST PL","S HOMAN AVE ","S ST LOUIS AVE ","W 71ST PL and S HOMAN AVE ","W 71ST PL and S ST LOUIS AVE "
17,"Street Resurfacing Menu","ON W 73RD PL FROM S ST LOUIS AVE (3500 W) TO S CENTRAL PARK AVE (3600 W)",2022,45256.64,"W 73RD PL","S ST LOUIS AVE ","S CENTRAL PARK AVE ","W 73RD PL and S ST LOUIS AVE ","W 73RD PL and S CENTRAL PARK AVE "
