"ward","type","location","year","est_cost","main_street","from_street","to_street","from_intersection","to_intersection"
1,"Alley Apron Menu","ON W CHARLESTON ST FROM 2424 W TO N WESTERN AV (2400 W)",2013,8877,"W CHARLESTON ST","2424 W","N WESTERN AV ","2424 W CHARLESTON ST","W CHARLESTON ST and N WESTERN AV "
1,"Alley Apron Menu","ON W WABANSIA AVE FROM 2645 W TO N ROCKWELL ST (2600 W)",2013,8581,"W WABANSIA AVE","2645 W","N ROCKWELL ST ","2645 W WABANSIA AVE","W WABANSIA AVE and N ROCKWELL ST "
1,"Alley Apron Menu","ON N CLAREMONT AVE FROM 1544 N TO W LE MOYNE ST (1500 N)",2013,10298,"N CLAREMONT AVE","1544 N","W LE MOYNE ST ","1544 N CLAREMONT AVE","N CLAREMONT AVE and W LE MOYNE ST "
1,"Alley Apron Menu","ON N MARSHFIELD AVE FROM 839 N TO W PEARSON ST (840 N)",2013,10004,"N MARSHFIELD AVE","839 N","W PEARSON ST ","839 N MARSHFIELD AVE","N MARSHFIELD AVE and W PEARSON ST "
1,"Bike Lane/Marked","ON N WOOD ST FROM W AUGUSTA BV (1000 N) TO N MILWAUKEE AV (1373 N)",2013,50000,"N WOOD ST","W AUGUSTA BV ","N MILWAUKEE AV ","N WOOD ST and W AUGUSTA BV ","N WOOD ST and N MILWAUKEE AV "
1,"Curb & Gutter Menu","ON W AUGUSTA BLVD FROM N FAIRFIELD AV (2732 W) TO N FAIRFIELD AV (2732 W)",2013,23400,"W AUGUSTA BLVD","N FAIRFIELD AV ","N FAIRFIELD AV ","W AUGUSTA BLVD and N FAIRFIELD AV ","W AUGUSTA BLVD and N FAIRFIELD AV "
1,"Curb & Gutter Menu","ON N WOOD ST FROM W AUGUSTA BV (1000 N) TO W CORTEZ ST (1040 N)",2013,2717,"N WOOD ST","W AUGUSTA BV ","W CORTEZ ST ","N WOOD ST and W AUGUSTA BV ","N WOOD ST and W CORTEZ ST "
1,"Curb & Gutter Menu","ON W BLOOMINGDALE AVE FROM N WASHTENAW AVE (2700 W) TO N TALMAN AVE (2630 W)",2013,7272,"W BLOOMINGDALE AVE","N WASHTENAW AVE ","N TALMAN AVE ","W BLOOMINGDALE AVE and N WASHTENAW AVE ","W BLOOMINGDALE AVE and N TALMAN AVE "
1,"Curb & Gutter Menu","ON W BLOOMINGDALE AVE FROM N TALMAN AV (2632 W) TO N WASHTENAW AV (2700 W)",2013,20659,"W BLOOMINGDALE AVE","N TALMAN AV ","N WASHTENAW AV ","W BLOOMINGDALE AVE and N TALMAN AV ","W BLOOMINGDALE AVE and N WASHTENAW AV "
1,"Sidewalk Menu","ON W CORTLAND ST FROM N WHIPPLE ST (3040 W) TO N ALBANY AVE (3100 W)",2013,9506,"W CORTLAND ST","N WHIPPLE ST ","N ALBANY AVE ","W CORTLAND ST and N WHIPPLE ST ","W CORTLAND ST and N ALBANY AVE "
1,"Sidewalk Menu","ON N TALMAN AVE FROM W WABANSIA AV (1700 N) TO W BLOOMINGDALE AV (1800 N)",2013,1597,"N TALMAN AVE","W WABANSIA AV ","W BLOOMINGDALE AV ","N TALMAN AVE and W WABANSIA AV ","N TALMAN AVE and W BLOOMINGDALE AV "
1,"Sidewalk Menu","ON W CORTLAND ST FROM N ALBANY AVE (3100 W) TO N WHIPPLE ST (3040 W)",2013,1098,"W CORTLAND ST","N ALBANY AVE ","N WHIPPLE ST ","W CORTLAND ST and N ALBANY AVE ","W CORTLAND ST and N WHIPPLE ST "
1,"Sidewalk Menu","ON N FAIRFIELD AVE FROM W ALTGELD ST (2500 N) TO Dead End (2720 N)",2013,3167,"N FAIRFIELD AVE","W ALTGELD ST ","2720 N","N FAIRFIELD AVE and W ALTGELD ST ","2720 N FAIRFIELD AVE"
1,"Sidewalk Menu","ON N ROCKWELL ST FROM W HOMER ST (1932 N) TO W ARMITAGE AV (2000 N)",2013,14261,"N ROCKWELL ST","W HOMER ST ","W ARMITAGE AV ","N ROCKWELL ST and W HOMER ST ","N ROCKWELL ST and W ARMITAGE AV "
1,"Sidewalk Menu","ON N HERMITAGE AVE FROM W WALTON ST (900 N) TO W AUGUSTA BLVD (1000 N)",2013,4962,"N HERMITAGE AVE","W WALTON ST ","W AUGUSTA BLVD ","N HERMITAGE AVE and W WALTON ST ","N HERMITAGE AVE and W AUGUSTA BLVD "
1,"Sidewalk Menu","ON W ELLEN ST FROM N HONORE ST (1822 W) TO N MARION CT (1838 W)",2013,1858,"W ELLEN ST","N HONORE ST ","N MARION CT ","W ELLEN ST and N HONORE ST ","W ELLEN ST and N MARION CT "
1,"Sidewalk Menu","ON W ELLEN ST FROM N MARION CT (1838 W) TO N HONORE ST (1822 W)",2013,1449,"W ELLEN ST","N MARION CT ","N HONORE ST ","W ELLEN ST and N MARION CT ","W ELLEN ST and N HONORE ST "
1,"Sidewalk Menu","ON W CHARLESTON ST FROM N WESTERN AVE (2400 W) TO N CAMPBELL AVE (2500 W)",2013,2845,"W CHARLESTON ST","N WESTERN AVE ","N CAMPBELL AVE ","W CHARLESTON ST and N WESTERN AVE ","W CHARLESTON ST and N CAMPBELL AVE "
1,"Street Resurfacing Menu","ON W THOMAS ST FROM N WESTERN AV (2400 W) TO N CAMPBELL AV (2500 W)",2013,37213,"W THOMAS ST","N WESTERN AV ","N CAMPBELL AV ","W THOMAS ST and N WESTERN AV ","W THOMAS ST and N CAMPBELL AV "
1,"Street Resurfacing Menu","ON W ST GEORGES CT FROM N MILWAUKEE AV (2740 W) TO N STAVE ST (2777 W)",2013,26437,"W ST GEORGES CT","N MILWAUKEE AV ","N STAVE ST ","W ST GEORGES CT and N MILWAUKEE AV ","W ST GEORGES CT and N STAVE ST "
1,"Street Resurfacing Menu","ON W SHAKESPEARE AVE FROM N CAMPBELL AV (2450 W) TO N MAPLEWOOD AV (2535 W)",2013,35894,"W SHAKESPEARE AVE","N CAMPBELL AV ","N MAPLEWOOD AV ","W SHAKESPEARE AVE and N CAMPBELL AV ","W SHAKESPEARE AVE and N MAPLEWOOD AV "
1,"Street Speed Hump Menu","ON N OAKLEY BLVD FROM W CORTEZ ST (1032 N) TO W DIVISION ST (1200 N)",2013,3700,"N OAKLEY BLVD","W CORTEZ ST ","W DIVISION ST ","N OAKLEY BLVD and W CORTEZ ST ","N OAKLEY BLVD and W DIVISION ST "
1,"Street Speed Hump Menu","ON W HADDON AVE FROM N WESTERN AV (2400 W) TO N CAMPBELL AV (2500 W)",2013,3700,"W HADDON AVE","N WESTERN AV ","N CAMPBELL AV ","W HADDON AVE and N WESTERN AV ","W HADDON AVE and N CAMPBELL AV "
1,"Street Speed Hump Menu","ON W CORTLAND ST FROM N ROCKWELL ST (2600 W) TO N CAMPBELL AV (2500 W)",2013,3700,"W CORTLAND ST","N ROCKWELL ST ","N CAMPBELL AV ","W CORTLAND ST and N ROCKWELL ST ","W CORTLAND ST and N CAMPBELL AV "
1,"Street Speed Hump Menu","ON W SHAKESPEARE AVE FROM N CAMPBELL AV (2450 W) TO N MAPLEWOOD AV (2535 W)",2013,3700,"W SHAKESPEARE AVE","N CAMPBELL AV ","N MAPLEWOOD AV ","W SHAKESPEARE AVE and N CAMPBELL AV ","W SHAKESPEARE AVE and N MAPLEWOOD AV "
1,"Street Speed Hump Menu","ON W ST GEORGES CT FROM N MILWAUKEE AV (2740 W) TO N STAVE ST (2777 W)",2013,1850,"W ST GEORGES CT","N MILWAUKEE AV ","N STAVE ST ","W ST GEORGES CT and N MILWAUKEE AV ","W ST GEORGES CT and N STAVE ST "
1,"Street Speed Hump Menu","ON W THOMAS ST FROM N WASHTENAW AV (2700 W) TO N CALIFORNIA AV (2800 W)",2013,3700,"W THOMAS ST","N WASHTENAW AV ","N CALIFORNIA AV ","W THOMAS ST and N WASHTENAW AV ","W THOMAS ST and N CALIFORNIA AV "
1,"Street Speed Hump Menu","ON W THOMAS ST FROM N WESTERN AV (2400 W) TO N CAMPBELL AV (2500 W)",2013,3700,"W THOMAS ST","N WESTERN AV ","N CAMPBELL AV ","W THOMAS ST and N WESTERN AV ","W THOMAS ST and N CAMPBELL AV "
1,"Street Speed Hump Menu","ON W CRYSTAL ST FROM N WOLCOTT AV (1900 W) TO N DAMEN AV (2000 W)",2013,3700,"W CRYSTAL ST","N WOLCOTT AV ","N DAMEN AV ","W CRYSTAL ST and N WOLCOTT AV ","W CRYSTAL ST and N DAMEN AV "
1,"Street Speed Hump Menu","ON N WASHTENAW AVE FROM W HADDON AV (1132 N) TO W THOMAS ST (1100 N)",2013,1850,"N WASHTENAW AVE","W HADDON AV ","W THOMAS ST ","N WASHTENAW AVE and W HADDON AV ","N WASHTENAW AVE and W THOMAS ST "
1,"Street Light Upgrade","ON N BISHOP ST FROM W GRAND AVE (500 N) TO W OHIO ST (600 N)",2013,700,"N BISHOP ST","W GRAND AVE ","W OHIO ST ","N BISHOP ST and W GRAND AVE ","N BISHOP ST and W OHIO ST "
1,"Curb & Gutter Menu","ON N ARMOUR ST FROM W HURON ST (700 N) TO W SUPERIOR ST (730 N)",2014,6079,"N ARMOUR ST","W HURON ST ","W SUPERIOR ST ","N ARMOUR ST and W HURON ST ","N ARMOUR ST and W SUPERIOR ST "
1,"Curb & Gutter Menu","ON N POINT ST FROM W CHANAY ST (2140 N) TO W FRANCIS PL (2100 N)",2014,12309,"N POINT ST","W CHANAY ST ","W FRANCIS PL ","N POINT ST and W CHANAY ST ","N POINT ST and W FRANCIS PL "
1,"Curb & Gutter Menu","ON N WESTERN AVE FROM W THOMAS ST (1100 N) TO W HADDON AVE (1130 N)",2014,6425,"N WESTERN AVE","W THOMAS ST ","W HADDON AVE ","N WESTERN AVE and W THOMAS ST ","N WESTERN AVE and W HADDON AVE "
1,"Diagonal Parking Menu","ON N RICHMOND ST FROM W WABANSIA AVE (1700 N) TO W NORTH AVE (1600 N)",2014,22247,"N RICHMOND ST","W WABANSIA AVE ","W NORTH AVE ","N RICHMOND ST and W WABANSIA AVE ","N RICHMOND ST and W NORTH AVE "
1,"Sidewalk Menu","ON W CHICAGO AVE FROM N HOYNE AVE (2100 W) TO N LEAVITT ST (2200 W)",2014,1803,"W CHICAGO AVE","N HOYNE AVE ","N LEAVITT ST ","W CHICAGO AVE and N HOYNE AVE ","W CHICAGO AVE and N LEAVITT ST "
1,"Sidewalk Menu","ON N HONORE ST FROM W HADDON AVE (1130 N) TO W DIVISION ST (1200 N)",2014,17555,"N HONORE ST","W HADDON AVE ","W DIVISION ST ","N HONORE ST and W HADDON AVE ","N HONORE ST and W DIVISION ST "
1,"Sidewalk Menu","ON N BISHOP ST FROM W ERIE ST (630 N) TO W OHIO ST (600 N)",2014,9089,"N BISHOP ST","W ERIE ST ","W OHIO ST ","N BISHOP ST and W ERIE ST ","N BISHOP ST and W OHIO ST "
1,"Sidewalk Menu","ON N CALIFORNIA AVE FROM W MCLEAN AVE (2040 N) TO W DICKENS AVE (2100 N)",2014,21427,"N CALIFORNIA AVE","W MCLEAN AVE ","W DICKENS AVE ","N CALIFORNIA AVE and W MCLEAN AVE ","N CALIFORNIA AVE and W DICKENS AVE "
