"ward","type","location","year","est_cost","id","start_address","end_address"
3,"Sidewalk Menu","4839-4841 S PRAIRIE AVE",2016,9832.82,2760,"4839 S PRAIRIE AVE","4841 S PRAIRIE AVE"
3,"Sidewalk Menu","4030-4036 S WABASH AVE",2016,15052.56,2762,"4030 S WABASH AVE","4036 S WABASH AVE"
3,"Sidewalk Menu","4500-4526 S PRAIRIE AVE",2017,15674.71,2800,"4500 S PRAIRIE AVE","4526 S PRAIRIE AVE"
3,"Alley Speed Hump Menu","1474-1532 S MICHIGAN AVE",2018,4200,2816,"1474 S MICHIGAN AVE","1532 S MICHIGAN AVE"
3,"Miscellaneous CDOT Projects","3729-3733 S GILES AVE",2018,300,2826,"3729 S GILES AVE","3733 S GILES AVE"
3,"Sidewalk Menu","145-153 W SWANN ST",2018,24726.84,2833,"145 W SWANN ST","153 W SWANN ST"
3,"Sidewalk Menu","3831-3847 S MICHIGAN AVE",2018,32506.48,2837,"3831 S MICHIGAN AVE","3847 S MICHIGAN AVE"
3,"Miscellaneous CDOT Projects","4215-4229 S STATE ST",2019,19841.84,2858,"4215 S STATE ST","4229 S STATE ST"
3,"Sidewalk Menu","5300-5330 S PRAIRIE AVE",2019,19126.34,2862,"5300 S PRAIRIE AVE","5330 S PRAIRIE AVE"
3,"Sidewalk Menu","1406-1444 S PRAIRIE AVE",2019,6835.92,2863,"1406 S PRAIRIE AVE","1444 S PRAIRIE AVE"
3,"Sidewalk Menu","1240-1330 S STATE ST",2019,33179.48,2868,"1240 S STATE ST","1330 S STATE ST"
3,"Sidewalk Menu","1240-1330 S STATE ST",2019,6300,2873,"1240 S STATE ST","1330 S STATE ST"
3,"Curb & Gutter Menu","3700-3714 S CALUMET AVE",2020,45000,2906,"3700 S CALUMET AVE","3714 S CALUMET AVE"
3,"Miscellaneous CDOT Projects","4600-4614 S VINCENNES AVE",2020,300,2911,"4600 S VINCENNES AVE","4614 S VINCENNES AVE"
3,"Miscellaneous CDOT Projects","4711-4755 S CALUMET AVE",2021,300,2941,"4711 S CALUMET AVE","4755 S CALUMET AVE"
3,"Miscellaneous CDOT Projects","4747-4759 S CALUMET AVE",2021,300,2943,"4747 S CALUMET AVE","4759 S CALUMET AVE"
3,"Miscellaneous CDOT Projects","600-608 E 47TH ST",2021,300,2948,"600 E 47TH ST","608 E 47TH ST"
3,"Sidewalk Menu","319-321 E 18TH ST",2021,3948.07,2950,"319 E 18TH ST","321 E 18TH ST"
3,"Miscellaneous CDOT Projects","221-231 E 43RD ST",2022,300,2998,"221 E 43RD ST","231 E 43RD ST"
4,"Miscellaneous CDOT Projects","4823-4833 S EVANS AVE",2016,414.54,3414,"4823 S EVANS AVE","4833 S EVANS AVE"
4,"Miscellaneous CDOT Projects","4238-4240 S LANGLEY AVE",2016,254.63,3415,"4238 S LANGLEY AVE","4240 S LANGLEY AVE"
4,"Sidewalk Menu","645-655 S CLARK ST",2016,16904.47,3418,"645 S CLARK ST","655 S CLARK ST"
4,"Street Resurfacing Menu","3941-4500 S DREXEL BLVD",2019,150000,3540,"3941 S DREXEL BLVD","4500 S DREXEL BLVD"
4,"Miscellaneous CDOT Projects","4736-4738 S INGLESIDE AVE",2021,150,3568,"4736 S INGLESIDE AVE","4738 S INGLESIDE AVE"
4,"Sidewalk Menu","662-700 E 46TH ST",2021,4986.8,3577,"662 E 46TH ST","700 E 46TH ST"
5,"Sidewalk Menu","6710-6722 S CONSTANCE AVE",2019,7178.76,4177,"6710 S CONSTANCE AVE","6722 S CONSTANCE AVE"
5,"Alley Apron Menu","5530-5532 S SHORE DR",2021,26407.52,4199,"5530 S SHORE DR","5532 S SHORE DR"
5,"Sidewalk Menu","6747-6759 S OGLESBY AVE",2021,30845.43,4203,"6747 S OGLESBY AVE","6759 S OGLESBY AVE"
6,"Sidewalk Menu","8009-8015 S WABASH AVE",2016,11435.21,4600,"8009 S WABASH AVE","8015 S WABASH AVE"
6,"Sidewalk Menu","6700-6712 S HALSTED ST",2017,23418.67,4629,"6700 S HALSTED ST","6712 S HALSTED ST"
6,"Alley Apron Menu","7446-7450 S PRAIRIE AVE",2018,20159.04,4647,"7446 S PRAIRIE AVE","7450 S PRAIRIE AVE"
6,"Sidewalk Menu","8621-8633 S PRAIRIE AVE",2021,31520.75,4729,"8621 S PRAIRIE AVE","8633 S PRAIRIE AVE"
6,"Curb & Gutter Menu","7911-7931 S LANGLEY AVE",2022,23080.56,4750,"7911 S LANGLEY AVE","7931 S LANGLEY AVE"
6,"Sidewalk Menu","631-635 E 88TH ST",2022,6662.63,4756,"631 E 88TH ST","635 E 88TH ST"
6,"Sidewalk Menu","7639-7643 S EBERHART AVE",2022,8244.19,4760,"7639 S EBERHART AVE","7643 S EBERHART AVE"
7,"Miscellaneous CDOT Projects","1701-1715 E 71ST ST",2021,26945.88,5390,"1701 E 71ST ST","1715 E 71ST ST"
7,"Sidewalk Menu","2402-2410 E 77TH ST",2021,22966.56,5397,"2402 E 77TH ST","2410 E 77TH ST"
7,"Sidewalk Menu","7644-7646 S CRANDON AVE",2021,5219.28,5400,"7644 S CRANDON AVE","7646 S CRANDON AVE"
8,"Sidewalk Menu","1738-1740 E 91ST PL",2016,12932.81,6012,"1738 E 91ST PL","1740 E 91ST PL"
8,"Sidewalk Menu","8315-8317 S OGLESBY AVE",2017,3299.45,6044,"8315 S OGLESBY AVE","8317 S OGLESBY AVE"
8,"Miscellaneous CDOT Projects","8142-8146 S DOBSON AVE",2021,450,6148,"8142 S DOBSON AVE","8146 S DOBSON AVE"
8,"Sidewalk Menu","2236-2238 E 82ND ST",2021,32539.38,6151,"2236 E 82ND ST","2238 E 82ND ST"
8,"Sidewalk Menu","8356-8358 S DANTE AVE",2021,28050.13,6153,"8356 S DANTE AVE","8358 S DANTE AVE"
8,"Street Light Pole Painting Menu","1738-1810 E 73RD ST",2021,1000,6156,"1738 E 73RD ST","1810 E 73RD ST"
9,"Sidewalk Menu","125-129 E 87TH ST",2020,20248.5,6840,"125 E 87TH ST","129 E 87TH ST"
10,"Miscellaneous-CDOT","10601-10643 Ewing",2006,16339,7215,"10601 Ewing","10643 Ewing"
10,"Sidewalk Menu","10632-10636 S MACKINAW AVE",2016,8794.43,7755,"10632 S MACKINAW AVE","10636 S MACKINAW AVE"
10,"Sidewalk Menu","13425-13433 S HOUSTON AVE",2016,11304.75,7761,"13425 S HOUSTON AVE","13433 S HOUSTON AVE"
10,"Sidewalk Menu","9839-9859 S OGLESBY AVE",2016,7314.27,7763,"9839 S OGLESBY AVE","9859 S OGLESBY AVE"
10,"Sidewalk Menu","10307-10309 S EWING AVE",2016,8816.2,7764,"10307 S EWING AVE","10309 S EWING AVE"
10,"Sidewalk Menu","10214-10216 S EWING AVE",2016,9654.45,7765,"10214 S EWING AVE","10216 S EWING AVE"
10,"Sidewalk Menu","10654-10656 S MACKINAW AVE",2016,5217.1,7771,"10654 S MACKINAW AVE","10656 S MACKINAW AVE"
10,"Sidewalk Menu","3551-3601 E 113TH ST",2017,10148.06,7786,"3551 E 113TH ST","3601 E 113TH ST"
10,"Sidewalk Menu","2800-2806 E 87TH ST",2017,30076.3,7793,"2800 E 87TH ST","2806 E 87TH ST"
10,"Sidewalk Menu","8553-8557 S EXCHANGE AVE",2017,44684.07,7799,"8553 S EXCHANGE AVE","8557 S EXCHANGE AVE"
10,"Sidewalk Menu","8553-8557 S EXCHANGE AVE",2017,3256.39,7804,"8553 S EXCHANGE AVE","8557 S EXCHANGE AVE"
10,"Sidewalk Menu","3515-3525 E 105TH ST",2018,11278,7826,"3515 E 105TH ST","3525 E 105TH ST"
10,"Sidewalk Menu","3603-3609 E 108TH ST",2018,12002,7827,"3603 E 108TH ST","3609 E 108TH ST"
10,"Sidewalk Menu","2925-2927 E 91ST ST",2018,39651,7831,"2925 E 91ST ST","2927 E 91ST ST"
10,"Sidewalk Menu","12944-12954 S MUSKEGON AVE",2018,18568,7832,"12944 S MUSKEGON AVE","12954 S MUSKEGON AVE"
10,"Sidewalk Menu","3702-3710 E 105TH ST",2018,16484,7835,"3702 E 105TH ST","3710 E 105TH ST"
10,"Sidewalk Menu","10954-10958 S AVENUE B",2018,20077,7836,"10954 S AVENUE B","10958 S AVENUE B"
10,"Sidewalk Menu","10517-10527 S BENSLEY AVE",2018,19102,7837,"10517 S BENSLEY AVE","10527 S BENSLEY AVE"
10,"Sidewalk Menu","3550-3558 E 97TH ST",2018,8889,7838,"3550 E 97TH ST","3558 E 97TH ST"
10,"Sidewalk Menu","2842-2850 E 90TH ST",2018,30427,7843,"2842 E 90TH ST","2850 E 90TH ST"
10,"Street Resurfacing Menu","9739-9745 S AVENUE N",2018,9074,7855,"9739 S AVENUE N","9745 S AVENUE N"
10,"Sidewalk Menu","2850-2862 E 94TH ST",2019,23787,7865,"2850 E 94TH ST","2862 E 94TH ST"
10,"Sidewalk Menu","2838-2840 E 94TH ST",2019,21374,7867,"2838 E 94TH ST","2840 E 94TH ST"
10,"Sidewalk Menu","2838-2840 E 94TH ST",2019,4066,7882,"2838 E 94TH ST","2840 E 94TH ST"
10,"Sidewalk Menu","13229-13249 S BRAINARD AVE",2019,26820,7886,"13229 S BRAINARD AVE","13249 S BRAINARD AVE"
10,"Sidewalk Menu","3013-3025 E 85TH ST",2021,16552.8,7960,"3013 E 85TH ST","3025 E 85TH ST"
10,"Sidewalk Menu","3548-3554 E 103RD ST",2021,1792.42,7963,"3548 E 103RD ST","3554 E 103RD ST"
10,"Street Resurfacing Menu","10940-10959 S AVENUE J",2021,16272.62,7975,"10940 S AVENUE J","10959 S AVENUE J"
10,"Sidewalk Menu","10357-10359 S AVENUE G",2022,13370.58,8013,"10357 S AVENUE G","10359 S AVENUE G"
10,"Sidewalk Menu","10642-10646 S AVENUE L",2022,16390.2,8017,"10642 S AVENUE L","10646 S AVENUE L"
10,"Sidewalk Menu","10647-10651 S AVENUE F",2022,5035.41,8018,"10647 S AVENUE F","10651 S AVENUE F"
10,"Sidewalk Menu","13501-13509 S BRANDON AVE",2022,44253.87,8026,"13501 S BRANDON AVE","13509 S BRANDON AVE"
10,"Sidewalk Menu","13532-13536 S MACKINAW AVE",2022,14191.03,8027,"13532 S MACKINAW AVE","13536 S MACKINAW AVE"
10,"Sidewalk Menu","9850-9852 S AVENUE H",2022,9646.5,8029,"9850 S AVENUE H","9852 S AVENUE H"
11,"Curb & Gutter Menu","2822-2828 S THROOP ST",2015,247,8468,"2822 S THROOP ST","2828 S THROOP ST"
11,"Curb & Gutter Menu","2822-2828 S THROOP ST",2016,7656.03,8539,"2822 S THROOP ST","2828 S THROOP ST"
11,"Sidewalk Menu","3826-3830 S NORMAL AVE",2017,5006.8,8580,"3826 S NORMAL AVE","3830 S NORMAL AVE"
11,"Sidewalk Menu","3531-3631 S NORMAL AVE",2017,51984.77,8581,"3531 S NORMAL AVE","3631 S NORMAL AVE"
11,"Curb & Gutter Menu","2714-2717 S BONFIELD ST",2020,62811.98,8691,"2714 S BONFIELD ST","2717 S BONFIELD ST"
11,"Curb & Gutter Menu","3543-3549 S EMERALD AVE",2020,20490.62,8695,"3543 S EMERALD AVE","3549 S EMERALD AVE"
11,"Sidewalk Menu","3143-3145 S EMERALD AVE",2020,1474.59,8706,"3143 S EMERALD AVE","3145 S EMERALD AVE"
11,"Street Resurfacing Menu","2959-2965 S THROOP ST",2020,118915.35,8711,"2959 S THROOP ST","2965 S THROOP ST"
11,"Curb & Gutter Menu","4405-4415 S EMERALD AVE",2021,27553.77,8721,"4405 S EMERALD AVE","4415 S EMERALD AVE"
11,"Sidewalk Menu","3036-3038 S BROAD ST",2022,4871.34,8782,"3036 S BROAD ST","3038 S BROAD ST"
11,"Sidewalk Menu","3136-3138 S NORMAL AVE",2022,11365.88,8784,"3136 S NORMAL AVE","3138 S NORMAL AVE"
12,"Miscellaneous-CDOT","4646-4658 S Talman",2010,3766,9133,"4646 S Talman","4658 S Talman"
12,"Sidewalk Menu","3121-3123 W 40TH PL",2016,5757.82,9400,"3121 W 40TH PL","3123 W 40TH PL"
12,"Sidewalk Menu","3444-3452 S WOOD ST",2016,8566.42,9403,"3444 S WOOD ST","3452 S WOOD ST"
12,"Sidewalk Menu","3536-3540 S HAMILTON AVE",2017,22778.37,9437,"3536 S HAMILTON AVE","3540 S HAMILTON AVE"
12,"Sidewalk Menu","3652-3654 S MARSHFIELD AVE",2017,7250.52,9442,"3652 S MARSHFIELD AVE","3654 S MARSHFIELD AVE"
12,"Sidewalk Menu","3336-3348 W 37TH PL",2018,5841.5,9515,"3336 W 37TH PL","3348 W 37TH PL"
12,"Sidewalk Menu","3833-3835 S WOLCOTT AVE",2018,7878.55,9519,"3833 S WOLCOTT AVE","3835 S WOLCOTT AVE"
12,"Sidewalk Menu","3405-3409 S ASHLAND AVE",2018,9965.88,9524,"3405 S ASHLAND AVE","3409 S ASHLAND AVE"
12,"Sidewalk Menu","3701-3709 S HERMITAGE AVE",2018,11048.02,9531,"3701 S HERMITAGE AVE","3709 S HERMITAGE AVE"
12,"Sidewalk Menu","3608-3610 S ROCKWELL ST",2018,5814.33,9533,"3608 S ROCKWELL ST","3610 S ROCKWELL ST"
12,"Sidewalk Menu","3832-3834 S ARTESIAN AVE",2018,4589.06,9540,"3832 S ARTESIAN AVE","3834 S ARTESIAN AVE"
12,"Sidewalk Menu","3601-3603 S PAULINA ST",2019,21548.17,9586,"3601 S PAULINA ST","3603 S PAULINA ST"
12,"Sidewalk Menu","3612-3624 S LEAVITT ST",2019,13254.85,9608,"3612 S LEAVITT ST","3624 S LEAVITT ST"
12,"Sidewalk Menu","3620-3622 S PAULINA ST",2019,7156.98,9609,"3620 S PAULINA ST","3622 S PAULINA ST"
12,"Floodlight Menu","2613-2631 W 23RD PL",2021,2850,9669,"2613 W 23RD PL","2631 W 23RD PL"
12,"Sidewalk Menu","3326-3332 W PERSHING RD",2021,11416.74,9675,"3326 W PERSHING RD","3332 W PERSHING RD"
12,"Sidewalk Menu","3806-3810 S ALBANY AVE",2021,10489.96,9687,"3806 S ALBANY AVE","3810 S ALBANY AVE"
12,"Sidewalk Menu","2801-2825 W 31ST ST",2022,2309.61,9722,"2801 W 31ST ST","2825 W 31ST ST"
13,"Miscellaneous-CDOT","6115-6127 W. 63 rd St.",2007,33617,9895,"6115 W. 63 rd St.","6127 W. 63 rd St."
13,"Miscellaneous-CDOT","6400-6500 S. Kostner",2008,2200,9949,"6400 S. Kostner","6500 S. Kostner"
13,"Alley Apron Menu","5914-5915 S MERRIMAC AVE",2017,35359.2,10392,"5914 S MERRIMAC AVE","5915 S MERRIMAC AVE"
13,"Miscellaneous CDOT Projects","6218-6222 S NATOMA AVE",2017,10450.17,10408,"6218 S NATOMA AVE","6222 S NATOMA AVE"
13,"Miscellaneous CDOT Projects","5740-5744 S AUSTIN AVE",2017,6296.42,10409,"5740 S AUSTIN AVE","5744 S AUSTIN AVE"
13,"Concrete Alley Menu","6109-6115 S NEENAH AVE",2018,3827.98,10471,"6109 S NEENAH AVE","6115 S NEENAH AVE"
13,"Curb & Gutter Menu","5700-5704 S NATOMA AVE",2018,7606.71,10478,"5700 S NATOMA AVE","5704 S NATOMA AVE"
13,"Miscellaneous CDOT Projects","6463-6467 S LONG AVE",2018,7612.19,10486,"6463 S LONG AVE","6467 S LONG AVE"
13,"Concrete Alley Menu","3831-3839 W 67TH PL",2019,11335.43,10584,"3831 W 67TH PL","3839 W 67TH PL"
13,"Concrete Alley Menu","3610-3620 W 70TH PL",2019,28134.8,10590,"3610 W 70TH PL","3620 W 70TH PL"
13,"Concrete Alley Menu","6323-6325 S TRIPP AVE",2019,9516.15,10594,"6323 S TRIPP AVE","6325 S TRIPP AVE"
13,"Concrete Alley Menu","6225-6239 S RUTHERFORD AVE",2019,1698.7,10596,"6225 S RUTHERFORD AVE","6239 S RUTHERFORD AVE"
13,"Miscellaneous CDOT Projects","5858-5900 S NARRAGANSETT AVE",2019,15500,10610,"5858 S NARRAGANSETT AVE","5900 S NARRAGANSETT AVE"
13,"Sidewalk Menu","5554-5558 S NARRAGANSETT AVE",2019,5712.43,10640,"5554 S NARRAGANSETT AVE","5558 S NARRAGANSETT AVE"
13,"Sidewalk Menu","6334-6350 S KNOX AVE",2019,6065.01,10684,"6334 S KNOX AVE","6350 S KNOX AVE"
13,"Sidewalk Menu","6327-6331 S KEATING AVE",2019,7039.93,10686,"6327 S KEATING AVE","6331 S KEATING AVE"
13,"Sidewalk Menu","6220-6231 S KEATING AVE",2019,7878.88,10687,"6220 S KEATING AVE","6231 S KEATING AVE"
13,"Concrete Alley Menu","6124-6128 S NAGLE AVE",2021,12162.51,10729,"6124 S NAGLE AVE","6128 S NAGLE AVE"
13,"Curb & Gutter Menu","6208-6210 W 63RD PL",2021,3936.01,10737,"6208 W 63RD PL","6210 W 63RD PL"
13,"Sidewalk Menu","6619-6625 S KILBOURN AVE",2021,9777.48,10821,"6619 S KILBOURN AVE","6625 S KILBOURN AVE"
13,"Street Light Upgrade Menu","6455-6457 S PULASKI RD",2021,500,10846,"6455 S PULASKI RD","6457 S PULASKI RD"
13,"Bollard Menu","3944-3945 W 64TH PL",2022,2225.48,10870,"3944 W 64TH PL","3945 W 64TH PL"
13,"Concrete Alley Menu","6124-6128 S NAGLE AVE",2022,11444.57,10875,"6124 S NAGLE AVE","6128 S NAGLE AVE"
14,"Miscellaneous-CDOT","4504-14-28-32-34-38 S. Karlov",2005,14430,10958,"4504 S. Karlov","4514 S. Karlov"
14,"Miscellaneous-CDOT","4614-34 S. Kedvale",2005,2391,10961,"4614 S. Kedvale","4634 S. Kedvale"
14,"Miscellaneous-CDOT","4540-4546 S. Harding",2005,2459,10971,"4540 S. Harding","4546 S. Harding"
14,"Miscellaneous-CDOT","4910-12-16 S. Komensky",2005,3416,10980,"4910 S. Komensky","4912 S. Komensky"
14,"Miscellaneous-CDOT","4743-49 S. Kedvale",2005,2931,10982,"4743 S. Kedvale","4749 S. Kedvale"
14,"Miscellaneous-CDOT","4100-34 W. 47 th St.",2005,12030,10985,"4100 W. 47 th St.","4134 W. 47 th St."
14,"Miscellaneous-CDOT","4638-40 S. Komensky",2005,1537,10987,"4638 S. Komensky","4640 S. Komensky"
14,"Miscellaneous-CDOT","5813-49-57 S. Albany",2007,30675,11149,"5813 S. Albany","5849 S. Albany"
14,"Miscellaneous-CDOT","5836-40-42 S. Albany",2007,4100,11150,"5836 S. Albany","5840 S. Albany"
14,"Miscellaneous-CDOT","5801-05-11 S. Whipple",2007,7220,11154,"5801 S. Whipple","5805 S. Whipple"
14,"Miscellaneous-CDOT","4403-29-31-35-53 S. Albany",2007,5293,11156,"4403 S. Albany","4429 S. Albany"
14,"Miscellaneous-CDOT","2900-36 W. 45 th St.",2007,6055,11166,"2900 W. 45 th St.","2936 W. 45 th St."
14,"Miscellaneous-CDOT","2836-46 W. 45 th St.",2007,6195,11167,"2836 W. 45 th St.","2846 W. 45 th St."
14,"Miscellaneous-CDOT","2933-37-45 W. Pope John Paul II",2007,5266,11168,"2933 W. Pope John Paul II","2937 W. Pope John Paul II"
14,"Miscellaneous-CDOT","3048-56 W. Pope John Paul II",2007,649,11173,"3048 W. Pope John Paul II","3056 W. Pope John Paul II"
14,"Miscellaneous-CDOT","4432-36 S. Albany",2007,2920,11176,"4432 S. Albany","4436 S. Albany"
14,"Miscellaneous-CDOT","4532-36 S. Mozart",2007,2152,11180,"4532 S. Mozart","4536 S. Mozart"
14,"Miscellaneous-CDOT","5700-18-22 S. Richmond",2007,8652,11186,"5700 S. Richmond","5718 S. Richmond"
14,"Miscellaneous-CDOT","5610-12-16 S. Richmond",2007,2732,11187,"5610 S. Richmond","5612 S. Richmond"
14,"Miscellaneous-CDOT","4048-52 S. Sacramento",2007,15030,11197,"4048 S. Sacramento","4052 S. Sacramento"
14,"Miscellaneous-CDOT","3119-21-37 W. 41 st St.",2007,5209,11201,"3119 W. 41 st St.","3121 W. 41 st St."
14,"Alley Resurfacing Menu","4401-4459 S TROY ST",2017,33785.37,11985,"4401 S TROY ST","4459 S TROY ST"
14,"Alley Resurfacing Menu","5201-5259 S FRANCISCO AVE",2017,42991.75,11986,"5201 S FRANCISCO AVE","5259 S FRANCISCO AVE"
14,"Alley Resurfacing Menu","5201-5259 S ALBANY AVE",2017,41608.72,11987,"5201 S ALBANY AVE","5259 S ALBANY AVE"
14,"Sidewalk Menu","4638-4650 W 51ST ST",2019,11441.28,12093,"4638 W 51ST ST","4650 W 51ST ST"
14,"Sidewalk Menu","4406-4432 S CHRISTIANA AVE",2019,28352.67,12094,"4406 S CHRISTIANA AVE","4432 S CHRISTIANA AVE"
14,"Sidewalk Menu","4918-4930 S KNOX AVE",2019,15808.4,12095,"4918 S KNOX AVE","4930 S KNOX AVE"
14,"Sidewalk Menu","5112-5158 S NARRAGANSETT AVE",2019,32592.07,12096,"5112 S NARRAGANSETT AVE","5158 S NARRAGANSETT AVE"
14,"Sidewalk Menu","5108-5124 S NATCHEZ AVE",2019,23774.11,12097,"5108 S NATCHEZ AVE","5124 S NATCHEZ AVE"
14,"Sidewalk Menu","5140-5150 S MEADE AVE",2019,11270.01,12098,"5140 S MEADE AVE","5150 S MEADE AVE"
14,"Sidewalk Menu","5244-5258 S MEADE AVE",2019,24760.36,12099,"5244 S MEADE AVE","5258 S MEADE AVE"
14,"Sidewalk Menu","5100-5150 S AUSTIN AVE",2019,29130.32,12100,"5100 S AUSTIN AVE","5150 S AUSTIN AVE"
14,"Sidewalk Menu","5101-5127 S MAYFIELD AVE",2019,32635.54,12101,"5101 S MAYFIELD AVE","5127 S MAYFIELD AVE"
14,"Sidewalk Menu","5100-5106 S MONITOR AVE",2019,8305.74,12102,"5100 S MONITOR AVE","5106 S MONITOR AVE"
14,"Sidewalk Menu","5141-5153 S MASSASOIT AVE",2019,18279.26,12103,"5141 S MASSASOIT AVE","5153 S MASSASOIT AVE"
14,"Sidewalk Menu","5146-5148 S MASSASOIT AVE",2019,2972.11,12104,"5146 S MASSASOIT AVE","5148 S MASSASOIT AVE"
14,"Sidewalk Menu","5103-5107 S LOREL AVE",2019,11249.49,12105,"5103 S LOREL AVE","5107 S LOREL AVE"
14,"Sidewalk Menu","5210-5226 S LONG AVE",2019,2018.79,12106,"5210 S LONG AVE","5226 S LONG AVE"
14,"Sidewalk Menu","5101-5129 S LONG AVE",2019,18323.97,12107,"5101 S LONG AVE","5129 S LONG AVE"
14,"Sidewalk Menu","5206-5212 S CALIFORNIA AVE",2019,12407.51,12108,"5206 S CALIFORNIA AVE","5212 S CALIFORNIA AVE"
14,"Sidewalk Menu","5346-5358 S WASHTENAW AVE",2019,8769.57,12113,"5346 S WASHTENAW AVE","5358 S WASHTENAW AVE"
14,"Sidewalk Menu","4618-4628 S SAWYER AVE",2019,18691.44,12114,"4618 S SAWYER AVE","4628 S SAWYER AVE"
14,"Sidewalk Menu","5120-5126 S MELVINA AVE",2019,4534.66,12119,"5120 S MELVINA AVE","5126 S MELVINA AVE"
14,"Sidewalk Menu","5207-5211 S MAJOR AVE",2019,10508.48,12120,"5207 S MAJOR AVE","5211 S MAJOR AVE"
14,"Sidewalk Menu","5234-5244 S MONITOR AVE",2019,14685.03,12122,"5234 S MONITOR AVE","5244 S MONITOR AVE"
14,"Sidewalk Menu","5142-5154 S MONITOR AVE",2019,11829.34,12123,"5142 S MONITOR AVE","5154 S MONITOR AVE"
14,"Sidewalk Menu","5101-5147 S MCVICKER AVE",2019,26085.85,12124,"5101 S MCVICKER AVE","5147 S MCVICKER AVE"
14,"Street Speed Hump Menu","5100-5200 S LAMON AVE",2019,4700,12143,"5100 S LAMON AVE","5200 S LAMON AVE"
14,"Sidewalk Menu","5222-5244 S MAJOR AVE",2020,31156.15,12147,"5222 S MAJOR AVE","5244 S MAJOR AVE"
14,"Sidewalk Menu","5201-5235 S LOREL AVE",2020,39511.06,12148,"5201 S LOREL AVE","5235 S LOREL AVE"
14,"Sidewalk Menu","5100-5122 S LINDER AVE",2020,27253.76,12149,"5100 S LINDER AVE","5122 S LINDER AVE"
14,"Sidewalk Menu","5201-5235 S LINDER AVE",2020,40194.18,12150,"5201 S LINDER AVE","5235 S LINDER AVE"
14,"Sidewalk Menu","5218-5254 S PARKSIDE AVE",2020,31950.79,12151,"5218 S PARKSIDE AVE","5254 S PARKSIDE AVE"
14,"Sidewalk Menu","5106-5150 S MOBILE AVE",2020,12451.54,12152,"5106 S MOBILE AVE","5150 S MOBILE AVE"
14,"Sidewalk Menu","5201-5255 S MONITOR AVE",2020,34284.2,12153,"5201 S MONITOR AVE","5255 S MONITOR AVE"
14,"Sidewalk Menu","5016-5024 S KENNETH AVE",2020,10952.89,12157,"5016 S KENNETH AVE","5024 S KENNETH AVE"
14,"Sidewalk Menu","5201-5217 S LARAMIE AVE",2020,24945.22,12160,"5201 S LARAMIE AVE","5217 S LARAMIE AVE"
14,"Sidewalk Menu","5201-5257 S PARKSIDE AVE",2020,22131.44,12162,"5201 S PARKSIDE AVE","5257 S PARKSIDE AVE"
14,"Sidewalk Menu","5204-5216 S MOODY AVE",2020,9262.56,12163,"5204 S MOODY AVE","5216 S MOODY AVE"
14,"Sidewalk Menu","5117-5145 S NATOMA AVE",2020,31208.49,12167,"5117 S NATOMA AVE","5145 S NATOMA AVE"
14,"Street Resurfacing Menu","5100-5259 S NATOMA AVE",2020,58449.16,12172,"5100 S NATOMA AVE","5259 S NATOMA AVE"
14,"Sidewalk Menu","4415-4423 S SAWYER AVE",2021,11059.02,12180,"4415 S SAWYER AVE","4423 S SAWYER AVE"
14,"Sidewalk Menu","4442-4453 S ST LOUIS AVE",2021,5728.9,12181,"4442 S ST LOUIS AVE","4453 S ST LOUIS AVE"
14,"Sidewalk Menu","4715-4717 S AVERS AVE",2021,5804.42,12186,"4715 S AVERS AVE","4717 S AVERS AVE"
14,"Sidewalk Menu","4715-4759 S KOLIN AVE",2021,16420.88,12187,"4715 S KOLIN AVE","4759 S KOLIN AVE"
14,"Sidewalk Menu","4718-4758 S KOLIN AVE",2021,4722.36,12188,"4718 S KOLIN AVE","4758 S KOLIN AVE"
14,"Sidewalk Menu","4734-4742 W 51ST ST",2021,6170.57,12189,"4734 W 51ST ST","4742 W 51ST ST"
14,"Sidewalk Menu","4751-4755 S HAMLIN AVE",2021,3271.43,12190,"4751 S HAMLIN AVE","4755 S HAMLIN AVE"
14,"Sidewalk Menu","4949-4955 S KILPATRICK AVE",2021,9612.28,12193,"4949 S KILPATRICK AVE","4955 S KILPATRICK AVE"
14,"Sidewalk Menu","5001-5007 S KILPATRICK AVE",2021,8663.56,12194,"5001 S KILPATRICK AVE","5007 S KILPATRICK AVE"
14,"Sidewalk Menu","5111-5143 S NAGLE AVE",2021,13411.88,12196,"5111 S NAGLE AVE","5143 S NAGLE AVE"
14,"Sidewalk Menu","5140-5150 S LOREL AVE",2021,12882.06,12197,"5140 S LOREL AVE","5150 S LOREL AVE"
14,"Sidewalk Menu","5200-5226 S MCVICKER AVE",2021,6638.68,12199,"5200 S MCVICKER AVE","5226 S MCVICKER AVE"
14,"Sidewalk Menu","5205-5213 S MULLIGAN AVE",2021,3968.34,12200,"5205 S MULLIGAN AVE","5213 S MULLIGAN AVE"
14,"Sidewalk Menu","5216-5248 S SPAULDING AVE",2021,8062.94,12201,"5216 S SPAULDING AVE","5248 S SPAULDING AVE"
14,"Sidewalk Menu","5224-5230 S MONITOR AVE",2021,7297.12,12202,"5224 S MONITOR AVE","5230 S MONITOR AVE"
14,"Sidewalk Menu","5337-5356 S SAWYER AVE",2021,5155.42,12203,"5337 S SAWYER AVE","5356 S SAWYER AVE"
14,"Sidewalk Menu","5411-5413 S RICHMOND ST",2021,21929.42,12204,"5411 S RICHMOND ST","5413 S RICHMOND ST"
