"ward","type","location","year","est_cost","id","start_address","end_address"
7,"Miscellaneous CDOT Projects","8240-8242 S BURLEY AVE",2021,150,40563,"8240 S BURLEY AVE","8242 S BURLEY AVE"
7,"Miscellaneous CDOT Projects","8240-8242 S BUFFALO AVE",2021,150,40567,"8240 S BUFFALO AVE","8242 S BUFFALO AVE"
7,"Miscellaneous CDOT Projects","8256-8260 S BUFFALO AVE",2021,150,40568,"8256 S BUFFALO AVE","8260 S BUFFALO AVE"
7,"Miscellaneous CDOT Projects","8247-8251 SBUFFALO AVE",2021,150,40569,"8247 SBUFFALO AVE","8251 SBUFFALO AVE"
9,"Miscellaneous CDOT Projects","11914-11918 S LA SALLE ST",2022,187.5,40635,"11914 S LA SALLE ST","11918 S LA SALLE ST"
9,"Miscellaneous CDOT Projects","625-631 E 103RD ST",2022,187.5,40637,"625 E 103RD ST","631 E 103RD ST"
10,"Sidewalk Menu","2800-2834 E 128TH ST",2018,6485.5,40653,"2800 E 128TH ST","2834 E 128TH ST"
10,"Sidewalk Menu","10710-10712 S MACKINAW AVE",2018,5180.5,40657,"10710 S MACKINAW AVE","10712 S MACKINAW AVE"
10,"Sidewalk Menu","10722-10724 S MACKINAW AVE",2018,5180.5,40659,"10722 S MACKINAW AVE","10724 S MACKINAW AVE"
10,"Sidewalk Menu","10730-10732 S MACKINAW AVE",2018,5180.5,40660,"10730 S MACKINAW AVE","10732 S MACKINAW AVE"
10,"Sidewalk Menu","10633-10643 S MACKINAW AVE",2018,4960,40664,"10633 S MACKINAW AVE","10643 S MACKINAW AVE"
10,"Sidewalk Menu","10632-10640 S MACKINAW AVE",2018,4960,40665,"10632 S MACKINAW AVE","10640 S MACKINAW AVE"
10,"Concrete Alley Menu","11140-11156 S AVENUE F",2020,6333.33333333333,40687,"11140 S AVENUE F","11156 S AVENUE F"
10,"Sidewalk Menu","9300-9400 S COMMERCIAL AVE",2021,77222.18,40702,"9300 S COMMERCIAL AVE","9400 S COMMERCIAL AVE"
10,"Street Resurfacing Menu","10653-10700 S AVENUE D",2021,25198.485,40704,"10653 S AVENUE D","10700 S AVENUE D"
11,"Sidewalk Menu","3732-3734 S PARNELL AVE",2017,2432.82,40732,"3732 S PARNELL AVE","3734 S PARNELL AVE"
11,"Alley Resurfacing Menu","3001-3037 S PRINCETON AVE",2018,20045.155,40736,"3001 S PRINCETON AVE","3037 S PRINCETON AVE"
12,"Sidewalk Menu","3426-3428 S BELL AVE",2021,4671.385,40895,"3426 S BELL AVE","3428 S BELL AVE"
13,"Concrete Alley Menu","6103-6109 S NASHVILLE AVE",2019,4789.685,40959,"6103 S NASHVILLE AVE","6109 S NASHVILLE AVE"
13,"Street Speed Hump Menu","6321-6339 S KILBOURN AVE",2020,2350,40961,"6321 S KILBOURN AVE","6339 S KILBOURN AVE"
13,"Concrete Alley Menu","5747-5759 S RUTHERFORD AVE",2021,15752.58,40966,"5747 S RUTHERFORD AVE","5759 S RUTHERFORD AVE"
13,"Concrete Alley Menu","5747-5759 S RUTHERFORD AVE",2022,12544.495,40985,"5747 S RUTHERFORD AVE","5759 S RUTHERFORD AVE"
14,"Sidewalk Menu","5122-5144 S MOBILE AVE",2019,18946.04,41018,"5122 S MOBILE AVE","5144 S MOBILE AVE"
14,"Sidewalk Menu","5143-5153 S MOBILE AVE",2019,18946.04,41019,"5143 S MOBILE AVE","5153 S MOBILE AVE"
14,"Sidewalk Menu","5201-5211 S LEAMINGTON AVE",2019,10981.77,41020,"5201 S LEAMINGTON AVE","5211 S LEAMINGTON AVE"
14,"Sidewalk Menu","5022-5024 S KILPATRICK AVE",2019,12698.1166666667,41022,"5022 S KILPATRICK AVE","5024 S KILPATRICK AVE"
14,"Sidewalk Menu","4900-4942 S KILPATRICK AVE",2019,12698.1166666667,41023,"4900 S KILPATRICK AVE","4942 S KILPATRICK AVE"
14,"Sidewalk Menu","5104-5108 S KILPATRICK AVE",2019,12698.1166666667,41024,"5104 S KILPATRICK AVE","5108 S KILPATRICK AVE"
14,"Sidewalk Menu","4724-4736 S KEELER AVE",2019,16675.73,41025,"4724 S KEELER AVE","4736 S KEELER AVE"
14,"Sidewalk Menu","4820-4858 S KEELER AVE",2019,16675.73,41026,"4820 S KEELER AVE","4858 S KEELER AVE"
14,"Sidewalk Menu","5204-5208 S NATOMA AVE",2022,9960.42,41050,"5204 S NATOMA AVE","5208 S NATOMA AVE"
14,"Sidewalk Menu","5244-5248 S NATOMA AVE",2022,9960.42,41052,"5244 S NATOMA AVE","5248 S NATOMA AVE"
14,"Sidewalk Menu","5232-5250 S MULLIGAN AVE",2022,13315.12,41053,"5232 S MULLIGAN AVE","5250 S MULLIGAN AVE"
15,"Sidewalk Menu","4652-4658 S SACRAMENTO AVE",2021,27521.68,41213,"4652 S SACRAMENTO AVE","4658 S SACRAMENTO AVE"
15,"Curb & Gutter Menu","2516-2530 W 44TH ST",2022,5436.055,41230,"2516 W 44TH ST","2530 W 44TH ST"
16,"Curb & Gutter Menu","2230-2330 W 64TH ST",2020,75000,41253,"2230 W 64TH ST","2330 W 64TH ST"
17,"Street Speed Hump Menu","1400-1500 W 72ND PL",2017,1850,41272,"1400 W 72ND PL","1500 W 72ND PL"
17,"Alley Resurfacing Menu (1-1)","2500-2524 W LITHUANIAN PLAZA CT",2019,3880.31,41275,"2500 W LITHUANIAN PLAZA CT","2524 W LITHUANIAN PLAZA CT"
18,"Speed Indicator Signs","2715-2717 W 83RD ST",2021,12500,41306,"2715 W 83RD ST","2717 W 83RD ST"
21,"Sidewalk Menu","510-511 W 81ST PL",2017,10261.07,41352,"510 W 81ST PL","511 W 81ST PL"
21,"Sidewalk Menu","9615-9621 S RACINE AVE",2020,9976.48,41368,"9615 S RACINE AVE","9621 S RACINE AVE"
22,"Alley Resurfacing Menu (1-1)","4335-4359 W 31ST ST",2020,21012.36,41440,"4335 W 31ST ST","4359 W 31ST ST"
22,"Alley Resurfacing Menu","3900-3924 W 24TH ST",2020,13224.19,41444,"3900 W 24TH ST","3924 W 24TH ST"
22,"Alley Resurfacing Menu","4734-4758 W 47TH ST",2020,20495.35,41446,"4734 W 47TH ST","4758 W 47TH ST"
22,"In-Road State Law Stop For Pedestrians Signs Menu","4258-4259 W 31ST ST",2020,300,41453,"4258 W 31ST ST","4259 W 31ST ST"
22,"In-Road State Law Stop For Pedestrians Signs Menu","4258-4259 W 31ST ST",2020,175,41454,"4258 W 31ST ST","4259 W 31ST ST"
22,"Curb & Gutter Menu","5141-5145 W 48TH ST",2021,2922.74,41470,"5141 W 48TH ST","5145 W 48TH ST"
22,"Alley Resurfacing Menu","2301-2323 S RIDGEWAY AVE",2022,18928.39,41476,"2301 S RIDGEWAY AVE","2323 S RIDGEWAY AVE"
22,"Alley Resurfacing Menu","2800-2858 S HAMLIN AVE",2022,23288.325,41478,"2800 S HAMLIN AVE","2858 S HAMLIN AVE"
22,"Alley Resurfacing Menu","2800-2858 S KOSTNER AVE",2022,15678.555,41480,"2800 S KOSTNER AVE","2858 S KOSTNER AVE"
22,"Alley Resurfacing Menu","3000-3058 S SPAULDING AVE",2022,11907.235,41482,"3000 S SPAULDING AVE","3058 S SPAULDING AVE"
22,"Alley Resurfacing Menu","4245-4265 W CERMAK RD",2022,33547.955,41484,"4245 W CERMAK RD","4265 W CERMAK RD"
22,"Alley Resurfacing Menu","2700-2758 S SAWYER AVE",2022,23520.15,41487,"2700 S SAWYER AVE","2758 S SAWYER AVE"
22,"Curb & Gutter Menu","3201-3259 S AVERS AVE",2022,55000,41494,"3201 S AVERS AVE","3259 S AVERS AVE"
22,"Street Resurfacing Menu","2800-2859 S SPAULDING AVE",2022,26712.2,41502,"2800 S SPAULDING AVE","2859 S SPAULDING AVE"
23,"Street Speed Hump Menu","5400-5401 S KILBOURN AVE",2020,3525,41557,"5400 S KILBOURN AVE","5401 S KILBOURN AVE"
23,"Speed Indicator Signs","5946-5948 S PULASKI RD",2021,14000,41580,"5946 S PULASKI RD","5948 S PULASKI RD"
24,"Alley Resurfacing Menu","735-757 SINDEPENDENCE BLVD",2022,17460.315,41648,"735 SINDEPENDENCE BLVD","757 SINDEPENDENCE BLVD"
25,"Street Resurfacing Menu (1-5)","2100-2131 S TAN CT",2020,40376.815,41691,"2100 S TAN CT","2131 S TAN CT"
26,"Alley Resurfacing Menu","1201-1225 N CALIFORNIA AVE",2019,20012.845,41720,"1201 N CALIFORNIA AVE","1225 N CALIFORNIA AVE"
26,"Alley Resurfacing Menu","3324-3358 W NORTH AVE",2019,23440.105,41728,"3324 W NORTH AVE","3358 W NORTH AVE"
26,"Alley Resurfacing Menu","3403-3455 W PIERCE AVE",2019,20541.645,41735,"3403 W PIERCE AVE","3455 W PIERCE AVE"
