"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
1,"Street Speed Hump Menu","N TALMAN AVE & N MILWAUKEE AV (2145 N) & W FULLERTON AV (2400 N)",2011,3700,433,"2400 N TALMAN AVE","2145 N TALMAN AVE"
1,"Street Speed Hump Menu","N CAMPBELL AVE & W BELDEN AV (2300 N) & W FULLERTON AV (2400 N)",2011,1850,434,"2300 N CAMPBELL AVE","2400 N CAMPBELL AVE"
1,"Street Speed Hump Menu","W CHARLESTON ST & N WESTERN AV (2400 W) & N CAMPBELL AV (2450 W)",2011,1850,435,"2400 W CHARLESTON ST","2450 W CHARLESTON ST"
1,"Street Speed Hump Menu","N HOYNE AVE & N LEAVITT ST (2700 N) & W DIVERSEY PW (2800 N)",2011,9250,436,"2800 N HOYNE AVE","2700 N HOYNE AVE"
1,"Street Speed Hump Menu","N BOSWORTH AVE & W DIVISION ST (1200 N) & W BLACKHAWK ST (1400 N)",2011,9250,437,"1200 N BOSWORTH AVE","1400 N BOSWORTH AVE"
1,"Street Speed Hump Menu","W OHIO ST & N WOOD ST (1800 W) & N WOLCOTT AV (1900 W)",2011,3700,438,"1800 W OHIO ST","1900 W OHIO ST"
1,"Street Speed Hump Menu","W BELDEN AVE & N WESTERN AV (2400 W) & N MAPLEWOOD AV (2535 W)",2011,5550,439,"2400 W BELDEN AVE","2535 W BELDEN AVE"
1,"Street Speed Hump Menu","W SUPERIOR ST & N DAMEN AV (2000 W) & N HOYNE AV (2100 W)",2011,3700,440,"2000 W SUPERIOR ST","2100 W SUPERIOR ST"
1,"Street Speed Hump Menu","W SUPERIOR ST & N WOOD ST (1800 W) & N WOLCOTT AV (1900 W)",2011,3700,441,"1800 W SUPERIOR ST","1900 W SUPERIOR ST"
2,"Miscellaneous-CDOT","Harrison & Wood to Michigan & 26 th St.",2009,7950,1484,"Harrison & Wood to Michigan","Harrison & 26 th St."
2,"Pole Painting","W VAN BUREN ST & S STATE ST (0 E) & S FRANKLIN ST (300 W)",2011,32000,1786,"0 W VAN BUREN ST","300 W VAN BUREN ST"
2,"Pole Painting","W MONROE ST & E KENNEDY ENTR RP (713 W) & S DESPLAINES ST (640 W)",2011,3800,1788,"640 W MONROE ST","640 W MONROE ST"
2,"Pole Painting","W MADISON ST & S RACINE AV (1200 W) & S PEORIA ST (900 W)",2011,9900,1789,"1200 W MADISON ST","900 W MADISON ST"
2,"Pole Painting","S WELLS ST & W MADISON ST (0 N) & W VAN BUREN ST (400 S)",2011,25000,1791,"0 S WELLS ST","400 S WELLS ST"
2,"Pole Painting","S UNION AVE & S DAN RYAN ENTR RP (1077 S) & S DAN RYAN ENTR RP (1250 S)",2011,2700,1792,"1077 S UNION AVE","1250 S UNION AVE"
