"ward","type","location","year","est_cost","id","start_location","end_location"
26,"Street Resurface Menu","N ROCKWELL ST-- W POTOMAC AV (1300 N) -to- W LE MOYNE ST (1500 N)",2005,50044,20935,"N ROCKWELL ST AND W POTOMAC AV","N ROCKWELL ST AND W LE MOYNE ST"
26,"Street Resurface Menu","W BELDEN AV-- N MONTICELLO AV (3632 W) -to- N LAWNDALE AV (3700 W)",2005,11910,20936,"W BELDEN AV AND N MONTICELLO AV","W BELDEN AV AND N LAWNDALE AV"
26,"Street Resurface Menu","W ERIE ST-- N WESTERN AV (2400 W) -to- N CAMPBELL AV (2500 W)",2005,27395,20937,"W ERIE ST AND N WESTERN AV","W ERIE ST AND N CAMPBELL AV"
26,"Street Resurface Menu","W HIRSCH ST-- N HOMAN AV (3400 W) -to- N ST LOUIS AV (3500 W)",2005,23143,20938,"W HIRSCH ST AND N HOMAN AV","W HIRSCH ST AND N ST LOUIS AV"
26,"Street Resurface Menu","W LE MOYNE ST-- N KEDZIE AV (3200 W) -to- N SPAULDING AV (3300 W)",2005,23754,20939,"W LE MOYNE ST AND N KEDZIE AV","W LE MOYNE ST AND N SPAULDING AV"
26,"Street Resurface Menu","W WABANSIA AV-- N ST LOUIS AV (3440 W) -to- N DRAKE AV (3516 W)",2005,15440,20940,"W WABANSIA AV AND N ST LOUIS AV","W WABANSIA AV AND N DRAKE AV"
26,"Street Speed Hump Menu","N CAMPBELL AV-- W HIRSCH ST (1400 N) -to- W LE MOYNE ST (1500 N) 2",2005,5000,20941,"N CAMPBELL AV AND W HIRSCH ST","N CAMPBELL AV AND W LE MOYNE ST"
26,"Street Speed Hump Menu","W HADDON AV-- N CAMPBELL AV (2500 W) -to- N ROCKWELL ST (2600 W) 2",2005,5000,20942,"W HADDON AV AND N CAMPBELL AV","W HADDON AV AND N ROCKWELL ST"
26,"Diagonal Parking Menu","N WASHTENAW AV-- W DIVISION ST (1200 N) -to- Dead End (2709 N)",2006,20510,20964,"N WASHTENAW AV AND W DIVISION ST","N WASHTENAW AV AND Dead End"
26,"Diagonal Parking Menu","N WASHTENAW AV-- W HADDON AV (1132 N) -to- Dead End (2709 N)",2006,42120,20965,"N WASHTENAW AV AND W HADDON AV","N WASHTENAW AV AND Dead End"
26,"Miscellaneous-CDOT","N ARTESIAN AV-- W HUBBARD ST (430 N) -to- W GRAND AV (525 N)",2006,27312,20970,"N ARTESIAN AV AND W HUBBARD ST","N ARTESIAN AV AND W GRAND AV"
26,"Miscellaneous-CDOT","N HOMAN AV-- W GRAND AV (1031 N) -to- W DIVISION ST (1200 N)",2006,57885,20971,"N HOMAN AV AND W GRAND AV","N HOMAN AV AND W DIVISION ST"
26,"Miscellaneous-CDOT","N HUMBOLDT BV-- W NORTH AV (1600 N) -to- W WABANSIA AV (1702 N)",2006,37339,20972,"N HUMBOLDT BV AND W NORTH AV","N HUMBOLDT BV AND W WABANSIA AV"
26,"Miscellaneous-CDOT","N KEDZIE AV-- W MOFFAT ST (1832 N) -to- W CORTLAND ST (1900 N)",2006,53383,20973,"N KEDZIE AV AND W MOFFAT ST","N KEDZIE AV AND W CORTLAND ST"
26,"Miscellaneous-CDOT","N KEDZIE AV-- W BLOOMINGDALE AV (1800 N) -to- W MOFFAT ST (1832 N)",2006,30641,20974,"N KEDZIE AV AND W BLOOMINGDALE AV","N KEDZIE AV AND W MOFFAT ST"
26,"Miscellaneous-CDOT","N LAWNDALE AV-- W PALMER ST (2200 N) -to- W BELDEN AV (2300 N)",2006,49445,20975,"N LAWNDALE AV AND W PALMER ST","N LAWNDALE AV AND W BELDEN AV"
26,"Miscellaneous-CDOT","N RICHMOND ST-- W AUGUSTA BV (1000 N) -to- W CORTEZ ST (1036 N)",2006,40432,20976,"N RICHMOND ST AND W AUGUSTA BV","N RICHMOND ST AND W CORTEZ ST"
26,"Miscellaneous-CDOT","N RIDGEWAY AV-- W CORTLAND ST (1900 N) -to- W ARMITAGE AV (2000 N)",2006,119245,20977,"N RIDGEWAY AV AND W CORTLAND ST","N RIDGEWAY AV AND W ARMITAGE AV"
26,"Miscellaneous-CDOT","N SACRAMENTO AV-- W WALTON ST (915 N) -to- W AUGUSTA BV (1000 N)",2006,23062,20978,"N SACRAMENTO AV AND W WALTON ST","N SACRAMENTO AV AND W AUGUSTA BV"
26,"Miscellaneous-CDOT","N SACRAMENTO AV-- W GRAND AV (832 N) -to- W WALTON ST (928 N)",2006,44424,20979,"N SACRAMENTO AV AND W GRAND AV","N SACRAMENTO AV AND W WALTON ST"
26,"Miscellaneous-CDOT","W BLOOMINGDALE AV-- N ALBANY AV (3100 W) -to- N WHIPPLE ST (3032 W)",2006,14232,20980,"W BLOOMINGDALE AV AND N ALBANY AV","W BLOOMINGDALE AV AND N WHIPPLE ST"
26,"Miscellaneous-CDOT","W BLOOMINGDALE AV-- N HUMBOLDT (W) SD(3010 W) -to- N WHIPPLE ST (3032 W)",2006,26626,20981,"W BLOOMINGDALE AV AND N HUMBOLDTSD","W BLOOMINGDALE AV AND N WHIPPLE ST"
26,"Street Speed Hump Menu","N DRAKE AV-- W NORTH AV (1600 N) -to- W WABANSIA AV (1700 N) 2",2006,3500,20982,"N DRAKE AV AND W NORTH AV","N DRAKE AV AND W WABANSIA AV"
26,"Street Speed Hump Menu","N MAPLEWOOD AV-- W HIRSCH ST (1400 N) -to- W LE MOYNE ST (1500 N) 2",2006,5000,20983,"N MAPLEWOOD AV AND W HIRSCH ST","N MAPLEWOOD AV AND W LE MOYNE ST"
26,"Street Speed Hump Menu","N SPAULDING AV-- W GRAND AV (1018 N) -to- W DIVISION ST (1200 N) 3",2006,7500,20984,"N SPAULDING AV AND W GRAND AV","N SPAULDING AV AND W DIVISION ST"
