"ward","type","location","year","est_cost","id","address"
1,"Maplewood Park - Field House","1640 N MAPLEWOOD AVE",2018,150000,779,"1640 N MAPLEWOOD AVE"
1,"Pritzker Elementary - Playground Renovation","2009 W SCHILLER ST",2018,4e+05,780,"2009 W SCHILLER ST"
1,"Alley Apron Menu","2534 W CHARLESTON ST",2018,12110.28,781,"2534 W CHARLESTON ST"
1,"Alley Apron Menu","1212 W ERIE ST",2018,8963.35,782,"1212 W ERIE ST"
1,"Sidewalk Menu","1364 W GRAND AVE",2018,15931.05,813,"1364 W GRAND AVE"
1,"Sidewalk Menu","2459 W MOFFAT ST",2018,6737.51,814,"2459 W MOFFAT ST"
1,"Sidewalk Menu","1815 W RACE AVE",2018,5826.73,815,"1815 W RACE AVE"
1,"Sidewalk Menu","836 N GREENVIEW AVE",2018,854.49,816,"836 N GREENVIEW AVE"
1,"Maplewood Park Field House 2019 Phase II Menu Contribution","1640 N MAPLEWOOD AVE",2019,250000,828,"1640 N MAPLEWOOD AVE"
1,"LPR Reader: 1899 N MOZART","1900 N MOZART ST",2019,30431.35,860,"1900 N MOZART ST"
1,"Sidewalk Menu","3101 W ARMITAGE AVE",2019,32387.34,862,"3101 W ARMITAGE AVE"
1,"Sidewalk Menu","2457 N FAIRFIELD AVE",2019,17015.2,863,"2457 N FAIRFIELD AVE"
1,"Sidewalk Menu","836 N GREENVIEW AVE",2019,3036.14,864,"836 N GREENVIEW AVE"
1,"Sidewalk Menu","516 N ADA ST",2019,2386.85,865,"516 N ADA ST"
1,"Sidewalk Menu","2548 W ARMITAGE AVE",2019,3182.46,866,"2548 W ARMITAGE AVE"
1,"Sidewalk Menu","2115 N CALIFORNIA AVE",2019,2652.05,867,"2115 N CALIFORNIA AVE"
1,"Sidewalk Menu","1542 N CAMPBELL AVE",2019,10482.66,868,"1542 N CAMPBELL AVE"
1,"Sidewalk Menu","1859 W CHICAGO AVE",2019,6874.11,869,"1859 W CHICAGO AVE"
1,"Sidewalk Menu","2418 W CORTEZ ST",2019,2278.1,870,"2418 W CORTEZ ST"
1,"Sidewalk Menu","3436 W CORTLAND ST",2019,13554.84,871,"3436 W CORTLAND ST"
1,"Sidewalk Menu","1220 N DAMEN AVE",2019,1430.77,872,"1220 N DAMEN AVE"
1,"Sidewalk Menu","1829 W ELLEN ST",2019,1640.28,873,"1829 W ELLEN ST"
1,"Sidewalk Menu","1457 W ERIE ST",2019,4700.85,874,"1457 W ERIE ST"
1,"Sidewalk Menu","2439 W FULLERTON AVE",2019,31874.46,875,"2439 W FULLERTON AVE"
1,"Sidewalk Menu","1378 W GRAND AVE",2019,12964.67,876,"1378 W GRAND AVE"
1,"Sidewalk Menu","2727 W HADDON AVE",2019,2797.96,877,"2727 W HADDON AVE"
1,"Sidewalk Menu","1027 N HERMITAGE AVE",2019,2702.48,878,"1027 N HERMITAGE AVE"
1,"Sidewalk Menu","1935 W HURON ST",2019,1737.08,879,"1935 W HURON ST"
1,"Sidewalk Menu","1289 N MILWAUKEE AVE",2019,22454.92,880,"1289 N MILWAUKEE AVE"
