year,total_spending
2005,490251.35376897233
2006,1317999.4785998361
2007,1315892.861508736
2008,1435384.871535832
2009,938902.2046979966
2010,1250004.745183446
2011,1317745.837828185
2012,1210390.0000009842
2013,1292224.8104357817
2014,1172786.067299414
2015,1276857.0000003253
